source,target
MYPN,XPO1
MYPN,TRIM25
MYPN,PPP1CC
ACVR1,ACVR1B
ACVR1,SMAD7
ACVR1,ACVR2A
ACVR1,SMAD6
ACVR1,ATM
ACVR1,TSC22D1
ACVR1,BMPR2
ACVR1,ACVR1
ACVR1,OTUB1
ACVR1,RNF4
ACVR1,USP15
ACVR1,FBXO7
ACVR1,BMPR1A
ACVR1,TGFBR2
ACVR1,SMAD5
ACVR1,SMAD1
ACVR1,FKBP1A
ACVR1,KIAA1429
ACVR1,TNFRSF10A
ACVR1,BMP7
ACVR1,TDGF1
ACVR1,INHBA
ACVR1,SMURF1
ACVR1,CHRD
ACVR1,TGFB3
ACVR1,ACVR1C
ACVR1,BMP4
ACVR1,SMAD2
ACVR1,SMAD3
ACVR1,SMAD9
ACVR1,SMAD4
ACVR1,ACVR2B
ACVR1,INHBB
ACVR1,BMP2
ACVR1,BMPR1B
PML,TRIM24
PML,RANBP2
PML,SP100
PML,USP7
PML,TDG
PML,SUMO1
PML,RNF4
PML,SUMO3
PML,TOPBP1
PML,SUMO2
PML,SAP130
PML,RUNX2
PML,RBX1
PML,SPTA1
PML,RAD51
PML,UBE2I
PML,TP53
PML,WRN
PML,PSME3
PML,SIRT1
PML,TRIB3
PML,TGIF1
PML,RPL11
PML,UBE2U
PML,RUNX1
PML,RUNX3
PML,SENP1
PML,TRIM69
PML,SKIL
PML,RBL2
PML,SP1
PML,ZBTB16
PML,RB1
PML,SETDB1
PML,UHRF1
PML,ZFYVE9
PML,TERT
PML,SIN3A
PML,TOPORS
PML,TRIM25
PML,TP53BP1
PML,SKP1
PML,TP63
PML,SUZ12
PML,YAP1
PML,STAT1
PML,STAT3
PML,WDR5
PML,RNF125
PML,SH3GL1
PML,RFC4
PML,UBE3A
PML,SMARCA4
PML,RELA
PML,PML
PML,TOP2B
PML,PSMA3
PML,SQSTM1
PML,TRIM27
PML,TRIML2
PML,PPARGC1A
PML,SMAD3
PML,RPL5
PML,RNF123
PML,USP11
PML,RNF111
PML,PPARG
PML,SP3
PML,SIAH2
PML,SMAD2
PML,SKI
PML,RBCK1
PML,SIAH1
PML,TGFB1
PML,TGFB3
PML,TRIM21
PML,TRIM45
PML,SMAD7
PML,SMURF2
PML,TNRC6B
PML,RAE1
PML,SMURF1
PML,TGFBR2
PML,TGFBR1
PML,TPR
PML,UBC
PML,RBBP4
PML,TRIM8
PML,VCAM1
PML,UBA52
PML,TRIM62
PML,TFAP2B
PML,PTEN
PML,UBB
PML,TNRC6C
PML,TP73
PML,PRAM1
PML,RPS27A
PML,TNRC6A
PML,STRAP
PML,RBBP7
RPA2,RPL15
RPA2,SEC22B
RPA2,RPLP0
RPA2,TUBA4A
RPA2,VCP
RPA2,TUBB4B
RPA2,SPTA1
RPA2,STAT3
RPA2,RPL6
RPA2,WRN
RPA2,UBE2A
RPA2,RPL19
RPA2,XRN1
RPA2,UBC
RPA2,TUBB
RPA2,RPL7
RPA2,SPTBN1
RPA2,TOP2A
RPA2,TAGLN2
RPA2,WDR82
RPA2,SNAI1
RPA2,TOP3A
RPA2,TAF15
RPA2,SPTAN1
RPA2,WDR33
RPA2,RPS8
RPA2,TPX2
RPA2,XPC
RPA2,YTHDF1
RPA2,SMARCC2
RPA2,SSRP1
RPA2,TP53BP1
RPA2,TRIM28
RPA2,RPL10L
RPA2,RPA3
RPA2,XRCC1
RPA2,TUBB2A
RPA2,RPL18
RPA2,RPS9
RPA2,TRIP12
RPA2,YAP1
RPA2,USP7
RPA2,SF3B1
RPA2,TUBA1C
RPA2,YTHDF2
RPA2,TPD52L2
RPA2,TP53
RPA2,XRCC6
RPA2,YWHAE
RPA2,TOP2B
RPA2,UBQLN2
RPA2,RPS7
RPA2,XRCC5
RPA2,SUPT16H
RPA2,UTP14A
RPA2,SMARCA5
RPA2,RPL18A
RPA2,RPS3A
RPA2,TFRC
RPA2,UBE2M
RPA2,SF3B2
RPA2,RRM2B
RPA2,TOPBP1
RPA2,UFD1L
RPA2,UBE2B
RPA2,RPS27A
RPA2,UBE2L6
RPA2,UBB
RPA2,WDR48
RPA2,UBE2N
RPA2,TRIM25
RPA2,UBA7
RPA2,USP1
RPA2,SERTAD1
RPA2,RRM2
RPA2,SUMO3
RPA2,YWHAZ
RPA2,SUMO2
RPA2,SUMO1
RPA2,UBE2V2
RPA2,USP10
RPA2,UBA52
STAT3,TRAF6
STAT3,TRIM24
STAT3,TRIM28
STAT3,TMEM206
STAT3,TRIM59
STAT3,STAT6
STAT3,STAT5B
STAT3,USP22
STAT3,TRIM25
STAT3,TDG
STAT3,STMN1
STAT3,TRIM11
STAT3,TCEAL1
STAT3,STAT3
STAT3,SYK
STAT3,USP28
STAT3,ZC3H7A
STAT3,VEGFA
STAT3,TBC1D15
STAT3,TWIST1
STAT3,TIMP1
STAT3,TGFB1
STAT3,TLR2
STAT3,TNF
STAT3,TLR9
STAT3,TYK2
STAT3,SUZ12
STAT3,VCAM1
STAT3,VIM
STAT3,TP53
STAT3,STAT5A
STAT3,TLR4
STAT3,TNFSF11
STAT3,ZEB1
STAT3,TCP1
ARF1,USP39
ARF1,PTPN18
ARF1,RAB5A
ARF1,ARIH2
ARF1,CUL7
ARF1,COPB1
ARF1,SEC23IP
ARF1,WWOX
ARF1,ARFGAP2
ARF1,HSP90AB1
ARF1,RAB11A
ARF1,UBC
ARF1,PARK7
ARF1,RAB1A
ARF1,NRAS
ARF1,SLC30A5
ARF1,CBL
ARF1,FBXO6
ARF1,KDELR1
ARF1,KHSRP
ARF1,CAND1
ARF1,CTNNB1
ARF1,IGF1R
ARF1,TSC2
ARF1,HUWE1
ARF1,PAICS
ARF1,WWP2
ARF1,ARF1
ARF1,KRAS
ARF1,ARF4
ARF1,ZC3H7A
ARF1,ARFGAP1
ARF1,NCOR1
ARF1,COPE
ARF1,CCT6A
ARF1,COPG1
ARF1,VCAM1
ARF1,CDC73
ARF1,OPRM1
ARF1,MTF2
ARF1,UBE2J1
ARF1,KIAA1429
ARF1,CHRM3
ARF1,SEC31A
ARF1,ARFGAP3
ARF1,CDK2
ARF1,EZH2
ARF1,ATF2
ARF1,GGA1
ARF1,UBE2M
ARF1,RAB1B
ARF1,ARF3
ARF1,HERC1
ARF1,ARF5
ARF1,CCT3
ARF1,KIF22
ARF1,DCTN6
ARF1,BET1
ARF1,YKT6
ARF1,GOSR2
ARF1,CLTA
ARF1,EREG
ARF1,SORT1
ARF1,DYNC1LI2
ARF1,KDELR2
ARF1,DCTN3
ARF1,KLC4
ARF1,KIF23
ARF1,KIF11
ARF1,ARFGEF1
ARF1,TMED2
ARF1,CAPZA1
ARF1,KIF18A
ARF1,SPTBN4
ARF1,KDR
ARF1,KIF1B
ARF1,PIK3CA
ARF1,KIF3C
ARF1,CENPE
ARF1,KIF2B
ARF1,DYNC1LI1
ARF1,KIF6
ARF1,KIF27
ARF1,ARF6
ARF1,TMED3
ARF1,DCTN5
ARF1,KIFC2
ARF1,TMED10
ARF1,KIF5B
ARF1,CLTB
ARF1,GAK
ARF1,SPTBN5
ARF1,DYNC1I1
ARF1,KIF1C
ARF1,KIF15
ARF1,CAPZA3
ARF1,COPB2
ARF1,TMED9
ARF1,KIF9
ARF1,DYNC1H1
ARF1,SPTBN1
ARF1,TFRC
ARF1,KIFAP3
ARF1,DCTN1
ARF1,KIF21A
ARF1,CAPZA2
ARF1,CD55
ARF1,COPA
ARF1,SPTA1
ARF1,PI4KB
ARF1,GBF1
ARF1,KIF20B
ARF1,ARFGEF2
ARF1,SURF4
ARF1,KIF2C
ARF1,SPTAN1
ARF1,DNM1
ARF1,KIF12
ARF1,KIF4A
ARF1,KIF3B
ARF1,SNX2
ARF1,KIF19
ARF1,KLC3
ARF1,DYNLL1
ARF1,FOLR1
ARF1,KIF20A
ARF1,CD59
ARF1,DYNC1I2
ARF1,INS
ARF1,KIF16B
ARF1,KIF2A
ARF1,KIF26B
ARF1,KIF3A
ARF1,KDELR3
ARF1,KIF4B
ARF1,KIF26A
ARF1,KIF25
ARF1,KIFC1
ARF1,KLC2
ARF1,CAPZB
ARF1,COPG2
ARF1,RACGAP1
ARF1,TMED7
ARF1,DCTN2
