source,target
PML,SUMO1
PML,RNF4
PML,RBX1
PML,UBE2I
PML,TP53
PML,PSME3
PML,SIRT1
PML,RPL11
PML,SNRNP40
PML,SP1
PML,POLR2E
PML,TRIM25
PML,SKP1
PML,SF1
PML,SUZ12
PML,YAP1
PML,STAT1
PML,RELA
PML,PML
PML,PSMA3
PML,SQSTM1
PML,SMAD3
PML,RXRA
PML,RPL5
PML,USP11
PML,SMAD2
PML,TGFB1
PML,SMURF2
PML,TNRC6B
PML,SMURF1
PML,POM121
PML,UBC
PML,VCAM1
PML,UBA52
PML,UBB
PML,RPS27A
APP,ARGLU1
APP,RNF183
APP,LSM6
APP,CELF2
APP,TAB2
APP,ATP6V1E1
APP,RBM39
APP,IFIT3
APP,CSTF2
APP,PKM
APP,UBE3C
APP,CAT
APP,ATXN3
APP,HSP90AA1
APP,RPS26
APP,SRSF3
APP,KPNA2
APP,STUB1
APP,CUL3
APP,RPL30
APP,MYC
APP,VCP
APP,PSAT1
APP,PSMD11
APP,DECR1
APP,RBM8A
APP,CHEK2
APP,SF3B2
APP,TCEA1
APP,MRPS18A
APP,CUL7
APP,DIMT1
APP,PPP1CC
APP,CAPRIN1
APP,CLU
APP,RPS14
APP,NKIRAS1
APP,EIF2B2
APP,NFKBIB
APP,HMGA1
APP,ZNF622
APP,RNF115
APP,SRSF6
APP,RNF2
APP,COPS5
APP,SF3B6
APP,CTBP2
APP,PPAN
APP,PSMD4
APP,LCP2
APP,SYNCRIP
APP,FIP1L1
APP,HSPA8
APP,UBL4A
APP,RPL12
APP,CHAC2
APP,POLH
APP,NOVA1
APP,PCBP1
APP,SMURF1
APP,FBXW11
APP,UBE2M
APP,G3BP1
APP,AURKA
APP,CDC20
APP,PRPF38A
APP,HDAC4
APP,C3orf17
APP,LARP7
APP,PLRG1
APP,BUD31
APP,GSTO1
APP,PRPF4
APP,CUL4B
APP,SYK
APP,PRDX2
APP,QKI
APP,MAP2K3
APP,GLOD4
