source,target
MAP2K4,MAP2K6
MAP2K4,TRIM25
MAP2K4,MAPK9
MAP2K4,MAPK10
MAP2K4,NBR1
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAPK14
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K1
MAP2K4,RBBP8
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,PML
MAP2K4,TNFRSF1A
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,RIPK2
MAP2K4,NFKB1
MAP2K4,MAPK8IP1
MAP2K4,TRAF2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,NOD2
MAP2K4,UBB
MAP2K4,PAK2
MAP2K4,UBE2N
MAP2K4,TNIP2
MAP2K4,PPM1A
MAP2K4,MAPK11
MAP2K4,UBE2V1
MAP2K4,TRADD
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,TRAF6
MAP2K4,PPP2R5D
GATA2,HDAC3
GATA2,KRT40
GATA2,NOTCH2NL
GATA2,JUN
GATA2,TNIP2
GATA2,MED1
GATA2,HIST1H4A
GATA2,NR2C2
GATA2,POU1F1
GATA2,SPI1
GATA2,PML
GATA2,IMPDH1
GATA2,ZBTB16
GATA2,RBX1
GATA2,SMAD4
GATA2,SKP1
GATA2,HDAC5
GATA2,PSMA3
GATA2,MNAT1
GATA2,NOTCH1
GATA2,KIT
GATA2,RUNX1
GATA2,GATA3
GATA2,MYC
PML,TRIM24
PML,RANBP2
PML,SP100
PML,USP7
PML,SUMO1
PML,RNF4
PML,SUMO3
PML,TOPBP1
PML,TET2
PML,SUMO2
PML,RUNX2
PML,RBX1
PML,SPTA1
PML,TRIM22
PML,RAD51
PML,UBE2I
PML,TP53
PML,WRN
PML,PSME3
PML,SIRT1
PML,TGIF1
PML,UBE2U
PML,RUNX1
PML,RUNX3
PML,SPI1
PML,SNRNP40
PML,TRIM69
PML,SP1
PML,ZBTB16
PML,RB1
PML,TCF7L2
PML,POLR2E
PML,TERF2IP
PML,TERT
PML,SIN3A
PML,TRIM25
PML,TP53BP1
PML,SKP1
PML,TP63
PML,SF1
PML,SUZ12
PML,YAP1
PML,STAT1
PML,SNX11
PML,STAT3
PML,WDR5
PML,RFC4
