"V1","V2"
"G3BP2","ribonucleoprotein complex"
"G3BP2","positive regulation of stress granule assembly"
"G3BP2","protein homooligomerization"
"G3BP2","mRNA transport"
"G3BP2","innate immune response"
"G3BP2","stress granule assembly"
"G3BP2","receptor signaling complex adaptor activity"
"G3BP2","viral process"
"G3BP2","cytoplasmic stress granule"
"G3BP2","positive regulation of signal transduction"
"G3BP2","Ras protein signal transduction"
"G3BP2","cytoplasmic sequestering of NF-kappaB"
"G3BP2","cytosol"
"G3BP2","cytoplasm"
"G3BP2","protein binding"
"G3BP2","mRNA binding"
"G3BP2","RNA binding"
"37124.PRO_0000227763","G3BP2"
"37124.PRO_0000227763","G3BP2"
