"V1","V2"
"IKBKB","transferrin receptor binding"
"IKBKB","negative regulation of bicellular tight junction assembly"
"IKBKB","regulation of establishment of endothelial barrier"
"IKBKB","scaffold protein binding"
"IKBKB","protein localization to plasma membrane"
"IKBKB","cellular response to tumor necrosis factor"
"IKBKB","interleukin-1-mediated signaling pathway"
"IKBKB","stress-activated MAPK cascade"
"IKBKB","positive regulation of NF-kappaB transcription factor activity"
"IKBKB","T cell receptor signaling pathway"
"IKBKB","protein heterodimerization activity"
"IKBKB","positive regulation of transcription by RNA polymerase II"
"IKBKB","positive regulation of transcription, DNA-templated"
"IKBKB","membrane raft"
"IKBKB","innate immune response"
"IKBKB","positive regulation of I-kappaB kinase/NF-kappaB signaling"
"IKBKB","negative regulation of apoptotic process"
"IKBKB","protein homodimerization activity"
"IKBKB","identical protein binding"
"IKBKB","regulation of phosphorylation"
"IKBKB","Fc-epsilon receptor signaling pathway"
"IKBKB","TRIF-dependent toll-like receptor signaling pathway"
"IKBKB","CD40 receptor complex"
"IKBKB","negative regulation of myosin-light-chain-phosphatase activity"
"IKBKB","tumor necrosis factor-mediated signaling pathway"
"IKBKB","cortical actin cytoskeleton organization"
"IKBKB","protein kinase binding"
"IKBKB","peptidyl-serine phosphorylation"
"IKBKB","viral process"
"IKBKB","regulation of tumor necrosis factor-mediated signaling pathway"
"IKBKB","cytoplasmic side of plasma membrane"
"IKBKB","response to virus"
"IKBKB","IkappaB kinase complex"
"IKBKB","IkappaB kinase activity"
"IKBKB","I-kappaB phosphorylation"
"IKBKB","I-kappaB kinase/NF-kappaB signaling"
"IKBKB","inflammatory response"
"IKBKB","protein phosphorylation"
"IKBKB","cytosol"
"IKBKB","cytoplasm"
"IKBKB","nucleus"
"IKBKB","ATP binding"
"IKBKB","protein binding"
"IKBKB","protein serine/threonine kinase activity"
"IKBKB","protein kinase activity"
"IKBKB","MyD88-independent toll-like receptor signaling pathway"
"IKBKB","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"
"IKBKB","stimulatory C-type lectin receptor signaling pathway"
"IRGM","positive regulation of autophagosome maturation"
"IRGM","cellular response to virus"
"IRGM","positive regulation by symbiont of host autophagy"
"IRGM","positive regulation of protein serine/threonine kinase activity"
"IRGM","cellular response to lipopolysaccharide"
"IRGM","nucleotide-binding oligomerization domain containing 2 signaling pathway"
"IRGM","CAMKK-AMPK signaling cascade"
"IRGM","protein lipidation involved in autophagosome assembly"
"IRGM","regulation of protein complex stability"
"IRGM","positive regulation of interferon-gamma-mediated signaling pathway"
"IRGM","BH3 domain binding"
"IRGM","defense response to Gram-negative bacterium"
"IRGM","protein stabilization"
"IRGM","CARD domain binding"
"IRGM","innate immune response"
"IRGM","protein serine/threonine kinase activator activity"
"IRGM","regulation of protein-containing complex assembly"
"IRGM","cell projection"
"IRGM","defense response to bacterium"
"IRGM","cellular response to interferon-beta"
"IRGM","positive regulation of peptidyl-serine phosphorylation"
"IRGM","protein destabilization"
"IRGM","phagocytic vesicle membrane"
"IRGM","protein kinase binding"
"IRGM","positive regulation of peptidyl-threonine phosphorylation"
"IRGM","positive regulation of autophagy"
"IRGM","inflammatory response"
"IRGM","defense response"
"IRGM","cytosol"
"IRGM","Golgi apparatus"
"IRGM","endoplasmic reticulum membrane"
"IRGM","mitochondrion"
"IRGM","GTP binding"
"IRGM","protein binding"
"IRGM","GTPase activity"
"IRGM","positive regulation of protein phosphorylation"
"IRGM","phagocytic cup"
"IRGM","autophagosome membrane"
"IRGM","Golgi membrane"
"IRGM","autophagosome assembly"
"EIF4E","regulation of translation at postsynapse, modulating synaptic transmission"
"EIF4E","postsynaptic cytosol"
"EIF4E","glutamatergic synapse"
"EIF4E","cellular response to dexamethasone stimulus"
"EIF4E","repressing transcription factor binding"
"EIF4E","extracellular exosome"
"EIF4E","perinuclear region of cytoplasm"
"EIF4E","positive regulation of mitotic cell cycle"
"EIF4E","negative regulation of neuron differentiation"
"EIF4E","cytoplasmic ribonucleoprotein granule"
"EIF4E","chromatoid body"
"EIF4E","eukaryotic initiation factor 4G binding"
"EIF4E","lung development"
"EIF4E","enzyme binding"
"EIF4E","stem cell population maintenance"
"EIF4E","negative regulation of translation"
"EIF4E","RISC complex"
"EIF4E","eukaryotic translation initiation factor 4F complex"
"EIF4E","viral process"
"EIF4E","negative regulation of autophagy"
"EIF4E","cytoplasmic stress granule"
"EIF4E","regulation of translation"
"EIF4E","translational initiation"
"EIF4E","mRNA export from nucleus"
"EIF4E","RNA export from nucleus"
"EIF4E","mRNA cap binding complex"
"EIF4E","cytosol"
"EIF4E","cytoplasm"
"EIF4E","protein binding"
"EIF4E","translation initiation factor activity"
"EIF4E","RNA binding"
"EIF4E","behavioral fear response"
"EIF4E","P-body"
"EIF4E","RNA 7-methylguanosine cap binding"
"EIF4E","RNA cap binding"
"EIF4E","G1/S transition of mitotic cell cycle"
"BECN1","positive regulation of intrinsic apoptotic signaling pathway"
"BECN1","positive regulation of attachment of mitotic spindle microtubules to kinetochore"
"BECN1","response to mitochondrial depolarisation"
"BECN1","negative regulation of cell death"
"BECN1","defense response to virus"
"BECN1","cell division"
"BECN1","GTPase binding"
"BECN1","late endosome to vacuole transport"
"BECN1","early endosome to late endosome transport"
"BECN1","phosphatidylinositol 3-kinase binding"
"BECN1","negative regulation of apoptotic process"
"BECN1","cellular response to glucose starvation"
"BECN1","phosphatidylinositol 3-kinase complex, class III"
"BECN1","phosphatidylinositol 3-kinase complex, class III, type II"
"BECN1","phosphatidylinositol 3-kinase complex, class III, type I"
"BECN1","receptor catabolic process"
"BECN1","regulation of cytokinesis"
"BECN1","cytoplasm to vacuole transport by the Cvt pathway"
"BECN1","mitochondrial membrane"
"BECN1","ubiquitin protein ligase binding"
"BECN1","protein kinase binding"
"BECN1","extrinsic component of membrane"
"BECN1","protein deubiquitination"
"BECN1","macroautophagy"
"BECN1","viral process"
"BECN1","positive regulation of phosphatidylinositol 3-kinase signaling"
