"node","type"
"11047.ORF5A_EAVBU",0
"11047.GP4_EAVBU",0
"11047.E_EAVBU",0
"MYH9",1
"CD163",1
"microfilament motor activity",6
"meiotic spindle organization",6
"angiogenesis",6
"in utero embryonic development",6
"stress fiber",6
"ruffle",6
"establishment of T cell polarity",6
"immunological synapse",6
"plasma membrane repair",6
"uropod",6
"RNA binding",6
"motor activity",6
"actin binding",6
"scavenger receptor activity",6
"integrin binding",6
"protein binding",6
"calmodulin binding",6
"ATP binding",6
"extracellular region",6
"cell",6
"nucleus",6
"cytoplasm",6
"spindle",6
"actomyosin contractile ring",6
"cytosol",6
"plasma membrane",6
"integral component of plasma membrane",6
"brush border",6
"adherens junction",6
"focal adhesion",6
"membrane protein ectodomain proteolysis",6
"receptor-mediated endocytosis",6
"phagocytosis, engulfment",6
"acute-phase response",6
"integrin-mediated signaling pathway",6
"myoblast fusion",6
"COP9 signalosome",6
"regulation of cell shape",6
"external side of plasma membrane",6
"protein transport",6
"actin cytoskeleton",6
"membrane",6
"myosin II complex",6
"ATPase activity",6
"protein domain specific binding",6
"actin filament-based movement",6
"platelet formation",6
"monocyte differentiation",6
"endocytic vesicle membrane",6
"actin-dependent ATPase activity",6
"actomyosin structure organization",6
"cell leading edge",6
"actin cytoskeleton reorganization",6
"neuromuscular junction",6
"cleavage furrow",6
"lysosome localization",6
"cytokinetic process",6
"uropod organization",6
"protein-containing complex",6
"actomyosin",6
"protein homodimerization activity",6
"protein membrane adaptor activity",6
"ADP binding",6
"blood vessel endothelial cell migration",6
"regulated exocytosis",6
"cadherin binding",6
"leukocyte migration",6
"actin filament binding",6
"establishment of meiotic spindle localization",6
"extracellular exosome",6
"platelet aggregation",6
"myosin II filament",6
"negative regulation of actin filament severing",6
"positive regulation of protein processing in phagocytic vesicle",6
"regulation of plasma membrane repair",6
