"V1","V2"
"IKBKB","transferrin receptor binding"
"IKBKB","negative regulation of bicellular tight junction assembly"
"IKBKB","regulation of establishment of endothelial barrier"
"IKBKB","scaffold protein binding"
"IKBKB","protein localization to plasma membrane"
"IKBKB","cellular response to tumor necrosis factor"
"IKBKB","interleukin-1-mediated signaling pathway"
"IKBKB","stress-activated MAPK cascade"
"IKBKB","positive regulation of NF-kappaB transcription factor activity"
"IKBKB","T cell receptor signaling pathway"
"IKBKB","protein heterodimerization activity"
"IKBKB","positive regulation of transcription by RNA polymerase II"
"IKBKB","positive regulation of transcription, DNA-templated"
"IKBKB","membrane raft"
"IKBKB","innate immune response"
"IKBKB","positive regulation of I-kappaB kinase/NF-kappaB signaling"
"IKBKB","negative regulation of apoptotic process"
"IKBKB","protein homodimerization activity"
"IKBKB","identical protein binding"
"IKBKB","regulation of phosphorylation"
"IKBKB","Fc-epsilon receptor signaling pathway"
"IKBKB","TRIF-dependent toll-like receptor signaling pathway"
"IKBKB","CD40 receptor complex"
"IKBKB","negative regulation of myosin-light-chain-phosphatase activity"
"IKBKB","tumor necrosis factor-mediated signaling pathway"
"IKBKB","cortical actin cytoskeleton organization"
"IKBKB","protein kinase binding"
"IKBKB","peptidyl-serine phosphorylation"
"IKBKB","viral process"
"IKBKB","regulation of tumor necrosis factor-mediated signaling pathway"
"IKBKB","cytoplasmic side of plasma membrane"
"IKBKB","response to virus"
"IKBKB","IkappaB kinase complex"
"IKBKB","IkappaB kinase activity"
"IKBKB","I-kappaB phosphorylation"
"IKBKB","I-kappaB kinase/NF-kappaB signaling"
"IKBKB","inflammatory response"
"IKBKB","protein phosphorylation"
"IKBKB","cytosol"
"IKBKB","cytoplasm"
"IKBKB","nucleus"
"IKBKB","ATP binding"
"IKBKB","protein binding"
"IKBKB","protein serine/threonine kinase activity"
"IKBKB","protein kinase activity"
"IKBKB","MyD88-independent toll-like receptor signaling pathway"
"IKBKB","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"
"IKBKB","stimulatory C-type lectin receptor signaling pathway"
"BECN1","positive regulation of intrinsic apoptotic signaling pathway"
"BECN1","positive regulation of attachment of mitotic spindle microtubules to kinetochore"
"BECN1","response to mitochondrial depolarisation"
"BECN1","negative regulation of cell death"
"BECN1","defense response to virus"
"BECN1","cell division"
"BECN1","GTPase binding"
"BECN1","late endosome to vacuole transport"
"BECN1","early endosome to late endosome transport"
"BECN1","phosphatidylinositol 3-kinase binding"
"BECN1","negative regulation of apoptotic process"
"BECN1","cellular response to glucose starvation"
"BECN1","phosphatidylinositol 3-kinase complex, class III"
"BECN1","phosphatidylinositol 3-kinase complex, class III, type II"
"BECN1","phosphatidylinositol 3-kinase complex, class III, type I"
"BECN1","receptor catabolic process"
"BECN1","regulation of cytokinesis"
"BECN1","cytoplasm to vacuole transport by the Cvt pathway"
"BECN1","mitochondrial membrane"
"BECN1","ubiquitin protein ligase binding"
"BECN1","protein kinase binding"
"BECN1","extrinsic component of membrane"
"BECN1","protein deubiquitination"
"BECN1","macroautophagy"
"BECN1","viral process"
"BECN1","positive regulation of phosphatidylinositol 3-kinase signaling"
"BECN1","endosome membrane"
"BECN1","mitotic metaphase plate congression"
"BECN1","cellular response to nitrogen starvation"
"BECN1","cellular defense response"
"BECN1","apoptotic process"
"BECN1","autophagy"
"BECN1","endocytosis"
"BECN1","cytosol"
"BECN1","Golgi apparatus"
"BECN1","endoplasmic reticulum membrane"
"BECN1","endoplasmic reticulum"
"BECN1","autophagosome"
"BECN1","endosome"
"BECN1","mitochondrion"
"BECN1","nucleus"
"BECN1","cell"
"BECN1","protein binding"
"BECN1","mitophagy"
"BECN1","autophagy of mitochondrion"
"BECN1","phagophore assembly site"
"BECN1","autophagosome assembly"
"RTN4","regulation of branching morphogenesis of a nerve"
"RTN4","endoplasmic reticulum tubular network membrane organization"
"RTN4","positive regulation of ERBB3 signaling pathway"
"RTN4","positive regulation of protein localization to endoplasmic reticulum"
"RTN4","endoplasmic reticulum tubular network membrane"
"RTN4","cellular sphingolipid homeostasis"
"RTN4","endoplasmic reticulum tubular network formation"
"RTN4","endoplasmic reticulum tubular network organization"
"RTN4","endoplasmic reticulum tubular network"
"RTN4","protein localization to lysosome"
"RTN4","cardiac epithelial to mesenchymal transition"
"RTN4","positive regulation of protein kinase B signaling"
"RTN4","nuclear pore complex assembly"
"RTN4","protein stabilization"
"RTN4","negative regulation of axonogenesis"
"RTN4","cadherin binding"
"RTN4","neuronal cell body"
"RTN4","cell projection"
"RTN4","regulation of apoptotic process"
"RTN4","positive regulation of toll-like receptor 9 signaling pathway"
"RTN4","positive regulation of mammary gland epithelial cell proliferation"
"RTN4","ubiquitin protein ligase binding"
"RTN4","negative regulation of axon extension"
"RTN4","negative regulation of cell growth"
"RTN4","integral component of endoplasmic reticulum membrane"
"RTN4","cerebral cortex radial glia guided migration"
"RTN4","postsynaptic density"
"RTN4","positive regulation of epithelial cell migration"
"RTN4","axonal fasciculation"
"RTN4","apoptotic process"
"RTN4","plasma membrane"
"RTN4","endoplasmic reticulum membrane"
"RTN4","endoplasmic reticulum"
"RTN4","nuclear envelope"
"RTN4","cell"
"RTN4","protein binding"
"RTN4","RNA binding"
"RTN4","blastocyst formation"
"HSP90AA1","protein tyrosine kinase binding"
"HSP90AA1","telomerase holoenzyme complex assembly"
"HSP90AA1","ficolin-1-rich granule lumen"
"HSP90AA1","regulation of cellular protein localization"
"HSP90AA1","positive regulation of cellular protein catabolic process"
"HSP90AA1","positive regulation of tau-protein kinase activity"
"HSP90AA1","regulation of cellular response to heat"
"HSP90AA1","disordered domain specific binding"
"HSP90AA1","ciliary basal body-plasma membrane docking"
"HSP90AA1","scaffold protein binding"
"HSP90AA1","endocytic vesicle lumen"
"HSP90AA1","DNA polymerase binding"
"HSP90AA1","extracellular exosome"
"HSP90AA1","chaperone-mediated autophagy"
"HSP90AA1","positive regulation of telomerase activity"
