"node","type"
"11786.PRO_5000053622",0
"JAG2",1
"skeletal system development",6
"in utero embryonic development",6
"respiratory system process",6
"Notch binding",6
"calcium ion binding",6
"protein binding",6
"plasma membrane",6
"integral component of plasma membrane",6
"Notch signaling pathway",6
"spermatogenesis",6
"growth factor activity",6
"auditory receptor cell fate commitment",6
"morphogenesis of embryonic epithelium",6
"cell differentiation",6
"regulation of cell adhesion",6
"T cell differentiation",6
"regulation of cell population proliferation",6
"odontogenesis of dentin-containing tooth",6
"gamma-delta T cell differentiation",6
"thymic T cell selection",6
"negative regulation of Notch signaling pathway",6
"positive regulation of Notch signaling pathway",6
"epithelial cell apoptotic process involved in palatal shelf morphogenesis",6
