"V1","V2"
"ANKRD17","positive regulation of RIG-I signaling pathway"
"ANKRD17","positive regulation of MDA-5 signaling pathway"
"ANKRD17","positive regulation of G1/S transition of mitotic cell cycle"
"ANKRD17","negative regulation of smooth muscle cell differentiation"
"ANKRD17","positive regulation of cell cycle"
"ANKRD17","innate immune response"
"ANKRD17","positive regulation of I-kappaB kinase/NF-kappaB signaling"
"ANKRD17","defense response to bacterium"
"ANKRD17","nuclear membrane"
"ANKRD17","viral process"
"ANKRD17","membrane"
"ANKRD17","regulation of DNA replication"
"ANKRD17","cytoplasm"
"ANKRD17","nucleoplasm"
"ANKRD17","nucleus"
"ANKRD17","protein binding"
"ANKRD17","RNA binding"
"ANKRD17","chromatin binding"
"ANKRD17","blood vessel maturation"
"ANKRD17","chromatin"
"10366.VIE3_MUHVS","ANKRD17"
"10366.VIE3_MUHVS","ANKRD17"
