"node","type"
"10366.VIE3_MUHVS",0
"ANKRD17",1
"chromatin",6
"blood vessel maturation",6
"chromatin binding",6
"RNA binding",6
"protein binding",6
"nucleus",6
"nucleoplasm",6
"cytoplasm",6
"regulation of DNA replication",6
"membrane",6
"viral process",6
"nuclear membrane",6
"defense response to bacterium",6
"positive regulation of I-kappaB kinase/NF-kappaB signaling",6
"innate immune response",6
"positive regulation of cell cycle",6
"negative regulation of smooth muscle cell differentiation",6
"positive regulation of G1/S transition of mitotic cell cycle",6
"positive regulation of MDA-5 signaling pathway",6
"positive regulation of RIG-I signaling pathway",6
