"node","type"
"1511908.NS1_MUMIP",0
"1511908.NS2_MUMIP",0
"ATM",1
"TRIM25",1
"TBK1",1
"XPO1",1
"ribosomal subunit export from nucleus",6
"ribosomal large subunit export from nucleus",6
"ribosomal small subunit export from nucleus",6
"DNA damage checkpoint",6
"negative regulation of transcription by RNA polymerase II",6
"telomere maintenance",6
"double-strand break repair via homologous recombination",6
"DNA double-strand break processing",6
"kinetochore",6
"chromosome, telomeric region",6
"nuclear chromosome, telomeric region",6
"ovarian follicle development",6
"response to hypoxia",6
"somitogenesis",6
"activation of innate immune response",6
"pre-B cell allelic exclusion",6
"immunoglobulin production",6
"nucleic acid binding",6
"DNA binding",6
"RNA binding",6
"protein kinase activity",6
"protein serine/threonine kinase activity",6
"DNA-dependent protein kinase activity",6
"nuclear export signal receptor activity",6
"protein binding",6
"ATP binding",6
"cell",6
"nucleus",6
"nuclear envelope",6
"annulate lamellae",6
"nucleoplasm",6
"nucleolus",6
"cytoplasm",6
"spindle",6
"cytosol",6
"DNA replication",6
"double-strand break repair via nonhomologous end joining",6
"protein phosphorylation",6
"ubiquitin-dependent protein catabolic process",6
"protein monoubiquitination",6
"protein export from nucleus",6
"nucleocytoplasmic transport",6
"inflammatory response",6
"cellular response to DNA damage stimulus",6
"DNA damage induced protein phosphorylation",6
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",6
"cell cycle arrest",6
"mitotic spindle assembly checkpoint",6
"reciprocal meiotic recombination",6
"male meiotic nuclear division",6
"female meiotic nuclear division",6
"signal transduction",6
"I-kappaB kinase/NF-kappaB signaling",6
"brain development",6
"heart development",6
"determination of adult lifespan",6
"Ran GTPase binding",6
"intrinsic apoptotic signaling pathway in response to DNA damage",6
"response to virus",6
"post-embryonic development",6
"endosome membrane",6
"response to ionizing radiation",6
"cytoplasmic stress granule",6
"regulation of autophagy",6
"positive regulation of gene expression",6
"negative regulation of gene expression",6
"regulation of centrosome duplication",6
"Cajal body",6
"membrane",6
"viral process",6
"positive regulation of macroautophagy",6
"1-phosphatidylinositol-3-kinase activity",6
"histone phosphorylation",6
"nuclear body",6
"ligase activity",6
"peptidyl-serine phosphorylation",6
"peptidyl-threonine phosphorylation",6
"protein phosphatase binding",6
"protein domain specific binding",6
"translesion synthesis",6
"positive regulation of cell migration",6
"ubiquitin-dependent ERAD pathway",6
"negative regulation of B cell proliferation",6
"cytoplasmic vesicle",6
"nuclear membrane",6
"regulation of telomere maintenance via telomerase",6
"positive regulation of telomere maintenance via telomerase",6
"regulation of proteasomal ubiquitin-dependent protein catabolic process",6
"regulation of type I interferon production",6
"negative regulation of type I interferon production",6
"positive regulation of type I interferon production",6
"type I interferon production",6
"positive regulation of interferon-alpha production",6
"positive regulation of interferon-beta production",6
"protein-containing complex",6
"positive regulation of histone phosphorylation",6
"positive regulation of peptidyl-serine phosphorylation",6
"V(D)J recombination",6
"response to vitamin D",6
"protein localization to nucleus",6
"multicellular organism growth",6
"TRIF-dependent toll-like receptor signaling pathway",6
"phosphatidylinositol-3-phosphate biosynthetic process",6
"peptidyl-serine autophosphorylation",6
"RIG-I signaling pathway",6
"RIG-I binding",6
"lipoprotein catabolic process",6
"ribosome biogenesis",6
"response to drug",6
"identical protein binding",6
"regulation of apoptotic process",6
"positive regulation of apoptotic process",6
"positive regulation of I-kappaB kinase/NF-kappaB signaling",6
"intracellular membrane-bounded organelle",6
"regulation of mRNA stability",6
"positive regulation of DNA damage response, signal transduction by p53 class mediator",6
"positive regulation of neuron apoptotic process",6
"response to estrogen",6
"host cell",6
"dendritic cell proliferation",6
"protein-containing complex binding",6
"innate immune response",6
"meiotic telomere clustering",6
"cadherin binding",6
"positive regulation of interferon-beta biosynthetic process",6
"positive regulation of cell adhesion",6
"positive regulation of transcription by RNA polymerase II",6
"regulation of viral entry into host cell",6
"negative regulation of viral entry into host cell",6
"protein autophosphorylation",6
"regulation of protein export from nucleus",6
"metal ion binding",6
"protein N-terminus binding",6
"thymus development",6
"oocyte development",6
"defense response to Gram-positive bacterium",6
"mRNA transport",6
"positive regulation of DNA-binding transcription factor activity",6
"positive regulation of NF-kappaB transcription factor activity",6
"phosphoprotein binding",6
"neuron apoptotic process",6
"defense response to virus",6
"regulation of telomerase activity",6
"interferon-gamma-mediated signaling pathway",6
"positive regulation of type I interferon-mediated signaling pathway",6
"ubiquitin protein ligase activity",6
"histone mRNA catabolic process",6
"cellular response to retinoic acid",6
"cellular response to cytokine stimulus",6
"cellular response to gamma radiation",6
"cellular response to X-ray",6
"cellular response to nitrosative stress",6
"signal transduction involved in mitotic G2 DNA damage checkpoint",6
"intracellular transport of virus",6
"replicative senescence",6
"establishment of RNA localization to telomere",6
"establishment of protein-containing complex localization to telomere",6
"regulation of cellular response to heat",6
"regulation of neuron death",6
"regulation of signal transduction by p53 class mediator",6
"regulation of viral release from host cell",6
"negative regulation of viral release from host cell",6
"positive regulation of DNA catabolic process",6
"regulation of microglial cell activation",6
"negative regulation of TORC1 signaling",6
"negative regulation of telomere capping",6
"positive regulation of telomere maintenance via telomere lengthening",6
"positive regulation of xenophagy",6
"positive regulation of telomerase catalytic core complex assembly",6
"regulation of cellular response to gamma radiation",6
"DNA repair complex",6
"cellular response to leukemia inhibitory factor",6
"ribonucleoprotein complex",6
