"node","type"
"37128.TGB2_PMTVS",0
"DNAJC13",1
"osteoblast differentiation",6
"protein binding",6
"lysosomal membrane",6
"cytosol",6
"plasma membrane",6
"receptor-mediated endocytosis",6
"endosome organization",6
"endosome membrane",6
"protein transport",6
"membrane",6
"secretory granule membrane",6
"early endosome membrane",6
"azurophil granule membrane",6
"intracellular membrane-bounded organelle",6
"neutrophil degranulation",6
"extracellular exosome",6
"WASH complex",6
"regulation of early endosome to recycling endosome transport",6
"regulation of early endosome to late endosome transport",6
