"V1","V2"
"EIF4E","regulation of translation at postsynapse, modulating synaptic transmission"
"EIF4E","postsynaptic cytosol"
"EIF4E","glutamatergic synapse"
"EIF4E","cellular response to dexamethasone stimulus"
"EIF4E","repressing transcription factor binding"
"EIF4E","extracellular exosome"
"EIF4E","perinuclear region of cytoplasm"
"EIF4E","positive regulation of mitotic cell cycle"
"EIF4E","negative regulation of neuron differentiation"
"EIF4E","cytoplasmic ribonucleoprotein granule"
"EIF4E","chromatoid body"
"EIF4E","eukaryotic initiation factor 4G binding"
"EIF4E","lung development"
"EIF4E","enzyme binding"
"EIF4E","stem cell population maintenance"
"EIF4E","negative regulation of translation"
"EIF4E","RISC complex"
"EIF4E","eukaryotic translation initiation factor 4F complex"
"EIF4E","viral process"
"EIF4E","negative regulation of autophagy"
"EIF4E","cytoplasmic stress granule"
"EIF4E","regulation of translation"
"EIF4E","translational initiation"
"EIF4E","mRNA export from nucleus"
"EIF4E","RNA export from nucleus"
"EIF4E","mRNA cap binding complex"
"EIF4E","cytosol"
"EIF4E","cytoplasm"
"EIF4E","protein binding"
"EIF4E","translation initiation factor activity"
"EIF4E","RNA binding"
"EIF4E","behavioral fear response"
"EIF4E","P-body"
"EIF4E","RNA 7-methylguanosine cap binding"
"EIF4E","RNA cap binding"
"EIF4E","G1/S transition of mitotic cell cycle"
"EIF3A","viral translational termination-reinitiation"
"EIF3A","IRES-dependent viral translational initiation"
"EIF3A","eukaryotic translation initiation factor 3 complex, eIF3m"
"EIF3A","eukaryotic translation initiation factor 3 complex, eIF3e"
"EIF3A","negative regulation of ERK1 and ERK2 cascade"
"EIF3A","multi-eIF complex"
"EIF3A","eukaryotic 48S preinitiation complex"
"EIF3A","receptor tyrosine kinase binding"
"EIF3A","eukaryotic 43S preinitiation complex"
"EIF3A","membrane"
"EIF3A","postsynaptic density"
"EIF3A","translational initiation"
"EIF3A","microtubule"
"EIF3A","eukaryotic translation initiation factor 3 complex"
"EIF3A","cytosol"
"EIF3A","cytoplasm"
"EIF3A","nucleolus"
"EIF3A","nucleoplasm"
"EIF3A","protein binding"
"EIF3A","structural molecule activity"
"EIF3A","translation initiation factor activity"
"EIF3A","mRNA binding"
"EIF3A","RNA binding"
"EIF3A","translation reinitiation"
"EIF3A","formation of cytoplasmic translation initiation complex"
"EIF3A","EIF4E"
"12216.PRO_0000040413","EIF4E"
"12216.PRO_0000040413","EIF4E"
"12216.PRO_0000040413","EIF3A"
"12216.PRO_0000040413","EIF3A"
