"V1","V2"
"MPP6","SLC20A1"
"MPP6","LIN7B"
"LIN7A","SLC20A1"
"LIN7A","MPP6"
"LIN7C","SLC20A1"
"LIN7C","LIN7B"
"LIN7C","MPP6"
"CYP2S1","MPP6"
"DLG1","TJAP1"
"DLG1","LIN7B"
"DLG1","LIN7A"
"DLG1","LIN7C"
"NF2","MPP6"
"NF2","LIN7C"
"CDA","MPP6"
"CDA","LIN7A"
"ARMC8","GID4"
"ARMC8","CDA"
"CDC5L","PLK1"
"CUL1","PLK1"
"CUL1","CDC5L"
"MPP2","long-term synaptic potentiation"
"MPP2","excitatory postsynaptic potential"
"MPP2","protein homooligomerization"
"MPP2","dendritic shaft"
"MPP2","dendritic spine"
"MPP2","dendrite membrane"
"MPP2","postsynaptic density"
"MPP2","cytoskeleton"
"MPP2","cytoplasm"
"MPP2","protein binding"
"MPP2","TJAP1"
"MPP2","SLC20A1"
"MPP2","NGB"
"MPP2","ISOC2"
"MPP2","LIN7B"
"MPP2","MPP6"
"MPP2","GID4"
"MPP2","LIN7A"
"MPP2","LIN7C"
"MPP2","CYP2S1"
"MPP2","DLG1"
"MPP2","PLK1"
"MPP2","NF2"
"MPP2","BEGAIN"
"MPP2","CEBPA"
"MPP2","CDA"
"MPP2","ARMC8"
"MPP2","ERBB2IP"
"MPP2","CDC5L"
"MPP2","CUL1"
"MPP2","CSNK2B"
"11886.PRO_0000397054","MPP2"
"11886.PRO_0000397054","MPP2"
