"V1","V2"
"CBSL","SDS"
"ENSG00000160200","CBSL"
"SDSL","SDS"
"SDSL","CBSL"
"BHMT2","SDS"
"BHMT2","CBSL"
"BHMT2","SDSL"
"BHMT2","TBCE"
"MAT1A","CBSL"
"MAT1A","ENSG00000160200"
"MAT1A","BHMT2"
"MTHFR","CBSL"
"MTHFR","ENSG00000160200"
"MTHFR","BHMT2"
"MTHFR","MAT1A"
"TPI1","YWHAQ"
"TPI1","MAT1A"
"BHMT","SDS"
"BHMT","CBSL"
"BHMT","ENSG00000160200"
"BHMT","SDSL"
"BHMT","BHMT2"
"BHMT","MAT1A"
"BHMT","MTHFR"
"OGFOD1","TBCE"
"OGFOD1","MC1R"
"TLE3","XIAP"
"MTR","SDS"
"MTR","CBSL"
"MTR","ENSG00000160200"
"MTR","SDSL"
"MTR","BHMT2"
"MTR","MAT1A"
"MTR","MTHFR"
"MTR","BHMT"
"UBE2M","YWHAQ"
"UBE2M","ASB16"
"UBE2M","TPI1"
"AHCYL2","SDS"
"AHCYL2","CBSL"
"AHCYL2","SDSL"
"AHCYL2","BHMT2"
"AHCYL2","MAT1A"
"AHCYL2","ADK"
"AHCYL2","BHMT"
"AHCYL2","MTR"
"TERF1","TPI1"
"TERF1","PINX1"
"TERF1","UBE2M"
"GPC1","SDC1"
"GPC1","YWHAQ"
"GPC1","TPI1"
"GMPS","TPI1"
"GMPS","ADK"
"GMPS","UBE2M"
"ACAT2","PAPSS1"
"ACAT2","TERF1"
"DNMT3A","MAT1A"
"DNMT3A","AHCYL2"
"UBA3","PAPSS1"
"UBA3","ASB16"
"UBA3","UBE2M"
"UBA3","ACAT2"
"HK1","TPI1"
"SHMT1","SDS"
"SHMT1","CBSL"
"SHMT1","ENSG00000160200"
"SHMT1","SDSL"
"SHMT1","MTHFR"
"SHMT1","TPI1"
"SHMT1","BHMT"
"SHMT1","MTR"
"MYO6","JUP"
"MYO6","ANKRD40"
"H2AFV","ZNF217"
"H2AFV","TERF1"
"H2AFV","DNMT3A"
"PYGL","TBCE"
"PYGL","MC1R"
"PYGL","TPI1"
"PYGL","OGFOD1"
"PYGL","UBE2M"
"ADA","ADK"
"ADA","GMPS"
"FOS","H2AFV"
"NIN","XIAP"
"DNMT3B","MAT1A"
"DNMT3B","AHCYL2"
