"V1","V2"
"USP17L19","USP17L21"
"USP17L12","USP17L21"
"USP17L12","USP17L19"
"WDR37","WDR47"
"NRG4","NRG2"
"RASA2","RASA4"
"VTI1B","YKT6"
"SPTBN4","YKT6"
"GFRA3","PSPN"
"VAMP7","YKT6"
"VAMP7","SYT7"
"VAMP7","VTI1B"
"SHC2","SOS2"
"PNPLA4","RDH8"
"GFRA2","PSPN"
"GFRA2","GFRA3"
"UFL1","UBE3B"
"SEMA3C","PLXNC1"
"TRPM4","TRPV2"
"FGF18","KLB"
"RASA3","RASA4"
"RASA3","RASA2"
"STXBP6","VTI1B"
"NRG3","NRG2"
"NRG3","NRG4"
"SHC3","SOS2"
"SHC3","PSPN"
"SHC3","GFRA3"
"SHC3","SHC2"
"SHC3","GFRA2"
"ADCY8","TAS2R5"
"F2RL3","NMBR"
"RCE1","USP17L21"
"RCE1","USP17L19"
"RCE1","USP17L12"
"C6orf48","SH2D3A"
"UQCR11","UQCR10"
"SPTBN2","YKT6"
"SPTBN2","SPTBN4"
"ZC3H15","ZC3HAV1L"
"FGF16","KLB"
"FGF16","FGF18"
"FGF4","KLB"
"FGF4","FGF18"
"FGF4","FLRT2"
"FGF4","FGF16"
"IL5","IL2"
"CSF2RA","IL2"
"CSF2RA","IL5"
"SPTBN5","YKT6"
"SPTBN5","SPTBN4"
"SPTBN5","SPTBN2"
"TMEM199","TMEM209"
"YES1","NRG2"
"YES1","NRG4"
"YES1","NRG3"
"PPP2R5B","YES1"
"ARTN","PSPN"
"ARTN","GFRA3"
"ARTN","GFRA2"
"ARTN","SHC3"
"RASGRP1","SOS2"
"RASGRP1","RASA4"
"RASGRP1","RASGRP2"
"IL3","IL2"
"IL3","FLT3LG"
"IL3","IL5"
"IL3","CSF2RA"
"UBXN8","VIMP"
"PAPD7","KDM7A"
"FFAR3","NMBR"
"FFAR3","F2RL3"
"GTSF1","RGP1"
"IL6","VGF"
"IL6","IL2"
"IL6","ANGPT1"
"IL6","IL5"
"IL6","CSF2RA"
"IL6","IL3"
"VPS51","YTHDC1"
"VPS51","TUFT1"
"VPS51","RGP1"
"SH3PXD2B","ZNF764"
"RASAL3","RASA4"
"RASAL3","RASA2"
"RASAL3","RASA3"
"TMEM51","ZC3HAV1L"
"PIP5K1A","PIK3R6"
"PIP5K1A","TMEM55B"
"PIP5K1A","PLCH1"
"COX4I2","UQCR10"
"COX4I2","UQCR11"
"TEX10","RRP36"
"TEX10","RPL22L1"
"DTYMK","TK2"
"PTPRJ","OLR1"
"SPSB1","UBE3B"
"SPSB1","UFL1"
"SPSB1","DCUN1D3"
"SLC38A1","UBXN8"
"SLC31A1","SLC11A2"
"TTC21B","TULP3"
"RHBDD2","UBXN8"
"KLHL25","UBE3B"
"KLHL25","UFL1"
"KLHL25","DCUN1D3"
"KLHL25","SPSB1"
"PPP1R9A","NRG4"
"FAM114A2","KDM7A"
"FAM114A2","PAPD7"
"FAM114A2","TMEM51"
"UNK","YME1L1"
"UNK","RPL22L1"
"UNK","SLC38A1"
"GFRA1","PSPN"
"GFRA1","GFRA3"
"GFRA1","GFRA2"
"GFRA1","SHC3"
"GFRA1","ARTN"
"SIRPA","OLR1"
"PLCE1","PIP5K1A"
"FGF20","KLB"
"FGF20","FGF18"
"FGF20","FLRT2"
"FGF20","FGF16"
"FGF20","FGF4"
"FGF22","FGF18"
"FGF22","FLRT2"
"FGF22","FGF16"
"FGF22","FGF4"
"FGF22","FGF20"
"SPHK1","SPNS2"
"RRAS2","SOS2"
"RRAS2","RASGRP2"
"RRAS2","RASA2"
"RRAS2","RGL1"
"RRAS2","RASGRP4"
"RRAS2","RGL2"
"RRAS2","RASA3"
"RRAS2","RASGRP1"
"RRAS2","SHOC2"
"RRAS2","PLCE1"
"PAK3","SOS2"
"RASSF5","RRAS2"
"UBXN4","UBXN8"
"GRIN1","GRIN2C"
"GRIN1","YES1"
"WDR74","ZC3H15"
"WDR74","VAT1"
"PIK3CD","PIK3R6"
"PIK3CD","PSPN"
"PIK3CD","GFRA3"
"PIK3CD","IL2"
"PIK3CD","GFRA2"
"PIK3CD","PLCH1"
"PIK3CD","IL5"
"PIK3CD","CSF2RA"
"PIK3CD","YES1"
"PIK3CD","ARTN"
"PIK3CD","IL3"
"PIK3CD","PIP5K1A"
"PIK3CD","GFRA1"
"PIK3CD","PLCE1"
"PIK3CD","RRAS2"
"VAMP4","YKT6"
"VAMP4","VTI1B"
"VAMP4","VAMP7"
"VAMP4","RGP1"
"VAMP4","VPS51"
"TUB","TULP3"
"IL3RA","IL2"
"IL3RA","IL5"
"IL3RA","CSF2RA"
"IL3RA","IL3"
"IL3RA","IL6"
"IL3RA","PIK3CD"
"RASGRF1","GRIN2C"
"RASGRF1","RRAS2"
"RASGRF1","GRIN1"
"PALM","SYT7"
"CLCN6","KDM7A"
"CLCN6","PAPD7"
"CLCN6","FAM114A2"
"BTC","NRG2"
"BTC","NRG4"
"BTC","NRG3"
"BTC","YES1"
"SPRED2","RASA4"
"SPRED2","RASA2"
"SPRED2","RASA3"
"SPRED2","RASAL3"
"SPRED2","ZDHHC17"
"IPMK","PLCH1"
"IPMK","PLCE1"
"VWF","VTI1B"
"VWF","KDM7A"
"VWF","PAPD7"
"VWF","IL17RD"
"VWF","FAM114A2"
"VWF","CLCN6"
"VANGL1","VANGL2"
"EREG","YKT6"
"EREG","NRG2"
"EREG","NRG4"
"EREG","NRG3"
"EREG","YES1"
"EREG","TMX4"
"EREG","BTC"
"GLP2R","ADCY8"
"YBX1","UNK"
"SLC7A5","SLC43A1"
"SLC7A5","FGD6"
"SLC7A5","SLC38A1"
"CSF2","IL2"
"CSF2","FLT3LG"
"CSF2","IL5"
"CSF2","CSF2RA"
"CSF2","IL3"
"CSF2","IL6"
"CSF2","PIK3CD"
"CSF2","IL3RA"
"FBXL20","UBE3B"
"FBXL20","UFL1"
"FBXL20","DCUN1D3"
"FBXL20","SPSB1"
"FBXL20","KLHL25"
"VAMP2","YKT6"
"VAMP2","SYT7"
"VAMP2","VTI1B"
"VAMP2","VAMP7"
"VAMP2","RIMS1"
"VAMP2","VAMP4"
"TNPO1","WRAP53"
"RSBN1","SPTBN4"
"RSBN1","TEX10"
"SYPL2","TSPAN15"
"RAPGEF6","WWC1"
"VEGFA","VTI1B"
"VEGFA","SHC2"
"VEGFA","IL2"
"VEGFA","UBIAD1"
"VEGFA","ANGPT1"
"VEGFA","IL6"
"VEGFA","PTPRJ"
"VEGFA","VWF"
"VEGFA","CSF2"
"MICAL3","VMP1"
"STIM1","STIM2"
"SLC2A3","OLR1"
"SLC2A3","PTPRJ"
"SLC2A3","SIRPA"
"UBTF","VTI1B"
"UBTF","RSBN1"
"S100A7","VAT1"
"S100A7","ELMOD3"
"SNRPN","WDR25"
"SNRPN","WDR83"
"SNRPN","YBX1"
"WDR76","YBX1"
"SLC1A3","ZDHHC17"
"PACSIN2","VAMP7"
"PACSIN2","THG1L"
"PACSIN2","VAMP4"
"PACSIN2","VAMP2"
"PTPRM","TNPO1"
"SLC39A14","SLC11A2"
"SLC39A14","SLC30A1"
"YWHAQ","ZC3H13"
"YWHAQ","WWC1"
"YWHAQ","VAMP2"
"YWHAQ","WDR76"
"ZMYND8","WDR76"
"GFRA4","PSPN"
"GFRA4","GFRA3"
"GFRA4","GFRA2"
"GFRA4","SHC3"
"GFRA4","ARTN"
"GFRA4","GFRA1"
"GFRA4","PIK3CD"
"ZC3H18","YTHDC1"
"ZC3H18","ZC3H13"
"ZC3H18","PIP5K1A"
"ZC3H18","WDR83"
"ZC3H18","VANGL1"
"ZC3H18","RSBN1"
"ZDHHC18","PIK3CD"
"PANX1","GJC1"
"SMG6","RPL22L1"
"SMG6","WRAP53"
"VPS45","VTI1B"
"VPS45","VPS51"
"VPS45","VAMP4"
"TRIM36","UBE3B"
"TRIM36","UFL1"
"TRIM36","SPSB1"
"TRIM36","KLHL25"
"TRIM36","FBXL20"
"FGF6","KLB"
"FGF6","FGF18"
"FGF6","FLRT2"
"FGF6","FGF16"
"FGF6","FGF4"
"FGF6","FGF20"
"FGF6","FGF22"
"TLN1","KDM7A"
"TLN1","PAPD7"
"TLN1","PIP5K1A"
"TLN1","IL17RD"
"TLN1","FAM114A2"
"TLN1","CLCN6"
"TLN1","VWF"
"TLN1","YWHAQ"
"SHB","VEGFA"
"RAPGEF5","RRAS2"
"RAPGEF5","VANGL1"
"SMC6","TUFT1"
"PAPSS1","KDM7A"
"PAPSS1","PAPD7"
"PAPSS1","FAM114A2"
"PAPSS1","XPOT"
"PAPSS1","CLCN6"
"PAPSS1","VWF"
"PAPSS1","TLN1"
"NUP37","PPP2R5B"
"NUP37","XPOT"
"ZHX2","YWHAQ"
"SEPT6","SEPT8"
"COL3A1","VWF"
"BDNF","VGF"
"BDNF","SHC2"
"BDNF","SHC3"
"BDNF","IL6"
"BDNF","VEGFA"
"BDNF","NTF4"
"SLU7","WDR25"
"SLU7","YBX1"
"SLU7","SNRPN"
"SLU7","NUP37"
"STON2","VAMP7"
"STON2","VAMP4"
"STON2","VAMP2"
"STON2","PACSIN2"
"TXLNG","TLN1"
"NOP16","WDR74"
"TEK","FGF18"
"TEK","ANGPT1"
"TEK","FGF16"
"TEK","FGF4"
"TEK","FGF20"
"TEK","FGF22"
"TEK","VWF"
"TEK","VEGFA"
"TEK","FGF6"
"SCARB1","CLDN1"
"PTK7","VANGL2"
"PTK7","VANGL1"
"FGF10","FGF18"
"FGF10","FLRT2"
"FGF10","FGF16"
"FGF10","FGF4"
"FGF10","FGF20"
"FGF10","FGF22"
"FGF10","FGF6"
"FGF10","TEK"
"ADCY9","TAS2R5"
"ADCY9","ADCY8"
"ADCY9","SLC12A2"
"ADCY9","SLC20A1"
"ADCY9","GLP2R"
"MPP5","WWC1"
"NRXN3","SYT7"
"NRXN3","PIP5K1A"
"RIN1","RRAS2"
"PPP2R5A","YES1"
"PPP2R5A","PPP2R5B"
"PPP2R5A","SHOC2"
"PPP2R5A","NUP37"
"SURF6","RRP36"
"SURF6","WDR74"
"SURF6","NOP16"
"SLC4A2","XPR1"
"SLC4A2","SLC12A2"
"ASB16","UBE3B"
"ASB16","UFL1"
"ASB16","DCUN1D3"
"ASB16","SPSB1"
"ASB16","KLHL25"
"ASB16","FBXL20"
"ASB16","TRIM36"
"FTSJ1","WDR6"
"FTSJ1","WDR74"
"SYNGAP1","RASA4"
"SYNGAP1","RASA2"
"SYNGAP1","RASA3"
"SYNGAP1","RASAL3"
"SYNGAP1","RRAS2"
"SYNGAP1","SPRED2"
"RAB21","VAMP7"
"KIDINS220","XPR1"
"KIDINS220","NTF4"
"KIDINS220","BDNF"
"RALB","RGL1"
"RALB","RGL2"
"RALB","RGL4"
"RALB","TULP3"
"RALB","TPP2"
"RAB14","OLR1"
"RAB14","UNK"
"RAB14","SIRPA"
"RAB14","VAMP2"
"RAB14","SLC2A3"
"RAB14","YWHAQ"
"RAB14","RAB21"
"TRAK1","KDM7A"
"TRAK1","PAPD7"
"TRAK1","FAM114A2"
"TRAK1","CLCN6"
"TRAK1","VWF"
"TRAK1","TLN1"
"TRAK1","PAPSS1"
"IL5RA","IL2"
"IL5RA","IL5"
"IL5RA","CSF2RA"
"IL5RA","IL3"
"IL5RA","IL6"
"IL5RA","PIK3CD"
"IL5RA","IL3RA"
"IL5RA","CSF2"
"STT3A","RPL22L1"
"NTF3","BDNF"
"NTF3","KIDINS220"
"FCGR1A","YES1"
"FCGR1A","PCDH7"
"FCGR1A","OAS1"
"SNX6","ZDHHC18"
"KIAA0101","ZC3HAV1L"
"KIAA0101","YTHDC1"
"KIAA0101","FBXO5"
"UBAC2","UBXN8"
"RASGRP3","SOS2"
"RASGRP3","RASGRP1"
"RASGRP3","RRAS2"
"RASGRP3","YWHAQ"
"SEMA4D","PLXNC1"
"CYP11B1","HSD3B2"
"SRP9","VMP1"
"SRP9","RPL22L1"
"SRP9","USP4"
"SRP9","TMEM237"
"TUBGCP4","WWC1"
"TUBGCP4","SDCCAG8"
"ST13","ST14"
"ST13","PACSIN2"
"SMNDC1","YBX1"
"SMNDC1","SNRPN"
"SMNDC1","SLU7"
"SMNDC1","CFDP1"
"SPTA1","YKT6"
"SPTA1","SPTBN4"
"SPTA1","SPTBN2"
"SPTA1","SPTBN5"
"SPTA1","YWHAQ"
"RAD1","SLC20A1"
"RET","PSPN"
"RET","GFRA3"
"RET","GFRA2"
"RET","SHC3"
"RET","ARTN"
"RET","GFRA1"
"RET","PIK3CD"
"RET","VEGFA"
"RET","GFRA4"
"RASSF2","PPP1R9A"
"RASSF2","RASSF5"
"RASSF2","YWHAQ"
"SPRY4","IL17RD"
"SPRY4","ZDHHC17"
"TUBB3","RILPL2"
"TUBB3","TNPO1"
"TUBB3","PAPSS1"
"CBFB","IL2"
"CBFB","IL3"
"CBFB","CSF2"
"CBFB","TWIST1"
"SLC9A1","SLC20A1"
"RASGRF2","GRIN2C"
"RASGRF2","RRAS2"
"RASGRF2","GRIN1"
"RASGRF2","RASGRF1"
"RASGRF2","PMVK"
"NDUFAF2","NUBPL"
"UBE2J1","UBE3B"
"UBE2J1","UFL1"
"UBE2J1","SPSB1"
"UBE2J1","KLHL25"
"UBE2J1","FBXL20"
"UBE2J1","TRIM36"
"UBE2J1","ASB16"
"UBE2N","ZDHHC5"
"UBE2N","UBE3B"
"UBE2N","UFL1"
"UBE2N","SPSB1"
"UBE2N","KLHL25"
"UBE2N","FBXL20"
"UBE2N","TRIM36"
"UBE2N","ASB16"
"UBE2N","SDCCAG8"
"UBE2N","UBE2J1"
"GDNF","PSPN"
"GDNF","GFRA3"
"GDNF","GFRA2"
"GDNF","SHC3"
"GDNF","ARTN"
"GDNF","GFRA1"
"GDNF","PIK3CD"
"GDNF","NTF4"
"GDNF","GFRA4"
"GDNF","BDNF"
"GDNF","NTF3"
"GDNF","RET"
"FUNDC1","YES1"
"ROBO1","SOS2"
"ROBO1","PAK3"
"ROBO1","TUBB3"
"KIAA0195","TMEM161A"
"HCAR1","TAS2R5"
"HCAR1","ADCY8"
"HCAR1","ADCY9"
"SMC3","PPP2R5B"
"SMC3","SMC6"
"SMC3","NUP37"
"SMC3","PPP2R5A"
"YWHAE","RASAL3"
"YWHAE","UNK"
"YWHAE","WWC1"
"YWHAE","VAMP2"
"YWHAE","YWHAQ"
"YWHAE","RIN1"
"YWHAE","RAB14"
"YWHAE","SDCCAG8"
"YWHAE","TUBGCP4"
"YWHAE","RASSF2"
"SLC3A2","SLC7A5"
"SLC3A2","ZC3H18"
"PLCB3","NMBR"
"PLCB3","F2RL3"
"PLCB3","FFAR3"
"PLCB3","PIP5K1A"
"PLCB3","PIK3CD"
"PLCB3","IPMK"
"PLCB3","GNAT1"
"MPZL1","SIRPA"
"FLRT3","UNC5B"
"FLRT3","FGF4"
"FLRT3","FGF20"
"FLRT3","FGF22"
"FLRT3","FGF6"
"FLRT3","FGF10"
"FLRT3","ROBO1"
"GAB1","SOS2"
"GAB1","NRG2"
"GAB1","NRG4"
"GAB1","PSPN"
"GAB1","GFRA3"
"GAB1","SHC2"
"GAB1","KLB"
"GAB1","GFRA2"
"GAB1","FGF18"
"GAB1","NRG3"
"GAB1","SHC3"
"GAB1","FGF16"
"GAB1","FGF4"
"GAB1","ARTN"
"GAB1","IL6"
"GAB1","GFRA1"
"GAB1","FGF20"
"GAB1","FGF22"
"GAB1","PIK3CD"
"GAB1","BTC"
"GAB1","EREG"
"GAB1","VEGFA"
"GAB1","NTF4"
"GAB1","GFRA4"
"GAB1","FGF6"
"GAB1","BDNF"
"GAB1","FGF10"
"GAB1","NTF3"
"GAB1","RET"
"GAB1","GDNF"
"IL2RA","IL2"
"IL2RA","IL5"
"IL2RA","CSF2RA"
"IL2RA","IL3"
"IL2RA","IL6"
"IL2RA","PIK3CD"
"IL2RA","IL3RA"
"IL2RA","CSF2"
"IL2RA","IL5RA"
"IL2RA","CBFB"
"FRS3","KLB"
"FRS3","FGF18"
"FRS3","FGF16"
"FRS3","FGF4"
"FRS3","ROS1"
"FRS3","FGF20"
"FRS3","FGF22"
"FRS3","NTF4"
"FRS3","FGF6"
"FRS3","BDNF"
"FRS3","FGF10"
"FRS3","NTF3"
"EPB42","SNX6"
"EPB42","SPTA1"
"PLCB1","NMBR"
"PLCB1","F2RL3"
"PLCB1","FFAR3"
"PLCB1","PIP5K1A"
"PLCB1","PLCE1"
"PLCB1","PIK3CD"
"PLCB1","IPMK"
"PLCB1","GNAT1"
"PLCB1","PLCB3"
"PROM1","VEGFA"
"UBE2H","UBE3B"
"UBE2H","UFL1"
"UBE2H","SPSB1"
"UBE2H","KLHL25"
"UBE2H","FBXL20"
"UBE2H","TRIM36"
"UBE2H","POLM"
"UBE2H","ASB16"
"UBE2H","UBE2J1"
"UBE2H","UBE2N"
"ROCK1","PIP5K1A"
"ROCK1","VEGFA"
"ROCK1","SHB"
"ROCK1","SEMA4D"
"ROCK1","SLC9A1"
"ROCK1","GAB1"
"CXCL16","TAS2R5"
"CXCL16","ADCY8"
"CXCL16","ADCY9"
"CXCL16","HCAR1"
"PPP2R5C","YES1"
"PPP2R5C","PPP2R5B"
"PPP2R5C","SHOC2"
"PPP2R5C","PACSIN2"
"PPP2R5C","NUP37"
"PPP2R5C","PPP2R5A"
"PPP2R5C","SMC3"
"RAB13","VAMP2"
"RAB13","YWHAQ"
"RAB13","RAB21"
"RAB13","RAB14"
"RAB13","YWHAE"
"MECR","PTGR2"
"MECR","ACADSB"
"SLC4A7","UNK"
"SLC4A7","SLC9A1"
"SLC4A7","EPB42"
"TGM1","LCE5A"
"GGA3","EREG"
"GGA3","GAB1"
"ABHD5","PLIN2"
"ATP6V0D2","TMEM199"
