"node","type"
"40051.VNS2_BTV10",0
"40051.VP2_BTV10",0
"CSNK2A3",2
"KRAS",2
"CHAF1B",2
"ELAVL1",2
"EPHA2",2
"ANKRD50",2
"ESYT2",2
"EGFR",2
"PIM1",2
"CSE1L",2
"CENPK",2
"LARP7",2
"BRAF",2
"CYC1",2
"RALGAPA2",2
"DDX50",2
"ADD1",2
"ITGB1",2
"RNF185",2
"FN1",2
"PSMA5",2
"HRAS",2
"CALM1",2
"ALDOA",2
"KPNA2",2
"MYC",2
"MAPK1",2
"EXOC3",2
"AGR2",2
"AGTRAP",2
"ADAM9",2
"CCNA2",2
"BAG2",2
"AGK",2
"PRPF31",2
"EP300",2
"BRIX1",2
"CSNK2A2",2
"CSNK2B",2
"EP400",2
"DDX1",2
"CDC73",2
"CCT7",2
"MED4",2
"LAMTOR1",2
"MLH1",2
"EZH2",2
"EIF5B",2
"APP",2
"DAB2IP",2
"SRRM2",2
"RNPS1",2
"NEFL",2
"GNAI2",2
"ACIN1",2
"STX7",2
"KIAA0319L",2
"ENO1",2
"ESYT1",2
"EIF3E",2
"H2AFX",2
"PDE4DIP",2
"CDKL3",2
"FCF1",2
"HIGD2A",2
"RPL21",2
"CDC23",2
"CDC37",2
"ATG16L1",2
"HMOX1",2
"SF3B2",2
"RPL27A",2
"CANX",2
"EZR",2
"RPL23A",2
"EIF4G2",2
"KIF2C",2
"LMNA",2
"CDC5L",2
"EIF3A",2
"ITCH",2
"HNRNPC",2
"CNOT1",2
"BRF2",2
"EPHA4",2
"ADAR",2
"EMD",2
"DYNLRB1",2
"ORC3",2
"MTX2",2
"AURKA",2
"MVP",2
"ARRB1",2
"NPM1",2
"GNB2L1",2
"SORBS3",2
"CFTR",2
"HSPD1",2
"FXR1",2
"CDH1",2
"CSNK2A1",2
"EIF2B3",2
"CCNY",2
"HNRNPR",2
"JUN",2
"LIMA1",2
"UBC",2
"SCFD1",2
"AP3B1",2
"RPS6KA2",2
"CCDC47",2
"CDK1",2
"METAP2",2
"ARF1",2
"SNW1",2
"MAPKAP1",2
"MTOR",2
"TP53",2
"DR1",2
"ATP5A1",2
"KCTD12",2
"COPS5",2
"NONO",2
"POLR2A",2
"ANK2",2
"A2M",2
"LMNB1",2
"NCL",2
"CEP57",2
"CDC42",2
"CD83",2
"HSPA9",2
"EIF2S2",2
"GRB2",2
"NDUFS1",2
"FGF3",2
"SAR1A",2
"LCK",2
"ABCC5",2
"VRK2",2
"SNRPD2",2
"AHCYL1",2
"RRS1",2
"HSP90AA1",2
"HSPA8",2
"EXOSC10",2
"CALR",2
"MTNR1A",2
"HNRNPA0",2
"GMPPB",2
"BARD1",2
"PSMB5",2
"PSMB1",2
"EPRS",2
"CDC16",2
"RPL7",2
"MYL6",2
"BCORL1",2
"RPS19",2
"BTRC",2
"LBR",2
"RUVBL1",2
"MTX1",2
"FRS2",2
"ARHGAP1",2
"RPS13",2
"CCT5",2
"EIF2S3",2
"NOP56",2
"DLG3",2
"HNRNPA2B1",2
"MDFI",2
"CUL3",2
"TIMM13",2
"TRAPPC2L",2
"NOP58",2
"GJA1",2
"ARNT",2
"EEF2",2
"CCND1",2
"COPS4",2
"CAND1",2
"SHC1",2
"PSMD11",2
"CCDC120",2
"NEDD4L",2
"ERBB2IP",2
"IGHMBP2",2
"EXOC4",2
"NOP2",2
"AKT1",2
"PSMB2",2
"PPP1CC",2
"MSN",2
"PRPF3",2
"POLR2G",2
"RPL6",2
"CTNNB1",2
"MAP3K11",2
"TEAD2",2
"PSMD14",2
"ITGA5",2
"DDX3X",2
"PPP2CA",2
"FLT3",2
"PDZK1",2
"KIT",2
"GABPB1",2
"PPP6C",2
"MYH10",2
"LSR",2
"RPTOR",2
"ABCE1",2
"GNB1",2
"PIK3CB",2
"ACTN2",2
"CNKSR1",2
"DLGAP4",2
"FBL",2
"ITGA2",2
"ERBB4",2
"RPL11",2
"CASC5",2
"ARHGEF6",2
"CSK",2
"CDK14",2
"MRPL46",2
"PNN",2
"NXF1",2
"DHX38",2
"RANBP1",2
"JAK2",2
"FMR1",2
"RPL24",2
"GNAI3",2
"ARID1A",2
"GNAS",2
"TOMM20",2
"RPL10",2
"EPB41L1",2
"ANXA1",2
"WASF2",2
"DIRAS3",2
"TFRC",2
"NRG1",2
"ICMT",2
"POLR3B",2
"RBPMS",2
"RPL18A",2
"HUWE1",2
"CCNYL1",2
"GAPDH",2
"AURKB",2
"SLC7A1",2
"POLR2C",2
"RPL4",2
"HSP90AB1",2
"RQCD1",2
"OSBPL9",2
"GGPS1",2
"PIK3CA",2
"SLC38A2",2
"EEF1A1",2
"ANP32A",2
"SCD",2
"LGALS3",2
"ARRB2",2
"CLNS1A",2
"BAIAP2L1",2
"MYLIP",2
"FGB",2
"ANAPC4",2
"BCLAF1",2
"DNAJC16",2
"PHB2",2
"ERBB3",2
"CHP1",2
"STAT3",2
"BCL2",2
"PIN1",2
"COX6C",2
"CARM1",2
"ABCD3",2
"ARID1B",2
"GATAD2A",2
"EIF3I",2
"ESRP1",2
"DDX51",2
"MCPH1",2
"PPP2R1A",2
"SLC9A3R2",2
"RPL37A",2
"ATP1A1",2
"PTEN",2
"ATP6AP2",2
"RELA",2
"CDK4",2
"BSG",2
"BCAP31",2
"IRS1",2
"FBXW7",2
"IQGAP1",2
"PPIE",2
"RPA2",2
"THRAP3",2
"HNRNPF",2
"CFL1",2
"PTPN11",2
"RAP1B",2
"RPS25",2
"RALA",2
"PPP5C",2
"CKAP4",2
"ARAF",2
"MYO1E",2
"PHF7",2
"PITPNM3",2
"RPS4X",2
"CASK",2
"POT1",2
"PML",2
"NRAS",2
"PHB",2
"PRKAR1A",2
"RPS11",2
"NFKBIA",2
"NSF",2
"FLOT1",2
"MCL1",2
"GSPT1",2
"IBTK",2
"ELAC2",2
"RBM8A",2
"IGF1R",2
"CCT2",2
"PRPF4",2
"PAK2",2
"PARVA",2
"MUC1",2
"GORASP2",2
"POLA1",2
"RPL3",2
"TRIM25",2
"PSMB6",2
"RPS18",2
"LZTR1",2
"CDKN2A",2
"JMJD4",2
"CIRH1A",2
"AKAP9",2
"BMS1",2
"AHCTF1",2
"IMP4",2
"DARS",2
"PFDN5",2
"EMC7",2
"AKAP5",2
"DVL2",2
"TXNL4A",2
"BCL2L13",2
"PDGFRB",2
"CEP55",2
"CDC42EP4",2
"DUSP22",2
"UBE2D1",2
"GNB4",2
"IRS4",2
"ATP2B4",2
"MAGI1",2
"AP2M1",2
"PI4KA",2
"ATG7",2
"RPL12",2
"SEPT9",2
"UBA1",2
"ATXN7L3",2
"RAC1",2
"GLI3",2
"GABPA",2
"RAF1",2
"EIF3C",2
"LYN",2
"CAMK2G",2
"LMO7",2
"SUV39H2",2
"MAGEB1",2
"FAM50A",2
"RAP1A",2
"KLC1",2
"PSMB3",2
"SPTBN1",2
"EGLN1",2
"TNRC18",2
"ARHGEF26",2
"CWC22",2
"C1orf131",2
"ABCC1",2
"IKZF3",2
"RPL15",2
"DNM1L",2
"EIF6",2
"AAAS",2
"KTN1",2
"TANGO6",2
"GPRC5A",2
"HMOX2",2
"THOC1",2
"CCDC114",2
"RPE",2
"SUPT16H",2
"MTCH2",2
"RPL31",2
"CDCA8",2
"DHX9",2
"EIF4A3",2
"HSPB1",2
"VAPB",2
"QKI",2
"RAD51AP1",2
"RPS14",2
"CYB5B",2
"C1QBP",2
"JAM3",2
"NOL3",2
"POLR2B",2
"SFN",2
"G3BP2",2
"SYNCRIP",2
"PSMA3",2
"RPL22",2
"RPL26",2
"GOLIM4",2
"GTPBP4",2
"HLA-A",2
"ATP5O",2
"CAPZB",2
"ERH",2
"SOCS3",2
"USP32",2
"NUP205",2
"NR5A1",2
"INSR",2
"CLP1",2
"EPB41L2",2
"NKRF",2
"EHD1",2
"ANXA5",2
"ALKBH3",2
"EIF1",2
"CTCF",2
"ERLIN2",2
"IARS",2
"CCT3",2
"SEPT11",2
"INTS3",2
"FAF2",2
"PIP4K2A",2
"DNM3",2
"GOSR2",2
"KDM5B",2
"CATSPER1",2
"PABPC1",2
"RANBP9",2
"KMT2A",2
"BLZF1",2
"RPS6",2
"WDR77",2
"CAMK2A",2
"SAP18",2
"P2RY6",2
"NOC2L",2
"PPP2R5E",2
"DAG1",2
"CAMK2B",2
"NPRL2",2
"GRK6",2
"BUB3",2
"SEC23B",2
"FLVCR1",2
"NEDD1",2
"ANKRD11",2
"PSEN1",2
"FCHO2",2
"MRPL30",2
"KDM3B",2
"NAE1",2
"CISD2",2
"HIST2H3C",2
"DCTN2",2
"TLDC1",2
"FAM91A1",2
"PINK1",2
"PPP2R5D",2
"IQGAP2",2
"SRPK1",2
"CAMK2D",2
"HNRNPK",2
"TMEM115",2
"MTM1",2
"PKP3",2
"SCAMP3",2
"NCAM1",2
"MRPS11",2
"LARS",2
"PEBP1",2
"IARS2",2
"DSC3",2
"MEMO1",2
"GNL3L",2
"FYN",2
"RASSF1",2
"RPL35A",2
"URI1",2
"HSP90AB2P",2
"FAM131B",2
"PAWR",2
"TMED10",2
"ACTR2",2
"COPE",2
"RAB1A",2
"MID1",2
"FAM129B",2
"IPO11",2
"PSMD2",2
"ERBB2",2
"CCDC6",2
"CORO1C",2
"FDXR",2
"SRPK2",2
"SRP14",2
"APBB1",2
"CAP1",2
"PKP4",2
"IL1RAP",2
"DDX27",2
"LEMD3",2
"RPS27A",2
"ARL4A",2
"JAK1",2
"SFPQ",2
"CPD",2
"RNMTL1",2
"RPL17",2
"IPO5",2
"ATR",2
"EIF3D",2
"HMGCR",2
"ATP5C1",2
"FIP1L1",2
"DDX20",2
"ACTG1",2
"FGFR1",2
"PRPF19",2
"TPD52L2",2
"JAK3",2
"ATP5B",2
"GRAP2",2
"SLC30A6",2
"SEC13",2
"TRAF6",2
"MAPK8",2
"RP2",2
"SERPINB5",2
"PRPF8",2
"SEC22B",2
"SHISA2",2
"ITM2B",2
"CDK16",2
"TRIM28",2
"ARHGAP21",2
"EML4",2
"SCAP",2
"ETF1",2
"NF1",2
"IRS2",2
"STX12",2
"NAPA",2
"DTNA",2
"TIAM1",2
"NUP93",2
"SYVN1",2
"TRAPPC1",2
"ATP2B1",2
"MPDZ",2
"SEC61A1",2
"CTNND1",2
"PPP2R1B",2
"NDC1",2
"INA",2
"NFKB1",2
"C16orf72",2
"INO80E",2
"ERCC2",2
"SLC1A5",2
"RPS6KA6",2
"DYNLL2",2
"RPF2",2
"CDCA3",2
"CHCHD3",2
"DNAJA3",2
"TSC1",2
"ASPM",2
"TKT",2
"APLP2",2
"CD44",2
"ACACA",2
"ADCY6",2
"NOTCH1",2
"EMC8",2
"GPI",2
"CDC27",2
"PKP2",2
"MAPK3",2
"MAP4K4",2
"DPH5",2
"SPTAN1",2
"CSNK1A1",2
"LRRC32",2
"CDIPT",2
"GEMIN6",2
"KIAA1715",2
"NUP107",2
"AUP1",2
"ACSL3",2
"MAP2K1",2
"PLEKHO1",2
"RAP1GDS1",2
"ERCC3",2
"BAIAP2",2
"DTD1",2
"CD276",2
"GNG5",2
"TFIP11",2
"MLF2",2
"FGA",2
"MRPL37",2
"EIF5",2
"KIAA1549",2
"RICTOR",2
"S100A8",2
"PHGDH",2
"TPT1",2
"RNF40",2
"IKBKAP",2
"MARK2",2
"EFNB3",2
"RPS2",2
"ANKRD13C",2
"CPNE8",2
"MAGOH",2
"SND1",2
"RFT1",2
"PPP4C",2
"NDUFA13",2
"TAF1",2
"HSDL2",2
"TMPO",2
"ARHGAP35",2
"MPP7",2
"FANCA",2
"NHEJ1",2
"ATP6V0D1",2
"ARHGAP32",2
"PIK3R3",2
"EEFSEC",2
"KLF16",2
"DDX24",2
"SBF1",2
"TMOD3",2
"AGER",2
"FGFR2",2
"GRPEL1",2
"CFAP20",2
"MBOAT7",2
"RAB27A",2
"CRNKL1",2
"SRPRB",2
"KSR1",2
"NUBP2",2
"RPL30",2
"MARS",2
"FLII",2
"CACNA2D2",2
"NSDHL",2
"WRN",2
"RPL5",2
"CDC42BPA",2
"CCT8",2
"NCAPD2",2
"PSMD12",2
"ARL6IP5",2
"SPECC1",2
"BAG4",2
"PRKCI",2
"BCL2L1",2
"TIMM50",2
"SAMM50",2
"UBE2R2",2
"SLC6A8",2
"NBN",2
"MUC20",2
"SRSF1",2
"MPRIP",2
"PPIF",2
"SLC30A7",2
"C2CD2L",2
"CYFIP1",2
"NAA10",2
"CPSF1",2
"HK1",2
"CYCS",2
"MAP2K7",2
"MFHAS1",2
"PRKCZ",2
"DIP2B",2
"SRRM1",2
"DENR",2
"BCL2L11",2
"DCTN4",2
"CAMLG",2
"VAPA",2
"GNB3",2
"MIS18A",2
"TRIP12",2
"SPAST",2
"COBL",2
"SMC1A",2
"YWHAZ",2
"FUNDC2",2
"SYK",2
"PIK3R1",2
"PAK4",2
"PAK1",2
"CD274",2
"ISY1",2
"LUC7L2",2
"MAPK10",2
"ARF6",2
"EIF1AD",2
"PRKCA",2
"LPAR1",2
"GOSR1",2
"KCMF1",2
"ADH6",2
"PIK3R2",2
"EIF2S1",2
"PSMB4",2
"ARL13B",2
"DDX47",2
"MYO1B",2
"SAE1",2
"FOXR1",2
"GMPS",2
"LTN1",2
"ANAPC2",2
"NF2",2
"PSMA1",2
"DEPDC1B",2
"FDPS",2
"EXOC1",2
"PRKCD",2
"CCL5",2
"GNAI1",2
"DGCR14",2
"NDRG3",2
"PTMA",2
"PRMT5",2
"KRIT1",2
"POLR3A",2
"RAP2C",2
"RPS6KA5",2
"DOCK8",2
"EFR3A",2
"ITGA6",2
"PHAX",2
"PLK1",2
"PPP2CB",2
"U2AF2",2
"EPHA1",2
"UQCRC2",2
"COPS8",2
"LDB1",2
"DLG4",2
"NDRG1",2
"GTF2E2",2
"FGFR4",2
"GLE1",2
"PPP1R8",2
"MVB12A",2
"CD46",2
"GNB2",2
"STK11",2
"POLE2",2
"SLC7A11",2
"RPL32",2
"CD209",2
"AP4S1",2
"ADD2",2
"PLA2G2A",2
"MORC2",2
"IPO7",2
"ARPC3",2
"PREX1",2
"ANAPC10",2
"RAB6A",2
"FAM71E1",2
"MET",2
"IREB2",2
"FGF2",2
"BCAS2",2
"PTK2",2
"NFYB",2
"EIF3G",2
"ACSL4",2
"DIDO1",2
"ABCB1",2
"MYH9",2
"SAMSN1",2
"LCP1",2
"KLRG2",2
"MNDA",2
"DLG1",2
"BRAP",2
"PDGFRA",2
"FERMT2",2
"SNX2",2
"TNIK",2
"LRRC59",2
"EFNB2",2
"NOP10",2
"OIP5",2
"CCDC25",2
"ATP6V1G1",2
"MDH2",2
"SRP54",2
"PLEKHA5",2
"HBEGF",2
"SMAD4",2
"LTA4H",2
"BCS1L",2
"ALK",2
"SPG21",2
"SOD1",2
"IGF2R",2
"MMGT1",2
"QARS",2
"JUP",2
"DOK2",2
"TERT",2
"PACS1",2
"SLC15A1",2
"CSF2RB",2
"ARPC2",2
"SQSTM1",2
"DRG1",2
"EPN2",2
"EI24",2
"KARS",2
"C5orf15",2
"GRIN2B",2
"SNX5",2
"GAB2",2
"SSBP1",2
"FAM126A",2
"CYP51A1",2
"MAPK9",2
"KIF4A",2
"UBE2I",2
"PAF1",2
"RBFOX1",2
"VAMP8",2
"PTRH2",2
"SPCS1",2
"POLR1A",2
"LIN7C",2
"TNS3",2
"PPAN-P2RY11",2
"HCK",2
"ITGB3",2
"AAMP",2
"DHCR7",2
"ANAPC1",2
"OCLN",2
"RHOA",2
"MRPL49",2
"CTNNA1",2
"DNM2",2
"FRAT1",2
"PSMC3",2
"TRIM39",2
"YWHAG",2
"EPB41L3",2
"MARCKSL1",2
"ITM2A",2
"TMEM109",2
"UBB",2
"GABPB2",2
"HBZ",2
"SHFM1",2
"COPS2",2
"LLGL2",2
"CYB5R1",2
"CEP104",2
"TRPM7",2
"KIRREL",2
"RPL18",2
"RAB11B",2
"RPS6KA1",2
"STT3B",2
"MAPK13",2
"NOTCH2",2
"HGF",2
"PTPRA",2
"SOS1",2
"NTRK2",2
"RASAL2",2
"RBBP6",2
"RBBP5",2
"PRPF6",2
"PIK3CG",2
"ROR1",2
"RPS6KA3",2
"ABHD12",2
"PVRL1",2
"COX6B1",2
"COX7B",2
"LMAN1",2
"ITGB6",2
"EMID1",2
"HLA-C",2
"C6",2
"STX6",2
"GNAQ",2
"RPL8",2
"KMT2E",2
"INADL",2
"UBE2L6",2
"PSMD5",2
"CCDC115",2
"SEMA4C",2
"PLCD1",2
"SNAP23",2
"EXOSC4",2
"TOR1AIP1",2
"MAP2K2",2
"GNA12",2
"CDH5",2
"EHBP1",2
"NOL8",2
"BTK",2
"DHRS7",2
"PHLDB2",2
"TBC1D5",2
"DNTTIP1",2
"FERMT1",2
"CDKL5",2
"PDGFB",2
"CCDC88A",2
"TYMS",2
"CNP",2
"ANO6",2
"BIRC5",2
"SPCS2",2
"AGGF1",2
"NUP98",2
"MVD",2
"SOX4",2
"ENY2",2
"SPRED1",2
"NADK",2
"HOXB5",2
"BRD2",2
"MTMR10",2
"UBE2M",2
"POLR2H",2
"USE1",2
"RAB11FIP1",2
"LAMTOR5",2
"THOC6",2
"OSBPL10",2
"TMED2",2
"ATP13A3",2
"PLEKHA1",2
"PHF5A",2
"ARHGAP31",2
"DDRGK1",2
"RPAP1",2
"COPS7B",2
"CLCN7",2
"FGF19",2
"CA12",2
"KPRP",2
"SPATA5",2
"ATP6V0C",2
"IL6ST",2
"MARCKS",2
"SEPT5",2
"PFKP",2
"CACHD1",2
"TCEA1",2
"STX10",2
"RBM14-RBM4",2
"DVL1",2
"KANSL2",2
"LSM11",2
"SEC61B",2
"CRNN",2
"TRMT61B",2
"YAP1",2
"ORC2",2
"KIN",2
"WDR62",2
"HARS",2
"SNAP47",2
"PPFIA1",2
"COLEC10",2
"F11R",2
"RPS3",2
"PLEKHA2",2
"KIAA0391",2
"LNPEP",2
"COCH",2
"RPS28",2
"CWF19L1",2
"TACC1",2
"ANAPC11",2
"HMGN2",2
"LPCAT1",2
"SPAG1",2
"NUMB",2
"VPS26A",2
"C2orf72",2
"RTN2",2
"FLOT2",2
"PTGS2",2
"CDC42BPB",2
"RUNX3",2
"WDR20",2
"EFR3B",2
"CHMP6",2
"PLSCR1",2
"STOM",2
"SCRIB",2
"C1orf27",2
"POLR3F",2
"RFC5",2
"PARD3",2
"ITGA2B",2
"RER1",2
"EPB41",2
"SOAT1",2
"SEPT7",2
"KSR2",2
"EPHB2",2
"FAM171A2",2
"KDF1",2
"RPS9",2
"CWF19L2",2
"ADD3",2
"MFN1",2
"PREB",2
"PARP12",2
"IL2RG",2
"PRKCE",2
"PLEKHA7",2
"FGF23",2
"FGG",2
"RANBP10",2
"DNAJC17",2
"FGFRL1",2
"BCAS3",2
"ABCC2",2
"ACVRL1",2
"STX8",2
"PPAP2B",2
"SRC",2
"IMP3",2
"SLC33A1",2
"MPHOSPH10",2
"STK10",2
