"V1","V2"
"GSTA3","CYP2F1"
"GSTA3","GPX6"
"GSTA3","GPX5"
"GSTA5","CYP2F1"
"GSTA5","GPX6"
"GSTA5","GPX5"
"GSTA5","GSTA3"
"CYP2B6","GSTA3"
"CYP2B6","GSTA5"
"CYP2A13","GSTA3"
"CYP2A13","GSTA5"
"MGST2","GSTA3"
"MGST2","GSTA5"
"GSTA4","GPX6"
"GSTA4","GPX5"
"GSTA4","CYP2B6"
"GSTA4","MGST2"
"GPX2","GSTA3"
"GPX2","GSTA5"
"GPX2","MGST2"
"GPX2","GSTA4"
"PTGES","MGST2"
"TYK2","IL23R"
"ADH1C","GSTA3"
"WWP1","PSMB11"
"GGT5","GPX6"
"GGT5","GPX5"
"GGT5","GSTA3"
"GGT5","GPX2"
"WBP11","U2AF1L4"
"ZMAT5","ZRSR2"
"GSTM2","CYP2F1"
"GSTM2","GPX6"
"GSTM2","GPX5"
"GSTM2","GSTA3"
"GSTM2","CYP2B6"
"GSTM2","MGST2"
"GSTM2","GSTA4"
"GSTM2","GPX2"
"GSTM5","GPX6"
"GSTM5","GPX5"
"GSTM5","GSTA3"
"GSTM5","GSTA5"
"GSTM5","MGST2"
"GSTM5","GSTA4"
"GSTM5","GPX2"
"GSTM5","GSTM2"
"CYP2C19","GSTA3"
"CYP2C19","GSTA5"
"CYP2C19","CYP2B6"
"CYP2C19","GSTA4"
"CYP2C19","GSTM2"
"CYP2C19","GSTM5"
"PTGS1","MT-CO2"
"PTGS1","CYP2B6"
"PTGS1","PTGES"
"PTGS1","CYP2C19"
"GSTT2B","CYP2F1"
"GSTT2B","GPX5"
"GSTT2B","GSTA3"
"GSTT2B","GSTA5"
"GSTT2B","CYP2B6"
"GSTT2B","MGST2"
"GSTT2B","GSTA4"
"GSTT2B","GPX2"
"GSTT2B","ADH1C"
"GSTT2B","GGT5"
"GSTT2B","GSTM2"
"GSTT2B","GSTM5"
"ADH1B","GSTA4"
"ADH1B","ADH1C"
"ADH1B","GSTT2B"
"IL12B","IL23R"
"IL12B","TYK2"
"NFKBIB","TRE17"
"NFKBIB","PSMB11"
"NFKBIB","NKIRAS1"
"RIPK3","NFKBIB"
"PPIL1","U2AF1L4"
"PPIL1","WBP11"
"FAM49B","UNK"
"CYP1B1","GSTA3"
"CYP1B1","GSTA5"
"CYP1B1","CYP2B6"
"CYP1B1","GSTA4"
"CYP1B1","GSTM2"
"CYP1B1","GSTM5"
"CYP1B1","GSTT2B"
"CD40LG","PSMB11"
"PPIL6","U2AF1L4"
"PPIL6","WBP11"
"PPIL6","PPIL1"
"GSTZ1","GSTM2"
"GSTZ1","GSTT2B"
"RNU12","ZMAT5"
"ADH1A","ADH1C"
"ADH1A","GSTM2"
"ADH1A","ADH1B"
"SYMPK","U2AF1L4"
"SYMPK","WBP11"
"SYMPK","PPIL1"
"SYMPK","PPIL6"
"TRIP4","ZC2HC1A"
"SNRNP25","ZRSR2"
"SNRNP25","ZMAT5"
"SNRNP25","RNU12"
"TNFSF11","PSMB11"
"TNFSF11","CD40LG"
"SNRPN","ZRSR2"
"SNRPN","U2AF1L4"
"SNRPN","WBP11"
"SNRPN","ZMAT5"
"SNRPN","PPIL1"
"SNRPN","PPIL6"
"SNRPN","SYMPK"
"UBFD1","ZNF622"
"MPI","PITPNB"
"YWHAQ","WWP1"
"YWHAQ","ZFP36L2"
"YWHAQ","UBFD1"
"YWHAQ","WDR76"
"NGF","APH1B"
"SLU7","ZCCHC10"
"SLU7","U2AF1L4"
"SLU7","WBP11"
"SLU7","PPIL1"
"SLU7","PPIL6"
"SLU7","SYMPK"
"SLU7","SNRPN"
