"node","type"
"37124.PRO_0000227763",0
"G3BP2",2
"CYLD",2
"ELAVL1",2
"EFTUD2",2
"NTRK1",2
"HNRNPA1",2
"ADSL",2
"ESR1",2
"KRAS",2
"MIR221",2
"CUL1",2
"RNF2",2
"ATG16L1",2
"MIR7-1",2
"CDK9",2
"CA9",2
"MIRLET7F2",2
"C3orf17",2
"MIR128-2",2
"MIRLET7A3",2
"RC3H1",2
"UBC",2
"MIRLET7C",2
"SNW1",2
"TP53",2
"COPS5",2
"BMI1",2
"MDM2",2
"PYHIN1",2
"RECQL4",2
"SUZ12",2
"CDK2",2
"VCP",2
"LASP1",2
"MIR31",2
"CUL3",2
"CAND1",2
"MIR25",2
"ASCC3",2
"HDAC2",2
"MEPCE",2
"DDX6",2
"RC3H2",2
"MIRLET7A1",2
"NUFIP2",2
"RPL10",2
"MIR141",2
"MIRLET7E",2
"MIRLET7B",2
"MIR34A",2
"ARRB2",2
"MIRLET7I",2
"REST",2
"FXR2",2
"PIN1",2
"IFI30",2
"PTEN",2
"PHB",2
"NFKBIA",2
"TRIM25",2
"MIR19A",2
"NUP153",2
"G3BP1",2
"MED12",2
"RIOK1",2
"SNRNP70",2
"SFN",2
"TARDBP",2
"PABPC1",2
"RPS6",2
"WDR77",2
"MAPT",2
"USP10",2
"MAB21L2",2
"NUP214",2
"IVNS1ABP",2
"CAPRIN1",2
"OAS3",2
"ING4",2
"PRPF8",2
"PABPC4",2
"MIR106A",2
"MIR19B1",2
"MIR106B",2
"RPF2",2
"MIR222",2
"MIR206",2
"CLEC14A",2
"IGF2BP3",2
"MIR21",2
"TERF2",2
"DDX24",2
"MIR10B",2
"MIR128-1",2
"MIR16-2",2
"MIR7-2",2
"DDX10",2
"MIR29C",2
"PIK3R1",2
"MIR200B",2
"GNL2",2
"NF2",2
"MIR155",2
"MIR214",2
"UIMC1",2
"MIR92A1",2
"TNF",2
"MIR363",2
"RPL3L",2
"MIR200A",2
"FARS2",2
"MIR205",2
"MIRLET7F1",2
"MIR98",2
"USP14",2
"MIRLET7D",2
"PPT1",2
"POM121",2
"PSMB9",2
"MIR15B",2
"MIR18A",2
"TRIM14",2
"MIR16-1",2
"MIR17",2
"MIR20B",2
"MIR34B",2
"ATXN2L",2
"MIR29B1",2
"NUP62",2
"MIR107",2
"RNH1",2
"MIR1-1",2
"MIRLET7G",2
"TIA1",2
"MIR138-2",2
"MIR145",2
"MIR200C",2
"WDR36",2
"MIR7-3",2
"WWP2",2
"NUP88",2
"STK24",2
"MIR429",2
"MIR140",2
"KLHDC3",2
"MIR93",2
"MIRLET7A2",2
"ZBTB10",2
"UBAP2",2
"TIAL1",2
"RPL22L1",2
"YARS",2
"RNA binding",6
"mRNA binding",6
"protein binding",6
"cytoplasm",6
"cytosol",6
"cytoplasmic sequestering of NF-kappaB",6
"Ras protein signal transduction",6
"positive regulation of signal transduction",6
"cytoplasmic stress granule",6
"viral process",6
"receptor signaling complex adaptor activity",6
"stress granule assembly",6
"innate immune response",6
"mRNA transport",6
"protein homooligomerization",6
"positive regulation of stress granule assembly",6
"ribonucleoprotein complex",6
