"V1","V2"
"TCEB3C","TCEB3CL2"
"NCBP2L","EIF4E1B"
"SNAPC3","ZNF143"
"ZC3H8","ZNF143"
"ZC3H8","SNAPC3"
"VARS","YARS"
"TUBA3D","ENSG00000258947"
"H6PD","TKTL2"
"RRAGD","PRKAG3"
"SLC38A9","PRKAG3"
"SLC38A9","RRAGD"
"STRN4","ZRANB1"
"STRN4","MST4"
"RAB34","RAB3C"
"PKLR","TKTL2"
"PKLR","H6PD"
"RPL39L","YARS"
"RPL39L","RPL22L1"
"PRKAG2","PRKAG3"
"PRKAG2","RRAGD"
"PRKAG2","SLC38A9"
"TCEB3","TCEB3CL2"
"TCEB3","TCEB3C"
"YBX1","ZFP36L2"
"UBAP1","VPS4A"
"SNRNP25","YBX1"
"CALML6","CALML4"
"PRKCG","ADCY8"
"RNMT","EIF4E1B"
"PCK2","H6PD"
"PCK2","PKLR"
"YWHAQ","VARS"
"YWHAQ","PDXK"
"YWHAQ","ZC3H13"
"YWHAQ","SIPA1L3"
"YWHAQ","NFATC3"
"YWHAQ","ZFP36L2"
"YWHAQ","UBFD1"
"TAL1","TRIM33"
"VWA9","ZNF143"
"VWA9","SNAPC3"
"VWA9","ZC3H8"
"TAF13","ZNF143"
"TAF13","SNAPC3"
"TAF13","ZC3H8"
"TAF13","VWA9"
"RPS21","RPL22L1"
"RPS21","RPL39L"
"SRF","NFATC3"
"SUPT5H","ZNF143"
"SUPT5H","TCEB3CL2"
"SUPT5H","TCEB3C"
"SUPT5H","SNAPC3"
"SUPT5H","ZC3H8"
"SUPT5H","TCEB3"
"SUPT5H","RNMT"
"SUPT5H","VWA9"
"SUPT5H","TAF13"
"NUP37","POM121C"
"MASP1","SERPING1"
"INS","PCK2"
"PGAM4","TKTL2"
"PGAM4","H6PD"
"PGAM4","PKLR"
"ADCY1","ADCY8"
"MAP2","ENSG00000258947"
"MAP2","YBX1"
"PGAM2","TKTL2"
"PGAM2","H6PD"
"PGAM2","PKLR"
"PGAM2","PGAM4"
"TPM2","SCG3"
"TPM2","TAGLN"
"TAF7","TRIM22"
"TAF7","TAF13"
"TAF7","SRF"
"TXLNG","SPICE1"
"PLG","SERPINI1"
"PLG","SERPING1"
"PLG","INS"
"PPA2","TXNDC12"
"HSP90AB4P","YES1"
"HSP90AB4P","RNMT"
"ADCY9","ADCY8"
"ADCY9","ADCY1"
"POLR2K","ZNF143"
"POLR2K","TCEB3CL2"
"POLR2K","TCEB3C"
"POLR2K","SNAPC3"
"POLR2K","ZC3H8"
"POLR2K","TCEB3"
"POLR2K","YBX1"
"POLR2K","SNRNP25"
"POLR2K","RNMT"
"POLR2K","VWA9"
"POLR2K","TAF13"
"POLR2K","SUPT5H"
"POLR2K","TAF7"
"ITPA","ADCY8"
"ITPA","PDXK"
"ITPA","WDR1"
"ITPA","PKLR"
"VPS26B","TXNDC11"
"VPS26B","SUPT5H"
"RPAP2","ZNF143"
"RPAP2","SNAPC3"
"RPAP2","ZC3H8"
"RPAP2","YBX1"
"RPAP2","VWA9"
"RPAP2","TAF13"
"RPAP2","SUPT5H"
"RPAP2","POLR2K"
"TBCA","TXNDC12"
"TBCA","PPA2"
"TBCA","TUBB6"
"MEF2A","NFATC3"
"MINPP1","TKTL2"
"MINPP1","H6PD"
"MINPP1","PGAM4"
"MINPP1","PGAM2"
"INTS8","ZNF143"
"INTS8","SNAPC3"
"INTS8","ZC3H8"
"INTS8","VWA9"
"INTS8","TAF13"
"INTS8","SUPT5H"
"INTS8","POLR2K"
"INTS8","RPAP2"
"TXN","ZNF598"
"TXN","TXNDC12"
"TXN","WDR1"
"TXN","ZFP36L2"
"TXN","PGAM2"
"STRIP2","ZRANB1"
"STRIP2","MST4"
"STRIP2","STRN4"
"NABP2","ZNF143"
"NABP2","SNAPC3"
"NABP2","ZC3H8"
"NABP2","VPS4A"
"NABP2","VWA9"
"NABP2","TAF13"
"NABP2","SUPT5H"
"NABP2","POLR2K"
"NABP2","RPAP2"
"NABP2","INTS8"
"ZC3H7A","ZNF598"
"RPL36AL","RPL22L1"
"RPL36AL","RPL39L"
