"node","type"
"12305.RDRP_CMVFN",0
"CTTNBP2",2
"ENO1",2
"RHEB",2
"CAMK4",2
"NEFH",2
"MAPT",2
"CDK9",2
"EIF4E",2
"CYLD",2
"EDC4",2
"ELAVL1",2
"HDAC5",2
"MCM2",2
"EGFR",2
"CEP250",2
"EFTUD2",2
"RAB9A",2
"CDK7",2
"RRAGB",2
"LARP7",2
"KRT18",2
"CDK6",2
"ADD1",2
"FN1",2
"ARIH1",2
"FUS",2
"HRAS",2
"SNCA",2
"CALM1",2
"ALDOA",2
"KPNA2",2
"MYC",2
"SIRT1",2
"GSK3B",2
"MAPK1",2
"NTRK1",2
"CUL4A",2
"AGR2",2
"HNRNPA1",2
"ACTN4",2
"CCNA2",2
"HK2",2
"ISG15",2
"NCBP1",2
"NIPSNAP1",2
"EP300",2
"TUBA1C",2
"EEF1G",2
"ESR1",2
"CSNK2B",2
"CCNT1",2
"CDC73",2
"NUP160",2
"CCT7",2
"KRAS",2
"PAN2",2
"STAU1",2
"NENF",2
"LAMTOR1",2
"MLH1",2
"HNRNPL",2
"EIF5B",2
"KIAA1429",2
"HGS",2
"AGRN",2
"CUL7",2
"CUL1",2
"APP",2
"CALM2",2
"HSPA5",2
"SRRM2",2
"NEFL",2
"ACIN1",2
"NPLOC4",2
"DHX8",2
"FADD",2
"EIF3E",2
"H2AFX",2
"PDCD6IP",2
"BRCA2",2
"GAN",2
"FCF1",2
"HNRNPM",2
"EWSR1",2
"BRCA1",2
"RPL21",2
"PGM1",2
"HIST1H4A",2
"PMS1",2
"HIF1A",2
"CDC37",2
"ATG16L1",2
"ANXA2",2
"TPM3",2
"SF3B2",2
"RPL27A",2
"HNRNPA3",2
"EZR",2
"CAV1",2
"RPL23A",2
"EIF4G2",2
"CEBPB",2
"PPIA",2
"ILF3",2
"RPL13A",2
"LMNA",2
"RNF4",2
"RNF123",2
"CDC5L",2
"PPARG",2
"HDAC1",2
"EIF3A",2
"CENPA",2
"HNRNPC",2
"CNOT1",2
"FKBP8",2
"ADAR",2
