"V1","V2"
"MRC1","SIGLEC1"
"MYL5","MYOM1"
"MYL10","MYL5"
"ITGAX","SIGLEC1"
"ITGAX","MRC1"
"MYL7","MYL5"
"MYL7","MYL10"
"C1QC","IGHV3-11"
"CCL18","MRC1"
"LILRB2","ITGAX"
"YES1","IGHV3-11"
"IL6","MRC1"
"IL6","ITGAX"
"TLR2","ITGAX"
"TLR2","LILRB2"
"TLR2","IL6"
"TRIOBP","TPRN"
"MYH4","MYOM1"
"MYH4","MYL5"
"MYH4","MYL10"
"MYH4","MYOM2"
"MYH4","MYL7"
"YWHAQ","SIPA1L3"
"YWHAQ","WDR76"
"PPP1R12B","PAK3"
"MYH2","MYOM1"
"MYH2","MYL5"
"MYH2","IGHV3-11"
"MYH2","MYL10"
"MYH2","MYOM2"
"MYH2","MYL7"
"MYH2","MYH4"
"MYH2","YWHAQ"
"TPM2","MYL5"
"TPM2","MYL10"
"TPM2","MYL7"
"IL10","MRC1"
"IL10","ITGAX"
"IL10","LILRB2"
"IL10","IL6"
"IL10","TLR2"
"GNG12","ZNF518A"
"GNG12","PAK3"
"VSIG4","C1QC"
"HIP1","STON2"
"CSF1","ITGAX"
"CSF1","IL6"
"CSF1","IL10"
"FCGR1A","MRC1"
"FCGR1A","IGHV3-11"
"FCGR1A","ITGAX"
"FCGR1A","LILRB2"
"FCGR1A","YES1"
"FCGR1A","MYH2"
"FCGR1A","IL10"
"MYBPC3","MYOM1"
"MYBPC3","MYL5"
"MYBPC3","MYH4"
"MYBPC3","MYH2"
"MYBPC3","TPM2"
"C1QA","STAB1"
"C1QA","MS4A6A"
"C1QA","IGHV3-11"
"C1QA","FOLR2"
"C1QA","C1QC"
"C1QA","VSIG4"
"MYLK","MYL5"
"MYLK","MYL10"
"MYLK","MYL7"
"MYLK","PAK3"
"MYLK","PPP1R12B"
"MYLK","TPM2"
"FCGR3A","IGHV3-11"
"FCGR3A","LILRB2"
"FCGR3A","YES1"
"FCGR3A","MYH2"
"FCGR3A","FCGR1A"
"FCGR3A","C1QA"
"MYL12B","ZNF518A"
"MYL12B","MYL5"
"MYL12B","MYL10"
"MYL12B","MYL7"
"MYL12B","PAK3"
"MYL12B","MYH4"
"MYL12B","YWHAQ"
"MYL12B","PPP1R12B"
"MYL12B","MYH2"
"MYL12B","TPM2"
"MYL12B","MYLK"
"TMOD1","TPM2"
"TMOD1","MYBPC3"
"CD68","MRC1"
"CD68","ITGAX"
"CD68","IL6"
"CD68","IL10"
"ROCK1","MYL5"
"ROCK1","MYL10"
"ROCK1","MYL7"
"ROCK1","PIP5K1A"
"ROCK1","PPP1R12B"
"ROCK1","MYL12B"
