"V1","V2"
"H2AFB1","ZFPM1"
"THBS1","ZFPM1"
"THBS1","H2AFB1"
"HOXD4","H2AFB1"
"RARB","H2AFB1"
"RARB","HOXD4"
"TNRC6C","ZFPM1"
"TNRC6C","H2AFB1"
"H2AFJ","ZFPM1"
"H2AFJ","H2AFB1"
"H2AFJ","THBS1"
"H2AFJ","HOXD4"
"H2AFJ","RARB"
"H2AFJ","TNRC6C"
"THRB","RARB"
"TFPT","ENSG00000267140"
"XPC","TFPT"
"XPC","WDR76"
"UBE4B","XPC"
"TFAP2B","TFAP2C"
"HIST1H4L","H2AFB1"
"HIST1H4L","H2AFJ"
"POLR2K","H2AFB1"
"POLR2K","HOXD4"
"POLR2K","RARB"
"POLR2K","H2AFJ"
"POLR2K","SUPT5H"
"SNRPG","POLR2K"
"JUND","H2AFB1"
"JUND","H2AFJ"
"CBFB","ZFPM1"
"CBFB","H2AFB1"
"CBFB","THBS1"
"CBFB","TNRC6C"
"CBFB","H2AFJ"
"CBFB","TWIST1"
"H2BFS","ZFPM1"
"H2BFS","H2AFB1"
"H2BFS","THBS1"
"H2BFS","HOXD4"
"H2BFS","RARB"
"H2BFS","TNRC6C"
"H2BFS","H2AFJ"
"H2BFS","POLR2K"
"H2BFS","JUND"
"H2BFS","CBFB"
"HIST2H4B","H2AFB1"
"HIST2H4B","H2AFJ"
"HIST2H4B","WDR76"
"HIST2H4B","HIST1H4L"
"HIST1H4B","H2AFB1"
"HIST1H4B","H2AFJ"
"HIST1H4B","HIST1H4L"
"HIST1H4B","HIST2H4B"
"WDR5","ZFPM1"
"WDR5","ENSG00000267140"
"WDR5","H2AFB1"
"WDR5","THBS1"
"WDR5","HOXD4"
"WDR5","RARB"
"WDR5","TNRC6C"
"WDR5","H2AFJ"
"WDR5","POLR2K"
"WDR5","TWIST1"
"WDR5","CBFB"
"WDR5","H2BFS"
"CNOT8","TNRC6C"
"SPSB2","SPSB1"
"VHL","SPSB1"
"VHL","SPSB2"
"XRCC5","UHRF2"
"XRCC5","THRB"
"XRCC5","WDR76"
"XRCC5","XPC"
"XRCC5","H2BFS"
"XRCC5","VHL"
"HIST1H2AJ","ZFPM1"
"HIST1H2AJ","H2AFB1"
"HIST1H2AJ","THBS1"
"HIST1H2AJ","HOXD4"
"HIST1H2AJ","RARB"
"HIST1H2AJ","TNRC6C"
"HIST1H2AJ","H2AFJ"
"HIST1H2AJ","VPS72"
"HIST1H2AJ","POLR2K"
"HIST1H2AJ","JUND"
"HIST1H2AJ","CBFB"
"HIST1H2AJ","H2BFS"
"HIST1H2AJ","WDR5"
"GTF2A2","TFF1"
"GTF2A2","SUPT5H"
"GTF2A2","POLR2K"
"NR1I2","TFAP2C"
"HIST1H4E","H2AFB1"
"HIST1H4E","H2AFJ"
"HIST1H4E","HIST1H4L"
"HIST1H4E","HIST2H4B"
"HIST1H4E","HIST1H4B"
"ZNF232","ZNF24"
"FOXO6","FOXO4"
"GATA3","ZFPM1"
"GATA3","H2AFB1"
"GATA3","RARB"
"GATA3","H2AFJ"
"GATA3","TFF1"
"GATA3","TFAP2C"
"GATA3","CBFB"
"GATA3","H2BFS"
"GATA3","HIST1H2AJ"
"GATA3","GTF2A2"
"SETD1B","ZFPM1"
"SETD1B","H2AFB1"
"SETD1B","THBS1"
"SETD1B","TNRC6C"
"SETD1B","H2AFJ"
"SETD1B","CBFB"
"SETD1B","H2BFS"
"SETD1B","WDR5"
"SETD1B","HIST1H2AJ"
"BTG1","CNOT8"
"HIST1H4C","H2AFB1"
"HIST1H4C","H2AFJ"
"HIST1H4C","HIST1H4L"
"HIST1H4C","HIST2H4B"
"HIST1H4C","HIST1H4B"
"HIST1H4C","HIST1H4E"
"PRMT8","ZNF451"
"PRMT8","VHL"
"SMARCAD1","ZNF24"
"SMARCAD1","XRCC5"
"HNF4A","NR1I2"
"ZNF830","POLR2K"
"POLR2J","H2AFB1"
"POLR2J","HOXD4"
"POLR2J","RARB"
"POLR2J","H2AFJ"
"POLR2J","SUPT5H"
"POLR2J","POLR2K"
"POLR2J","SNRPG"
"POLR2J","H2BFS"
"POLR2J","WDR5"
"POLR2J","HIST1H2AJ"
"POLR2J","GTF2A2"
"POLR2J","ZNF830"
"SIN3B","ZFPM1"
"SIN3B","H2AFB1"
"SIN3B","THBS1"
"SIN3B","TNRC6C"
"SIN3B","H2AFJ"
"SIN3B","CBFB"
"SIN3B","H2BFS"
"SIN3B","WDR5"
"SIN3B","HIST1H2AJ"
"SIN3B","SETD1B"
"SPRY1","TESK1"
"ASXL1","HIST1H2AJ"
"ASXL1","EZH1"
"HIST1H2BA","ZFPM1"
"HIST1H2BA","H2AFB1"
"HIST1H2BA","THBS1"
"HIST1H2BA","HOXD4"
"HIST1H2BA","RARB"
"HIST1H2BA","TNRC6C"
"HIST1H2BA","H2AFJ"
"HIST1H2BA","VPS72"
"HIST1H2BA","XPC"
"HIST1H2BA","HIST1H4L"
"HIST1H2BA","POLR2K"
"HIST1H2BA","JUND"
"HIST1H2BA","CBFB"
"HIST1H2BA","H2BFS"
"HIST1H2BA","HIST2H4B"
"HIST1H2BA","HIST1H4B"
"HIST1H2BA","WDR5"
"HIST1H2BA","XRCC5"
"HIST1H2BA","HIST1H2AJ"
"HIST1H2BA","HIST1H4E"
"HIST1H2BA","GATA3"
"HIST1H2BA","SETD1B"
"HIST1H2BA","HIST1H4C"
"HIST1H2BA","POLR2J"
"HIST1H2BA","SIN3B"
"HIST1H2AD","ZFPM1"
"HIST1H2AD","H2AFB1"
"HIST1H2AD","THBS1"
"HIST1H2AD","HOXD4"
"HIST1H2AD","RARB"
"HIST1H2AD","TNRC6C"
"HIST1H2AD","H2AFJ"
"HIST1H2AD","VPS72"
"HIST1H2AD","HIST1H4L"
"HIST1H2AD","POLR2K"
"HIST1H2AD","JUND"
"HIST1H2AD","CBFB"
"HIST1H2AD","H2BFS"
"HIST1H2AD","HIST2H4B"
"HIST1H2AD","HIST1H4B"
"HIST1H2AD","WDR5"
"HIST1H2AD","HIST1H2AJ"
"HIST1H2AD","HIST1H4E"
"HIST1H2AD","GATA3"
"HIST1H2AD","SETD1B"
"HIST1H2AD","HIST1H4C"
"HIST1H2AD","POLR2J"
"HIST1H2AD","SIN3B"
"HIST1H2AD","ASXL1"
"HIST1H2AD","HIST1H2BA"
"POLR2F","H2AFB1"
"POLR2F","HOXD4"
"POLR2F","RARB"
"POLR2F","H2AFJ"
"POLR2F","SUPT5H"
"POLR2F","POLR2K"
"POLR2F","SNRPG"
"POLR2F","H2BFS"
"POLR2F","WDR5"
"POLR2F","HIST1H2AJ"
"POLR2F","GTF2A2"
"POLR2F","ZNF830"
"POLR2F","POLR2J"
"POLR2F","HIST1H2BA"
"POLR2F","HIST1H2AD"
"XRCC6","ZNF638"
"XRCC6","HOXD4"
"XRCC6","UHRF2"
"XRCC6","THRB"
"XRCC6","WDR76"
"XRCC6","XPC"
"XRCC6","SUPT5H"
"XRCC6","H2BFS"
"XRCC6","YLPM1"
"XRCC6","XRCC5"
"XRCC6","BTG1"
"XRCC6","SMARCAD1"
"XRCC6","ZNF830"
"XRCC6","HIST1H2BA"
"NFRKB","ENSG00000267140"
"NFRKB","TFPT"
"NFRKB","XPC"
"HIST3H2A","H2AFB1"
"HIST3H2A","H2AFJ"
"HIST3H2A","VPS72"
"HIST3H2A","HIST1H4L"
"HIST3H2A","H2BFS"
"HIST3H2A","HIST2H4B"
"HIST3H2A","HIST1H4B"
"HIST3H2A","HIST1H2AJ"
"HIST3H2A","HIST1H4E"
"HIST3H2A","HIST1H4C"
"HIST3H2A","ASXL1"
"HIST3H2A","HIST1H2BA"
"HIST3H2A","HIST1H2AD"
"SNRPF","UNC93B1"
"SNRPF","POLR2K"
"SNRPF","SNRPG"
"SNRPF","POLR2J"
"SNRPF","POLR2F"
"HIST1H2BH","ZFPM1"
"HIST1H2BH","H2AFB1"
"HIST1H2BH","THBS1"
"HIST1H2BH","HOXD4"
"HIST1H2BH","RARB"
"HIST1H2BH","TNRC6C"
"HIST1H2BH","H2AFJ"
"HIST1H2BH","POLR2K"
"HIST1H2BH","JUND"
"HIST1H2BH","CBFB"
"HIST1H2BH","H2BFS"
"HIST1H2BH","WDR5"
"HIST1H2BH","XRCC5"
"HIST1H2BH","HIST1H2AJ"
"HIST1H2BH","GATA3"
"HIST1H2BH","SETD1B"
"HIST1H2BH","POLR2J"
"HIST1H2BH","SIN3B"
"HIST1H2BH","HIST1H2BA"
"HIST1H2BH","HIST1H2AD"
"HIST1H2BH","POLR2F"
"HIST1H2BH","XRCC6"
"HIST1H2BH","HIST3H2A"
"TENC1","WDFY3"
"TENC1","SUPT5H"
"HIST1H2BK","ZFPM1"
"HIST1H2BK","H2AFB1"
"HIST1H2BK","THBS1"
"HIST1H2BK","HOXD4"
"HIST1H2BK","RARB"
"HIST1H2BK","TNRC6C"
"HIST1H2BK","H2AFJ"
"HIST1H2BK","WDR76"
"HIST1H2BK","HIST1H4L"
"HIST1H2BK","POLR2K"
"HIST1H2BK","JUND"
"HIST1H2BK","CBFB"
"HIST1H2BK","H2BFS"
"HIST1H2BK","HIST2H4B"
"HIST1H2BK","HIST1H4B"
"HIST1H2BK","WDR5"
"HIST1H2BK","XRCC5"
"HIST1H2BK","HIST1H2AJ"
"HIST1H2BK","HIST1H4E"
"HIST1H2BK","GATA3"
"HIST1H2BK","SETD1B"
"HIST1H2BK","HIST1H4C"
"HIST1H2BK","POLR2J"
"HIST1H2BK","SIN3B"
"HIST1H2BK","HIST1H2BA"
"HIST1H2BK","HIST1H2AD"
"HIST1H2BK","POLR2F"
"HIST1H2BK","XRCC6"
"HIST1H2BK","HIST3H2A"
"HIST1H2BK","HIST1H2BH"
"UCHL5","ENSG00000267140"
"UCHL5","TFPT"
"UCHL5","HIST1H4L"
"UCHL5","HIST2H4B"
"UCHL5","HIST1H4B"
"UCHL5","HIST1H4E"
"UCHL5","HIST1H4C"
"UCHL5","NFRKB"
"SMAD6","CBFB"
"BRD8","ENSG00000267140"
"BRD8","THRB"
"BRD8","TFPT"
"BRD8","VPS72"
"BRD8","WDR5"
"BRD8","HIST1H2AJ"
"BRD8","HIST1H2BA"
"BRD8","HIST1H2AD"
"BRD8","NFRKB"
"BRD8","HIST3H2A"
"BRD8","UCHL5"
"OFCC1","PRMT8"
"HIST2H4A","H2AFB1"
"HIST2H4A","H2AFJ"
"HIST2H4A","XPC"
"HIST2H4A","HIST1H4L"
"HIST2H4A","HIST2H4B"
"HIST2H4A","HIST1H4B"
"HIST2H4A","HIST1H4E"
"HIST2H4A","HIST1H4C"
"HIST2H4A","HIST1H2BA"
"HIST2H4A","HIST1H2AD"
"HIST2H4A","HIST3H2A"
"HIST2H4A","HIST1H2BK"
"HIST2H4A","UCHL5"
"ITGA2B","ZFPM1"
"ITGA2B","H2AFB1"
"ITGA2B","THBS1"
"ITGA2B","H2AFJ"
"ITGA2B","CBFB"
"ITGA2B","H2BFS"
"ITGA2B","WDR5"
"ITGA2B","HIST1H2AJ"
"ITGA2B","SETD1B"
"ITGA2B","SIN3B"
"ITGA2B","HIST1H2BA"
"ITGA2B","HIST1H2AD"
"ITGA2B","HIST1H2BH"
"ITGA2B","HIST1H2BK"
"ITGA2B","STAT5A"
"GPS1","SPSB1"
"GPS1","TFPT"
"GPS1","XPC"
"GPS1","POLR2K"
"GPS1","WDR5"
"GPS1","SPSB2"
"GPS1","VHL"
"GPS1","POLR2J"
"GPS1","POLR2F"
"GPS1","NFRKB"
"SMURF2","SPSB1"
"SMURF2","TFAP2B"
"SMURF2","SPSB2"
"SMURF2","VHL"
"SMURF2","UCHL5"
"SMURF2","SMAD6"
"USF1","WDR5"
"USF1","XRCC5"
"USF1","XRCC6"
"SNRPB","POLR2K"
"SNRPB","SNRPG"
"SNRPB","POLR2J"
"SNRPB","POLR2F"
"SNRPB","SNRPF"
"SREBF1","HNF4A"
"SREBF1","USF1"
"PTP4A1","PTP4A2"
"RYBP","CBFB"
"RYBP","PTGDR"
"RYBP","WDR5"
"HIST1H2BL","ZFPM1"
"HIST1H2BL","H2AFB1"
"HIST1H2BL","THBS1"
"HIST1H2BL","HOXD4"
"HIST1H2BL","RARB"
"HIST1H2BL","TNRC6C"
"HIST1H2BL","H2AFJ"
"HIST1H2BL","POLR2K"
"HIST1H2BL","JUND"
"HIST1H2BL","CBFB"
"HIST1H2BL","H2BFS"
"HIST1H2BL","HIST1H4B"
"HIST1H2BL","WDR5"
"HIST1H2BL","VHL"
"HIST1H2BL","XRCC5"
"HIST1H2BL","HIST1H2AJ"
"HIST1H2BL","GATA3"
"HIST1H2BL","SETD1B"
"HIST1H2BL","POLR2J"
"HIST1H2BL","SIN3B"
"HIST1H2BL","HIST1H2BA"
"HIST1H2BL","HIST1H2AD"
"HIST1H2BL","POLR2F"
"HIST1H2BL","XRCC6"
"HIST1H2BL","HIST3H2A"
"HIST1H2BL","HIST1H2BH"
"HIST1H2BL","HIST1H2BK"
"HIST1H2BL","ITGA2B"
"SMAD3","TFAP2B"
"SMAD3","JUND"
"SMAD3","CBFB"
"SMAD3","FOXO4"
"SMAD3","SP3"
"SMAD3","GATA3"
"SMAD3","HNF4A"
"SMAD3","SIN3B"
"SMAD3","XRCC6"
"SMAD3","UCHL5"
"SMAD3","GRIP1"
"SMAD3","SMAD6"
"SMAD3","RELB"
"SMAD3","SMURF2"
"SMAD3","DVL1"
"COPS7B","SPSB1"
"COPS7B","TFPT"
"COPS7B","XPC"
"COPS7B","POLR2K"
"COPS7B","WDR5"
"COPS7B","SPSB2"
"COPS7B","VHL"
"COPS7B","POLR2J"
"COPS7B","POLR2F"
"COPS7B","NFRKB"
"COPS7B","GPS1"
"NCOA6","H2AFB1"
"NCOA6","HOXD4"
"NCOA6","RARB"
"NCOA6","H2AFJ"
"NCOA6","THRB"
"NCOA6","POLR2K"
"NCOA6","H2BFS"
"NCOA6","WDR5"
"NCOA6","XRCC5"
"NCOA6","HIST1H2AJ"
"NCOA6","NR1I2"
"NCOA6","HNF4A"
"NCOA6","POLR2J"
"NCOA6","HIST1H2BA"
"NCOA6","HIST1H2AD"
"NCOA6","POLR2F"
"NCOA6","XRCC6"
"NCOA6","HIST1H2BH"
"NCOA6","HIST1H2BK"
"NCOA6","GRIP1"
"NCOA6","HIST1H2BL"
"NCOA6","SMAD3"
"PPARA","PRMT8"
"PPARA","SREBF1"
"PPARA","NCOA6"
"INO80C","ENSG00000267140"
"INO80C","TFPT"
"INO80C","WDR5"
"INO80C","NFRKB"
"INO80C","UCHL5"
"INO80C","BRD8"
"STAT1","TWIST1"
"STAT1","CBFB"
"STAT1","GATA3"
"STAT1","STAT5A"
"STAT1","PPARA"
"SP1","TNRC6C"
"SP1","SUPT5H"
"SP1","POLR2K"
"SP1","JUND"
"SP1","VHL"
"SP1","GTF2A2"
"SP1","SP3"
"SP1","GATA3"
"SP1","HNF4A"
"SP1","POLR2J"
"SP1","POLR2F"
"SP1","USF1"
"SP1","SREBF1"
"SP1","SMAD3"
"SP1","PPARA"
"POLR2H","H2AFB1"
"POLR2H","HOXD4"
"POLR2H","RARB"
"POLR2H","H2AFJ"
"POLR2H","SUPT5H"
"POLR2H","POLR2K"
"POLR2H","SNRPG"
"POLR2H","H2BFS"
"POLR2H","WDR5"
"POLR2H","HIST1H2AJ"
"POLR2H","GTF2A2"
"POLR2H","ZNF830"
"POLR2H","POLR2J"
"POLR2H","HIST1H2BA"
"POLR2H","HIST1H2AD"
"POLR2H","POLR2F"
"POLR2H","SNRPF"
"POLR2H","HIST1H2BH"
"POLR2H","HIST1H2BK"
"POLR2H","GPS1"
"POLR2H","SNRPB"
"POLR2H","HIST1H2BL"
"POLR2H","COPS7B"
"POLR2H","NCOA6"
"POLR2H","SP1"
"UBE2M","SPSB1"
"UBE2M","WDR5"
"UBE2M","SPSB2"
"UBE2M","VHL"
"UBE2M","XRCC5"
"UBE2M","XRCC6"
"UBE2M","SNRPF"
"UBE2M","UCHL5"
"UBE2M","BRD8"
"UBE2M","RELB"
"UBE2M","GPS1"
"UBE2M","SMURF2"
"UBE2M","SNRPB"
"UBE2M","COPS7B"
"HIST1H2BN","ZFPM1"
"HIST1H2BN","H2AFB1"
"HIST1H2BN","THBS1"
"HIST1H2BN","HOXD4"
"HIST1H2BN","RARB"
"HIST1H2BN","TNRC6C"
"HIST1H2BN","H2AFJ"
"HIST1H2BN","POLR2K"
"HIST1H2BN","JUND"
"HIST1H2BN","CBFB"
"HIST1H2BN","H2BFS"
"HIST1H2BN","WDR5"
"HIST1H2BN","XRCC5"
"HIST1H2BN","HIST1H2AJ"
"HIST1H2BN","GATA3"
"HIST1H2BN","SETD1B"
"HIST1H2BN","POLR2J"
