"V1","V2"
"VEGFB","TOR4A"
"FCRLA","VPREB3"
"PRSS57","SH2D3A"
"IL26","IL19"
"VTI1B","TOR4A"
"VTI1B","VEGFB"
"SFRP5","WNT3A"
"WNT1","WNT3A"
"WNT1","SFRP5"
"RGMB","ZFYVE16"
"FXYD2","UGT1A6"
"CRLF2","TSLP"
"THPO","LEP"
"CSF3","LEP"
"CSF3","THPO"
"HFE2","ZFYVE16"
"HFE2","RGMB"
"IL23R","TSLP"
"IL23R","IL19"
"IL23R","CSF3"
"IL13","TSLP"
"IL13","CRLF2"
"IL13","CSF3"
"IL13","IL23R"
"MUC5AC","ST6GALNAC2"
"MUC5AC","IL13"
"H2AFB1","TCF7L1"
"H2AFB1","HOXB3"
"IGHV3-11","VPREB3"
"CXCL3","LPAR3"
"IL21","IL23R"
"IL21","IL13"
"IL2","CRLF2"
"IL2","CSF3"
"IL2","IL23R"
"IL2","IL13"
"IL17F","IL26"
"IL17F","CSF3"
"IL17F","IL23R"
"IL17F","IL13"
"SAA1","VIMP"
"SAA1","LPAR3"
"SAA1","CXCL3"
"IL11","THPO"
"XIAP","RGMB"
"XIAP","HFE2"
"ITGAX","SPN"
"ITGAX","ENSG00000173366"
"ITGAX","IL13"
"ITGAX","IL2"
"PPP1R14C","ZFHX3"
"NKD1","WNT3A"
"NKD1","WNT1"
"RYR3","CALML4"
"CCR2","CCL3L3"
"CCR2","LPAR3"
"CCR2","CXCL3"
"CCR2","IL2"
"CCR2","SAA1"
"CCR2","ITGAX"
"PPP4R4","NKD1"
"CD8B","IL2"
"IL37","PTPN20A"
"IL37","IL18R1"
"ZFYVE9","ZFYVE16"
"ZFYVE9","SVEP1"
"ZNF219","ZNF423"
"ZNF219","ZNF521"
"FBXW10","ZNRF2"
"ZWINT","ZWILCH"
"EOMES","WNT3A"
"EOMES","IL2"
"WNT5A","WNT3A"
"WNT5A","SFRP5"
"WNT5A","WNT1"
"CCL19","LPAR3"
"CCL19","CXCL3"
"CCL19","SAA1"
"CCL19","CCR2"
"VAV2","IGHV3-11"
"VAV2","RHOF"
"ZNF330","RWDD4"
"CACNA1D","CALML4"
"PPP1R3E","PPP1R3F"
"IL4","TSLP"
"IL4","IL19"
"IL4","CRLF2"
"IL4","CSF3"
"IL4","IL23R"
"IL4","IL13"
"IL4","MUC5AC"
"IL4","IL21"
"IL4","IL2"
"IL4","IL17F"
"IL4","ITGAX"
"IL4","CCR2"
"IL4","EOMES"
"SPC25","ZWILCH"
"SPC25","ZWINT"
"USP4","XIAP"
"VEGFC","TOR4A"
"VEGFC","VEGFB"
"VEGFC","VTI1B"
"C6orf48","SH2D3A"
"C6orf48","PRSS57"
"EDN1","LEP"
"EDN1","LPAR3"
"EDN1","SAA1"
"TFF3","MUC5AC"
"SNAPC3","ZNF143"
"TYK2","IL26"
"TYK2","CRLF2"
"TYK2","IL23R"
"TYK2","IL13"
"TYK2","IFNB1"
"TYK2","IL11"
"TYK2","SOCS4"
"TYK2","IL27"
"TYK2","IL4"
"ADCY5","VIP"
"ADCY5","LPAR3"
"ADCY5","CXCL3"
"ADCY5","SAA1"
"ADCY5","CCR2"
"ADCY5","CCL19"
"ADCY5","EDN1"
"ZC3H15","ZCCHC8"
"IDO1","IL2"
"IDO1","IL4"
"IL9","TSLP"
"IL9","CRLF2"
"IL9","CSF3"
"IL9","IL23R"
"IL9","IL13"
"IL9","IL2"
"IL9","IL4"
"SOCS5","FBXW10"
"SOCS5","IL4"
"SOCS5","TYK2"
"SHQ1","ZNHIT2"
"IL17A","CSF3"
"IL17A","IL23R"
"IL17A","IL13"
"IL17A","MUC5AC"
"IL17A","IL21"
"IL17A","IL2"
"IL17A","IFNB1"
"IL17A","IL17F"
