"node","type"
"10359.US28_HCMVM",0
"10359.GL_HCMVM",0
"10359.UL97_HCMVM",0
"10359.VIE1_HCMVM",0
"10359.IRS1_HCMVM",0
"10359.IL10H_HCMVM",0
"10359.UL16P_HCMVM",0
"10359.GB_HCMVM",0
"10359.ICP27_HCMVM",0
"10359.GM_HCMVM",0
"10359.UNG_HCMVM",0
"10359.VIE2_HCMVM",0
"10359.UL38_HCMVM",0
"10359.UL76_HCMVM",0
"10359.GH_HCMVM",0
"10359.UL18_HCMVM",0
"10359.UL144_HCMVM",0
"10359.US11_HCMVM",0
"10359.PP65_HCMVM",0
"10359.VICA_HCMVM",0
"10359.TRS1_HCMVM",0
"10359.UL142_HCMVM",0
"10359.HELI_HCMVM",0
"10359.PRIM_HCMVM",0
"10359.UL84_HCMVM",0
"10359.UL40_HCMVM",0
"10359.US10_HCMVM",0
"10359.US27_HCMVM",0
"10359.PP150_HCMVM",0
"CX3CL1",2
"CD4",2
"ZPBP",2
"TSC2",2
"TGFB1",2
"RPS6KB1",2
"IL10RA",2
"ULBP1",2
"NR3C1",2
"ZNF225",2
"DDX39A",2
"CDC25B",2
"MICB",2
"PSMB7",2
"MYO5C",2
"RAB11A",2
"MAP3K8",2
"SMARCB1",2
"IL1B",2
"KAT2B",2
"EGF",2
"TP53",2
"EGFR",1
"MYO5B",2
"ALB",2
"T",2
"TSC1",2
"HSPA4",2
"IRS1",2
"CXCL8",2
"PPM1D",2
"TNKS",2
"FUT1",2
"ADRBK1",2
"GH1",2
"PABPC1",2
"MBOAT4",2
"STAT2",2
"LILRB1",2
"SF3B2",2
"CDC25C",2
"SRSF7",2
"PRKD1",2
"BTLA",2
"SEL1L",2
"NCR3",2
"CASP8",2
"PRDM10",2
"DMBX1",2
"PTGS1",2
"BECN1",2
"ULBP3",2
"ULBP2",2
"PTGS2",2
"SNAPIN",2
"PSMD4",2
"HIST3H2BB",2
"SLK",2
"RBL1",2
"SRSF3",2
"SRPK1",2
"HNRNPK",2
"CDSN",2
"HLA-E",2
"CD83",2
"ISG15",2
"KLRC2",2
"LILRB2",2
"GRK5",2
"DDX39B",2
"MYO5A",2
"XPO1",2
"LAP3",2
"GDI1",2
"DHFR",2
"HDAC9",2
"RAB9A",1
"GRK6",2
"ATP2A2",2
"GLO1",2
"GSK3B",2
"MAPK1",2
"KCNH2",2
"NTRK1",2
"EXOC3",2
"FLI1",2
"HIST1H3E",2
"HSPA4L",2
"FBXO45",2
"CUL4A",2
"EMC2",2
"AGR2",2
