"node","type"
"11676.VPU_HV1H2",0
"11676.PRO_0000038427",0
"11676.PRO_0000239240",0
"11676.VIF_HV1H2",0
"11676.PRO_0000038594",0
"11676.VPR_HV1H2",0
"11676.TAT_HV1H2",0
"11676.NEF_HV1H2",0
"11676.REV_HV1H2",0
"CD74",2
"CD4",2
"PPP2R5B",2
"MAPK1",2
"APOBEC3D",2
"CSNK2A3",2
"PSMD7",2
"IL2",2
"CD69",2
"ULBP1",2
"ABCG2",2
"SNRPA",2
"BST2",2
"JUND",2
"NUPL2",2
"PPP2R5A",2
"MAPK6",2
"CCNT1",2
"TCEB2",2
"MAPK3",2
"ICAM1",2
"TP53",2
"SMARCA5",2
"CCR5",2
"HPGDS",2
"COPS6",2
"CXCL8",2
"APOBEC3F",2
"GSTM1",2
"CDC25C",2
"HAX1",2
"SP1",2
"SOCS3",2
"PDCD1",2
"PPP2R5E",2
"COPS5",2
"ULBP2",2
"FASLG",2
"CD1D",2
"MAP3K7",2
"JUN",2
"CDK9",2
"ABCA1",2
"HLA-C",2
"RBBP7",2
"PHF20L1",2
"XPO1",2
"APOBEC3G",2
"LAP3",2
"CREB1",2
"CHEK1",2
"BCAP31",2
"VPRBP",2
"HLA-B",2
"IL10",2
"PPP2R5C",2
"PPP2R5D",2
"COX15",2
"PTRF",2
"GBAS",2
"RNF185",2
"FN1",2
"AP2A2",2
"ARIH1",2
"FUS",2
"CSDE1",2
"NDUFA7",2
"GPSM3",2
"PSMA5",2
"HRAS",2
"SNCA",2
"CALM1",2
"HIST1H2BB",2
"KPNA2",2
"MYC",2
"SIRT1",2
"GLO1",2
"GSK3B",2
"NTRK1",2
"HIST1H3E",2
"HSPA4L",2
"CUL4A",2
"AGR2",2
"AGTRAP",2
"SCHIP1",2
"HNRNPA1",2
"ACTN4",2
"CRK",2
"CCNA1",2
"CCNA2",2
"ISG15",2
"BCOR",2
"DNMT1",2
"BAG2",2
"AGK",2
"GORASP1",2
"NCBP1",2
"NIPSNAP1",2
"CEP135",2
"PRPF31",2
"CHD9",2
"DYNLT1",2
"EP300",2
"SUMO1",2
"TUBA1C",2
"EEF1G",2
"GRWD1",2
"ITFG1",2
"ESR1",2
"CSNK2A2",2
"CSNK2B",2
"EP400",2
"DDX1",2
"CDC73",2
"HSP90B1",2
"NUP160",2
"CCT7",2
"MED4",2
"KRAS",2
"NCOR2",2
"PAN2",2
"STAU1",2
"DDB1",2
"MGRN1",2
"LAMTOR1",2
"MLH1",2
"HNRNPL",2
"EZH2",2
"EIF5B",2
"AP2B1",2
"KIAA1429",2
"HGS",2
"SF1",2
"CUL7",2
"CUL1",2
"S100A9",2
"CITED2",2
"TINF2",2
"ANLN",2
"APP",2
"MUS81",2
"HSPA5",2
"DAB2IP",2
"SRRM2",2
"EXOSC9",2
"RNPS1",2
"HUS1",2
"DCUN1D5",2
"SLC25A11",2
"COPA",2
