"V1","V2"
"ZNF645","ZNRF2"
"WNT8A","WNT8B"
"TCEB3C","TCEB3CL2"
"WSB1","ZNRF2"
"WSB1","ZNF645"
"U2AF1L4","U2AF35"
"UNKL","ZNRF2"
"UNKL","ZNF645"
"UNKL","WSB1"
"WNT3A","WNT8B"
"WNT3A","WNT8A"
"GBP4","TRIM48"
"GBP7","TRIM48"
"WNT1","WNT8B"
"WNT1","WNT8A"
"WNT1","SMO"
"WNT1","WNT3A"
"RNF217","ZNRF2"
"RNF217","ZNF645"
"RNF217","WSB1"
"RNF217","UNKL"
"UBE2F","ZNRF2"
"UBE2F","ZNF645"
"UBE2F","WSB1"
"UBE2F","UNKL"
"UBE2F","RNF217"
"H326","WDR42A"
"FXYD2","UGT1A6"
"HEATR2","XPO6"
"IFI6","IFITM1"
"C10orf11","ZMAT2"
"C10orf11","WDR25"
"FBXO41","ZNRF2"
"FBXO41","ZNF645"
"FBXO41","WSB1"
"FBXO41","UNKL"
"FBXO41","RNF217"
"FBXO41","UBE2F"
"KBTBD13","ZNRF2"
"KBTBD13","ZNF645"
"KBTBD13","WSB1"
"KBTBD13","UNKL"
"KBTBD13","RNF217"
"KBTBD13","UBE2F"
"KBTBD13","FBXO41"
"H2AFB1","HOXB3"
"PSMB11","WTIP"
"RAD9B","XRCC2"
"HLA-DQB1","TRIM48"
"HLA-DQB1","GBP4"
"HLA-DQB1","GBP7"
"HLA-DQA2","TRIM48"
"HLA-DQA2","GBP4"
"HLA-DQA2","GBP7"
"HLA-DQA2","HLA-DQB1"
"KIAA2012","PSMB11"
"CXCL3","LPAR3"
"CCL4L1","LPAR3"
"CCL4L1","CXCL3"
"IL2","IL7"
"IL2","SMPD1"
"UBE3B","ZNRF2"
"UBE3B","ZNF645"
"UBE3B","WSB1"
"UBE3B","UNKL"
"UBE3B","RNF217"
"UBE3B","UBE2F"
"UBE3B","FBXO41"
"UBE3B","KBTBD13"
"HIF3A","WTIP"
"HIF3A","PSMB11"
"UBE3D","ZNRF2"
"UBE3D","ZNF645"
"UBE3D","WSB1"
"UBE3D","UNKL"
"UBE3D","RNF217"
"UBE3D","UBE2F"
"UBE3D","FBXO41"
"UBE3D","KBTBD13"
"UBE3D","UBE3B"
"ITGAX","SPN"
"ITGAX","IL2"
"NKD1","WNT3A"
"NKD1","WNT1"
"FBXL22","ZNRF2"
"FBXL22","ZNF645"
"FBXL22","WSB1"
"FBXL22","UNKL"
"FBXL22","RNF217"
"FBXL22","UBE2F"
"FBXL22","FBXO41"
"FBXL22","KBTBD13"
"FBXL22","UBE3B"
"FBXL22","UBE3D"
"PPP4R4","NKD1"
"UFL1","ZNRF2"
"UFL1","ZNF645"
"UFL1","WSB1"
"UFL1","UNKL"
"UFL1","RNF217"
"UFL1","UBE2F"
"UFL1","FBXO41"
"UFL1","KBTBD13"
"UFL1","UBE3B"
"UFL1","UBE3D"
"UFL1","FBXL22"
"CD8B","IL2"
"IFITM2","IFITM1"
"IFITM2","IFI6"
"SELL","SPN"
"SELL","IL2"
"SELL","ITGAX"
"FBXW9","ZNRF2"
"FBXW9","ZNF645"
"FBXW9","WSB1"
"FBXW9","UNKL"
"FBXW9","RNF217"
"FBXW9","UBE2F"
"FBXW9","FBXO41"
"FBXW9","KBTBD13"
"FBXW9","UBE3B"
"FBXW9","UBE3D"
"FBXW9","FBXL22"
"FBXW9","UFL1"
"TRIM62","GBP4"
"TRIM62","GBP7"
"TRIM62","HLA-DQB1"
"TRIM62","HLA-DQA2"
"RNF182","ZNRF2"
"RNF182","ZNF645"
"RNF182","WSB1"
"RNF182","UNKL"
"RNF182","RNF217"
"RNF182","UBE2F"
"RNF182","FBXO41"
"RNF182","KBTBD13"
