"V1","V2"
"ZNF217","ZNF541"
"H2AFB1","ZNF217"
"H2AFB1","HOXA4"
"TIMP3","ZUFSP"
"NOTCH4","MAMLD1"
"SIRT4","WDTC1"
"UBE2Q1","WSB1"
"TNFRSF10C","TNFRSF10D"
"MAML2","MAMLD1"
"MAML2","NOTCH4"
"YY1","H2AFB1"
"TPX2","ZWINT"
"SLC2A2","LEP"
"THBS1","H2AFB1"
"TMED9","THAP8"
"IL6","LEP"
"IL6","SHISA5"
"UHRF2","YY1"
"RARB","HOXA4"
"RARB","H2AFB1"
"RARB","YY1"
"ZHX1","TNFRSF10C"
"ZHX1","ZMYND11"
"TNRC6C","ZNF217"
"TNRC6C","H2AFB1"
"TNRC6C","MAMLD1"
"TNRC6C","NOTCH4"
"TNRC6C","MAML2"
"NFKBIB","PSMB11"
"SPSB1","WSB1"
"SPSB1","UBE2Q1"
"TXNRD1","GPX2"
"CXCL12","IL6"
"H2AFJ","ZNF217"
"H2AFJ","HOXA4"
"H2AFJ","H2AFB1"
"H2AFJ","YY1"
"H2AFJ","THBS1"
"H2AFJ","RARB"
"H2AFJ","TNRC6C"
"PLK3","VRK1"
"TAF7L","TBPL2"
"SESN3","PRKAG3"
"THRB","RARB"
"TBPL1","TBPL2"
"TBPL1","TAF7L"
"TP53AIP1","ZNF420"
"TRIAP1","SLMO1"
"HAMP","IL6"
"PRKAG2","LEP"
"PRKAG2","PRKAG3"
"PRKAG2","SESN3"
"PKNOX1","H2AFB1"
"PKNOX1","H2AFJ"
"TOP2B","TOP1MT"
"TLR3","IL6"
"UCHL1","WDR82"
"ZEB2","TWIST2"
"VEGFA","LEP"
"VEGFA","NOTCH4"
"VEGFA","THBS1"
"VEGFA","IL6"
"VEGFA","CXCL12"
"SESN1","SESN3"
"SNRPN","VRK3"
"SNRPN","YBX1"
"GDF15","IL6"
"GDF15","HAMP"
"XAF1","XIAP"
"XAF1","RNASEL"
"MMP9","LEP"
"MMP9","TIMP3"
"MMP9","THBS1"
"MMP9","IL6"
"MMP9","CXCL12"
"MMP9","VEGFA"
"TNKS1BP1","GADD45B"
"APOH","TIMP3"
"YWHAQ","VRK3"
"YWHAQ","USP42"
"YWHAQ","DDIT4"
"YWHAQ","TRIM59"
"SPICE1","TOP2B"
"SPICE1","TCHP"
"TAF13","TBPL2"
"TAF13","TAF7L"
"ZDHHC18","ZDHHC23"
"NTHL1","OGG1"
"NTHL1","UMPS"
"XPC","CSB-PGBD3"
"XPC","YY1"
"XPC","TOP2B"
"TAF9B","TBPL2"
"TAF9B","TAF7L"
"TAF9B","TBPL1"
"TAF9B","SUPT7L"
"TAF9B","TAF13"
"TFAP2C","YY1"
"TFAP2C","UBN1"
"IGFBP3","SHISA5"
"IGFBP3","IL6"
"IGFBP3","TMEM219"
"IGFBP3","VEGFA"
"MMP1","TIMP3"
"MMP1","IL6"
"MMP1","VEGFA"
"MMP1","MMP9"
"MMP1","IGFBP3"
"UBE4B","XPC"
"PLAC8","VAT1"
"BDNF","ZNF274"
"BDNF","LEP"
"BDNF","IL6"
"BDNF","VEGFA"
"PHC1","H2AFB1"
"PHC1","TNRC6C"
"PHC1","H2AFJ"
"RABL6","ZWINT"
"SIRT5","WDTC1"
"INS","ZDHHC23"
"INS","LEP"
"INS","WDTC1"
"INS","SLC2A2"
"INS","TMED9"
"INS","IL6"
"INS","DDIT4"
"INS","VEGFA"
"INS","MMP9"
"INS","ZDHHC18"
"INS","IGFBP3"
"INS","BDNF"
"ANG","VEGFA"
"TAF7","TBPL2"
"TAF7","TAF7L"
"TAF7","SUPT7L"
"TAF7","TAF13"
"TAF7","TAF9B"
"TFAP2B","YY1"
"TFAP2B","TFAP2C"
"PTX3","IL6"
"PTX3","MMP9"
"PHC3","H2AFB1"
"PHC3","TNRC6C"
"PHC3","H2AFJ"
"PHC3","PHC1"
"SIRT3","WDTC1"
"SIRT3","SIRT4"
"SIRT3","SIRT5"
"SNAI2","TWIST2"
"SNAI2","MMP9"
"SNAI2","PHC1"
"SNAI2","PHC3"
"VDR","RARB"
"VDR","TOP2B"
"VDR","TAF7"
"POLR2K","HOXA4"
"POLR2K","H2AFB1"
"POLR2K","YY1"
"POLR2K","POLD3"
"POLR2K","RARB"
"POLR2K","H2AFJ"
"POLR2K","TAF7L"
"POLR2K","PKNOX1"
"POLR2K","YBX1"
"POLR2K","SNRPN"
"POLR2K","TAF13"
"POLR2K","TAF9B"
"POLR2K","TAF7"
"TTK","ZWINT"
"TTK","TPX2"
"TTK","UBE4B"
"TTK","PHC1"
"TTK","SLC2A12"
"TAF1L","TBPL2"
"TAF1L","TAF7L"
"TAF1L","TBPL1"
"TAF1L","TAF13"
"TAF1L","TAF9B"
"TAF1L","TAF7"
"TAF1L","POLR2K"
"TAF12","TBPL2"
"TAF12","ZWINT"
"TAF12","TAF7L"
"TAF12","TBPL1"
"TAF12","SUPT7L"
"TAF12","TAF13"
"TAF12","TAF9B"
"TAF12","TAF7"
"TAF12","POLR2K"
"TAF12","TAF1L"
"TP53BP2","YWHAQ"
"TRIM69","WSB1"
"TRIM69","UBE2Q1"
"TRIM69","SPSB1"
"TRIM69","TLR3"
"USP1","POLD3"
"MEF2A","MEF2B"
"ZBTB16","WSB1"
