"V1","V2"
"USP17L3","USP17L8"
"USP17L4","USP17L8"
"USP17L4","USP17L3"
"USP17L5","USP17L8"
"USP17L5","USP17L3"
"USP17L5","USP17L4"
"USP17L22","USP17L8"
"USP17L22","USP17L3"
"USP17L22","USP17L4"
"USP17L22","USP17L5"
"USP17L20","USP17L8"
"USP17L20","USP17L3"
"USP17L20","USP17L4"
"USP17L20","USP17L5"
"USP17L20","USP17L22"
"USP17L21","USP17L8"
"USP17L21","USP17L3"
"USP17L21","USP17L4"
"USP17L21","USP17L5"
"USP17L21","USP17L22"
"USP17L21","USP17L20"
"MTCP1","TCL1B"
"USP17L19","USP17L8"
"USP17L19","USP17L3"
"USP17L19","USP17L4"
"USP17L19","USP17L5"
"USP17L19","USP17L22"
"USP17L19","USP17L20"
"USP17L19","USP17L21"
"USP17L18","USP17L8"
"USP17L18","USP17L3"
"USP17L18","USP17L4"
"USP17L18","USP17L5"
"USP17L18","USP17L22"
"USP17L18","USP17L20"
"USP17L18","USP17L21"
"USP17L18","USP17L19"
"USP17L12","USP17L8"
"USP17L12","USP17L3"
"USP17L12","USP17L4"
"USP17L12","USP17L5"
"USP17L12","USP17L22"
"USP17L12","USP17L20"
"USP17L12","USP17L21"
"USP17L12","USP17L19"
"USP17L12","USP17L18"
"USP17L10","USP17L8"
"USP17L10","USP17L3"
"USP17L10","USP17L4"
"USP17L10","USP17L5"
"USP17L10","USP17L22"
"USP17L10","USP17L20"
"USP17L10","USP17L21"
"USP17L10","USP17L19"
"USP17L10","USP17L18"
"USP17L10","USP17L12"
"USP17L15","USP17L8"
"USP17L15","USP17L3"
"USP17L15","USP17L4"
"USP17L15","USP17L5"
"USP17L15","USP17L22"
"USP17L15","USP17L20"
"USP17L15","USP17L21"
"USP17L15","USP17L19"
"USP17L15","USP17L18"
"USP17L15","USP17L12"
"USP17L15","USP17L10"
"USP17L17","USP17L8"
"USP17L17","USP17L3"
"USP17L17","USP17L4"
"USP17L17","USP17L5"
"USP17L17","USP17L22"
"USP17L17","USP17L20"
"USP17L17","USP17L21"
"USP17L17","USP17L19"
"USP17L17","USP17L18"
"USP17L17","USP17L12"
"USP17L17","USP17L10"
"USP17L17","USP17L15"
"USP17L11","USP17L8"
"USP17L11","USP17L3"
"USP17L11","USP17L4"
"USP17L11","USP17L5"
"USP17L11","USP17L22"
"USP17L11","USP17L20"
"USP17L11","USP17L21"
"USP17L11","USP17L19"
"USP17L11","USP17L18"
"USP17L11","USP17L12"
"USP17L11","USP17L10"
"USP17L11","USP17L15"
"USP17L11","USP17L17"
"USP17L1P","USP17L8"
"USP17L1P","USP17L3"
"USP17L1P","USP17L4"
"USP17L1P","USP17L5"
"USP17L1P","USP17L22"
"USP17L1P","USP17L20"
"USP17L1P","USP17L21"
"USP17L1P","USP17L19"
"USP17L1P","USP17L18"
"USP17L1P","USP17L12"
"USP17L1P","USP17L10"
"USP17L1P","USP17L15"
"USP17L1P","USP17L17"
"USP17L1P","USP17L11"
"USP17L13","USP17L8"
"USP17L13","USP17L3"
"USP17L13","USP17L4"
"USP17L13","USP17L5"
"USP17L13","USP17L22"
"USP17L13","USP17L20"
"USP17L13","USP17L21"
"USP17L13","USP17L19"
"USP17L13","USP17L18"
"USP17L13","USP17L12"
"USP17L13","USP17L10"
"USP17L13","USP17L15"
"USP17L13","USP17L17"
"USP17L13","USP17L11"
"USP17L13","USP17L1P"
"ZNF645","ZNRF2"
"WSB1","ZNRF2"
"WSB1","ZNF645"
"UNKL","ZNRF2"
"UNKL","ZNF645"
"UNKL","WSB1"
"IFNA6","IFNA16"
"IFNA7","IFNA16"
"IFNA7","IFNA6"
"UTP14C","WDR75"
"UTP11L","WDR75"
"UTP11L","UTP14C"
"RRP36","WDR75"
"RRP36","UTP14C"
"RRP36","UTP11L"
"RNF217","ZNRF2"
"RNF217","ZNF645"
"RNF217","WSB1"
"RNF217","UNKL"
"UBE2F","ZNRF2"
"UBE2F","ZNF645"
"UBE2F","WSB1"
"UBE2F","UNKL"
"UBE2F","RNF217"
"NEURL2","WSB1"
"NEURL2","UBE2F"
"IFI6","IFITM1"
"RTP4","SAMD9L"
"CSF3","LEP"
"IL23R","TSLP"
"IL23R","CSF3"
"IL13","TSLP"
"IL13","MRC1"
"IL13","CSF3"
"IL13","IL23R"
"FBXO41","ZNRF2"
"FBXO41","ZNF645"
"FBXO41","WSB1"
"FBXO41","UNKL"
"FBXO41","RNF217"
"FBXO41","UBE2F"
"FBXO41","NEURL2"
"KBTBD13","ZNRF2"
"KBTBD13","ZNF645"
"KBTBD13","WSB1"
"KBTBD13","UNKL"
"KBTBD13","RNF217"
"KBTBD13","UBE2F"
"KBTBD13","NEURL2"
"KBTBD13","FBXO41"
"OLR1","TMBIM1"
"VCAN","TLR6"
"GNG13","PIK3R6"
"GNG8","PIK3R6"
"GNG8","GNG13"
"IL2","CSF3"
"IL2","IL23R"
"IL2","IL13"
"IFNB1","IFNA16"
"IFNB1","IFNA6"
"IFNB1","IFNA7"
"PCYT1B","CHKB"
"UBE3B","ZNRF2"
"UBE3B","ZNF645"
"UBE3B","WSB1"
"UBE3B","UNKL"
"UBE3B","RNF217"
"UBE3B","UBE2F"
"UBE3B","FBXO41"
"UBE3B","KBTBD13"
"UBE3D","ZNRF2"
"UBE3D","ZNF645"
"UBE3D","WSB1"
"UBE3D","UNKL"
"UBE3D","RNF217"
"UBE3D","UBE2F"
"UBE3D","FBXO41"
"UBE3D","KBTBD13"
"UBE3D","UBE3B"
"TULP4","WSB1"
"TULP4","UBE2F"
"TULP4","NEURL2"
"TULP4","FBXO41"
"TULP4","KBTBD13"
"ITGAX","LY75"
"ITGAX","MRC1"
"ITGAX","CD1C"
"ITGAX","TLR8"
"ITGAX","ENSG00000173366"
"ITGAX","IL13"
"ITGAX","OLR1"
"ITGAX","IL2"
"GNG3","PIK3R6"
"GNG3","GNG13"
"GNG3","GNG8"
"CCR2","GNG13"
"CCR2","GNG8"
"CCR2","IL2"
"CCR2","ITGAX"
"CCR2","GNG3"
"FBXL22","ZNRF2"
"FBXL22","ZNF645"
"FBXL22","WSB1"
"FBXL22","UNKL"
"FBXL22","RNF217"
"FBXL22","UBE2F"
"FBXL22","NEURL2"
"FBXL22","FBXO41"
"FBXL22","KBTBD13"
"FBXL22","UBE3B"
"FBXL22","UBE3D"
"FBXL22","TULP4"
"UFL1","ZNRF2"
"UFL1","ZNF645"
"UFL1","WSB1"
"UFL1","UNKL"
"UFL1","RNF217"
"UFL1","UBE2F"
"UFL1","FBXO41"
"UFL1","KBTBD13"
"UFL1","UBE3B"
"UFL1","UBE3D"
"UFL1","FBXL22"
"SURF1","TACO1"
"IFITM2","IFITM1"
"IFITM2","IFI6"
"CLEC4C","CD1C"
"CLEC4C","OLR1"
"CLEC4C","ITGAX"
"SELL","VCAN"
"SELL","IL2"
"SELL","ITGAX"
"SELL","CCR2"
"FBXW9","ZNRF2"
"FBXW9","ZNF645"
"FBXW9","WSB1"
"FBXW9","UNKL"
"FBXW9","RNF217"
"FBXW9","UBE2F"
"FBXW9","NEURL2"
"FBXW9","FBXO41"
"FBXW9","KBTBD13"
"FBXW9","UBE3B"
"FBXW9","UBE3D"
"FBXW9","TULP4"
"FBXW9","FBXL22"
"FBXW9","UFL1"
"ETNPPL","CHKB"
"RNF182","ZNRF2"
"RNF182","ZNF645"
"RNF182","WSB1"
"RNF182","UNKL"
"RNF182","RNF217"
"RNF182","UBE2F"
"RNF182","FBXO41"
"RNF182","KBTBD13"
"RNF182","UBE3B"
"RNF182","UBE3D"
"RNF182","FBXL22"
"RNF182","UFL1"
"RNF182","FBXW9"
"FBXW10","ZNRF2"
"FBXW10","ZNF645"
"FBXW10","WSB1"
"FBXW10","UNKL"
"FBXW10","RNF217"
"FBXW10","UBE2F"
"FBXW10","NEURL2"
"FBXW10","FBXO41"
"FBXW10","KBTBD13"
"FBXW10","UBE3B"
"FBXW10","UBE3D"
"FBXW10","TULP4"
"FBXW10","FBXL22"
"FBXW10","UFL1"
"FBXW10","FBXW9"
"FBXW10","RNF182"
"RHO","GNG13"
"RHO","GNG8"
"RHO","GNG3"
"VAV2","PIK3R6"
"GHRHR","GNG13"
"GHRHR","GNG8"
"GHRHR","GNG3"
"IL4","TSLP"
"IL4","MRC1"
"IL4","CD1C"
"IL4","CSF3"
"IL4","IL23R"
"IL4","IL13"
"IL4","IL2"
"IL4","ITGAX"
"IL4","CCR2"
"IL4","SELL"
"ACHE","CHKB"
"USP4","XIAP"
"RCE1","USP17L8"
"RCE1","USP17L3"
"RCE1","USP17L4"
"RCE1","USP17L5"
"RCE1","USP17L22"
"RCE1","USP17L20"
"RCE1","USP17L21"
"RCE1","USP17L19"
"RCE1","USP17L18"
"RCE1","USP17L12"
"RCE1","USP17L10"
"RCE1","USP17L15"
"RCE1","USP17L17"
"RCE1","USP17L11"
"RCE1","USP17L1P"
"RCE1","USP17L13"
"UBE2Q1","ZNRF2"
"UBE2Q1","ZNF645"
"UBE2Q1","WSB1"
"UBE2Q1","UNKL"
"UBE2Q1","RNF217"
"UBE2Q1","UBE2F"
"UBE2Q1","FBXO41"
"UBE2Q1","KBTBD13"
"UBE2Q1","UBE3B"
"UBE2Q1","UBE3D"
"UBE2Q1","FBXL22"
"UBE2Q1","UFL1"
"UBE2Q1","FBXW9"
"UBE2Q1","RNF182"
"UBE2Q1","FBXW10"
"PTPRZ1","VCAN"
"TYK2","IFNA16"
"TYK2","IFNA6"
"TYK2","IFNA7"
"TYK2","IL23R"
"TYK2","IL13"
"TYK2","IFNB1"
"TYK2","IL27"
"TYK2","IL4"
"TREM2","VAV2"
"TIMM8B","TIMM17A"
"IDO1","IL2"
"IDO1","IL4"
"TREM1","TREM2"
"IP6K2","IFITM1"
"IP6K2","IFI6"
"IP6K2","IFITM2"
"GPCPD1","CHKB"
"GPCPD1","ACHE"
"LILRB2","OLR1"
"LILRB2","ITGAX"
"LILRB2","CLEC4C"
"IL17A","CSF3"
"IL17A","IL23R"
"IL17A","IL13"
"IL17A","IL2"
