"node","type"
"11250.MATRX_HRSVB",0
"11250.FUS_HRSVB",0
"11250.NCAP_HRSVB",0
"11250.M21_HRSVB",0
"11250.PHOSP_HRSVB",0
"11250.GLYC_HRSVB",0
"11250.NS2_HRSVB",0
"11250.NS1_HRSVB",0
"SFXN3",2
"TLR2",2
"IFIH1",2
"AKT3",2
"CHKA",2
"SFXN5",2
"LY96",2
"TLR3",2
"HSPA4",2
"SOCS5",2
"CD209",2
"STAT2",2
"SFXN1",2
"NCL",2
"SOCS1",2
"SOCS3",2
"SFXN4",2
"TLR9",2
"SFXN2",2
"TLR4",2
"DDX58",2
"TLR7",2
"AKT2",2
"SOCS6",2
"CISH",2
"KLF6",2
"PIM1",2
"EFTUD2",2
"GLS",2
"LARP7",2
"KRT18",2
"BRAF",2
"CDK11B",2
"MOV10",2
"RALGAPA2",2
"DDX50",2
"COX15",2
"GBAS",2
"FN1",2
"ARIH1",2
"HRAS",2
"SNCA",2
"CALM1",2
"MYC",2
"SIRT1",2
"GSK3B",2
"MAPK1",2
"KCNH2",2
"NTRK1",2
"HIST1H3E",2
"HSPA4L",2
"FBXO45",2
"CUL4A",2
"AGR2",2
"AGTRAP",2
"HNRNPA1",2
"ACTN4",2
"CRK",2
"CCNA2",2
"ISG15",2
"BCOR",2
"DNMT1",2
"BAG2",2
"AGK",2
"NCBP1",2
"ADSL",2
"EP300",2
"GRWD1",2
"BRIX1",2
"ITFG1",2
"ESR1",2
"CSNK2A2",2
"EP400",2
"CDC73",2
"BGN",2
"HSP90B1",2
"NUP160",2
"CCT7",2
"KRAS",2
"PAN2",2
"STAU1",2
"MGRN1",2
"MLH1",2
"HNRNPL",2
"EZH2",2
"ACADM",2
"SLC39A9",2
"EIF5B",2
"AP2B1",2
"KIAA1429",2
"HGS",2
"CUL7",2
"CUL1",2
"S100A9",2
"APP",2
"HSPA5",2
"EXOSC9",2
"DCUN1D5",2
"SLC25A11",2
"COPA",2
"ENO1",2
"ESYT1",2
"FADD",2
"H2AFX",2
"NR0B2",2
"GAN",2
"FCF1",2
