"V1","V2"
"NRG4","NRG2"
"MOV10L1","TDRD12"
"CALML4","MYLK3"
"IL2","UGCG"
"WIPI2","WIPI1"
"PIWIL4","TDRD12"
"PIWIL4","MOV10L1"
"VMP1","WIPI1"
"MYLK4","CALML4"
"TDRD1","TDRD12"
"TDRD1","MOV10L1"
"TDRD1","PIWIL4"
"ULK2","WIPI1"
"ULK2","WIPI2"
"NRG3","NRG2"
"NRG3","NRG4"
"TDRKH","TDRD12"
"TDRKH","MOV10L1"
"TDRKH","PIWIL4"
"TDRKH","TDRD1"
"MEFV","NLRP12"
"USP4","XIAP"
"SLC12A3","WNK4"
"MAEL","TDRD12"
"MAEL","MOV10L1"
"MAEL","PIWIL4"
"MAEL","TDRD1"
"MAEL","TDRKH"
"CSF2RA","IL2"
"OMG","RTN4R"
"WWP1","FBXO9"
"YES1","NRG2"
"YES1","NRG4"
"YES1","NRG3"
"TCF25","XIAP"
"TPX2","ZWINT"
"TPX2","ZNF598"
"RGS11","RGS7"
"WDR81","WDR91"
"RGS6","RGS7"
"RGS6","RGS11"
"MAPK15","WDR81"
"STK38","ZNF598"
"SLC25A22","WDTC1"
"IL6","TLR6"
"IL6","IL2"
"IL6","TYK2"
"IL6","CSF2RA"
"ATG4D","WIPI1"
"ATG4D","WIPI2"
"ATG4D","ULK2"
"PYDC1","TRIM40"
"MUSK","RAPSN"
"SPSB1","FBXO9"
"SPSB1","WWP1"
"WSB2","FBXO9"
"WSB2","SPSB1"
"KLHL25","FBXO9"
"KLHL25","WWP1"
"KLHL25","SPSB1"
"KLHL25","WSB2"
"MAG","RTN4RL2"
"MAG","RTN4R"
"MAG","OMG"
"TDRD9","TDRD12"
"TDRD9","MOV10L1"
"TDRD9","PIWIL4"
"TDRD9","TDRD1"
"TDRD9","TDRKH"
"TDRD9","MAEL"
"RTN4RL1","RTN4RL2"
"UNK","IP6K2"
"RIPK3","XIAP"
"RIPK3","TICAM2"
"RIPK3","NFKBIB"
"SFI1","TPX2"
"WASF1","WASL"
"ZFP36L2","UNC45B"
"ZFP36L2","ZFYVE21"
"ZFP36L2","TRAPPC9"
"ZFP36L2","STK38"
"IFNG","IL2"
"IFNG","IL6"
"PLXNA4","SEMA3A"
"PAK3","SEMA3A"
"PAK3","RAPSN"
"PAK3","MUSK"
"PAK3","PLXNA4"
"TMEM43","ZNF598"
"TP53RK","VARS"
"TLR2","TLR6"
"TLR2","IL6"
"TLR2","IFNG"
"TUBG2","SFI1"
"TTBK2","ZWINT"
"TTBK2","SFI1"
"TUBGCP5","SFI1"
"TUBGCP5","TUBG2"
"ATG10","WIPI1"
"ATG10","WIPI2"
"PRKAG2","PRKAG3"
"USP13","USP50"
"TOP2B","UNK"
"RAB40A","RAB33A"
"BTC","NRG2"
"BTC","NRG4"
"BTC","NRG3"
"BTC","YES1"
"TLR3","IL6"
"TLR3","TICAM2"
"TLR3","RIPK3"
"ASZ1","TDRD12"
"ASZ1","MOV10L1"
"ASZ1","PIWIL4"
"ASZ1","TDRD1"
"ASZ1","TDRKH"
"ASZ1","MAEL"
"ASZ1","TDRD9"
"EREG","NRG2"
"EREG","NRG4"
"EREG","NRG3"
