"node","type"
"147711.PRO_0000040053",0
"147711.PRO_0000426572",0
"RTN2",2
"RTN1",2
"HSP90AA1",2
"RTN4",2
"BECN1",2
"IKBKB",2
"CHTF18",2
"CYLD",2
"ELAVL1",2
"EPHA2",2
"HDAC5",2
"MCM2",2
"EGFR",2
"CEP250",2
"PIM1",2
"EFTUD2",2
"RAB9A",2
"CDK7",2
"LARP7",2
"BAK1",2
"CDK6",2
"BRAF",2
"CDK11B",2
"FN1",2
"FUS",2
"PSMA5",2
"HRAS",2
"SNCA",2
"CALM1",2
"ALDOA",2
"MYC",2
"SIRT1",2
"GSK3B",2
"MAPK1",2
"KCNH2",2
"NTRK1",2
"HSPA4L",2
"CUL4A",2
"AGR2",2
"HNRNPA1",2
"CRK",2
"HK2",2
"ISG15",2
"BAG2",2
"CEP135",2
"EP300",2
"FAM134C",2
"EEF1G",2
"GRWD1",2
"ITFG1",2
"BCAR1",2
"ESR1",2
"CSNK2A2",2
"CSNK2B",2
"CDC73",2
"HSP90B1",2
"CCT7",2
"KRAS",2
"PAN2",2
"DDB1",2
"EZH2",2
"KIAA1429",2
"CUL1",2
"APP",2
"HSPA5",2
"HUS1",2
"GNAI2",2
"ENO1",2
"FADD",2
"H2AFX",2
"GAN",2
"RAB3IP",2
"HNRNPM",2
"BRCA1",2
"CHUK",2
"RNF2",2
"HIF1A",2
"CDC37",2
"ATG16L1",2
"TPM3",2
"CANX",2
"CAV1",2
"RPL23A",2
"DSN1",2
"ILF3",2
"LMNA",2
"RNF4",2
"CDC5L",2
"PPARG",2
"COPS6",2
"CDK9",2
"ITCH",2
"HNRNPC",2
"HSPH1",2
"FKBP8",2
"EPHA4",2
"HNRNPU",2
"CDC34",2
"IKBKG",2
"DCTN1",2
"NR4A1",2
"KLHL13",2
"AURKA",2
"ARRB1",2
"PXN",2
"NPM1",2
"GNB2L1",2
"TRIM27",2
"ESR2",2
"CFTR",2
"HSPD1",2
"FBXO7",2
"CDH1",2
"BAG3",2
"HSPE1",2
"CSNK2A1",2
"EIF2AK2",2
"FBXW11",2
"RNF31",2
"JUN",2
"MAP3K7",2
"MAP2K5",2
"UBC",2
"MDN1",2
"AKT3",2
"HSPA4",2
"RPS6KA2",2
"CDK1",2
"KBTBD7",2
"SNW1",2
"MAPK7",2
"DYNC1I2",2
"MTOR",2
"TP53",2
"ATP5A1",2
"COPS3",2
"CUL5",2
"BNIP3",2
"CRMP1",2
"COPS5",2
"FBXL15",2
"MDM2",2
"LRPPRC",2
"NCL",2
"CEP57",2
"HSPA9",2
"BCL10",2
"CHD3",2
"CACYBP",2
"RECQL4",2
"CUL2",2
"TRAF1",2
"GRB2",2
"ACBD3",2
"CDK2",2
"LCK",2
"SPOP",2
"APEX1",2
"CAT",2
"RFWD3",2
"MAFG",2
"VCP",2
"PCBP1",2
"TNFRSF1A",2
"MAPRE1",2
"EGLN3",2
"HSD17B10",2
"AHR",2
"CEP63",2
"HSPA8",2
"CALR",2
"PRKDC",2
"PSMB5",2
"PRKD2",2
"EPRS",2
"RPL7",2
"GUCY1A2",2
"CLTC",2
"BTRC",2
"SMAD2",2
"RUVBL1",2
"FRS2",2
"CASP3",2
