"V1","V2"
"DLL4","NEURL1B"
"NOTCH4","DLL4"
"NEURL1","DLL4"
"HES5","NOTCH4"
"JAG1","NEURL1B"
"JAG1","DLL4"
"JAG1","NOTCH4"
"JAG1","NEURL1"
"JAG1","HES5"
"DLL1","NEURL1B"
"DLL1","DLL4"
"DLL1","NOTCH4"
"DLL1","NEURL1"
"DLL1","HES5"
"DLL1","JAG1"
"WWP2","DLL4"
"WWP2","JAG1"
"WWP2","DLL1"
"MIB2","NEURL1B"
"MIB2","DLL4"
"MIB2","NEURL1"
"MIB2","JAG1"
"MIB2","DLL1"
"ADAM10","DLL4"
"ADAM10","NOTCH4"
"ADAM10","JAG1"
"ADAM10","DLL1"
"UBA52","NEURL1B"
"UBA52","DLL4"
"UBA52","NOTCH4"
"UBA52","NEURL1"
"UBA52","JAG1"
"UBA52","DLL1"
"UBA52","TRIM13"
"UBA52","SHH"
"UBA52","WWP2"
"UBA52","MIB2"
"UBA52","ADAM10"
"MIB1","NEURL1B"
"MIB1","DLL4"
"MIB1","NEURL1"
"MIB1","JAG1"
"MIB1","DLL1"
"MIB1","MIB2"
"MIB1","UBA52"
"NOTCH2","NEURL1B"
"NOTCH2","DLL4"
"NOTCH2","NOTCH4"
"NOTCH2","VASN"
"NOTCH2","NEURL1"
"NOTCH2","HES5"
"NOTCH2","JAG1"
"NOTCH2","DLL1"
"NOTCH2","MIB2"
"NOTCH2","ADAM10"
"NOTCH2","UBA52"
"NOTCH2","MIB1"
"UBB","NEURL1B"
"UBB","DLL4"
"UBB","NOTCH4"
"UBB","NEURL1"
"UBB","JAG1"
"UBB","DLL1"
"UBB","TRIM13"
"UBB","SHH"
"UBB","WWP2"
"UBB","MIB2"
"UBB","ADAM10"
"UBB","UBA52"
"UBB","MIB1"
"UBB","NOTCH2"
"RBPJ","DLL4"
"RBPJ","NOTCH4"
"RBPJ","HES5"
"RBPJ","JAG1"
"RBPJ","DLL1"
"RBPJ","NOTCH2"
"ATN1","WWP2"
"BMP4","SHH"
"BMP4","ADAM10"
"HEY2","DLL4"
"HEY2","NOTCH4"
"HEY2","JAG1"
"HEY2","NOTCH2"
"HEY2","RBPJ"
"ATXN7","UBA52"
"ATXN7","UBB"
"TMEM216","TRIM13"
"ADAM17","DLL4"
"ADAM17","NOTCH4"
"ADAM17","JAG1"
"ADAM17","DLL1"
"ADAM17","SHH"
"ADAM17","ADAM10"
"ADAM17","UBA52"
"ADAM17","NOTCH2"
"ADAM17","UBB"
"NOTCH1","NEURL1B"
"NOTCH1","DLL4"
"NOTCH1","NOTCH4"
"NOTCH1","NEURL1"
"NOTCH1","HES5"
"NOTCH1","JAG1"
"NOTCH1","DLL1"
"NOTCH1","SHH"
"NOTCH1","MIB2"
"NOTCH1","ADAM10"
"NOTCH1","UBA52"
"NOTCH1","MIB1"
"NOTCH1","NOTCH2"
"NOTCH1","UBB"
"NOTCH1","RBPJ"
"NOTCH1","BMP4"
"NOTCH1","HEY2"
"NOTCH1","ADAM17"
"MAML1","NOTCH4"
"MAML1","HES5"
"MAML1","JAG1"
"MAML1","DLL1"
"MAML1","NOTCH2"
"MAML1","RBPJ"
"MAML1","HEY2"
"MAML1","NOTCH1"
"TCTN2","TRIM13"
"TCTN2","TMEM216"
"RPS27A","NEURL1B"
"RPS27A","DLL4"
"RPS27A","NOTCH4"
"RPS27A","NEURL1"
"RPS27A","JAG1"
"RPS27A","DLL1"
"RPS27A","TRIM13"
"RPS27A","SHH"
"RPS27A","WWP2"
"RPS27A","MIB2"
"RPS27A","ADAM10"
"RPS27A","UBA52"
"RPS27A","MIB1"
"RPS27A","NOTCH2"
"RPS27A","UBB"
"RPS27A","ATXN7"
"RPS27A","ADAM17"
"RPS27A","NOTCH1"
"HEY1","DLL4"
"HEY1","NOTCH4"
"HEY1","JAG1"
"HEY1","DLL1"
"HEY1","NOTCH2"
"HEY1","RBPJ"
"HEY1","HEY2"
"HEY1","NOTCH1"
"HEY1","MAML1"
"GFI1B","NOTCH1"
"CACNA1A","ATXN7"
"CACNA1A","NOTCH1"
"CACNA1A","TCTN2"
"TRIM25","ADAM10"
"TRIM25","UBA52"
"TRIM25","UBB"
"TRIM25","ATN1"
"TRIM25","NOTCH1"
"TRIM25","RPS27A"
"NOTCH3","NEURL1B"
"NOTCH3","DLL4"
"NOTCH3","NOTCH4"
"NOTCH3","NEURL1"
"NOTCH3","HES5"
"NOTCH3","JAG1"
"NOTCH3","DLL1"
"NOTCH3","WWP2"
"NOTCH3","MIB2"
"NOTCH3","ADAM10"
"NOTCH3","UBA52"
"NOTCH3","MIB1"
"NOTCH3","NOTCH2"
"NOTCH3","UBB"
"NOTCH3","RBPJ"
"NOTCH3","HEY2"
"NOTCH3","ADAM17"
"NOTCH3","NOTCH1"
"NOTCH3","MAML1"
"NOTCH3","RPS27A"
"NOTCH3","HEY1"
"TMEM17","TRIM13"
"TMEM17","NOTCH2"
"TMEM17","TMEM216"
"TMEM17","NOTCH1"
"TMEM17","TCTN2"
"UBC","NEURL1B"
"UBC","DLL4"
"UBC","NOTCH4"
"UBC","NEURL1"
"UBC","JAG1"
"UBC","DLL1"
"UBC","TRIM13"
"UBC","SHH"
"UBC","WWP2"
"UBC","MIB2"
"UBC","ADAM10"
"UBC","UBA52"
"UBC","MIB1"
"UBC","NOTCH2"
"UBC","UBB"
"UBC","ATXN7"
"UBC","ADAM17"
"UBC","NOTCH1"
"UBC","RPS27A"
"UBC","TRIM25"
"UBC","NOTCH3"
"HNRNPL","WWP2"
"HNRNPL","NOTCH2"
"HNRNPL","ATXN7"
"HNRNPL","TRIM25"
"HNRNPL","NOTCH3"
"HNRNPL","UBC"
"HNRNPL","CDK9"
"ADAM32","NOTCH3"
"JAG2","epithelial cell apoptotic process involved in palatal shelf morphogenesis"
"JAG2","positive regulation of Notch signaling pathway"
"JAG2","negative regulation of Notch signaling pathway"
"JAG2","thymic T cell selection"
"JAG2","gamma-delta T cell differentiation"
"JAG2","odontogenesis of dentin-containing tooth"
"JAG2","regulation of cell population proliferation"
"JAG2","T cell differentiation"
"JAG2","regulation of cell adhesion"
"JAG2","cell differentiation"
"JAG2","morphogenesis of embryonic epithelium"
"JAG2","auditory receptor cell fate commitment"
"JAG2","growth factor activity"
"JAG2","spermatogenesis"
"JAG2","Notch signaling pathway"
"JAG2","integral component of plasma membrane"
"JAG2","plasma membrane"
"JAG2","protein binding"
"JAG2","calcium ion binding"
"JAG2","Notch binding"
"JAG2","respiratory system process"
"JAG2","in utero embryonic development"
"JAG2","skeletal system development"
"JAG2","NEURL1B"
"JAG2","DLL4"
"JAG2","NOTCH4"
"JAG2","VASN"
"JAG2","NEURL1"
"JAG2","UST"
"JAG2","HES5"
"JAG2","JAG1"
"JAG2","DLL1"
"JAG2","TRIM13"
"JAG2","STS"
"JAG2","SHH"
"JAG2","WWP2"
"JAG2","MIB2"
"JAG2","ADAM10"
"JAG2","UBA52"
"JAG2","MIB1"
"JAG2","NOTCH2"
"JAG2","LPPR1"
"JAG2","UBB"
"JAG2","RBPJ"
"JAG2","ATN1"
"JAG2","BMP4"
"JAG2","HEY2"
"JAG2","CORO1B"
"JAG2","ATXN7"
"JAG2","TMEM216"
"JAG2","ADAM17"
"JAG2","NOTCH1"
"JAG2","MAML1"
"JAG2","TCTN2"
"JAG2","RPS27A"
"JAG2","HEY1"
"JAG2","ATP1B4"
"JAG2","GFI1B"
"JAG2","CACNA1A"
"JAG2","TRIM25"
"JAG2","NOTCH3"
"JAG2","TMEM30B"
"JAG2","TMEM17"
"JAG2","UBC"
"JAG2","CDK9"
"JAG2","HNRNPL"
"JAG2","ADAM32"
"11786.PRO_5000053622","JAG2"
"11786.PRO_5000053622","JAG2"
