"node","type"
"11161.MATRX_MUMPM",0
"11161.HN_MUMPM",0
"11161.FUS_MUMPM",0
"SFXN3",2
"AKT3",2
"SFXN5",2
"LY96",2
"SOCS5",2
"CD46",2
"SFXN1",2
"SOCS1",2
"SOCS3",2
"SFXN4",2
"SFXN2",2
"TLR4",2
"AKT2",2
"SOCS6",2
"CISH",2
"HDAC5",2
"EGFR",2
"EFTUD2",2
"GLS",2
"MOV10",2
"RALGAPA2",2
"ITGB1",2
"COX15",2
"GBAS",2
"HRAS",2
"CALM1",2
"MYC",2
"SIRT1",2
"GSK3B",2
"MAPK1",2
"NTRK1",2
"CUL4A",2
"AGR2",2
"CRK",2
"CCNA2",2
"AGK",2
"ADSL",2
"GRWD1",2
"ITFG1",2
"ESR1",2
"BGN",2
"HSP90B1",2
"KRAS",2
"STAU1",2
"MGRN1",2
"MLH1",2
"HNRNPL",2
"SLC39A9",2
"AP2B1",2
"KIAA1429",2
"HGS",2
"CUL7",2
"CUL1",2
"S100A9",2
"APP",2
"DCUN1D5",2
"SLC25A11",2
"COPA",2
"ESYT1",2
"FADD",2
"GAN",2
"EWSR1",2
"HIGD2A",2
"CHUK",2
"CDC23",2
"RNF2",2
"CRP",2
"CDC37",2
"ATG16L1",2
"APPL1",2
"HMOX1",2
"CAV1",2
"ILF3",2
"RNF4",2
"RNF123",2
"PPARG",2
"COPS6",2
"CDK9",2
"ITCH",2
"APOOL",2
"FBXL5",2
"CDC34",2
"IKBKG",2
"NR4A1",2
"MTX2",2
"KLHL13",2
"GNB2L1",2
"ESR2",2
"CFTR",2
"HSPD1",2
"FBXO7",2
"ILF2",2
"HECW2",2
"EIF2AK2",2
"FBXW11",2
"APOB",2
"RNF31",2
"PARP1",2
"JUN",2
"MAP3K7",2
"DCP2",2
"IL23A",2
"IL12RB1",2
"APOA1",2
"UBC",2
"POLR1B",2
"BECN1",2
"HSPA4",2
"ANAPC5",2
"MEX3C",2
"TMEM17",2
"KBTBD7",2
"CCNC",2
"MAPKAP1",2
"MTOR",2
"TP53",2
"ATP5A1",2
"COPS3",2
"CUL5",2
"CCDC8",2
"KCTD12",2
"COPS5",2
"NONO",2
"BMI1",2
"FBXL15",2
"MDM2",2
"POLR2A",2
"HERC2",2
"COQ2",2
"CDC42",2
"ACTB",2
"HSPA9",2
"BCL10",2
"EIF2S2",2
"CD81",2
"CUL2",2
"SUZ12",2
"BRD1",2
"ETV5",2
"THEM4",2
"GRB2",2
"NDUFS1",2
"LCK",2
"ACAT1",2
"MAD2L2",2
"SIAH1",2
"PCBP1",2
"HSP90AA1",2
"NDUFS3",2
"EGLN3",2
"HSD17B10",2
"HSPA8",2
"MPV17",2
"APLNR",2
"PRKDC",2
"RPL7A",2
"IKBKB",2
"LPAR6",2
"CDC16",2
"AIFM1",2
"BTRC",2
"SMAD2",2
"MTX1",2
"CASP3",2
"DYRK1A",2
"SLAMF1",2
"NDUFA4",2
"CBL",2
"NMT1",2
"CUL3",2
"TIMM13",2
"PRMT6",2
"HIST1H3A",2
"AREL1",2
"COPS4",2
"NCSTN",2
"CAND1",2
"ACOT1",2
"NEDD4L",2
"RNF115",2
"RNF14",2
"HSP90AB3P",2
"NR2C2",2
"ASCC3",2
"ATP6V1E1",2
"NEDD8",2
"AKT1",2
"FOXO1",2
"OGDH",2
"MSN",2
"CTNNB1",2
"ATP5F1",2
"PPP2CA",2
"RIPK4",2
"COMMD3",2
"TRIM5",2
"FLT3",2
"KIT",2
"FOXP3",2
"NDUFS8",2
"ABL1",2
"RPTOR",2
"ABCE1",2
"DDX19A",2
"KDM1A",2
"PDLIM5",2
"GNB1",2
"PIK3CB",2
"ATM",2
"ITGA2",2
"PRLR",2
"DTX3L",2
"CSK",2
"DLST",2
"ATXN3",2
"IGF1",2
"PNN",2
"NXF1",2
"JAK2",2
"ARF4",2
"GNAS",2
"TOMM20",2
"RNF126",2
"ETFA",2
"IWS1",2
"NUFIP1",2
"DLD",2
"NRG1",2
"GFPT1",2
"HUWE1",2
"GAPDH",2
"HSP90AB1",2
"CASP8",2
"ATP1B3",2
"KAT6A",2
"CLNK",2
"RNF25",2
"PIK3CA",2
"LNX1",2
"GGA1",2
"TUFM",2
"MYLIP",2
"TSC22D1",2
"FGB",2
"HERC5",2
"ACOT9",2
"NCK1",2
"ANAPC4",2
"CTDP1",2
"PHB2",2
"LRSAM1",2
"COMMD1",2
"ERBB3",2
"STAT3",2
"BCL2",2
"C2orf47",2
"NDUFS5",2
"PIN1",2
"ANAPC7",2
"ATP2A2",2
"ITGAM",2
"PPP2R1A",2
"CDC20",2
"ECSIT",2
"GFAP",2
"RPL37A",2
"ATP1A1",2
"PTEN",2
"MAVS",2
"MAPK6",2
"GNG2",2
"RELA",2
"KCTD6",2
"COMMD4",2
"BSG",2
"IRS1",2
"FBXW7",2
"DAB2",2
"FBXW5",2
"PARK2",2
"THRAP3",2
"FBXO6",2
"APOE",2
"PTPN11",2
"ASB4",2
"ARAF",2
"ATXN10",2
"UBE2A",2
"HCCS",2
"NOD1",2
"PML",2
"NRAS",2
"KEAP1",2
"PHB",2
"NFKBIA",2
"ARL1",2
"IGF1R",2
"COX4I1",2
"HAGH",2
"ILK",2
"SELE",2
"IRAK3",2
"POLA1",2
"TRIM25",2
"SHMT2",2
"COMMD6",2
"DECR1",2
"LONRF1",2
"RNF130",2
"DCUN1D1",2
"BASP1",2
"UBE2D1",2
"GNB4",2
"IRS4",2
"AP2M1",2
"ATG7",2
"IMMT",2
"TPM1",2
"CBLB",2
"UBA1",2
"ECH1",2
"RAC1",2
"IRAK1",2
"SIAH2",2
"RAF1",2
"LYN",2
"TFDP1",2
"LMO7",2
"RCOR1",2
"KLHL22",2
"STUB1",2
"EGLN1",2
"ATF2",2
"IKZF3",2
"DNM1L",2
"SCCPDH",2
"CDK5RAP2",2
"KTN1",2
"CDKN1A",2
"ERGIC3",2
"ALB",2
"RPE",2
"TAP1",2
"HERC6",2
"SLC25A5",2
"CXCL8",2
"CUEDC2",2
"HSPB1",2
"MAPK14",2
"MAPK11",2
"FBXL4",2
"NEDD4",2
"BIRC2",2
"ATP5O",2
"MAP3K1",2
"CAPZB",2
"UCHL3",2
"INSR",2
"C15orf48",2
"UBE2D2",2
"COQ9",2
"ASB7",2
"GSK3A",2
"PSMD9",2
"RNF138",2
"CTCF",2
"DNAJA1",2
"DENND1A",2
"TRIM32",2
"TP53BP1",2
"DNM3",2
"GRK5",2
"AMBRA1",2
"ITK",2
"AFG3L2",2
"GTF2H4",2
"RNF114",2
"CUL4B",2
"PPP2R5E",2
"COMMD8",2
"DNAJA2",2
"NAE1",2
"CISD2",2
"DIS3",2
"IKBKE",2
"TES",2
"PPP2R5D",2
"RBX1",2
"NDUFS6",2
"SNRPD1",2
"HADHB",2
"CREB3",2
"SCAMP3",2
"RNF216",2
"ACOX1",2
"SKP2",2
"TRAIP",2
"BIRC3",2
"IARS2",2
"ACTR3",2
"NOD2",2
"FYN",2
"NSMCE4A",2
"NDUFA8",2
"RAB1A",2
"PJA1",2
"ERBB2",2
"FZR1",2
"FANCI",2
"CCDC22",2
"IL7R",2
"RPS27A",2
"CDK18",2
"JAK1",2
"ECI2",2
"FBXO15",2
"ATR",2
"HMGCR",2
"IFIH1",2
"ATP5C1",2
"NOS2",2
"DNAJC11",2
"TAB2",2
"NDUFS2",2
"MASTL",2
"JAK3",2
"ATP5B",2
"CCNE1",2
"NDUFV2",2
"UBE2Z",2
"SOCS2",2
"PLCG1",2
"TRAF6",2
"MAPK8",2
"CLN3",2
"BRPF1",2
"UBE4A",2
"RLIM",2
"REL",2
"IRS2",2
"PTPN6",2
"RPA1",2
"PPP2R1B",2
"CASP1",2
"COPS7A",2
"NFKB1",2
"MTX3",2
"HECTD1",2
"SLC1A5",2
"GLMN",2
"CDCA3",2
"AP4M1",2
"ICAM1",2
"CHCHD3",2
"DNAJA3",2
"TSC1",2
"CD44",2
"ACACA",2
"ASB3",2
"CDC27",2
"BAD",2
"MAPK3",2
"MAP4K4",2
"OGT",2
"CDK3",2
"HIVEP1",2
"PFDN4",2
"HERC1",2
"SPTAN1",2
"UBE2E1",2
"TIRAP",2
"FOXO3",2
"PLEKHO1",2
"UBE2B",2
"TNFRSF1B",2
"DNAAF2",2
"NME3",2
"CALU",2
"CPS1",2
"GNG5",2
"GSN",2
"HTR2C",2
"ICT1",2
"FGA",2
"HADHA",2
"NUCB1",2
"UBR1",2
"RICTOR",2
"S100A8",2
"ATP5L",2
"PDHB",2
"CREB1",2
"LAMP2",2
"MLST8",2
"DNM1",2
"DLAT",2
"UBE2V1",2
"ENDOG",2
"RBMX",2
"PPP4C",2
"NDUFA13",2
"COX2",2
