"V1","V2"
"XRCC6BP1","ZSWIM7"
"TCEB3C","TCEB3CL2"
"WSB1","ZNRF2"
"ENSG00000267618","XRCC2"
"TLR8","TLR7"
"RAD9B","XRCC2"
"HLA-DQB1","GBP4"
"HLA-DQB1","GBP7"
"HLA-DQA2","GBP4"
"HLA-DQA2","GBP7"
"HLA-DQA2","HLA-DQB1"
"IFNB1","TLR7"
"TXNL4B","ZMAT2"
"TXNL4B","ZNF821"
"UBE3D","ZNRF2"
"UBE3D","WSB1"
"TULP4","WSB1"
"IL37","IL18R1"
"FBXW10","ZNRF2"
"FBXW10","WSB1"
"FBXW10","UBE3D"
"FBXW10","TULP4"
"ZWINT","ZWILCH"
"ZWINT","SMTN"
"ZNF277","ZBTB7B"
"VAV2","RHOF"
"ZNF330","RWDD4"
"SLC43A2","SLC7A6"
"ZNF746","YBX3"
"USP22","HIST2H2AA"
"SPC25","ZWILCH"
"SPC25","ZWINT"
"POLD4","XRCC2"
"TRIO","RHOF"
"SPTBN2","HLA-DQB1"
"SPTBN2","HLA-DQA2"
"EME2","XRCC2"
"GBP6","GBP7"
"GBP6","HLA-DQB1"
"GBP6","HLA-DQA2"
"ZC3H15","ZCCHC8"
"SLC35C2","SLC35D2"
"SLC35C2","SLC35D1"
"VIPR1","XPO6"
"WARS","XPNPEP1"
"SOCS5","WSB1"
"SOCS5","TULP4"
"SOCS5","FBXW10"
"SRGAP1","RHOF"
"GBP5","HLA-DQB1"
"GBP5","HLA-DQA2"
"SHQ1","ZNHIT2"
"ZNF598","ROGDI"
"WDR12","UTP11L"
"FBXO9","ZNRF2"
"FBXO9","WSB1"
"FBXO9","UBE3D"
"FBXO9","TULP4"
"FBXO9","FBXW10"
"FBXO9","SOCS5"
"GMIP","RHOF"
"ZEB1","ZMIZ1"
"ZEB1","USP53"
"WDR55","ZMAT2"
"WDR55","WDR12"
"PLXND1","SEMA6D"
"WRAP73","SMAP1"
"TIPIN","RAD9B"
