"node","type"
"10273.Q9PX24_MYXVL",0
"10273.MT5_MYXVL",0
"CXCL8",2
"CUL1",2
"NMUR2",2
"ELAVL1",2
"EGFR",2
"FBXL6",2
"MAGEC2",2
"AKAP8L",2
"RARS",2
"CDK6",2
"PSMA6",2
"FN1",2
"ARIH1",2
"FUS",2
"CSDE1",2
"GPSM3",2
"PSMA5",2
"HRAS",2
"CALM1",2
"KPNA2",2
"MYC",2
"GSK3B",2
"MAPK1",2
"KCNH2",2
"NTRK1",2
"FBXO45",2
"CUL4A",2
"AGR2",2
"HNRNPA1",2
"CCNA1",2
"CCNA2",2
"NCBP1",2
"EP300",2
"TUBA1C",2
"EEF1G",2
"GRWD1",2
"BRIX1",2
"ESR1",2
"DDX1",2
"CDC73",2
"HSP90B1",2
"STAU1",2
"DDB1",2
"MGRN1",2
"CA2",2
"HNRNPL",2
"EZH2",2
"KIAA1429",2
"CUL7",2
"APP",2
"CALM2",2
"HSPA5",2
"DAB2IP",2
"EXOSC9",2
"RNPS1",2
"DCUN1D5",2
"GNAI2",2
"ENO1",2
"ASPSCR1",2
"GAN",2
"HNRNPM",2
"EWSR1",2
"RPL21",2
"CHUK",2
"HIST1H4A",2
"CDC23",2
"CLPX",2
"CRP",2
"PMS1",2
"HMOX1",2
"RPL27A",2
"HNRNPA3",2
"RPL23A",2
"CEBPB",2
"PPIA",2
"ILF3",2
"RPL13A",2
"PSMC6",2
"GRSF1",2
"RNF4",2
"RNF123",2
"CDC5L",2
"COPS6",2
"CDK9",2
"ITCH",2
"HNRNPC",2
"FBXL5",2
"EXOSC6",2
"HNRNPU",2
"CDC34",2
"IKBKG",2
"MYBBP1A",2
"EXOSC3",2
"MRPL12",2
"KLHL13",2
"AURKA",2
"ARRB1",2
"RBM14",2
"NPM1",2
"GNB2L1",2
"CFTR",2
"HSPD1",2
"FBXO7",2
"FXR1",2
"CDH1",2
"MRPS27",2
"ILF2",2
"PSMA4",2
"HECW2",2
"FBXW11",2
"CCNY",2
"HNRNPR",2
"JUN",2
"FAM98A",2
"DCP2",2
"UBC",2
"AKT3",2
"EEF1A2",2
"HSPA4",2
"PSMB7",2
"ANAPC5",2
"CDK1",2
"MEX3C",2
"KBTBD7",2
"CCNC",2
"SNW1",2
"TP53",2
"ATP5A1",2
"COPS3",2
"CUL5",2
"PPAN",2
"HIST1H2AL",2
"CRMP1",2
"COPS5",2
"MRPS22",2
"FBXL15",2
"MDM2",2
"DDX5",2
"POLR2A",2
"HERC2",2
"NCL",2
"DDX56",2
"ACTB",2
"HSPA9",2
"PSMD8",2
"RECQL4",2
"CUL2",2
"TRAF1",2
"PSMA2",2
"CDK2",2
"SPOP",2
"RPL27",2
"SNRPD2",2
"SNRPD3",2
"ACAT1",2
"VCP",2
"SIAH1",2
"PCBP1",2
"HSP90AA1",2
"C14orf166",2
"HSD17B10",2
"HSPA8",2
"ACTA1",2
"EXOSC7",2
"MTNR1A",2
"APLNR",2
"HNRNPA0",2
"PSMB5",2
"IKBKB",2
"PSMB1",2
"RPLP1",2
"PSMC2",2
"EPRS",2
"E2F1",2
"CDC16",2
"MYL6",2
"PCNA",2
"AIFM1",2
"RPS19",2
"CLTC",2
"BTRC",2
"SMAD2",2
"HNRNPAB",2
"CHEK1",2
"RPS13",2
"E2F4",2
"APC",2
"HNRNPA2B1",2
"CUL3",2
"TIMM13",2
"ATAD3A",2
"RPS15",2
"EEF2",2
"CCND1",2
"AREL1",2
"S1PR5",2
"COPS4",2
"CAND1",2
"PSMD11",2
"RPS27",2
"RPS8",2
"NEDD4L",2
"RNF115",2
"RNF14",2
"NOP2",2
"NEDD8",2
"AKT1",2
"PSMB2",2
"KRT10",2
"EXOSC5",2
"PPP1CC",2
"FAF1",2
"HDAC6",2
"CRY1",2
"EHMT2",2
"GATA2",2
"SSRP1",2
"RPL6",2
"CTNNB1",2
"DLC1",2
"PSMD14",2
"CREBBP",2
"DDX3X",2
"PPP2CA",2
"RIPK4",2
"COMMD3",2
"ASF1A",2
"HP1BP3",2
"CBX3",2
"CCDC146",2
"CDC25A",2
"HIST1H2AB",2
"MYH10",2
"HNRNPH1",2
"GNB1",2
"CDC25B",2
"HNRNPH3",2
"RPL11",2
"PRLR",2
"CHEK2",2
"KHDRBS2",2
"DTX3L",2
"ATXN3",2
"IGF1",2
"NXF1",2
"JAK2",2
"RPL10A",2
"RPL24",2
"GNAI3",2
"ARID1A",2
"ACTA2",2
"CIRBP",2
"RNF126",2
"RPL9",2
"ANXA1",2
"GPATCH4",2
"FBXO25",2
"C1orf106",2
"RPL18A",2
"HUWE1",2
"GAPDH",2
"RPL4",2
"SRSF2",2
"HSP90AB1",2
"RPA3",2
"CLU",2
"FARSA",2
"DHX30",2
"KRT5",2
"PSMA8",2
"RNF25",2
"LNX1",2
"FBXO28",2
"EEF1A1",2
"ARNTL",2
"NPBWR1",2
"NPB",2
"PTBP1",2
"ARRB2",2
"RPS10",2
"KHSRP",2
"MYLIP",2
"PURA",2
"HNRNPD",2
"HIST1H1C",2
"HERC5",2
"HIST2H2BE",2
"FBF1",2
"ANAPC4",2
"BAG6",2
"LRSAM1",2
"CDK8",2
"COMMD1",2
"SUFU",2
"STAT3",2
"CARM1",2
"ANAPC7",2
"MATR3",2
"HIPK2",2
"SRSF7",2
"POLD1",2
"CCT4",2
"PPP2R1A",2
"HNRNPCL1",2
"CDC20",2
"FTSJ3",2
"FAU",2
"PPP1CA",2
"RPL37A",2
"TSC22D4",2
"GNG2",2
"RELA",2
"KCTD6",2
"CDK4",2
"NLK",2
"TRRAP",2
"COMMD4",2
"RPL13",2
"IRS1",2
"FBXW7",2
"RPA2",2
"FBXW5",2
"PARK2",2
"FBXO6",2
"HNRNPF",2
"RPS23",2
"KRT2",2
"DDX17",2
"ASB4",2
"RPS25",2
"DNAJC10",2
"EBNA1BP2",2
"NSFL1C",2
"MYO1E",2
"UBE2A",2
"RPS4X",2
"PML",2
"AIMP1",2
"KEAP1",2
"RPS11",2
"NFKBIA",2
"KDR",2
"PSMD6",2
"MCL1",2
"GABBR1",2
"CCT2",2
"ILK",2
"PCP2",2
"SELE",2
"ACTBL2",2
"RBMXL2",2
"PSMB8",2
"LYAR",2
"RPL3",2
"PSMB6",2
"RPS18",2
"SHMT2",2
"EEF1D",2
"BRD4",2
"COMMD6",2
"NUDT5",2
"DARS",2
"LONRF1",2
"CCL21",2
"IGF2BP1",2
"GNL3",2
"RNF130",2
"KNG1",2
"DCX",2
"DCUN1D1",2
"RPL23",2
"G3BP1",2
"ACKR3",2
"PKM",2
"UBE2D1",2
"GNB4",2
"IRS4",2
"DYNLL1",2
"ATG7",2
"CSN1S1",2
"SENP3",2
"RPL12",2
"AIRE",2
"CBLB",2
"UBA1",2
"LUC7L3",2
"GLI3",2
"GLI1",2
"USP11",2
"IRAK1",2
"PARN",2
"SIAH2",2
"LYN",2
"TFDP1",2
"LMO7",2
"PSMC4",2
"KLHL22",2
"SF3B3",2
"PSMB3",2
"SPTBN1",2
"STUB1",2
"RPL15",2
"EIF6",2
"RUVBL2",2
"TNIP2",2
"FBXO38",2
"CDKN1A",2
"PRDX1",2
"SPDL1",2
"ALB",2
"RAB11A",2
"RPL31",2
"HERC6",2
"RBM4",2
"SLC25A5",2
"DHX9",2
"SNRNP70",2
"EIF4A3",2
"MAPK14",2
"MAPK11",2
"RPS14",2
"FBXL4",2
"RPL28",2
"C1QBP",2
"G3BP2",2
"NEDD4",2
"SYNCRIP",2
"PSMA3",2
"RPL22",2
"HSPA1A",2
"SOCS3",2
"SAP130",2
"NKRF",2
"UBE2D2",2
"STRBP",2
"EXOSC8",2
"RPL19",2
"ASB7",2
"PSMD9",2
