"V1","V2"
"SUN3","SYNE3"
"SYCP3","TEX12"
"SYCE2","TEX12"
"SYCE2","SYCP3"
"STAG3","TEX12"
"STAG3","SYCP3"
"STAG3","SYCE2"
"NRG4","NRG2"
"MOV10L1","TDRD12"
"NCBP2L","EIF4E1B"
"H2AFB1","TEX12"
"H2AFB1","SYCP3"
"H2AFB1","SYCE2"
"H2AFB1","STAG3"
"CXCL3","LPAR3"
"CALML4","MYLK3"
"IL2","UGCG"
"IL2","IL23R"
"WIPI2","WIPI1"
"PIWIL4","TDRD12"
"PIWIL4","MOV10L1"
"HIF3A","PSMB11"
"SAA1","LPAR3"
"SAA1","CXCL3"
"MUC3A","MUC5AC"
"VMP1","WIPI1"
"SYCP1","TEX12"
"SYCP1","SYCP3"
"SYCP1","SYCE2"
"SYCP1","STAG3"
"SYCP1","H2AFB1"
"MYLK4","CALML4"
"S100A12","SAA1"
"TDRD1","TDRD12"
"TDRD1","MOV10L1"
"TDRD1","PIWIL4"
"ULK2","WIPI1"
"ULK2","WIPI2"
"NRG3","NRG2"
"NRG3","NRG4"
"TDRKH","TDRD12"
"TDRKH","MOV10L1"
"TDRKH","PIWIL4"
"TDRKH","TDRD1"
"IL4","IL23R"
"IL4","MUC5AC"
"IL4","IL2"
"MEFV","NLRP12"
"USP4","XIAP"
"IL18RAP","IL18R1"
"ANGPT1","TIE1"
"TFF3","TFF2"
"TFF3","MUC5AC"
"TYK2","IL23R"
"TYK2","IFNB1"
"TYK2","IL4"
"RAPSN","ZBTB33"
"SLC12A3","WNK4"
"MAEL","TDRD12"
"MAEL","MOV10L1"
"MAEL","PIWIL4"
"MAEL","TDRD1"
"MAEL","TDRKH"
"CSF2RA","IL2"
"CSF2RA","IL4"
"STAT4","IL23R"
"STAT4","IL18R1"
"STAT4","IL4"
"STAT4","IL18RAP"
"STAT4","TYK2"
"OMG","RTN4R"
"WWP1","PSMB11"
"WWP1","FBXO9"
"YES1","NRG2"
"YES1","NRG4"
"YES1","NRG3"
"CXCL2","LPAR3"
"CXCL2","CXCL3"
"CXCL2","SAA1"
"TCF25","XIAP"
"TDO2","DDC"
"TPX2","ZWINT"
"TPX2","ZNF598"
"SYCE3","TEX12"
"SYCE3","SYCP3"
"SYCE3","SYCE2"
"SYCE3","STAG3"
"SYCE3","H2AFB1"
"SYCE3","SYCP1"
"SYCE3","ZWINT"
"WTAP","YTHDC1"
"RGS11","RGS7"
"WDR81","WDR91"
"RGS6","RGS7"
"RGS6","RGS11"
"MAPK15","WDR81"
"STK38","ZNF598"
"SLC25A22","WDTC1"
"IL6","TLR6"
"IL6","IL23R"
"IL6","CXCL3"
"IL6","IL2"
"IL6","IFNB1"
"IL6","SAA1"
"IL6","IL4"
"IL6","ANGPT1"
"IL6","TYK2"
"IL6","CSF2RA"
"IL6","STAT4"
"IL6","TLR5"
"IL6","CXCL2"
"SNX9","ZFYVE21"
"ATG4D","WIPI1"
"ATG4D","WIPI2"
"ATG4D","ULK2"
"RRAGD","PRKAG3"
"IL12B","IL23R"
"IL12B","IL4"
"IL12B","TYK2"
"IL12B","STAT4"
"NFKBIB","PSMB11"
"NFKBIB","NKIRAS1"
"PYDC1","TRIM40"
"MUSK","RAPSN"
"SYCE1","TEX12"
"SYCE1","SYCP3"
"SYCE1","SYCE2"
"SYCE1","STAG3"
"SYCE1","H2AFB1"
"SYCE1","SYCP1"
"SYCE1","SYCE3"
"PTPRJ","RPS6KA4"
"SPSB1","FBXO9"
"SPSB1","WWP1"
"WASL","SNX9"
"SLC38A9","PRKAG3"
"SLC38A9","RRAGD"
"WSB2","FBXO9"
"WSB2","SPSB1"
"KLHL25","FBXO9"
"KLHL25","WWP1"
"KLHL25","SPSB1"
"KLHL25","WSB2"
"MAG","RTN4RL2"
"MAG","RTN4R"
"MAG","OMG"
"H2AFJ","TEX12"
"H2AFJ","SYCP3"
"H2AFJ","SYCE2"
"H2AFJ","STAG3"
"H2AFJ","H2AFB1"
"H2AFJ","SYCP1"
"H2AFJ","SYCE3"
"H2AFJ","SYCE1"
"TDRD9","TDRD12"
"TDRD9","MOV10L1"
"TDRD9","PIWIL4"
"TDRD9","TDRD1"
"TDRD9","TDRKH"
"TDRD9","MAEL"
"RTN4RL1","RTN4RL2"
"CXCL1","LPAR3"
"CXCL1","CXCL3"
"CXCL1","SAA1"
"CXCL1","IL4"
"CXCL1","CXCL2"
"CXCL1","PDXK"
"CXCL1","IL6"
"UNK","RPL22L1"
"UNK","IP6K2"
"RIPK3","XIAP"
"RIPK3","TICAM2"
"RIPK3","NFKBIB"
"SFI1","TPX2"
"WDR26","ZNF598"
"GTF3A","IFNB1"
"WASF1","WASL"
"ZFP36L2","UNC45B"
"ZFP36L2","ZFYVE21"
"ZFP36L2","TRAPPC9"
"ZFP36L2","STK38"
"IFNG","IL23R"
"IFNG","IL2"
"IFNG","IFNB1"
"IFNG","IL4"
"IFNG","STAT4"
"IFNG","IL6"
"PLXNA4","SEMA3A"
"GUCY1B3","TDO2"
"PAK3","SEMA3A"
"PAK3","RAPSN"
"PAK3","MUSK"
"PAK3","PLXNA4"
"FNIP2","RRAGD"
"TMEM43","ZNF598"
"TP53RK","VARS"
"RAC2","RHOBTB1"
"RAC2","WASL"
"RAC2","WASF1"
"RAC2","PLXNA4"
"RAC2","PAK3"
"TLR2","TLR6"
"TLR2","IL4"
"TLR2","TLR5"
"TLR2","IL6"
"TLR2","CXCL1"
"TLR2","IFNG"
"CD40LG","PIK3R6"
"CD40LG","PSMB11"
"CD40LG","IL2"
"CD40LG","IL4"
"CD40LG","IL6"
"CD40LG","IFNG"
"TUBG2","SFI1"
"TTBK2","ZWINT"
"TTBK2","SFI1"
"TUBGCP5","SFI1"
"TUBGCP5","TUBG2"
"ATG10","WIPI1"
"ATG10","WIPI2"
"RPL39L","RPL22L1"
"PRKAG2","PRKAG3"
"PRKAG2","RRAGD"
"PRKAG2","SLC38A9"
"USP13","USP50"
"PNMT","RPS6KA4"
"TOP2B","UNK"
"RAB40A","RAB33A"
"BTC","NRG2"
"BTC","NRG4"
"BTC","NRG3"
"BTC","YES1"
"TLR3","IFNB1"
"TLR3","IL4"
"TLR3","IL6"
"TLR3","TICAM2"
"TLR3","RIPK3"
"UBAC1","FBXO9"
"UBAC1","WWP1"
"UBAC1","SPSB1"
"UBAC1","KLHL25"
"UBAC1","USP48"
"ASZ1","TDRD12"
"ASZ1","MOV10L1"
"ASZ1","PIWIL4"
"ASZ1","TDRD1"
"ASZ1","TDRKH"
"ASZ1","MAEL"
"ASZ1","TDRD9"
"EREG","NRG2"
"EREG","NRG4"
"EREG","NRG3"
"EREG","YES1"
"EREG","BTC"
"STK38L","ZNF598"
"SYCP2","TEX12"
"SYCP2","SYCP3"
"SYCP2","SYCE2"
"SYCP2","STAG3"
"SYCP2","H2AFB1"
"SYCP2","SYCP1"
"SYCP2","SYCE3"
"SYCP2","SYCE1"
"SYCP2","H2AFJ"
"CSF2","IL23R"
"CSF2","IL2"
"CSF2","IL4"
"CSF2","CSF2RA"
"CSF2","CXCL2"
"CSF2","IL6"
"CSF2","CXCL1"
"CSF2","IFNG"
"CSF2","TLR2"
"CSF2","CD40LG"
"CSF2","TLR3"
"SLC2A4","IL6"
"KIAA0226L","SHD"
"VEGFA","TIE1"
"VEGFA","IL2"
"VEGFA","HIF3A"
"VEGFA","IL4"
"VEGFA","ANGPT1"
"VEGFA","IL6"
"VEGFA","TGFB2"
"VEGFA","PTPRJ"
"VEGFA","CXCL1"
"VEGFA","TLR2"
