"V1","V2"
"NFAM1","VNN1"
"BRI3","VNN1"
"BRI3","NFAM1"
"RAB44","VNN1"
"RAB44","NFAM1"
"RAB44","BRI3"
"RAB3D","VNN1"
"RAB3D","NFAM1"
"RAB3D","BRI3"
"RAB3D","RAB44"
"LRMP","VNN1"
"LRMP","NFAM1"
"LRMP","BRI3"
"LRMP","RAB44"
"LRMP","RAB3D"
"SLCO4C1","VNN1"
"SLCO4C1","NFAM1"
"SLCO4C1","BRI3"
"SLCO4C1","RAB44"
"SLCO4C1","RAB3D"
"SLCO4C1","LRMP"
"CEACAM8","VNN1"
"CEACAM8","NFAM1"
"CEACAM8","BRI3"
"CEACAM8","RAB44"
"CEACAM8","RAB3D"
"CEACAM8","LRMP"
"CEACAM8","SLCO4C1"
"TMEM179B","VNN1"
"TMEM179B","NFAM1"
"TMEM179B","BRI3"
"TMEM179B","RAB44"
"TMEM179B","RAB3D"
"TMEM179B","LRMP"
"TMEM179B","SLCO4C1"
"TMEM179B","CEACAM8"
"FPR1","VNN1"
"FPR1","NFAM1"
"FPR1","BRI3"
"FPR1","RAB44"
"FPR1","RAB3D"
"FPR1","LRMP"
"FPR1","SLCO4C1"
"FPR1","CEACAM8"
"FPR1","TMEM179B"
"ATP11B","VNN1"
"ATP11B","NFAM1"
"ATP11B","BRI3"
"ATP11B","RAB44"
"ATP11B","RAB3D"
"ATP11B","LRMP"
"ATP11B","SLCO4C1"
"ATP11B","CEACAM8"
"ATP11B","TMEM179B"
"ATP11B","FPR1"
"CEACAM6","VNN1"
"CEACAM6","NFAM1"
"CEACAM6","BRI3"
"CEACAM6","RAB44"
"CEACAM6","RAB3D"
"CEACAM6","LRMP"
"CEACAM6","SLCO4C1"
"CEACAM6","CEACAM8"
"CEACAM6","TMEM179B"
"CEACAM6","FPR1"
"CEACAM6","ATP11B"
"ATP8A1","VNN1"
"ATP8A1","NFAM1"
"ATP8A1","BRI3"
"ATP8A1","RAB44"
"ATP8A1","RAB3D"
"ATP8A1","LRMP"
"ATP8A1","SLCO4C1"
"ATP8A1","CEACAM8"
"ATP8A1","TMEM179B"
"ATP8A1","FPR1"
"ATP8A1","ATP11B"
"ATP8A1","CEACAM6"
"MANBA","VNN1"
"MANBA","NFAM1"
"MANBA","BRI3"
"MANBA","RAB44"
"MANBA","RAB3D"
"MANBA","LRMP"
"MANBA","SLCO4C1"
"MANBA","CEACAM8"
"MANBA","TMEM179B"
"MANBA","FPR1"
"MANBA","ATP11B"
"MANBA","CEACAM6"
"MANBA","ATP8A1"
"PRCP","VNN1"
"PRCP","NFAM1"
"PRCP","BRI3"
"PRCP","RAB44"
"PRCP","RAB3D"
"PRCP","LRMP"
"PRCP","SLCO4C1"
"PRCP","CEACAM8"
"PRCP","TMEM179B"
"PRCP","FPR1"
"PRCP","ATP11B"
"PRCP","CEACAM6"
"PRCP","ATP8A1"
"PRCP","MANBA"
"RAB37","VNN1"
"RAB37","NFAM1"
"RAB37","BRI3"
"RAB37","RAB44"
"RAB37","RAB3D"
"RAB37","LRMP"
"RAB37","SLCO4C1"
"RAB37","CEACAM8"
"RAB37","TMEM179B"
"RAB37","FPR1"
"RAB37","ATP11B"
"RAB37","CEACAM6"
"RAB37","ATP8A1"
"RAB37","MANBA"
"RAB37","PRCP"
"GLIPR1","VNN1"
"GLIPR1","NFAM1"
"GLIPR1","BRI3"
"GLIPR1","RAB44"
"GLIPR1","RAB3D"
"GLIPR1","LRMP"
"GLIPR1","SLCO4C1"
"GLIPR1","CEACAM8"
"GLIPR1","TMEM179B"
"GLIPR1","FPR1"
"GLIPR1","ATP11B"
"GLIPR1","CEACAM6"
"GLIPR1","ATP8A1"
"GLIPR1","MANBA"
"GLIPR1","PRCP"
"GLIPR1","RAB37"
"SYNGR1","VNN1"
"SYNGR1","NFAM1"
"SYNGR1","BRI3"
"SYNGR1","RAB44"
"SYNGR1","RAB3D"
"SYNGR1","LRMP"
"SYNGR1","SLCO4C1"
"SYNGR1","CEACAM8"
"SYNGR1","TMEM179B"
"SYNGR1","FPR1"
"SYNGR1","ATP11B"
"SYNGR1","CEACAM6"
"SYNGR1","ATP8A1"
"SYNGR1","MANBA"
"SYNGR1","PRCP"
"SYNGR1","RAB37"
"SYNGR1","GLIPR1"
"C1orf168","TBCE"
"VPS35","DNAJC6"
"ARL8A","VNN1"
"ARL8A","NFAM1"
"ARL8A","BRI3"
"ARL8A","RAB44"
"ARL8A","RAB3D"
"ARL8A","LRMP"
"ARL8A","SLCO4C1"
"ARL8A","CEACAM8"
