"node","type"
"12216.PRO_0000040413",0
"EIF3A",2
"EIF4E",2
"CYLD",2
"ELAVL1",2
"DUSP28",2
"EFTUD2",2
"RRAGB",2
"LARP7",2
"FN1",2
"ARIH1",2
"MYC",2
"MAPK1",2
"NTRK1",2
"AGR2",2
"HNRNPA1",2
"ISG15",2
"NCBP1",2
"EEF1G",2
"NUP160",2
"KRAS",2
"PAN2",2
"STAU1",2
"LAMTOR1",2
"EIF5B",2
"KIAA1429",2
"APP",2
"EIF3E",2
"GAN",2
"BRCA1",2
"EIF1B",2
"RPL21",2
"RNF2",2
"ATG16L1",2
"RPL27A",2
"RPL23A",2
"EIF4G2",2
"RPL13A",2
"RNF123",2
"CDK9",2
"CNOT1",2
"NPM1",2
"GNB2L1",2
"TRIM27",2
"ESR2",2
"CFTR",2
"HSPD1",2
"DCP2",2
"UBC",2
"CHD4",2
"MEX3C",2
"DYNC1I2",2
"MTOR",2
"CCDC8",2
"COPS5",2
"HERC2",2
"LRPPRC",2
"NCL",2
"CD83",2
"HSPA9",2
"CHD3",2
"EIF2S2",2
"PYHIN1",2
"CD81",2
"RECQL4",2
"CDK2",2
"RPL27",2
"OBSL1",2
"RPL7A",2
"RPLP1",2
"EPRS",2
"CD74",2
"RPL7",2
"RPS19",2
"CASP3",2
"RPS13",2
"EIF2S3",2
"NOP56",2
"NOP58",2
"RPS15",2
"EEF2",2
"CCND1",2
"HIF1AN",2
"RPS27",2
"RPS8",2
"NR2C2",2
"ANGEL1",2
"AKT1",2
"GBF1",2
"MEPCE",2
"DDX6",2
"RPL6",2
"DDX3X",2
"EIF3J",2
"RPTOR",2
"ABCE1",2
"DDX19A",2
"AAR2",2
"CNOT3",2
"RPL11",2
"CHEK2",2
"CSK",2
"ATXN3",2
"MRPL46",2
"NXF1",2
"FMR1",2
"RPL10A",2
"RPL24",2
"RNF126",2
"RPL10",2
"RPL9",2
"DLD",2
"RPL18A",2
"RPL4",2
"HEXIM1",2
"RQCD1",2
"CASP8",2
"PIH1D1",2
"EIF3CL",2
"PTBP1",2
"RPS10",2
"DYNC1I1",2
"HERC5",2
"PIK3C2A",2
"KIF11",2
"CASP7",2
"EIF3B",2
"EIF3I",2
"CNOT7",2
"FAU",2
"RPL37A",2
"PTEN",2
"KIAA0368",2
"DICER1",2
"RPL13",2
"IRS1",2
"FBXO6",2
"DUSP16",2
"HNRNPF",2
"RPS23",2
"EIF1AX",2
"ITGA4",2
"EDC3",2
"RPS25",2
"RPS4X",2
"PML",2
"RPS11",2
"GSPT1",2
"RPL3",2
"TRIM25",2
"RPS18",2
"BMS1",2
"AGO3",2
"NUP153",2
"RPL23",2
"G3BP1",2
"LAMTOR2",2
"CACNA1A",2
"RPL12",2
"RIOK1",2
"CDC14A",2
"PARN",2
"EIF3C",2
"AGO1",2
"PSMC4",2
"RPL29",2
"STUB1",2
"RPL15",2
"DNM1L",2
"EIF6",2
"AAAS",2
"EIF3M",2
"SPDL1",2
"RPL31",2
"EIF4A3",2
"MAPK14",2
"MAPK11",2
"RPS14",2
"RPL28",2
"DKC1",2
"RPL22",2
"TARDBP",2
"RPL26",2
"BIRC2",2
"GTPBP4",2
"NUP205",2
"UBQLN2",2
"RPL19",2
"LIMD1",2
"EIF1",2
"NAP1L4",2
"GRK5",2
"CAPN1",2
"PABPC1",2
"RPS6",2
"ASS1",2
"P2RY6",2
"EIF4A1",2
"BZW2",2
"PPP2R5D",2
"METTL3",2
"EIF4A2",2
"EED",2
"MYH11",2
"FAM188B",2
"RPS26",2
"RPL35A",2
"DUSP21",2
"RANBP2",2
"MAB21L2",2
"NANS",2
"ERBB2",2
"CPNE2",2
"SRPK2",2
"RPS27A",2
"RPL35",2
"NUP214",2
"RPL17",2
"AHSA1",2
"EIF3D",2
"RPS27L",2
"PRPF8",2
"MRPS7",2
"REL",2
"ETF1",2
"PABPC4",2
"NUP93",2
"NDC1",2
"VCAM1",2
"CASP1",2
"LSM1",2
"RPL10L",2
"EIF3H",2
"ICAM1",2
"ABCF2",2
"MAPK3",2
"NUP107",2
"BBS1",2
"NUP50",2
"EIF4G3",2
"GPBP1L1",2
"TFIP11",2
"LGR4",2
"CNOT2",2
"EIF5",2
"RICTOR",2
"RPS17",2
"MLST8",2
"RPL38",2
"EIF4G1",2
"RPS2",2
"EIF3K",2
"CNOT6L",2
"USP3",2
"EIF4B",2
"PLEC",2
"ATP6V0D1",2
"RPLP2",2
"SRSF3",2
"BBS4",2
"NUP43",2
"RPL36",2
"AGO2",2
"RPL30",2
"RPL5",2
"DDX60",2
"TGFBR2",2
"RPL14",2
"RPS12",2
"GPBP1",2
"C17orf85",2
"GEMIN5",2
"CASP10",2
"RAD21",2
"ALYREF",2
"AGO4",2
"SMURF1",2
"CYFIP1",2
"MTNR1B",2
"MAP2K7",2
"YWHAZ",2
"EIF2A",2
"TPR",2
"RPS7",2
"BOP1",2
"EIF2S1",2
"SLBP",2
"NUP210",2
"RPS16",2
"EIF4E2",2
"NUPL2",2
"RPL34",2
"U2AF2",2
"CASP4",2
"RPL32",2
"IGSF8",2
"DHX58",2
"PEPD",2
"EIF3G",2
"RPL3L",2
"MYH9",2
"LSM14A",2
"LAMTOR3",2
"RNF139",2
"RPL37",2
"RPLP0",2
"SOD1",2
"NGDN",2
"LARP1",2
"RPS5",2
"EIF3L",2
"RPS24",2
"CNOT4",2
"SHFM1",2
"PDHA1",2
"DCC",2
"RPL18",2
"NUP133",2
"PTBP2",2
"POM121",2
"RPL8",2
"EIF4EBP1",2
"UBE2L6",2
"TFE3",2
"AKT1S1",2
"RAE1",2
"EIF4ENIF1",2
"EIF3F",2
"RUNX1",2
"RHEB",2
"RSPH9",2
"PAIP1",2
"UBE2M",2
"CNOT10",2
"LAMTOR5",2
"XRN1",2
"RPS15A",2
"NCBP2",2
"NUP35",2
"HSPB2",2
"RPS3",2
"RPS28",2
"EIF4EBP2",2
"KANK2",2
"LINC01554",2
"NUP85",2
"RPS3A",2
"RPS9",2
"MKNK2",2
"EIF4H",2
"EIF2AK4",2
"NUP62",2
"PTPN3",2
"UBA52",2
"LAMTOR4",2
"NUDT21",2
"WWOX",2
"CASP6",2
"NUP155",2
"PHACTR3",2
"RPL26L1",2
"RPS29",2
"UBXN11",2
"CASP9",2
"RPL39",2
"MKNK1",2
"NUP188",2
"NUP54",2
"RRAGC",2
"TSC2",2
"PROSC",2
"GSPT2",2
"FAM103A1",2
"WWP2",2
"PPM1D",2
"NUP88",2
"ATP7A",2
"YWHAB",2
"PRDM4",2
"RRAGA",2
"RPSA",2
"RPS6KB1",2
"UBA5",2
"RPS20",2
"RPL36A",2
"CNOT6",2
"PAN3",2
"PABPC3",2
"XRCC3",2
"CPEB1",2
"CASP2",2
"TOMM40",2
"CNOT8",2
"WDR48",2
"EIF4E3",2
"RIOK2",2
"UPF1",2
"RPL36AL",2
"MCC",2
"TUBB6",2
"INS",2
"NUP37",2
"RPS21",2
"TNKS1BP1",2
"RNMT",2
"UBFD1",2
"CASP5",2
"PRKAG2",2
"RPL39L",2
"UNK",2
"MSMO1",2
"SLC38A9",2
"RRAGD",2
"YTHDF2",2
"PDXK",2
"TDO2",2
"POM121C",2
"OTUD6B",2
"ZCCHC6",2
"ZNF598",2
"TRIM22",2
"ZNF746",2
"RPL22L1",2
"TYMP",2
"EIF2S3L",2
"ENSG00000270800",2
"ENSG00000260342",2
"ENSG00000260836",2
"NCBP2L",2
"RPSAP58",2
"EIF4E1B",2
"EIF4EBP3",2
"ZCCHC11",2
"G1/S transition of mitotic cell cycle",6
"RNA cap binding",6
"RNA 7-methylguanosine cap binding",6
"P-body",6
"behavioral fear response",6
"formation of cytoplasmic translation initiation complex",6
"translation reinitiation",6
"RNA binding",6
"mRNA binding",6
"translation initiation factor activity",6
"structural molecule activity",6
"protein binding",6
"nucleoplasm",6
"nucleolus",6
"cytoplasm",6
"cytosol",6
"mRNA cap binding complex",6
"eukaryotic translation initiation factor 3 complex",6
"microtubule",6
"RNA export from nucleus",6
"mRNA export from nucleus",6
"translational initiation",6
"regulation of translation",6
"cytoplasmic stress granule",6
"negative regulation of autophagy",6
"postsynaptic density",6
"membrane",6
"viral process",6
"eukaryotic translation initiation factor 4F complex",6
"eukaryotic 43S preinitiation complex",6
"RISC complex",6
"negative regulation of translation",6
"stem cell population maintenance",6
"enzyme binding",6
"lung development",6
"receptor tyrosine kinase binding",6
"eukaryotic initiation factor 4G binding",6
"eukaryotic 48S preinitiation complex",6
"chromatoid body",6
"cytoplasmic ribonucleoprotein granule",6
"multi-eIF complex",6
"negative regulation of neuron differentiation",6
"positive regulation of mitotic cell cycle",6
"perinuclear region of cytoplasm",6
"extracellular exosome",6
"negative regulation of ERK1 and ERK2 cascade",6
"repressing transcription factor binding",6
"eukaryotic translation initiation factor 3 complex, eIF3e",6
"eukaryotic translation initiation factor 3 complex, eIF3m",6
"cellular response to dexamethasone stimulus",6
"IRES-dependent viral translational initiation",6
"viral translational termination-reinitiation",6
"glutamatergic synapse",6
"postsynaptic cytosol",6
"regulation of translation at postsynapse, modulating synaptic transmission",6
