"V1","V2"
"USP17L3","USP17L8"
"USP17L4","USP17L8"
"USP17L4","USP17L3"
"USP17L5","USP17L8"
"USP17L5","USP17L3"
"USP17L5","USP17L4"
"USP17L22","USP17L8"
"USP17L22","USP17L3"
"USP17L22","USP17L4"
"USP17L22","USP17L5"
"USP17L20","USP17L8"
"USP17L20","USP17L3"
"USP17L20","USP17L4"
"USP17L20","USP17L5"
"USP17L20","USP17L22"
"USP17L21","USP17L8"
"USP17L21","USP17L3"
"USP17L21","USP17L4"
"USP17L21","USP17L5"
"USP17L21","USP17L22"
"USP17L21","USP17L20"
"USP17L19","USP17L8"
"USP17L19","USP17L3"
"USP17L19","USP17L4"
"USP17L19","USP17L5"
"USP17L19","USP17L22"
"USP17L19","USP17L20"
"USP17L19","USP17L21"
"USP17L18","USP17L8"
"USP17L18","USP17L3"
"USP17L18","USP17L4"
"USP17L18","USP17L5"
"USP17L18","USP17L22"
"USP17L18","USP17L20"
"USP17L18","USP17L21"
"USP17L18","USP17L19"
"USP17L12","USP17L8"
"USP17L12","USP17L3"
"USP17L12","USP17L4"
"USP17L12","USP17L5"
"USP17L12","USP17L22"
"USP17L12","USP17L20"
"USP17L12","USP17L21"
"USP17L12","USP17L19"
"USP17L12","USP17L18"
"USP17L10","USP17L8"
"USP17L10","USP17L3"
"USP17L10","USP17L4"
"USP17L10","USP17L5"
"USP17L10","USP17L22"
"USP17L10","USP17L20"
"USP17L10","USP17L21"
"USP17L10","USP17L19"
"USP17L10","USP17L18"
"USP17L10","USP17L12"
"USP17L15","USP17L8"
"USP17L15","USP17L3"
"USP17L15","USP17L4"
"USP17L15","USP17L5"
"USP17L15","USP17L22"
"USP17L15","USP17L20"
"USP17L15","USP17L21"
"USP17L15","USP17L19"
"USP17L15","USP17L18"
"USP17L15","USP17L12"
"USP17L15","USP17L10"
"USP17L17","USP17L8"
"USP17L17","USP17L3"
"USP17L17","USP17L4"
"USP17L17","USP17L5"
"USP17L17","USP17L22"
"USP17L17","USP17L20"
"USP17L17","USP17L21"
"USP17L17","USP17L19"
"USP17L17","USP17L18"
"USP17L17","USP17L12"
"USP17L17","USP17L10"
"USP17L17","USP17L15"
"USP17L11","USP17L8"
"USP17L11","USP17L3"
"USP17L11","USP17L4"
"USP17L11","USP17L5"
"USP17L11","USP17L22"
"USP17L11","USP17L20"
"USP17L11","USP17L21"
"USP17L11","USP17L19"
"USP17L11","USP17L18"
"USP17L11","USP17L12"
"USP17L11","USP17L10"
"USP17L11","USP17L15"
"USP17L11","USP17L17"
"USP17L1P","USP17L8"
"USP17L1P","USP17L3"
"USP17L1P","USP17L4"
"USP17L1P","USP17L5"
"USP17L1P","USP17L22"
"USP17L1P","USP17L20"
"USP17L1P","USP17L21"
"USP17L1P","USP17L19"
"USP17L1P","USP17L18"
"USP17L1P","USP17L12"
"USP17L1P","USP17L10"
"USP17L1P","USP17L15"
"USP17L1P","USP17L17"
"USP17L1P","USP17L11"
"USP17L13","USP17L8"
"USP17L13","USP17L3"
"USP17L13","USP17L4"
"USP17L13","USP17L5"
"USP17L13","USP17L22"
"USP17L13","USP17L20"
"USP17L13","USP17L21"
"USP17L13","USP17L19"
"USP17L13","USP17L18"
"USP17L13","USP17L12"
"USP17L13","USP17L10"
"USP17L13","USP17L15"
"USP17L13","USP17L17"
"USP17L13","USP17L11"
"USP17L13","USP17L1P"
"TLR8","TLR7"
"IFI6","IFITM1"
"RTP4","SAMD9L"
"NFAM1","VNN1"
"BRI3","VNN1"
"BRI3","NFAM1"
"RAB44","VNN1"
"RAB44","NFAM1"
"RAB44","BRI3"
"OLR1","RAB44"
"IFNB1","TLR7"
"RAB3D","VNN1"
"RAB3D","NFAM1"
"RAB3D","BRI3"
"RAB3D","RAB44"
"IFITM2","IFITM1"
"IFITM2","IFI6"
"LRMP","VNN1"
"LRMP","NFAM1"
"LRMP","BRI3"
"LRMP","RAB44"
"LRMP","RAB3D"
"RCE1","USP17L8"
"RCE1","USP17L3"
"RCE1","USP17L4"
"RCE1","USP17L5"
"RCE1","USP17L22"
"RCE1","USP17L20"
"RCE1","USP17L21"
"RCE1","USP17L19"
"RCE1","USP17L18"
"RCE1","USP17L12"
"RCE1","USP17L10"
"RCE1","USP17L15"
"RCE1","USP17L17"
"RCE1","USP17L11"
"RCE1","USP17L1P"
"RCE1","USP17L13"
"SLCO4C1","VNN1"
"SLCO4C1","NFAM1"
"SLCO4C1","BRI3"
"SLCO4C1","RAB44"
"SLCO4C1","OLR1"
"SLCO4C1","RAB3D"
"SLCO4C1","LRMP"
"CEACAM8","VNN1"
"CEACAM8","NFAM1"
"CEACAM8","BRI3"
"CEACAM8","RAB44"
"CEACAM8","OLR1"
"CEACAM8","RAB3D"
"CEACAM8","LRMP"
"CEACAM8","SLCO4C1"
"IP6K2","IFITM1"
"IP6K2","IFI6"
"IP6K2","IFITM2"
"TMEM179B","VNN1"
"TMEM179B","NFAM1"
"TMEM179B","BRI3"
"TMEM179B","RAB44"
"TMEM179B","RAB3D"
"TMEM179B","LRMP"
"TMEM179B","SLCO4C1"
"TMEM179B","CEACAM8"
"ISG20","IFITM1"
"ISG20","IFI6"
"ISG20","IFITM2"
"ISG20","IP6K2"
"IFI44","SAMD9L"
"IFI44","IFITM1"
"IFI44","IFI6"
"IFI44","RTP4"
"FPR1","VNN1"
"FPR1","TLR8"
"FPR1","NFAM1"
"FPR1","BRI3"
"FPR1","RAB44"
"FPR1","RAB3D"
"FPR1","LRMP"
"FPR1","SLCO4C1"
"FPR1","CEACAM8"
"FPR1","TMEM179B"
"USP18","IFI6"
"USP18","RTP4"
"USP18","IFI44"
"OAS2","SAMD9L"
"OAS2","IFITM1"
"OAS2","IFI6"
"OAS2","RTP4"
"OAS2","IFITM2"
"OAS2","IP6K2"
"OAS2","ISG20"
"OAS2","IFI44"
"OAS2","USP18"
"ATP11B","VNN1"
"ATP11B","NFAM1"
"ATP11B","BRI3"
"ATP11B","RAB44"
"ATP11B","RAB3D"
"ATP11B","LRMP"
"ATP11B","SLCO4C1"
"ATP11B","CEACAM8"
"ATP11B","TMEM179B"
"ATP11B","FPR1"
"CEACAM6","VNN1"
"CEACAM6","NFAM1"
"CEACAM6","BRI3"
"CEACAM6","RAB44"
"CEACAM6","RAB3D"
"CEACAM6","LRMP"
"CEACAM6","SLCO4C1"
"CEACAM6","CEACAM8"
"CEACAM6","TMEM179B"
"CEACAM6","FPR1"
"CEACAM6","ATP11B"
"ATP8A1","VNN1"
"ATP8A1","NFAM1"
"ATP8A1","BRI3"
"ATP8A1","RAB44"
"ATP8A1","OLR1"
"ATP8A1","RAB3D"
"ATP8A1","LRMP"
"ATP8A1","SLCO4C1"
"ATP8A1","CEACAM8"
"ATP8A1","TMEM179B"
"ATP8A1","FPR1"
"ATP8A1","ATP11B"
"ATP8A1","CEACAM6"
"CXCL10","TLR8"
"CXCL10","IFNB1"
"CXCL10","FPR1"
"CXCL10","OAS2"
"RNASEL","IFITM1"
"RNASEL","IFI6"
"RNASEL","IFITM2"
"RNASEL","IP6K2"
"RNASEL","ISG20"
"RNASEL","OAS2"
"UNK","IP6K2"
"OAS1","SAMD9L"
"OAS1","IFITM1"
"OAS1","IFI6"
"OAS1","RTP4"
"OAS1","IFITM2"
"OAS1","IP6K2"
"OAS1","ISG20"
"OAS1","IFI44"
"OAS1","USP18"
"OAS1","OAS2"
"OAS1","CXCL10"
"OAS1","RNASEL"
"SIRPA","OLR1"
"SIRPA","CEACAM8"
"IFNG","IFNB1"
"IFNG","CXCL10"
"MANBA","VNN1"
"MANBA","NFAM1"
"MANBA","BRI3"
"MANBA","RAB44"
"MANBA","RAB3D"
"MANBA","LRMP"
"MANBA","SLCO4C1"
"MANBA","CEACAM8"
"MANBA","TMEM179B"
"MANBA","FPR1"
"MANBA","ATP11B"
"MANBA","CEACAM6"
"MANBA","ATP8A1"
"TLR2","TLR6"
"TLR2","TLR5"
"TLR2","FPR1"
"TLR2","CXCL10"
"TLR2","IFNG"
"USP17L2","USP17L8"
"USP17L2","USP17L3"
"USP17L2","USP17L4"
"USP17L2","USP17L5"
"USP17L2","USP17L22"
"USP17L2","USP17L20"
"USP17L2","USP17L21"
"USP17L2","USP17L19"
"USP17L2","USP17L18"
"USP17L2","USP17L12"
"USP17L2","USP17L10"
"USP17L2","USP17L15"
"USP17L2","USP17L17"
"USP17L2","USP17L11"
"USP17L2","USP17L1P"
"USP17L2","USP17L13"
"USP17L2","RCE1"
"TLR3","TLR7"
"TLR3","TLR8"
"TLR3","IFNB1"
"TLR3","CXCL10"
"IFI27","IFITM1"
"IFI27","IFI6"
"IFI27","RTP4"
"IFI27","IFITM2"
"IFI27","IP6K2"
"IFI27","ISG20"
"IFI27","IFI44"
"IFI27","USP18"
"IFI27","OAS2"
"IFI27","RNASEL"
"IFI27","OAS1"
"VEGFA","CXCL10"
"VEGFA","TLR2"
"ZAP70","NFAM1"
"TTI1","TTI2"
"SLC2A3","RAB44"
"SLC2A3","OLR1"
"SLC2A3","SLCO4C1"
"SLC2A3","CEACAM8"
"SLC2A3","ATP8A1"
"SLC2A3","SIRPA"
"PRCP","VNN1"
"PRCP","NFAM1"
"PRCP","BRI3"
"PRCP","RAB44"
"PRCP","RAB3D"
"PRCP","LRMP"
"PRCP","SLCO4C1"
"PRCP","CEACAM8"
"PRCP","TMEM179B"
"PRCP","FPR1"
"PRCP","ATP11B"
"PRCP","CEACAM6"
"PRCP","ATP8A1"
"PRCP","MANBA"
"XAF1","SAMD9L"
"XAF1","IFITM1"
"XAF1","IFI6"
"XAF1","RTP4"
"XAF1","XIAP"
"XAF1","IFITM2"
"XAF1","IP6K2"
"XAF1","ISG20"
"XAF1","IFI44"
"XAF1","USP18"
"XAF1","OAS2"
"XAF1","RNASEL"
"XAF1","OAS1"
"XAF1","IFI27"
"RAB37","VNN1"
"RAB37","NFAM1"
"RAB37","BRI3"
"RAB37","RAB44"
"RAB37","OLR1"
"RAB37","RAB3D"
"RAB37","LRMP"
"RAB37","SLCO4C1"
"RAB37","CEACAM8"
