"node","type"
"11191.HN_SENDO",0
"11191.V_SENDO",0
"BST2",2
"IFIH1",2
"HSPA4",2
"CHTF18",2
"CYLD",2
"HDAC5",2
"EGFR",2
"PIM1",2
"EFTUD2",2
"LARP7",2
"KRT18",2
"BRAF",2
"CDK11B",2
"MOV10",2
"SNCA",2
"CALM1",2
"MYC",2
"SIRT1",2
"GSK3B",2
"KCNH2",2
"NTRK1",2
"HIST1H3E",2
"HSPA4L",2
"AGR2",2
"AGTRAP",2
"ISG15",2
"BCOR",2
"DNMT1",2
"BAG2",2
"GRWD1",2
"ESR1",2
"CDC73",2
"HSP90B1",2
"NUP160",2
"CCT7",2
"MGRN1",2
"LAMTOR1",2
"ACADM",2
"KIAA1429",2
"HGS",2
"CUL1",2
"APP",2
"HSPA5",2
"ENO1",2
"FADD",2
"BRCA1",2
"CHUK",2
"HIF1A",2
"ATG16L1",2
"DPM1",2
"CANX",2
"EZR",2
"PPIA",2
"RNF123",2
"HDAC1",2
"ITCH",2
"HSPH1",2
"ADAR",2
"CDC34",2
"IKBKG",2
"NPM1",2
"GNB2L1",2
"ESR2",2
"CFTR",2
"HSPD1",2
"BAG3",2
"HSPE1",2
"CSNK2A1",2
"EIF2AK2",2
"MAP3K7",2
"RC3H1",2
"FAM114A1",2
"AMFR",2
"CDK1",2
"PAICS",2
"HDAC3",2
"MAPK7",2
"MTOR",2
"TP53",2
"SIKE1",2
"CUL5",2
"CCDC8",2
"CRMP1",2
"COPS5",2
"MDM2",2
"HSPA9",2
"RECQL4",2
"CDK2",2
"CAT",2
"VCP",2
"HSP90AA1",2
"EGLN3",2
"HSPA8",2
"CALR",2
"BARD1",2
"IKBKB",2
"PSMC2",2
"GUCY1A2",2
"AP1M1",2
"CLTC",2
"BTRC",2
"SMAD2",2
"RUVBL1",2
"CASP3",2
"CCT5",2
"SCARB2",2
"NQO1",2
"CBL",2
"CUL3",2
"HCFC1",2
"EEF2",2
"NCSTN",2
"CAND1",2
"PRSS23",2
"SAMHD1",2
