"V1","V2"
"ULBP2","ULBP3"
"XRCC6BP1","ZSWIM7"
"NDST3","HS6ST3"
"TCEB3C","TCEB3CL2"
"PRB4","PRH2"
"DP2","ENSG00000269905"
"HS3ST5","HS6ST3"
"ENSG00000267618","XRCC2"
"TLR8","TLR7"
"ENSG00000173366","TLR7"
"TNFSF4","TSLP"
"ENSG00000255819","ULBP3"
"ENSG00000255819","ULBP2"
"CRLF2","TSLP"
"GSTA3","CYP2F1"
"GSTA3","GPX6"
"GSTA3","GPX5"
"CSF3","LEP"
"IL23R","TSLP"
"IL23R","IL19"
"IL23R","CSF3"
"IL13","TSLP"
"IL13","PDCD1LG2"
"IL13","MRC1"
"IL13","CRLF2"
"IL13","CSF3"
"IL13","IL23R"
"GPR29","IL23R"
"IL7","TSLP"
"IL7","CRLF2"
"IL7","CSF3"
"IL7","IL23R"
"IL7","IL13"
"H2AFB1","SPO11"
"RAD9B","XRCC2"
"VCAN","XYLT2"
"VCAN","TLR6"
"VCAN","VWA1"
"VCAN","B3GAT2"
"XYLT1","XYLT2"
"XYLT1","VCAN"
"CMKBR6","IL23R"
"SHISA5","VWA1"
"SHISA5","VCAN"
"GPC5","XYLT2"
"GPC5","HS3ST3B1"
"GPC5","HS3ST4"
"GPC5","HS3ST6"
"GPC5","HS6ST3"
"GPC5","NDST3"
"GPC5","NDST4"
"GPC5","HS3ST5"
"GPC5","B3GAT2"
"GPC5","VCAN"
"GPC5","XYLT1"
"IL21","IL23R"
"IL21","IL13"
"CNTN4","ULBP2"
"GSTA5","CYP2F1"
"GSTA5","GPX6"
"GSTA5","GPX5"
"GSTA5","GSTA3"
"IL2","ENSG00000255819"
"IL2","CRLF2"
"IL2","CSF3"
"IL2","IL23R"
"IL2","IL13"
"IL2","GPR29"
"IL2","IL7"
"IL2","KLRD1"
"IL2","CMKBR6"
"CYP2B6","GSTA3"
"CYP2B6","GSTA5"
"IFNB1","TLR7"
"KLRK1","ULBP3"
"KLRK1","ULBP2"
"KLRK1","ENSG00000255819"
"KLRK1","IL2"
"CYP2A13","GSTA3"
"CYP2A13","GSTA5"
"IL17F","CSF3"
"IL17F","IL23R"
"IL17F","IL13"
"IL17F","GPR29"
"IL17F","CMKBR6"
"ITGAX","MRC1"
"ITGAX","TLR7"
"ITGAX","TLR8"
"ITGAX","ENSG00000173366"
"ITGAX","IL13"
"ITGAX","IL2"
"CCR2","CCL3L3"
"CCR2","IL2"
"CCR2","SAA1"
"CCR2","ITGAX"
"CCL17","TSLP"
"CCL17","IL13"
"CCL17","CMKBR6"
"CCL17","CCR2"
"BGLAP","ZNF521"
"BGLAP","LEP"
"MGST2","GSTA3"
"MGST2","GSTA5"
"SELL","GPR29"
"SELL","VCAN"
"SELL","CMKBR6"
"SELL","IL2"
"SELL","ITGAX"
"SELL","CCR2"
"GSTA4","GPX6"
"GSTA4","GPX5"
"GSTA4","CYP2B6"
"GSTA4","MGST2"
"IAPP","LEP"
"TIMP3","MMP13"
"ZWINT","ZWILCH"
"ZWINT","TMEM126A"
"SIRT4","WDTC1"
"CCL19","CMKBR6"
"CCL19","SAA1"
"CCL19","CCR2"
"CCL19","CCL17"
"GPX2","GSTA3"
"GPX2","GSTA5"
"GPX2","MGST2"
"GPX2","GSTA4"
"APOA4","GPC5"
"APOA4","SAA1"
"IL4","TSLP"
"IL4","PDCD1LG2"
"IL4","MRC1"
"IL4","IL19"
"IL4","TLR7"
"IL4","CRLF2"
"IL4","CSF3"
"IL4","IL23R"
"IL4","IL13"
"IL4","IL7"
"IL4","CMKBR6"
"IL4","IL21"
"IL4","IL2"
"IL4","IL17F"
"IL4","ITGAX"
"IL4","CCR2"
"IL4","CCL17"
"IL4","SELL"
"SPC25","ZWILCH"
"SPC25","ZWINT"
"RASIP1","ZWINT"
"PTGES","MGST2"
"USP4","XIAP"
"POLD4","XRCC2"
"LRP12","GPC5"
"LRP12","APOA4"
"TNFRSF18","IL2"
"TNFRSF10C","TNFRSF10D"
"PRF1","ENSG00000255819"
"PRF1","KLRD1"
"PRF1","IL2"
"PRF1","KLRK1"
"PRF1","SELL"
"PRF1","IL4"
"B3GAT1","B3GAT2"
"B3GAT1","KLRD1"
"B3GAT1","VCAN"
"B3GAT1","GPC5"
"B3GAT1","IL2"
"B3GAT1","PRF1"
"TYK2","CRLF2"
"TYK2","IL23R"
"TYK2","IL13"
"TYK2","IFNB1"
"TYK2","IL27"
"TYK2","IL4"
"RAPSN","ZBTB33"
"EME2","XRCC2"
"EME2","UBE2T"
"IDO1","IL2"
"IDO1","IL4"
"CCL18","MRC1"
"CCL18","CMKBR6"
"CCL18","CCR2"
"CCL18","CCL19"
"CCL18","IL4"
"IL5","TSLP"
"IL5","CRLF2"
"IL5","CSF3"
"IL5","IL23R"
"IL5","IL13"
"IL5","IL7"
"IL5","IL2"
"IL5","CCL17"
"IL5","IL4"
"CD226","ENSG00000255819"
"CD226","KLRD1"
"CD226","KLRK1"
"IL9","TSLP"
"IL9","CRLF2"
"IL9","CSF3"
"IL9","IL23R"
"IL9","IL13"
"IL9","IL7"
"IL9","IL2"
"IL9","IL4"
"IL9","IL5"
"NCAN","XYLT2"
"NCAN","B3GAT2"
"NCAN","VCAN"
"NCAN","XYLT1"
"NCAN","GPC5"
"NCAN","B3GAT1"
"LILRB2","ITGAX"
"IL17A","TLR7"
"IL17A","CSF3"
"IL17A","IL23R"
"IL17A","IL13"
"IL17A","GPR29"
"IL17A","IL7"
"IL17A","CMKBR6"
"IL17A","IL21"
"IL17A","IL2"
"IL17A","IFNB1"
"IL17A","IL17F"
"IL17A","ITGAX"
"IL17A","SELL"
"IL17A","IL4"
"IL17A","IL5"
"IL17A","IL9"
"CSF2RA","CSF3"
"CSF2RA","IL2"
"CSF2RA","IL4"
"CSF2RA","IL5"
"CD1D","ITGAX"
"CD1D","IL4"
"STAT4","IL23R"
"STAT4","IL21"
"STAT4","IL27"
"STAT4","IL4"
"STAT4","TYK2"
"ADH1C","GSTA3"
"ADH1C","XYLT1"
"IL10RB","IL19"
"IL10RB","IL13"
"IL10RB","IL2"
"IL10RB","IFNB1"
"IL10RB","IL4"
"IL10RB","TYK2"
"IL10RB","IL5"
"IL10RB","IL9"
"IL10RB","STAT4"
"FOSB","H2AFB1"
"TLR5","IL17A"
"ZEB1","ZMIZ1"
"ZEB1","TWIST2"
"GGT5","GPX6"
"GGT5","GPX5"
"GGT5","GSTA3"
"GGT5","GPX2"
"YY1","H2AFB1"
"FCER2","IL13"
"TIPIN","RAD9B"
"TIPIN","ZWINT"
"PPP2R5B","ZWILCH"
"PPP2R5B","PSMB11"
"PPP2R5B","ZWINT"
"PPP2R5B","SPC25"
"HCST","ULBP3"
"HCST","ENSG00000255819"
"HCST","KLRK1"
"FPR1","TLR8"
"FPR1","SAA1"
"FPR1","CCR2"
"FPR1","CCL19"
"FPR1","LILRB2"
"HPSE2","GPC5"
"CXCL2","CSF3"
"CXCL2","CMKBR6"
"CXCL2","SAA1"
"CXCL2","CCR2"
"CXCL2","CCL19"
"CXCL2","IL17A"
"CXCL2","FPR1"
"TIMP2","MMP13"
"TIMP2","MMP12"
"TIMP2","TIMP3"
"TIMP2","MMP15"
"TTF1","H2AFB1"
"TPX2","ZWINT"
"TPX2","SPC25"
"TPX2","UBE2T"
"SLC2A2","LEP"
"PRH1","PRH2"
"PRH1","PRB4"
"IL3","CRLF2"
"IL3","CSF3"
"IL3","IL13"
"IL3","IL7"
"IL3","IL2"
"IL3","IL4"
"IL3","IL5"
"IL3","IL9"
"IL3","CSF2RA"
"SPIDR","XRCC2"
"UBE2G2","UBE2Q1"
"GSTM2","CYP2F1"
"GSTM2","GPX6"
"GSTM2","GPX5"
"GSTM2","GSTA3"
"GSTM2","CYP2B6"
"GSTM2","MGST2"
"GSTM2","GSTA4"
"GSTM2","GPX2"
"THBS1","H2AFB1"
"IFNGR2","IL13"
"IFNGR2","IL2"
"IFNGR2","IFNB1"
"IFNGR2","IL4"
"IFNGR2","TYK2"
"GSTM5","GPX6"
"GSTM5","GPX5"
"GSTM5","GSTA3"
"GSTM5","GSTA5"
"GSTM5","MGST2"
"GSTM5","GSTA4"
"GSTM5","GPX2"
"GSTM5","GSTM2"
"CALCA","BGLAP"
"CALCA","IAPP"
"NCR1","ENSG00000255819"
"NCR1","KLRD1"
"NCR1","IL2"
"NCR1","KLRK1"
"NCR1","PRF1"
"NCR1","CD226"
"TMED9","YKT6"
"TMED9","THAP8"
"ZW10","ZWILCH"
"ZW10","ZWINT"
"ZW10","SPC25"
"ZW10","PPP2R5B"
"ZW10","TMED9"
"CYP2C19","GSTA3"
"CYP2C19","GSTA5"
"CYP2C19","CYP2B6"
"CYP2C19","GSTA4"
"CYP2C19","GSTM2"
"CYP2C19","GSTM5"
"IL27RA","ULBP3"
"IL27RA","IL13"
"IL27RA","IL2"
"IL27RA","IL27"
"IL27RA","IL4"
"IL27RA","TYK2"
"IL27RA","STAT4"
"IL27RA","IL3"
"KCNJ6","XIAP"
"OSMR","CSF3"
"OSMR","TYK2"
"TAOK2","TAOK3"
"HPSE","GPC5"
"HPSE","HPSE2"
"HPSE","TIMP2"
"POLD3","XRCC2"
"POLD3","POLD4"
"IL6","MRC1"
"IL6","IL36B"
"IL6","IL19"
"IL6","TLR7"
"IL6","TLR8"
"IL6","TLR10"
"IL6","ENSG00000173366"
"IL6","TLR6"
"IL6","VWA1"
"IL6","MMP13"
"IL6","CRLF2"
"IL6","LEP"
"IL6","CSF3"
"IL6","IL23R"
"IL6","IL13"
"IL6","IL7"
"IL6","VCAN"
"IL6","SHISA5"
"IL6","IL21"
"IL6","IL2"
"IL6","IFNB1"
"IL6","IL17F"
"IL6","SAA1"
"IL6","ITGAX"
"IL6","CCR2"
"IL6","SELL"
"IL6","IL27"
"IL6","IL4"
"IL6","TYK2"
"IL6","IDO1"
"IL6","IL5"
"IL6","IL9"
"IL6","IL17A"
"IL6","CSF2RA"
"IL6","STAT4"
"IL6","IL10RB"
"IL6","TLR5"
"IL6","CXCL2"
"IL6","IL3"
"IL6","IFNGR2"
"IL6","IL27RA"
"IL6","OSMR"
"SWSAP1","ZSWIM7"
"SWSAP1","XRCC6BP1"
"TAGLN","YKT6"
"PTGS1","CYP2B6"
"PTGS1","PTGES"
"PTGS1","CYP2C19"
"RETNLB","MRC1"
"RETNLB","IL13"
"RETNLB","IL4"
"UHRF2","YY1"
"NID1","MMP12"
"NID1","MMP15"
"GSTT2B","CYP2F1"
"GSTT2B","GPX5"
"GSTT2B","GSTA3"
"GSTT2B","GSTA5"
"GSTT2B","CYP2B6"
"GSTT2B","MGST2"
"GSTT2B","GSTA4"
"GSTT2B","GPX2"
"GSTT2B","ADH1C"
"GSTT2B","GGT5"
"GSTT2B","GSTM2"
"GSTT2B","GSTM5"
"ADH1B","GSTA4"
"ADH1B","ADH1C"
"ADH1B","GSTT2B"
"SPI1","TLR7"
"SPI1","H2AFB1"
"SPI1","GSC"
"SPI1","IL9"
"SPI1","LILRB2"
"CCL4","CCL3L3"
"CCL4","CSF3"
"CCL4","IL13"
"CCL4","IL7"
"CCL4","CMKBR6"
"CCL4","IL2"
"CCL4","SAA1"
"CCL4","CCR2"
"CCL4","CCL17"
"CCL4","CCL19"
"CCL4","IL4"
"CCL4","IL5"
"CCL4","IL17A"
"CCL4","FPR1"
"CCL4","CXCL2"
"CCL4","IL6"
"CXCL5","CSF3"
"CXCL5","CMKBR6"
"CXCL5","SAA1"
"CXCL5","CCR2"
"CXCL5","CCL19"
"CXCL5","IL17A"
"CXCL5","FPR1"
"CXCL5","CXCL2"
"CXCL5","IL6"
"CXCL5","CCL4"
"USP42","ZEB1"
"TROAP","TPX2"
"IL12B","IL23R"
"IL12B","IL13"
"IL12B","IL4"
"IL12B","TYK2"
"IL12B","STAT4"
"IL12B","IFNGR2"
"MSH5","SPO11"
"IL22","IL23R"
"IL22","IL17F"
"IL22","IL4"
"IL22","TYK2"
"IL22","IL17A"
"IL22","IL10RB"
"IL22","IL27RA"
"IL22","IL6"
"ZHX1","TNFRSF10C"
"ZHX1","ZMYND11"
"TNRC6C","H2AFB1"
"TNRC6C","NOTCH4"
"IFNLR1","IL19"
"IFNLR1","IFNB1"
"IFNLR1","TYK2"
"IFNLR1","STAT4"
"IFNLR1","IL10RB"
"NFKBIB","PSMB11"
"CX3CR1","CCL3L3"
"CX3CR1","SAA1"
"CX3CR1","ITGAX"
"CX3CR1","CCR2"
"CX3CR1","CCL17"
"CX3CR1","CCL19"
"CX3CR1","CCL18"
"CX3CR1","FPR1"
"CX3CR1","CXCL2"
"CX3CR1","IL6"
"CX3CR1","CCL4"
"CX3CR1","CXCL5"
"LIF","TYK2"
"LIF","IL27RA"
"LIF","OSMR"
"LIF","IL6"
"MPO","CSF3"
"MPO","IL6"
"MPO","PTGS1"
"MPO","SPI1"
"SPSB1","UBE2Q1"
"SPSB1","UBE2G2"
"TIMM9","XRCC6BP1"
"CXCL10","TLR8"
"CXCL10","CSF3"
"CXCL10","IL13"
"CXCL10","IL7"
"CXCL10","CMKBR6"
"CXCL10","IL2"
"CXCL10","IFNB1"
"CXCL10","SAA1"
"CXCL10","CCR2"
"CXCL10","CCL17"
"CXCL10","CCL19"
"CXCL10","IL4"
"CXCL10","IDO1"
"CXCL10","IL5"
"CXCL10","IL9"
"CXCL10","IL17A"
"CXCL10","FPR1"
"CXCL10","CXCL2"
"CXCL10","IL6"
"CXCL10","CCL4"
"CXCL10","CXCL5"
"CXCL10","CX3CR1"
"TXNRD1","GPX6"
"TXNRD1","GPX2"
"ADIPOQ","LEP"
"ADIPOQ","BGLAP"
"ADIPOQ","IL6"
"CCL3","CCL3L3"
"CCL3","CSF3"
"CCL3","IL13"
"CCL3","CMKBR6"
"CCL3","IL2"
"CCL3","CCR2"
"CCL3","CCL19"
"CCL3","IL4"
"CCL3","IL5"
"CCL3","IL17A"
"CCL3","CXCL2"
"CCL3","IL6"
"CCL3","CCL4"
"CCL3","CXCL5"
"CCL3","CX3CR1"
"CCL3","CXCL10"
"CXCL12","CSF3"
"CXCL12","VCAN"
"CXCL12","CMKBR6"
"CXCL12","SAA1"
"CXCL12","CCR2"
"CXCL12","CCL19"
"CXCL12","IL17A"
"CXCL12","FPR1"
"CXCL12","CXCL2"
"CXCL12","IL6"
"CXCL12","CCL4"
"CXCL12","CXCL5"
"CXCL12","CX3CR1"
"CXCL12","CXCL10"
"CXCL12","CCL3"
"H2AFJ","HIST2H2AA"
"H2AFJ","SPO11"
"H2AFJ","H2AFB1"
"H2AFJ","FOSB"
"H2AFJ","YY1"
"H2AFJ","TTF1"
"H2AFJ","THBS1"
"H2AFJ","SPI1"
"H2AFJ","TNRC6C"
"PLA2G6","CYP2B6"
"PLA2G6","PTGS1"
"IL22RA1","TSLP"
"IL22RA1","IL19"
"IL22RA1","IL13"
"IL22RA1","IL2"
"IL22RA1","IL4"
"IL22RA1","TYK2"
"IL22RA1","IL5"
"IL22RA1","IL9"
"IL22RA1","IL10RB"
"IL22RA1","IL6"
"IL22RA1","IL22"
"SPC24","ZWILCH"
"SPC24","ZWINT"
"SPC24","SPC25"
"SPC24","PPP2R5B"
"SPC24","ZW10"
"XRCC4","ZSWIM7"
"XRCC4","XRCC6BP1"
"XRCC4","SWSAP1"
"KLRF1","NCR1"
