"node","type"
"10633.LT_SV40",0
"10633.AGNO_SV40",0
"ULBP1",2
"RB1",2
"TP53",2
"ATM",2
"HPGDS",2
"BIRC5",2
"POU3F3",2
"BAG3",2
"RBL1",2
"HSPG2",2
"IL10",2
"POLI",2
"EPHA2",2
"GLTSCR2",2
"HDAC5",2
"POLK",2
"MCM2",2
"EGFR",2
"MAGEC2",2
"PIM1",2
"EFTUD2",2
"P4HA2",2
"CDK7",2
"CENPK",2
"PDCD4",2
"LARP7",2
"BAK1",2
"CDK6",2
"MOV10",2
"DDX50",2
"PSMA6",2
"ADD1",2
"ITGB1",2
"PTRF",2
"FN1",2
"GPSM3",2
"PSMA5",2
"HRAS",2
"SNCA",2
"HIST1H2BB",2
"KPNA2",2
"MYC",2
"SIRT1",2
"GSK3B",2
"MAPK1",2
"NTRK1",2
"HSPA4L",2
"CUL4A",2
"HNRNPA1",2
"CRK",2
"CCNA1",2
"CCNA2",2
"ISG15",2
"DNMT1",2
"BAG2",2
"CEP135",2
"DYNLT1",2
"EP300",2
"SUMO1",2
"TUBA1C",2
"GRWD1",2
"ESR1",2
"CSNK2A2",2
"CSNK2B",2
"EP400",2
"DDX1",2
"CCNT1",2
"BGN",2
"HSP90B1",2
"NUP160",2
"CCT7",2
"MED4",2
"KRAS",2
"NCOR2",2
"PAN2",2
"DDB1",2
"LAMTOR1",2
"MLH1",2
"HNRNPL",2
"EZH2",2
"EIF5B",2
"KIAA1429",2
"AGRN",2
"CUL7",2
"ADI1",2
"CITED2",2
"TINF2",2
"ANLN",2
"APP",2
"MUS81",2
"HSPA5",2
"DAB2IP",2
"HUS1",2
"DHX8",2
"EIF3E",2
"H2AFX",2
"PDCD6IP",2
"GPS2",2
"BRCA2",2
"NPRL3",2
"NR0B2",2
"HNRNPM",2
"EWSR1",2
"DACH1",2
"SH3YL1",2
"BRCA1",2
"RPL21",2
"CHUK",2
"RNF2",2
"CRP",2
"PMS1",2
"HIF1A",2
"ANXA2",2
"APPL1",2
"TPM3",2
"HMOX1",2
"SF3B2",2
"MOGS",2
"EZR",2
"CAV1",2
"MED21",2
"RPL23A",2
"DSN1",2
"CEBPB",2
"PPIA",2
"KIF2C",2
"LMNA",2
"PSMC6",2
"RNF4",2
"RNF123",2
"EYA4",2
"PPARG",2
"HDAC1",2
"CDK9",2
"CENPA",2
"FAM175B",2
"PEX5",2
"ITCH",2
"CNOT1",2
"CA9",2
"DCAF7",2
"SESN2",2
"MAGEA11",2
"HNRNPU",2
"EMD",2
"IKBKG",2
"NDC80",2
"MCM7",2
"NR4A1",2
"MYBBP1A",2
"KLHL13",2
"USP15",2
"AURKA",2
"MVP",2
"MED14",2
"PPP2R2A",2
"ID4",2
"NPM1",2
"GNB2L1",2
"TRIM27",2
"ESR2",2
"SORBS3",2
"CFTR",2
"FBXO7",2
"HIST4H4",2
"CDH1",2
"MRPS27",2
"PSMA4",2
"CSNK2A1",2
"DAXX",2
"HECW2",2
"ERCC1",2
"EIF2AK2",2
"FOXJ3",2
"FBXW11",2
"APOB",2
"PARP1",2
"JUN",2
"MAP3K7",2
"LIMA1",2
"MAP2K5",2
"IL23A",2
"IL12RB1",2
"APOA1",2
"UBC",2
"POLR1B",2
"AKT3",2
"BECN1",2
"HSPA4",2
"CHD4",2
"AP3B1",2
"MED31",2
"PSMB7",2
"RPS6KA2",2
"ASH2L",2
"CDK1",2
"HDAC3",2
"CCNC",2
"ANKS1A",2
"SNW1",2
"MAPK7",2
"DYNC1I2",2
"POU5F1",2
"MTOR",2
"ATP5A1",2
"BIRC6",2
"BCL2L14",2
"CCDC8",2
"PPAN",2
"BNIP3",2
"DGCR8",2
"COPS5",2
"BMI1",2
"MRPS22",2
"MDM2",2
"DDX5",2
"BRCC3",2
"POLR2A",2
"ANK2",2
"HERC2",2
"A2M",2
"LRPPRC",2
"NCL",2
"CDC42",2
"ACTB",2
"CD83",2
"HSPA9",2
"BCL10",2
"CHD3",2
"EIF2S2",2
"PSMD8",2
"PYHIN1",2
"RECQL4",2
"SUZ12",2
"BRD1",2
"BID",2
"PSMA2",2
"GRB2",2
"SMAD7",2
"CDK2",2
"SPOP",2
"VRK2",2
"APEX1",2
"MDC1",2
"CAT",2
"RFWD3",2
"RPL27",2
"SNRPD3",2
"MAD2L2",2
"VCP",2
"PCBP1",2
"BMP1",2
"HSP90AA1",2
"TNFRSF1A",2
"C14orf166",2
"MAPRE1",2
"EGLN3",2
"CEP120",2
"AHR",2
"ING1",2
"HSPA8",2
"EVL",2
"OBSL1",2
"EXOSC7",2
"ABR",2
"APLNR",2
"HNRNPA0",2
"CDC14B",2
"BARD1",2
"PRKDC",2
"PSMB5",2
"RPL7A",2
"IKBKB",2
"PSMB1",2
"LPAR6",2
"RFC4",2
"PSMC2",2
"E2F1",2
"CDC16",2
"CLIP1",2
"RPL7",2
"PCNA",2
"AIFM1",2
"RPS19",2
"CLTC",2
"BTRC",2
"SMAD2",2
"CASP3",2
"CHEK1",2
"RPS13",2
"CCT5",2
"E2F4",2
"DYRK1A",2
"CD99L2",2
"DLG3",2
"DDB2",2
"FANCD2",2
"SLAMF1",2
"MRPL41",2
"HIST1H1A",2
"NQO1",2
"NMT1",2
"ACTL6A",2
"CBX5",2
"HNRNPA2B1",2
"MCM6",2
"AMOT",2
"CUL3",2
"CBLC",2
"TRAPPC2L",2
"CAPZA1",2
"RPS15",2
"ARNT",2
"CHD8",2
"EEF2",2
"CCND1",2
"COPS4",2
"PSMD11",2
"MRPS2",2
"MRPS28",2
"HIF1AN",2
"DYRK2",2
"RPS27",2
"DYNC1H1",2
"SETD1A",2
"RPS8",2
"C5AR2",2
"MTA3",2
"MED1",2
"CBX1",2
"MED10",2
"POLA2",2
"NEDD8",2
"AKT1",2
"FOXO1",2
"GBF1",2
"PSMB2",2
"RPRD1B",2
"PPP1CC",2
"HDAC2",2
"HDAC6",2
"CYP1A1",2
"EHMT2",2
"TFPI2",2
"HIST1H1E",2
"SSRP1",2
"RC3H2",2
"POLR2G",2
"RPL6",2
"CTNNB1",2
"TEAD2",2
"GTF3C3",2
"PSMD14",2
"BACE1",2
"CREBBP",2
"DDX3X",2
"PPP2CA",2
"RIPK4",2
"ASF1A",2
"MYBL2",2
"SYNPO",2
"CBX3",2
"KIT",2
"SART1",2
"FOXP3",2
"CTBP1",2
"CDC25A",2
"CCT6B",2
"HIST1H2AB",2
"KIF23",2
"SET",2
"ABL1",2
"RPTOR",2
"HNRNPH1",2
"CCNG1",2
"ABCE1",2
"KDM1A",2
"AAR2",2
"MAD1L1",2
"H2AFZ",2
"HMGA1",2
"BCCIP",2
"DBN1",2
"CDC25B",2
"NOTCH3",2
"FBL",2
"ITGA2",2
"CNOT3",2
"ERBB4",2
"OFD1",2
"BLM",2
"TGFB1",2
"RPL11",2
"BICD1",2
"CHEK2",2
