"V1","V2"
"WDTC1","PARG"
"SIRT4","WDTC1"
"PARP3","PARG"
"C6orf48","PRSS57"
"POLG2","YARS"
"POLD3","POLD4"
"XPA","POLD4"
"XPA","POLD3"
"POLE4","POLD4"
"POLE4","POLD3"
"POLE4","XPA"
"LIG1","POLD4"
"LIG1","POLD3"
"LIG1","XPA"
"LIG1","POLE4"
"RPA4","POLD3"
"RPA4","XPA"
"RPA4","POLE4"
"WDR76","YARS"
"XPC","XPA"
"XPC","RPA4"
"XPC","TOP2B"
"XPC","WDR76"
"SIRT3","WDTC1"
"SIRT3","SIRT4"
"TIMELESS","POLD3"
"TIMELESS","LIG1"
"HMGN1","POLD4"
"HMGN1","POLD3"
"HMGN1","XPA"
"HMGN1","POLE4"
"HMGN1","LIG1"
"PARP9","PARP3"
"SPP1","HMGN1"
"RFC2","POLD4"
"RFC2","POLD3"
"RFC2","XPA"
"RFC2","POLE4"
"RFC2","LIG1"
"RFC2","TIMELESS"
"RFC2","HMGN1"
"UBE2N","XPA"
"UBE2N","XPC"
"UBE2N","ZBTB16"
"GTF2H2","POLD4"
"GTF2H2","POLD3"
"GTF2H2","XPA"
"GTF2H2","POLE4"
"GTF2H2","LIG1"
"GTF2H2","TAF13"
"GTF2H2","XPC"
"GTF2H2","HMGN1"
"GTF2H2","RFC2"
"GTF2H2","UBE2N"
"VHL","ZBTB16"
"VHL","UBE2N"
"XRCC5","YARS"
"XRCC5","PARP3"
"XRCC5","ZNF746"
"XRCC5","VRK1"
"XRCC5","VRK3"
"XRCC5","UHRF2"
"XRCC5","XPA"
"XRCC5","THRB"
"XRCC5","LIG1"
"XRCC5","WDR76"
"XRCC5","XPC"
"XRCC5","UBE2N"
"XRCC5","VHL"
"GTF2H3","POLD4"
"GTF2H3","POLD3"
"GTF2H3","XPA"
"GTF2H3","POLE4"
"GTF2H3","LIG1"
"GTF2H3","TAF13"
"GTF2H3","XPC"
"GTF2H3","HMGN1"
"GTF2H3","RFC2"
"GTF2H3","UBE2N"
"GTF2H3","GTF2H2"
"TOPBP1","TOP2B"
"TOPBP1","TIMELESS"
"TOPBP1","RFC2"
"GTF2H5","POLD4"
"GTF2H5","POLD3"
