"node","type"
"10335.GE_VZVD",0
"10335.ICP4_VZVD",0
"10335.ICP22_VZVD",0
"10335.VP16_VZVD",0
"10335.NP04_VZVD",0
"10335.UL13_VZVD",0
"10335.GB_VZVD",0
"10335.RIR1_VZVD",0
"10335.GK_VZVD",0
"10335.GM_VZVD",0
"10335.US03_VZVD",0
"10335.ICP27_VZVD",0
"10335.GI_VZVD",0
"10335.VP22_VZVD",0
"CREB3L3",2
"CSNK2A3",2
"BRF2",2
"HCFC2",2
"TBPL1",2
"DUSP1",2
"DUSP4",2
"EFNB2",2
"CDC25B",2
"TBPL2",2
"JUND",2
"KRAS",2
"POU2F3",2
"MYO5C",2
"STAT3",2
"CHKA",2
"IDE",2
"CDK2",2
"TP53",2
"CALM2",2
"EGFR",1
"MYO5B",2
"STAT5B",2
"T",2
"STAT6",2
"MED1",2
"RRM1",2
"JUNB",2
"CDC25A",2
"HCFC1",2
"STAT2",2
"CDC25C",2
"SRSF7",2
"YBEY",2
"STAT5A",2
"MPP2",2
"DUSP9",2
"STAT1",2
"POU2F1",2
"CDK19",2
"GTF2B",2
"JUN",2
"SRSF3",2
"SRPK1",2
"PHKA2",2
"CDK8",2
"CDK1",2
"DDX39B",2
"MYO5A",2
"TAF1L",2
"POU2F2",2
"BRF1",2
"DEPDC1",2
"DDX50",2
"PSMA6",2
"ADD1",2
"POC1A",2
"ITGB1",2
"COX15",2
"PTRF",2
"RNF185",2
"FN1",2
"AP2A2",2
"ARIH1",2
"FUS",2
"GPSM3",2
"PSMA5",2
"HRAS",2
"SNCA",2
"CALM1",2
"ALDOA",2
"HIST1H2BB",2
"KPNA2",2
"MYC",2
"SIRT1",2
"GLO1",2
"GSK3B",2
"MAPK1",2
"NTRK1",2
"EXOC3",2
"HIST1H3E",2
"HSPA4L",2
"FBXO45",2
"CUL4A",2
"EMC2",2
"ADAM32",2
"AGR2",2
"AGTRAP",2
"HNRNPA1",2
"ACTN4",2
"ADAM9",2
"CRK",2
"CCNA1",2
"CCNA2",2
"HK2",2
"ISG15",2
"DNMT1",2
"BAG2",2
"AGK",2
"GORASP1",2
"NCBP1",2
"CEP135",2
"PRPF31",2
"CHD9",2
"DYNLT1",2
"EP300",2
"CBS",2
"SUMO1",2
"ABL2",2
"TUBA1C",2
"EEF1G",2
"GRWD1",2
"BRIX1",2
"ITFG1",2
"BCAR1",2
"ESR1",2
"CSNK2A2",2
"CSNK2B",2
"EP400",2
"DDX1",2
"CCNT1",2
"CDC73",2
"HSP90B1",2
"NUP160",2
"CCT7",2
"MED4",2
"NCOR2",2
"PAN2",2
"LRRFIP1",2
"STAU1",2
"DDB1",2
"LAMTOR1",2
"MLH1",2
"HNRNPL",2
"EZH2",2
"ACADM",2
"EIF5B",2
"AP2B1",2
"PVR",2
"KIAA1429",2
"HGS",2
"SF1",2
"AGRN",2
"CUL7",2
"CUL1",2
"S100A9",2
"CITED2",2
"ANLN",2
"RNF144A",2
"APP",2
"HSPA5",2
"DAB2IP",2
"SRRM2",2
"RNPS1",2
"MRPL20",2
"NEFL",2
"HUS1",2
"COPA",2
"MECP2",2
"GNAI2",2
"ACIN1",2
"STX7",2
"EPN1",2
"NPLOC4",2
"KIAA0319L",2
"ENO1",2
"CD247",2
"ESYT1",2
"DHX8",2
"FADD",2
"EIF3E",2
"CACNA1B",2
"H2AFX",2
"PDE4DIP",2
"PDCD6IP",2
"HOXB9",2
"CDKL3",2
"GPS2",2
"ASPSCR1",2
"BRCA2",2
"NPRL3",2
"NR0B2",2
"GAN",2
"RAB3IP",2
"FCF1",2
"HNRNPM",2
"EWSR1",2
"DACH1",2
"HIGD2A",2
"BRCA1",2
"RPL21",2
"CHUK",2
"HIST1H4A",2
"CDC23",2
"RNF2",2
"COG6",2
"CLPX",2
"SH3GL2",2
"LIN28A",2
"HIF1A",2
"CDC37",2
"ATG16L1",2
"ANXA2",2
"APPL1",2
"TPM3",2
"HMOX1",2
"SF3B2",2
"RPL27A",2
"DPM1",2
"HNRNPA3",2
"MOGS",2
"CANX",2
"EZR",2
"CAV1",2
"MED21",2
"RPL23A",2
"EIF4G2",2
"DSN1",2
"CEBPB",2
"PPIA",2
"KIF2C",2
"ILF3",2
"CREB5",2
"LMNA",2
"PSMC6",2
"RNF4",2
"AQR",2
"CCDC93",2
"RNF123",2
"CDC5L",2
"PPARG",2
"HDAC1",2
"EIF3A",2
"ENSA",2
"NR1H2",2
"RBM10",2
"COPS6",2
"ALDH18A1",2
"CDK9",2
"CENPA",2
"FAM175B",2
"PEX5",2
"ITCH",2
"RAB8B",2
"HNRNPC",2
"CNOT1",2
"CA9",2
"HSPH1",2
"DCAF7",2
"FKBP8",2
"SESN2",2
"EPHA4",2
"EXOSC6",2
"ADAR",2
"HNRNPU",2
"CDC34",2
"EMD",2
"IKBKG",2
"DCTN1",2
"NDC80",2
"DYNLRB1",2
"NME6",2
"MCM7",2
"ORC3",2
"NR4A1",2
"MTX2",2
"MYBBP1A",2
"AURKAIP1",2
"EXOSC3",2
"USP15",2
"AURKA",2
"MVP",2
"INPPL1",2
"MED14",2
"PPP2R2A",2
"ARRB1",2
"RBM14",2
"CPSF2",2
"PXN",2
"ID4",2
"NPM1",2
"GNB2L1",2
"TRIM27",2
"ACBD5",2
"ESR2",2
"SORBS3",2
"CEP170",2
"CFTR",2
"HSPD1",2
"FBXO7",2
"FXR1",2
"CDH1",2
"BAG3",2
"MRPS27",2
"ILF2",2
"PSMA4",2
"HSPE1",2
"CSNK2A1",2
"DIP2A",2
"DAXX",2
"LEO1",2
"HECW2",2
"ERCC1",2
"EIF2AK2",2
"FOXJ3",2
"FBXW11",2
"EIF2B3",2
"CCNY",2
"APOB",2
"HNRNPR",2
"RNF31",2
"PARP1",2
"AP2A1",2
"MAP3K7",2
"RC3H1",2
"FAM98A",2
"LIMA1",2
"DCP2",2
"CNTF",2
"MAP2K5",2
"HDLBP",2
"IL23A",2
"IL12RB1",2
"APOA1",2
"UBC",2
"IER2",2
"AKT3",2
"BECN1",2
"HSPA4",2
"SCFD1",2
"CHD4",2
"AP3B1",2
"RBM23",2
"MED31",2
"PSMB7",2
"RPS6KA2",2
"ASH2L",2
"CCDC47",2
"ANAPC5",2
"PNPT1",2
"DSP",2
"PAICS",2
"TMEM17",2
"METAP2",2
"C11orf84",2
"HDAC3",2
"HACL1",2
"KBTBD7",2
"CCNC",2
"ARF1",2
"AP1G1",2
"FUBP1",2
"ANKS1A",2
"SLIRP",2
"SNW1",2
"MAPK7",2
"DYNC1I2",2
"MAPKAP1",2
"POU5F1",2
"MTOR",2
"DR1",2
"ATP5A1",2
"BIRC6",2
"BCL2L14",2
"CUL5",2
"CCDC8",2
"BNIP3",2
"KCTD12",2
"NHP2L1",2
"CRMP1",2
"DGCR8",2
"PEX19",2
"COPS5",2
"NONO",2
"BMI1",2
"ERMP1",2
"MRPS22",2
"MDM2",2
"DDX5",2
"BRCC3",2
"POLR2A",2
"ANK2",2
"HERC2",2
"A2M",2
"LRPPRC",2
"LMNB1",2
"NCL",2
"FAM117B",2
"CEP57",2
"OSBP",2
"CDC42",2
"ACTB",2
"CD83",2
"HSPA9",2
"CHD3",2
"EIF2S2",2
"PSMD8",2
"CD81",2
"RECQL4",2
"CUL2",2
"SUZ12",2
"BRD1",2
"BID",2
"ETV5",2
"COG7",2
"PSMA2",2
"GRB2",2
"NDUFS1",2
"SMAD7",2
"FGF3",2
"SAR1A",2
"MIS18BP1",2
"LCK",2
"ABCC5",2
"VRK2",2
"APEX1",2
"MDC1",2
"CAT",2
"RFWD3",2
"FGF8",2
"RPL27",2
"SNRPD2",2
"SNRPD3",2
"PQBP1",2
"VCP",2
"LASP1",2
"AHCYL1",2
"BPIFB3",2
"SIAH1",2
"PCBP1",2
"BMP1",2
"RRS1",2
"EGR2",2
"HSP90AA1",2
"NDUFS3",2
"TNFRSF1A",2
"PFKM",2
"MAPRE1",2
"THADA",2
"EGLN3",2
"HSD17B10",2
"CEP120",2
"AHR",2
"CEP63",2
"ING1",2
"IPO8",2
"HSPA8",2
"MPV17",2
"ACTA1",2
"OBSL1",2
"EXOSC7",2
"ABR",2
"EXOSC10",2
"RBM7",2
"CALR",2
"MTNR1A",2
"EMC1",2
"HNRNPA0",2
"GMPPB",2
"CDC14B",2
"BARD1",2
"PRKDC",2
"PSMB5",2
"RPL7A",2
"ATP5D",2
"IKBKB",2
"PSMB1",2
"SNAPC2",2
"RAB3A",2
"RFC4",2
"PSMC2",2
"EPRS",2
"E2F1",2
"CDC16",2
"CLIP1",2
"RPL7",2
"MYL6",2
"SLC9A3R1",2
"AP1M1",2
"PCNA",2
"BCORL1",2
"PFDN2",2
"AIFM1",2
"RPS19",2
"CLTC",2
"PIN4",2
"BTRC",2
"LBR",2
"SMAD2",2
"RUVBL1",2
"MTX1",2
"FRS2",2
"CASP3",2
"HNRNPAB",2
"CHEK1",2
"ARHGAP1",2
"RPS13",2
"CCT5",2
"E2F4",2
"DYRK1A",2
"EIF2S3",2
"TALDO1",2
"PSEN2",2
"NOP56",2
"DLG3",2
"DDB2",2
"SCARB2",2
"SLAMF1",2
"MRPL41",2
"HIST1H1A",2
"NQO1",2
"CSRP2BP",2
"CBL",2
"ACO2",2
"NMT1",2
"RXRA",2
"ACTL6A",2
"IPO4",2
"CBX5",2
"HNRNPA2B1",2
"NME7",2
"CALM3",2
"MCM6",2
"GUK1",2
"MDFI",2
"CUL3",2
"CBLC",2
"TIMM13",2
"TRAPPC2L",2
"CAPZA1",2
"ATAD3A",2
"NOP58",2
"GJA1",2
"RPS15",2
"ARNT",2
"MBD1",2
"CHD8",2
"EEF2",2
"CPSF3",2
"NME2",2
"EIF2B2",2
"CCND1",2
"COPS4",2
"CAND1",2
"SHC1",2
"PSMD11",2
"MRPS2",2
"MRPS28",2
"FCGR2A",2
"CCDC120",2
"ARHGDIA",2
"HIF1AN",2
"CNTROB",2
"DYRK2",2
"CHST8",2
"RPS27",2
"DYNC1H1",2
"ADRB2",2
"SETD1A",2
"ESCO1",2
"RPS8",2
"NEDD4L",2
"NCK2",2
"RNF115",2
"SAMHD1",2
"ERBB2IP",2
"MTA3",2
"CAPZA2",2
"IGHMBP2",2
"NR2C2",2
"ASCC3",2
"MED11",2
"MED15",2
"CEP76",2
"EEF2K",2
"MED10",2
"EXOC4",2
"NOP2",2
"ATP6V1E1",2
"PLS3",2
"POLA2",2
"COPB2",2
"NEDD8",2
"AKT1",2
"FOXO1",2
"GBF1",2
"PTPLAD1",2
"PSMB2",2
"RBM27",2
"KRT10",2
"RPRD1B",2
"PPP1CC",2
"DAPK2",2
"HDAC2",2
"EIF2AK3",2
"MSN",2
"HDAC6",2
"CYP1A1",2
"CREB3L1",2
"ARHGEF7",2
"PRPF3",2
"ACTR1B",2
"MEPCE",2
"EHMT2",2
"DDX6",2
"AHSG",2
"TFPI2",2
"GATA2",2
"PPM1B",2
"HIST1H1E",2
"SSRP1",2
"RC3H2",2
"DVL3",2
"POLR2G",2
"RPL6",2
"CTNNB1",2
"MAP3K11",2
"TEAD2",2
