"node","type"
"11082.PRO_0000037752",0
"11082.PRO_0000037743",0
"11082.PRO_0000037747",0
"11082.PRO_0000037748",0
"KRAS",2
"IRAK3",2
"HNRNPA2B1",2
"PTBP1",2
"IFNB1",2
"C4B",2
"CHAF1B",2
"CYLD",2
"ELAVL1",2
"EPHA2",2
"HDAC5",2
"ANKRD50",2
"ESYT2",2
"MCM2",2
"EGFR",2
"PIM1",2
"CSE1L",2
"EFTUD2",2
"CENPK",2
"LARP7",2
"BRAF",2
"MOV10",2
"CYC1",2
"RALGAPA2",2
"DDX50",2
"PSMA6",2
"ADD1",2
"ITGB1",2
"COX15",2
"RNF185",2
"FN1",2
"FUS",2
"PSMA5",2
"HRAS",2
"CALM1",2
"ALDOA",2
"KPNA2",2
"MYC",2
"MAPK1",2
"NTRK1",2
"EXOC3",2
"CUL4A",2
"EMC2",2
"AGR2",2
"AGTRAP",2
"HNRNPA1",2
"ADAM9",2
"CCNA2",2
"ISG15",2
"BAG2",2
"AGK",2
"NCBP1",2
"PRPF31",2
"EP300",2
"BRIX1",2
"ITFG1",2
"ESR1",2
"CSNK2B",2
"EP400",2
"DDX1",2
"CDC73",2
"CCT7",2
"MED4",2
"PAN2",2
"STAU1",2
"MIR221",2
"LAMTOR1",2
"MLH1",2
"HNRNPL",2
"EZH2",2
"EIF5B",2
"KIAA1429",2
"SF1",2
"CUL7",2
"CUL1",2
"APP",2
"HSPA5",2
"DAB2IP",2
"SRRM2",2
"RNPS1",2
"NEFL",2
"MIR199A1",2
"GNAI2",2
"ACIN1",2
"STX7",2
"KIAA0319L",2
"ENO1",2
"ESYT1",2
"EIF3E",2
"H2AFX",2
"PDE4DIP",2
"CDKL3",2
"FCF1",2
"HNRNPM",2
"EWSR1",2
"HIGD2A",2
"BRCA1",2
"RPL21",2
"HIST1H4A",2
"CDC23",2
"RNF2",2
"HIF1A",2
"CDC37",2
"ATG16L1",2
"MIR7-1",2
"HMOX1",2
"SF3B2",2
