"V1","V2"
"CD1C","THBD"
"TLR8","TLR7"
"ENSG00000173366","TLR7"
"CSF3","LEP"
"IL13","TSLP"
"IL13","MRC1"
"IL13","CSF3"
"IL7","TSLP"
"IL7","CSF3"
"IL7","IL13"
"MUC5AC","IL13"
"IL21","IL13"
"IL2","ENSG00000255819"
"IL2","CSF3"
"IL2","IL13"
"IL2","IL7"
"IL2","SMPD1"
"IFNB1","TLR7"
"KLRK1","ENSG00000255819"
"KLRK1","IL2"
"ITGAX","MRC1"
"ITGAX","CD1C"
"ITGAX","TLR7"
"ITGAX","TLR8"
"ITGAX","ENSG00000173366"
"ITGAX","IL13"
"ITGAX","IL2"
"SELL","IL2"
"SELL","ITGAX"
"CX3CL1","CCL4L1"
"MADCAM1","SELL"
"IL4","TSLP"
"IL4","MRC1"
"IL4","CD1C"
"IL4","TLR7"
"IL4","CSF3"
"IL4","IL13"
"IL4","IL7"
"IL4","MUC5AC"
"IL4","IL21"
"IL4","IL2"
"IL4","ITGAX"
"IL4","SELL"
"IL4","CX3CL1"
"USP4","XIAP"
"LTB","PSMB11"
"EDN1","LEP"
"EDN1","REN"
"PRF1","ENSG00000255819"
"PRF1","IL2"
"PRF1","KLRK1"
"PRF1","SELL"
"PRF1","IL4"
"IDO1","IL2"
"IDO1","IL4"
"IL5","TSLP"
"IL5","CSF3"
"IL5","IL13"
"IL5","IL7"
"IL5","IL2"
"IL5","IL4"
"IL9","TSLP"
"IL9","CSF3"
"IL9","IL13"
"IL9","IL7"
"IL9","IL2"
"IL9","IL4"
"IL9","IL5"
"IL17A","TLR7"
"IL17A","CSF3"
"IL17A","IL13"
"IL17A","IL7"
"IL17A","MUC5AC"
"IL17A","IL21"
"IL17A","IL2"
"IL17A","IFNB1"
"IL17A","ITGAX"
"IL17A","SELL"
"IL17A","IL4"
"IL17A","IL5"
"IL17A","IL9"
"TNFRSF11A","PSMB11"
"TNFRSF11A","LTB"
"TLR5","IL17A"
"CXCL2","CSF3"
"CXCL2","CCL4L1"
"CXCL2","CX3CL1"
"CXCL2","IL17A"
"IL3","CSF3"
"IL3","IL13"
"IL3","IL7"
"IL3","IL2"
"IL3","IL11"
"IL3","IL4"
"IL3","IL5"
"IL3","IL9"
"TNFSF14","PSMB11"
"TNFSF14","LTB"
"TNFSF14","TNFRSF11A"
"IL6","MRC1"
"IL6","TLR7"
"IL6","TLR8"
"IL6","TLR10"
"IL6","ENSG00000173366"
"IL6","TLR6"
"IL6","MMP13"
"IL6","LEP"
"IL6","CSF3"
"IL6","IL13"
"IL6","IL7"
"IL6","CCL4L1"
"IL6","IL21"
"IL6","REN"
"IL6","IL2"
"IL6","IFNB1"
"IL6","IL11"
"IL6","ITGAX"
"IL6","SELL"
"IL6","IL37"
"IL6","IL1F10"
"IL6","IL4"
"IL6","GPT"
"IL6","EDN1"
"IL6","IDO1"
"IL6","IL5"
"IL6","IL9"
"IL6","IL17A"
"IL6","TLR5"
"IL6","CXCL2"
"IL6","IL3"
"IL6","ITIH2"
"SPI1","TLR7"
"SPI1","IL9"
"CCL4","CSF3"
"CCL4","IL13"
"CCL4","IL7"
"CCL4","CCL4L1"
"CCL4","IL2"
"CCL4","CX3CL1"
"CCL4","IL4"
"CCL4","EDN1"
"CCL4","IL5"
"CCL4","IL17A"
"CCL4","CXCL2"
"CCL4","IL6"
"MPO","CSF3"
"MPO","MT-CO2"
"MPO","PRTN3"
"MPO","IL6"
"MPO","SPI1"
"CXCL10","TLR8"
"CXCL10","CSF3"
"CXCL10","IL13"
"CXCL10","IL7"
"CXCL10","CCL4L1"
"CXCL10","IL2"
"CXCL10","IFNB1"
"CXCL10","CX3CL1"
"CXCL10","IL4"
"CXCL10","IDO1"
"CXCL10","IL5"
"CXCL10","IL9"
"CXCL10","IL17A"
"CXCL10","CXCL2"
"CXCL10","IL6"
"CXCL10","CCL4"
"ADIPOQ","LEP"
"ADIPOQ","GPT"
"ADIPOQ","EDN1"
"ADIPOQ","IL6"
"CCL3","ZFP36"
"CCL3","CSF3"
"CCL3","IL13"
"CCL3","IL2"
"CCL3","IL4"
"CCL3","IL5"
"CCL3","IL17A"
"CCL3","CXCL2"
"CCL3","IL6"
"CCL3","CCL4"
"CCL3","CXCL10"
"CXCL12","CSF3"
"CXCL12","CCL4L1"
"CXCL12","CX3CL1"
"CXCL12","EDN1"
"CXCL12","IL17A"
"CXCL12","CXCL2"
"CXCL12","IL6"
"CXCL12","CCL4"
"CXCL12","CXCL10"
"CXCL12","CCL3"
"CXCL1","CSF3"
"CXCL1","IL13"
"CXCL1","CCL4L1"
"CXCL1","TNFAIP6"
"CXCL1","CX3CL1"
"CXCL1","IL4"
"CXCL1","IL5"
"CXCL1","IL17A"
"CXCL1","CXCL2"
"CXCL1","IL6"
"CXCL1","CCL4"
"CXCL1","MPO"
"CXCL1","CXCL10"
"CXCL1","CCL3"
"CXCL1","CXCL12"
"CCL11","CSF3"
"CCL11","IL13"
"CCL11","IL7"
"CCL11","IL2"
"CCL11","IL4"
"CCL11","EDN1"
"CCL11","IL5"
"CCL11","IL9"
"CCL11","IL17A"
"CCL11","IL3"
"CCL11","IL6"
"CCL11","CCL4"
"CCL11","CXCL10"
"CCL11","CXCL12"
"CCL11","CXCL1"
"IFNG","CSF3"
"IFNG","IL13"
"IFNG","IL7"
"IFNG","IL21"
"IFNG","IL2"
"IFNG","IFNB1"
"IFNG","SELL"
"IFNG","CX3CL1"
"IFNG","IL4"
"IFNG","PRF1"
"IFNG","IDO1"
"IFNG","IL5"
"IFNG","IL17A"
"IFNG","IL3"
"IFNG","IL6"
"IFNG","CCL4"
"IFNG","CXCL10"
"IFNG","CCL3"
"TLR2","TLR6"
"TLR2","ITGAX"
"TLR2","IL4"
"TLR2","IL17A"
"TLR2","TLR5"
"TLR2","IL6"
"TLR2","CXCL10"
"TLR2","CCL3"
"TLR2","CXCL1"
"TLR2","IFNG"
"CD40LG","B7RP1"
"CD40LG","ICOSL"
"CD40LG","TLR7"
"CD40LG","PSMB11"
"CD40LG","IL2"
"CD40LG","IL4"
"CD40LG","LTB"
"CD40LG","IDO1"
"CD40LG","IL17A"
"CD40LG","TNFRSF11A"
"CD40LG","TNFSF14"
"CD40LG","IL6"
"CD40LG","IFNG"
"TBX21","TSLP"
"TBX21","IL13"
"TBX21","IL7"
"TBX21","IL2"
"TBX21","ITGAX"
"TBX21","SELL"
"TBX21","IL4"
"TBX21","PRF1"
"TBX21","IL5"
"TBX21","IL17A"
"TBX21","IL6"
"TBX21","IFNG"
"TLR3","TSLP"
"TLR3","TLR7"
"TLR3","TLR8"
"TLR3","IFNB1"
"TLR3","IL4"
"TLR3","IDO1"
"TLR3","IL6"
"TLR3","CXCL10"
