source,target
ACTN2,GNB2L1
ACTN2,KAT2B
ACTN2,HSPB1
ACTN2,ACTN4
ACTN2,CAPN1
ACTN2,SNAI1
ACTN2,TOLLIP
ACTN2,GATA3
ACTN2,QARS
ACTN2,YWHAQ
ACTN2,SNW1
ACTN2,PPP1CB
ACTN2,ACTN2
ACTN2,ERBB2IP
ACTN2,TIMP1
ACTN2,CSK
ACTN2,TGFB1
ACTN2,HGF
ACTN2,SERPINE1
ACTN2,SPARC
ACTN2,HRG
ACTN2,TGFB3
ACTN2,SRGN
ACTN2,ISLR
ACTN2,KRAS
ACTN2,ORM1
ACTN2,THBS1
ACTN2,VWF
ACTN2,PIK3CA
ACTN2,F13A1
ACTN2,KNG1
ACTN2,EGF
ACTN2,PCYOX1L
ACTN2,SERPING1
ACTN2,FERMT3
ACTN2,OLA1
ACTN2,APP
ACTN2,ALB
ACTN2,PPBP
ACTN2,PF4
ACTN2,FIGF
ACTN2,IGF1
ACTN2,GTPBP2
ACTN2,FGB
ACTN2,FGA
ACTN2,PLG
ACTN2,VEGFB
ACTN2,CLU
ACTN2,CAMK2G
ACTN2,SERPINF2
ACTN2,PDGFB
ACTN2,GAS6
ACTN2,CFD
ACTN2,FGG
ACTN2,FN1
ACTN2,TOR4A
ACTN2,F8
ACTN2,SCCPDH
ACTN2,LEFTY2
ACTN2,TGFB2
ACTN2,QSOX1
ACTN2,F5
ACTN2,NHLRC2
ACTN2,APOOL
ACTN2,DES
ACTN2,MAGED2
ACTN2,TMSB4X
ACTN2,PROS1
ACTN2,MMRN1
ACTN2,ALDOA
ACTN2,ITGB1
ACTN2,CAMK2A
ACTN2,IGF2
ACTN2,AHSG
ACTN2,ORM2
ACTN2,TEX264
ACTN2,RHOA
ACTN2,HRAS
ACTN2,SERPINA1
ACTN2,PIK3R1
ACTN2,FAM49B
ACTN2,VEGFC
ACTN2,VIM
ACTN2,VTI1B
ACTN2,VEGFA
ACVR1,ACVR1B
ACVR1,SMAD7
ACVR1,GDF2
ACVR1,ACVR2A
ACVR1,SMAD6
ACVR1,ACVRL1
ACVR1,BAMBI
ACVR1,ATM
ACVR1,TSC22D1
ACVR1,TGFBRAP1
ACVR1,BMPR2
ACVR1,ENG
ACVR1,FNTA
ACVR1,ACVR1
ACVR1,OTUB1
ACVR1,RGMB
ACVR1,USP15
ACVR1,BMP6
ACVR1,BMPR1A
ACVR1,TGFBR2
ACVR1,SMAD5
ACVR1,SMAD1
ACVR1,FKBP1A
ACVR1,BMP7
ACVR1,TDGF1
ACVR1,INHBA
ACVR1,SMURF1
ACVR1,CHRD
ACVR1,AMH
ACVR1,TGFB3
ACVR1,ACVR1C
ACVR1,BMP4
ACVR1,AMHR2
ACVR1,SMAD2
ACVR1,SMAD3
ACVR1,SMAD9
ACVR1,SMAD4
ACVR1,ACVR2B
ACVR1,INHBB
ACVR1,BMP2
ACVR1,BMPR1B
FNTA,TGFB1
FNTA,TGM2
FNTA,KDM6A
FNTA,INHBB
FNTA,MTOR
FNTA,VAV2
FNTA,TGFBR1
FNTA,HEYL
FNTA,HDAC6
GATA2,HDAC3
GATA2,JUN
GATA2,TNIP2
GATA2,HIST1H4A
GATA2,NR2C2
GATA2,PML
GATA2,IMPDH1
GATA2,ZBTB16
GATA2,RBX1
GATA2,SMAD4
GATA2,POU2AF1
GATA2,SKP1
GATA2,KAT2A
GATA2,HDAC5
GATA2,TCF3
GATA2,PIAS4
GATA2,NOTCH1
GATA2,RUNX1
GATA2,GATA4
GATA2,GATA3
GATA2,TCF12
GATA2,MYC
PML,USP7
PML,TDG
PML,SUMO1
PML,SUMO2
PML,SAP130
PML,RUNX2
PML,RBX1
PML,RAD51
PML,UBE2I
PML,TP53
PML,SIRT1
PML,TRIB3
PML,TGIF1
PML,RPL11
PML,RUNX1
PML,RUNX3
PML,SKIL
PML,SP1
PML,ZBTB16
PML,ZMYM2
PML,TCF7L2
PML,ZFYVE9
PML,SIN3A
PML,TRIM25
PML,SKP1
PML,TP63
PML,SRF
PML,SF1
PML,SUZ12
PML,YAP1
PML,STAT1
PML,STAT3
PML,WDR5
PML,SMARCA4
PML,RELA
PML,PML
PML,SQSTM1
PML,SMAD3
PML,RXRA
PML,RNF123
PML,USP11
PML,RNF111
PML,PPARG
PML,SP3
PML,SMAD2
PML,SKI
PML,TGFB1
PML,TGFB3
PML,SMAD7
PML,SMURF2
PML,TRIM29
PML,SMURF1
PML,TGFBR2
PML,TGFBR1
PML,UBC
PML,RBBP4
PML,UBA52
PML,TRIM62
PML,TFAP2B
PML,PTEN
PML,UBB
PML,RPS27A
PML,STRAP
PML,RBBP7
STAT3,STAT6
STAT3,ZNF557
STAT3,VASN
STAT3,TRIM25
STAT3,TBCD
STAT3,TDG
STAT3,ZFHX3
STAT3,STAT3
STAT3,SYK
STAT3,VEGFA
STAT3,TIMP1
STAT3,TGFB1
STAT3,TNF
STAT3,TYK2
STAT3,SUZ12
STAT3,VIM
STAT3,TP53
STAT3,ZMYM2
STAT3,TLR4
STAT3,ZEB1
STAT3,TCP1
ALDOA,ATP6V1E1
ALDOA,TERF1
ALDOA,SUZ12
ALDOA,METTL14
ALDOA,USP15
ALDOA,TGFBR2
ALDOA,WDR77
ALDOA,CUL4B
ALDOA,CUL2
ALDOA,HSPD1
ALDOA,SOD1
ALDOA,SUMO2
ALDOA,PCNA
ALDOA,MYC
ALDOA,HUWE1
ALDOA,BRCA1
ALDOA,KRAS
ALDOA,RMND5A
ALDOA,FN1
ALDOA,APEX1
ALDOA,TRIM25
ALDOA,PIAS4
ALDOA,FANCA
ALDOA,EGFR
ALDOA,ALDOC
ALDOA,CDK2
ALDOA,HDAC5
ALDOA,CDH1
ALDOA,ATF2
ALDOA,ISG15
ALDOA,ALDOA
ALDOA,TIMP1
ALDOA,TGFB1
ALDOA,HGF
ALDOA,SERPINE1
ALDOA,SPARC
ALDOA,HRG
ALDOA,TGFB3
ALDOA,SRGN
ALDOA,ISLR
ALDOA,ORM1
ALDOA,THBS1
ALDOA,LYZ
ALDOA,VWF
ALDOA,F13A1
ALDOA,KNG1
ALDOA,AMBP
ALDOA,EGF
ALDOA,PCYOX1L
ALDOA,SERPING1
ALDOA,FERMT3
ALDOA,OLA1
ALDOA,APP
ALDOA,PPBP
ALDOA,PF4
ALDOA,FIGF
ALDOA,IGF1
ALDOA,GTPBP2
ALDOA,FGB
ALDOA,FGA
ALDOA,PLG
ALDOA,VEGFB
ALDOA,CLU
ALDOA,SERPINF2
ALDOA,PDGFB
ALDOA,GAS6
ALDOA,CFD
ALDOA,FGG
ALDOA,HP
ALDOA,TOR4A
ALDOA,F8
ALDOA,SCCPDH
ALDOA,LEFTY2
ALDOA,TGFB2
ALDOA,QSOX1
ALDOA,F5
ALDOA,NHLRC2
ALDOA,MMP9
ALDOA,APOOL
ALDOA,MAGED2
ALDOA,PDHA1
ALDOA,TMSB4X
ALDOA,PROS1
ALDOA,MMRN1
ALDOA,VEGFC
ALDOA,ORM2
ALDOA,ESR1
ALDOA,PTPN6
ALDOA,SERPINA1
ALDOA,TEX264
ALDOA,VTI1B
ALDOA,IGF2
ALDOA,VEGFA
ALDOA,FAM49B
APP,ING2
APP,EEF1B2
APP,WDR5
APP,DEDD
APP,CRYAB
APP,TAB2
APP,ATP6V1E1
APP,INS
APP,HSPA4
APP,CDKN1A
APP,SECISBP2
APP,TANK
APP,GGA1
APP,KPNA2
APP,ATP5A1
APP,STUB1
APP,TRIM47
APP,MYC
APP,PSMD11
APP,HBG2
APP,QARS
APP,OPA1
APP,PPP1CC
APP,CLU
APP,TGFBR2
APP,HOXC6
APP,RPS14
APP,CSNK1D
APP,PARD6A
APP,UBQLN1
APP,LAMC1
APP,COPS5
APP,CTBP2
APP,RIOK2
APP,FGB
APP,FBLN1
APP,BMPR1B
APP,HSPA8
APP,RPL12
APP,CANX
APP,BTK
APP,PCBP1
APP,SMURF1
APP,BCL2L11
APP,NDUFS3
APP,CDC20
APP,ISL1
APP,SOX7
APP,DCAF7
APP,HDAC4
APP,EPB41L5
APP,FKBP1A
APP,MICU1
APP,TRIB3
APP,SPATA2
APP,TOB1
APP,CUL4B
APP,SYK
APP,CDKN2B
APP,RPS11
APP,MAP2K3
APP,TUBB
APP,APP
APP,HSPD1
APP,RPS27A
APP,ITGB3
APP,CCDC33
APP,STOML2
APP,EPHA2
APP,RPS6KA5
APP,RPL23
APP,SOX5
APP,PNKP
APP,SH3BP5
APP,PAXIP1
APP,HGS
APP,CTNNB1
APP,EIF1AX
APP,RMND5A
APP,MCM7
APP,PPARG
APP,CAV1
APP,CDC37
APP,KLF4
APP,CCT8
APP,RANBP9
APP,RPL11
APP,IRS1
APP,RPS10
APP,PTMS
APP,CFDP1
APP,PCK2
APP,DDX19B
APP,FGA
APP,KRAS
APP,DDX1
APP,TBCD
APP,GSK3B
APP,VIM
APP,SRRM2
APP,NEDD9
APP,CDK4
APP,C22orf46
APP,TNIP2
APP,COPB1
APP,ETV4
APP,EIF3F
APP,KLK7
APP,CDC25A
APP,EIF2A
APP,CHMP3
APP,TGM2
APP,ETS1
APP,CTNND1
APP,RUVBL2
APP,FERMT3
APP,DYRK1A
APP,DRAP1
APP,SMAD3
APP,RPS12
APP,BDH1
APP,BGN
APP,JUN
APP,TRIM25
APP,MAPK10
APP,SHC1
APP,UBE2I
APP,HSPA9
APP,MSTN
APP,RPS18
APP,GDF11
APP,EGFR
APP,ZEB2
APP,NOTCH1
APP,EIF6
APP,PTPN12
APP,HEYL
APP,SDC1
APP,UCHL5
APP,PSMA1
APP,SNRNP70
APP,RBX1
APP,FGG
APP,PDIA3
APP,NMT2
APP,STK11
APP,YTHDF2
APP,SRPK1
APP,C1orf116
APP,RNPC3
APP,TUFM
APP,ZFYVE16
APP,YY1
APP,KIF4A
APP,PLIN3
APP,ARHGAP9
APP,LACRT
APP,FHL2
APP,SNAI2
APP,ATG16L1
APP,PDPK1
APP,SMAD1
APP,MDM4
APP,MAPK13
APP,TGFB2
APP,ATF2
APP,CSNK1G2
APP,PPP2R5E
APP,FOS
APP,PTPN2
APP,CHAF1B
APP,TGFB1
APP,PTPN7
APP,MAPK8
APP,TGIF1
APP,RNF11
APP,KEAP1
APP,SAR1A
APP,RASA1
APP,DAB2
APP,MED24
APP,MAP2K6
APP,IL1B
APP,MAPT
APP,S100A8
APP,VTN
APP,RPS6KB1
APP,KLK9
APP,ZNF107
APP,UBB
APP,MAPK1
APP,TIMP1
APP,HGF
APP,LAMB1
APP,SERPINE1
APP,NFKB1
APP,SPARC
APP,HRG
APP,PROC
APP,TGFB3
APP,SRGN
APP,BMP4
APP,ISLR
APP,ORM1
APP,THBS1
APP,LYZ
APP,VWF
APP,MAPK3
APP,PIK3CA
APP,GPC1
APP,F13A1
APP,KNG1
APP,EGF
APP,TP53
APP,SOD1
APP,PCYOX1L
APP,SERPING1
APP,OLA1
APP,VEGFC
APP,TNF
APP,CCL5
APP,PLG
APP,F5
APP,CAPN1
APP,PDGFB
APP,CFD
APP,ORM2
APP,PNPLA2
APP,TMSB4X
APP,PPBP
APP,FIGF
APP,MAPK9
APP,SERPINA1
APP,GRB2
APP,TEX264
APP,HP
APP,FN1
APP,VTI1B
