source,target
MAP2K4,MAP2K6
MAP2K4,TRIM25
MAP2K4,MAPK9
MAP2K4,MAPK10
MAP2K4,MAP3K3
MAP2K4,NBR1
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K1
MAP2K4,RBBP8
MAP2K4,VASP
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,PML
MAP2K4,MAP3K11
MAP2K4,TNFRSF1A
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,TAB1
MAP2K4,NFKB1
MAP2K4,MAPK8IP1
MAP2K4,TRAF2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,PAK1
MAP2K4,RAC3
MAP2K4,UBB
MAP2K4,PAK2
MAP2K4,UBE2N
MAP2K4,ROCK2
MAP2K4,TNIP2
MAP2K4,PPM1A
MAP2K4,MAPK11
MAP2K4,TRADD
MAP2K4,MAP4K4
MAP2K4,MINK1
MAP2K4,RAC1
MAP2K4,TXN
MAP2K4,PRKCD
MAP2K4,ROCK1
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,TNIK
MAP2K4,PRKCA
MAP2K4,VEGFC
MAP2K4,MAP3K12
MAP2K4,TRAF6
MAP2K4,PPP2R5D
FLNC,VCAM1
FLNC,RNF4
FLNC,SPDL1
FLNC,MTDH
FLNC,PLEKHO1
FLNC,MAP2K4
FLNC,MCM5
FLNC,NCAPD2
FLNC,OBSL1
FLNC,MYC
FLNC,USP53
FLNC,MCM2
FLNC,MECOM
FLNC,INPPL1
FLNC,PHB
FLNC,NUP88
FLNC,IQCB1
FLNC,FN1
FLNC,RPS6KA2
FLNC,RASSF5
FLNC,KCMF1
FLNC,NPM1
FLNC,TRIM54
FLNC,NUP133
FLNC,OFCC1
FLNC,PSMD13
FLNC,OTUD4
FLNC,PRKCZ
FLNC,RAPGEF2
FLNC,WDR77
FLNC,SF3A3
FLNC,OTUD1
FLNC,RAD18
FLNC,TP63
FLNC,RAB8B
FLNC,PSMD3
FLNC,PSMD12
FLNC,RNF31
FLNC,SIRT7
FLNC,PTPN12
FLNC,PIP5K1A
FLNC,WIPI2
FLNC,IGSF8
