"Index","Prot"
"1","PTGS2"
"2","CDK1"
"3","RELA"
"4","TNF"
"5","CYLD"
"6","ELAVL1"
"7","EPHA2"
"8","HOOK1"
"9","HDAC5"
"10","MCM2"
"11","EGFR"
"12","CEP250"
"13","EFTUD2"
"14","AKAP8L"
"15","CDK7"
"16","CENPK"
"17","GLS"
"18","LARP7"
"19","KRT18"
"20","CDK6"
"21","CDK11B"
"22","DEPDC1"
"23","PSMA6"
"24","COX15"
"25","FN1"
"26","FUS"
"27","PSMA5"
"28","HRAS"
"29","CALM1"
"30","HIST1H2BB"
"31","KPNA2"
"32","MYC"
"33","SIRT1"
"34","GSK3B"
"35","MAPK1"
"36","NTRK1"
"37","CUL4A"
"38","HNRNPA1"
"39","ACTN4"
"40","ADAM9"
"41","CCNA1"
"42","CCNA2"
"43","GORASP1"
"44","CEP135"
"45","EP300"
"46","SUMO1"
"47","ESR1"
"48","CSNK2A2"
"49","CCNT1"
"50","BGN"
"51","NUP160"
"52","CCT7"
"53","KRAS"
"54","NCOR2"
"55","STAU1"
"56","EZH2"
"57","AP2B1"
"58","SF1"
"59","CUL7"
"60","CUL1"
"61","ANLN"
"62","APP"
"63","CALM2"
"64","HSPA5"
"65","RNPS1"
"66","COPA"
"67","EPN1"
"68","FADD"
"69","H2AFX"
"70","BRCA2"
"71","NR0B2"
"72","GAN"
"73","RAB3IP"
"74","HNRNPM"
"75","BRCA1"
"76","BDH1"
"77","CHUK"
"78","HIST1H4A"
"79","CDC23"
"80","RNF2"
"81","CRP"
"82","HIF1A"
"83","CDC37"
"84","TPM3"
"85","HMOX1"
"86","CAV1"
"87","DSN1"
"88","CEBPB"
"89","KIF2C"
"90","RPL13A"
"91","LMNA"
"92","PSMC6"
"93","RNF4"
"94","RNF123"
"95","CDC5L"
"96","PPARG"
"97","HDAC1"
"98","ENSA"
"99","CDK9"
"100","CENPA"
"101","HNRNPU"
"102","CDC34"
"103","IKBKG"
"104","NDC80"
"105","MCM7"
"106","ORC3"
"107","MAP1B"
"108","MYBBP1A"
"109","AURKA"
"110","MVP"
"111","PPP2R2A"
"112","NPM1"
"113","GNB2L1"
"114","CDH1"
"115","BAG3"
"116","PSMA4"
"117","CSNK2A1"
"118","DAXX"
"119","LEO1"
"120","FBXW11"
"121","CCNY"
"122","RNF31"
"123","PARP1"
"124","JUN"
"125","MAP3K7"
"126","RC3H1"
"127","IL23A"
"128","IL12RB1"
"129","LINC01587"
"130","APOA1"
"131","UBC"
"132","BECN1"
"133","HSPA4"
"134","PSMB7"
"135","ANAPC5"
"136","DSP"
"137","HDAC3"
"138","CCNC"
"139","AP1G1"
"140","SNW1"
"141","DYNC1I2"
"142","MTOR"
"143","TP53"
"144","BCL2L14"
"145","COPS3"
"146","CCDC8"
"147","KCTD12"
"148","COPS5"
"149","MDM2"
