"node","type"
"10245.VCP_VACCW",0
"10245.PROF_VACCW",0
"10245.K7_VACCW",0
"10245.E2_VACCW",0
"10245.DPOL_VACCW",0
"10245.E6_VACCW",0
"10245.E7_VACCW",0
"10245.M1_VACCW",0
"10245.UNG_VACCW",0
"10245.N1_VACCW",0
"10245.C6_VACCW",0
"10245.E11_VACCW",0
"10245.KBTB1_VACCW",0
"10245.ETF1_VACCW",0
"10245.A20_VACCW",0
"10245.V016_VACCW",0
"10245.F1_VACCW",0
"10245.H3_VACCW",0
"10245.F11_VACCW",0
"10245.G7_VACCW",0
"C3",1
"VASP",1
"IRAK2",1
"CD81",1
"CDK2",1
"TP53",1
"NOTCH1",1
"PPIB",1
"PPM1D",1
"TBK1",1
"SOCS3",1
"CRTC1",1
"CASP8",1
"MT-CO2",1
"RNGTT",1
"DDX58",1
"SAMD9",1
"BCL2L11",1
"DDX3X",1
"FLG",1
"RHOA",1
"C4B",1
"PPIA",1
"EIF4E",1
"G1/S transition of mitotic cell cycle",6
"G2/M transition of mitotic cell cycle",6
"negative regulation of transcription by RNA polymerase II",6
"Golgi membrane",6
"activation of MAPK activity",6
"magnesium ion binding",6
"cyclin-dependent protein kinase holoenzyme complex",6
"RNA cap binding",6
"RNA 7-methylguanosine cap binding",6
"protein peptidyl-prolyl isomerization",6
"DNA strand renaturation",6
"chromosome, telomeric region",6
"nuclear chromatin",6
"condensed chromosome",6
"X chromosome",6
"Y chromosome",6
"cytokinesis",6
"P-body",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"core promoter sequence-specific DNA binding",6
"RNA polymerase II transcription factor binding",6
"TFIID-class transcription factor complex binding",6
"DNA-binding transcription activator activity, RNA polymerase II-specific",6
"cornified envelope",6
"virus receptor activity",6
"behavioral fear response",6
"response to hypoxia",6
"acrosomal vesicle",6
"in utero embryonic development",6
"cell fate specification",6
"somitogenesis",6
"immunological synapse formation",6
"immunological synapse",6
"B cell homeostasis",6
"B cell apoptotic process",6
