"V1","V2"
"C4B","positive regulation of apoptotic cell clearance"
"C4B","blood microparticle"
"C4B","extracellular exosome"
"C4B","synapse"
"C4B","innate immune response"
"C4B","other organism cell"
"C4B","detection of molecule of bacterial origin"
"C4B","regulation of complement activation"
"C4B","dendrite"
"C4B","axon"
"C4B","carbohydrate binding"
"C4B","negative regulation of endopeptidase activity"
"C4B","opsonization"
"C4B","complement activation, classical pathway"
"C4B","complement activation"
"C4B","inflammatory response"
"C4B","plasma membrane"
"C4B","extracellular space"
"C4B","extracellular region"
"C4B","endopeptidase inhibitor activity"
"C4B","complement binding"
"IFNB1","positive regulation of apoptotic signaling pathway"
"IFNB1","negative regulation of T-helper 2 cell cytokine production"
"IFNB1","cellular response to exogenous dsRNA"
"IFNB1","type I interferon signaling pathway"
"IFNB1","defense response to virus"
"IFNB1","positive regulation of transcription by RNA polymerase II"
"IFNB1","negative regulation of T cell differentiation"
"IFNB1","regulation of MHC class I biosynthetic process"
"IFNB1","positive regulation of innate immune response"
"IFNB1","negative regulation of viral genome replication"
"IFNB1","response to exogenous dsRNA"
"IFNB1","B cell proliferation"
"IFNB1","cellular response to interferon-beta"
"IFNB1","positive regulation of peptidyl-serine phosphorylation of STAT protein"
"IFNB1","B cell differentiation"
"IFNB1","natural killer cell activation"
"IFNB1","cytokine-mediated signaling pathway"
"IFNB1","response to virus"
"IFNB1","chloramphenicol O-acetyltransferase activity"
"IFNB1","blood coagulation"
"IFNB1","cell surface receptor signaling pathway"
"IFNB1","humoral immune response"
"IFNB1","extracellular space"
"IFNB1","extracellular region"
"IFNB1","type I interferon receptor binding"
"IFNB1","cytokine activity"
"IFNB1","natural killer cell activation involved in immune response"
"IFNB1","B cell activation involved in immune response"
"IFNB1","T cell activation involved in immune response"
"IFNB1","adaptive immune response"
"PTBP1","IRES-dependent viral translational initiation"
"PTBP1","positive regulation of calcineurin-NFAT signaling cascade"
"PTBP1","extracellular exosome"
"PTBP1","negative regulation of muscle cell differentiation"
"PTBP1","negative regulation of mRNA splicing, via spliceosome"
"PTBP1","regulation of cell differentiation"
"PTBP1","regulation of RNA splicing"
"PTBP1","pre-mRNA binding"
"PTBP1","positive regulation of protein dephosphorylation"
"PTBP1","negative regulation of RNA splicing"
"PTBP1","RNA metabolic process"
"PTBP1","membrane"
"PTBP1","fibroblast growth factor receptor signaling pathway"
"PTBP1","RNA splicing"
"PTBP1","poly-pyrimidine tract binding"
"PTBP1","regulation of translation"
"PTBP1","mRNA processing"
"PTBP1","nucleolus"
"PTBP1","nucleoplasm"
"PTBP1","nucleus"
"PTBP1","protein binding"
"PTBP1","mRNA binding"
"PTBP1","RNA binding"
"PTBP1","mRNA splicing, via spliceosome"
"PTBP1","regulation of alternative mRNA splicing, via spliceosome"
"HNRNPA2B1","ribonucleoprotein complex"
"HNRNPA2B1","miRNA transport"
"HNRNPA2B1","N6-methyladenosine-containing RNA binding"
"HNRNPA2B1","positive regulation of telomerase RNA reverse transcriptase activity"
"HNRNPA2B1","positive regulation of telomere maintenance via telomere lengthening"
"HNRNPA2B1","G-rich strand telomeric DNA binding"
"HNRNPA2B1","pre-mRNA intronic binding"
"HNRNPA2B1","catalytic step 2 spliceosome"
"HNRNPA2B1","extracellular exosome"
"HNRNPA2B1","regulation of RNA metabolic process"
"HNRNPA2B1","RNA transport"
"HNRNPA2B1","negative regulation of mRNA splicing, via spliceosome"
"HNRNPA2B1","G-quadruplex DNA unwinding"
"HNRNPA2B1","single-stranded telomeric DNA binding"
"HNRNPA2B1","interleukin-12-mediated signaling pathway"
"HNRNPA2B1","miRNA binding"
"HNRNPA2B1","primary miRNA processing"
"HNRNPA2B1","nuclear matrix"
"HNRNPA2B1","RNA metabolic process"
