source,target
APP,DEDD
APP,CRYAB
APP,HSP90AA1
APP,CUL3
APP,MYC
APP,USP2
APP,CASP3
APP,BCL2L11
APP,CRADD
APP,MAP3K5
APP,PRKCI
APP,APP
APP,ITGB3
APP,PTBP1
APP,MAP1LC3A
APP,IFIH1
APP,EIF4E
APP,VIM
APP,BCAP31
APP,VHL
APP,CASP6
APP,CASP4
APP,TRIM25
APP,CHEK1
APP,EGFR
APP,TRAF6
APP,COL4A6
APP,DYNC1LI2
APP,RNF34
APP,MAPK8
APP,IL1B
APP,MAPT
APP,SRC
APP,KLK9
APP,MAPK1
APP,NFKB1
APP,MAPK3
APP,TP53
APP,TNF
APP,CASP8
APP,HSPA5
APP,PDIA6
APP,RELA
RALGDS,TRIM25
RALGDS,RHOA
RB1,TP53
RB1,RB1
CLTC,MAP1LC3A
CLTC,CYLD
CLTC,IKBKB
CLTC,TP53
CLTC,SRC
CLTC,HIP1
CLTC,CUL3
CLTC,TNF
CLTC,LRRK2
CLTC,MYC
CLTC,MAPK1
CLTC,EGFR
CLTC,FADD
CLTC,FAS
CLTC,MSN
CLTC,EZR
CLTC,FASLG
CLTC,UBC
COL1A1,EGFR
COL1A1,CYLD
COL1A1,COL1A1
COL1A1,UBC
COL1A1,COL7A1
COL1A1,COL1A2
COL1A1,COL4A5
COL1A1,COL4A2
COL1A1,ITGB3
COL1A1,COL5A1
COL1A1,COL6A6
COL1A1,COL6A2
COL1A1,COL6A3
COL1A1,COL6A5
COL1A1,COL4A6
COL1A1,RB1
COL1A1,ITGAV
COL1A1,COL6A1
COL1A1,COL4A4
COL1A1,COL4A3
COL1A1,COL2A1
COL1A1,COL5A2
COL1A1,COL4A1
COL1A1,COL3A1
RALBP1,TNF
RALBP1,TRAF2
RALBP1,RHOA
EGFR,UBC
EGFR,TRAF2
EGFR,IL13RA2
EGFR,SRC
EGFR,PTEN
EGFR,MTOR
EGFR,TNFRSF1A
EGFR,USP2
EGFR,EZR
EGFR,RIPK1
EGFR,EIF4G2
EGFR,UMPS
EGFR,HSP90AA1
