source,target
GATA2,VCAM1
GATA2,ZBTB16
GATA2,GAPVD1
GATA2,YWHAZ
GATA2,AHNAK
GATA2,BCL2L1
GATA2,CUL3
GATA2,TCEB2
GATA2,CUL4B
GATA2,PCBP1
GATA2,GPC3
GATA2,EXOSC1
RPA2,ESR2
RPA2,HSP90AA1
RPA2,SYMPK
RPA2,PSMA1
RPA2,RPL23
RPA2,TYK2
RPA2,NTS
RPA2,ART3
RPA2,RPL37A
RPA2,LPAR4
RPA2,MRPL18
RPA2,HSPA1A
RPA2,XPO1
RPA2,RPS3
RPA2,LRR1
RPA2,RECQL4
RPA2,SEC13
RPA2,ADCY5
RPA2,SYT1
RPA2,CSNK2A2
RPA2,RACGAP1
RPA2,TP73
RPA2,XRCC6
RPA2,TACR3
RPA2,TP53BP1
RPA2,CUL4B
RPA2,UBC
RPA2,PRPF6
RPA2,MTOR
RPA2,SLC7A5
RPA2,GNB1
RPA2,EGFR
RPA2,TYMS
RPA2,UBA7
RPA2,MAPT
RPA2,PIK3R3
RPA2,IKBKG
RPA2,CXCL13
RPA2,LAMC1
RPA2,PTPRK
RPA2,CXCL11
RPA2,PKM
RPA2,NABP2
RPA2,TMED10
RPA2,CCL4
RPA2,OXGR1
RPA2,MRPL52
RPA2,CEP76
RPA2,TRIM37
RPA2,HSPB2
RPA2,UBA52
RPA2,BDKRB2
RPA2,SCARB2
RPA2,UBB
RPA2,MIR93
RPA2,RNF14
RPA2,CUL1
RPA2,UBE2V1
STAT3,QSOX1
STAT3,NUMB
STAT3,UBA52
STAT3,YKT6
STAT3,POLRMT
STAT3,MAPK1
STAT3,FZR1
STAT3,EIF4B
STAT3,KIAA1429
STAT3,RPS13
STAT3,RNF123
STAT3,CCR7
STAT3,FN1
STAT3,PPBP
STAT3,IL5
STAT3,KIF5A
STAT3,RPS21
STAT3,AATF
STAT3,GATA2
STAT3,RTN3
STAT3,UBC
STAT3,DZIP3
STAT3,ZNF688
STAT3,XPO1
STAT3,HIST1H2BA
STAT3,ZNRF2
STAT3,PTPN11
STAT3,FTH1
STAT3,RPSA
STAT3,U2AF2
STAT3,MED14
STAT3,RECQL4
STAT3,GRM1
STAT3,KLHL20
STAT3,SDHA
STAT3,ELAVL1
STAT3,NEDD8
STAT3,FANCA
STAT3,RPL21
STAT3,EZR
ARF1,TIMM17B
ARF1,SFN
ARF1,COX15
ARF1,MYO1C
ARF1,EGFR
ARF1,SF3B2
ARF1,RPLP1
ARF1,UBA7
ARF1,CSNK1A1
ARF1,SNX9
ARF1,SRC
ARF1,RPS8
ARF1,SMARCA4
ARF1,UBE2E1
ARF1,RTP1
ARF1,SSTR2
ARF1,TAF15
ARF1,EXOSC1
ARF1,ARF1
ARF1,CCKAR
ARF1,ZC3H7A
ARF1,HDAC3
ARF1,PPP1CA
ARF1,MDM2
ARF1,MRPL9
ARF1,WWP1
ARF1,TBL3
ARF1,GAPVD1
ARF1,CDC73
ARF1,OPRM1
ARF1,LDHAL6B
ARF1,NHP2L1
ARF1,GNB1
ARF1,DARS
ARF1,RECQL4
ARF1,DBN1
ARF1,DRD2
ARF1,RNF123
ARF1,GLI3
ARF1,COPS6
ARF1,NCOR2
ARF1,KRAS
ARF1,ELAVL1
ARF1,TRIM32
ARF1,SNRPE
ARF1,RPSA
ARF1,MAPK1
ARF1,QSOX1
ARF1,HIST1H2BK
ARF1,UTP15
ARF1,EZH2
ARF1,DYNC1LI1
ARF1,CUL3
ARF1,HUWE1
ARF1,COPS5
ARF1,GPR39
ARF1,TRIP13
ARF1,SRRT
ARF1,NXF1
APP,HIST1H2BM
APP,HSPA8
APP,MRPL24
APP,EEF1B2
APP,MRPS33
APP,IKBKAP
APP,CCL5
APP,SOX2
APP,MRPS15
APP,THRAP3
APP,TRAF6
APP,SLC2A3
APP,SF3B2
APP,PENK
APP,UBE3C
APP,HDAC3
APP,ILF2
APP,CAT
APP,MCM2
APP,NEFM
APP,UBE2D2
APP,KLHL42
APP,NUP133
APP,RTP5
APP,SYMPK
APP,KMT2D
APP,CWC22
APP,EGLN3
APP,HSP90AA1
APP,RBPMS
APP,SPCS2
APP,RAB5B
APP,DECR1
APP,DAPP1
APP,MAPK3
APP,CBL
APP,TGOLN2
APP,RPP14
APP,KIF11
APP,ELAVL1
APP,TCEA1
APP,FBXW5
APP,CRHR1
APP,EPRS
APP,CUX1
APP,GPR39
APP,RAC2
APP,FBXL20
APP,HDAC5
APP,HSPA1A
APP,CSK
APP,MYL6
APP,GALR1
APP,WNT5A
APP,CUL3
APP,ASB5
APP,RBM39
APP,CPT1A
APP,FN1
APP,RC3H2
APP,FGFR2
APP,PIK3R1
APP,CDKN1A
APP,SPDL1
APP,RNF2
APP,RPL21
APP,COPS6
APP,SFN
APP,STK11IP
APP,SNW1
APP,FABP5
APP,CD59
APP,RAD21
APP,PTPRA
APP,PSMB5
APP,COLEC12
APP,RPS24
APP,DDX23
APP,PTPRC
APP,RPLP2
APP,TRIP12
APP,XPA
APP,HSPB1
APP,FSTL3
APP,REEP2
APP,CPSF3
APP,AURKA
APP,PLAUR
APP,NOP2
APP,TYMS
APP,CCR7
APP,PSMA4
APP,ARF1
APP,XPO1
APP,RTP1
APP,GABBR2
APP,GNB2L1
APP,VIPR2
APP,EPB41L3
APP,HSD17B10
APP,TRIM25
APP,SOCS5
APP,OXGR1
APP,COX4I2
APP,HERC1
APP,CEP76
APP,SNRPN
APP,TAOK1
APP,YBX1
APP,SNRPB2
APP,RPS3
APP,MRPL18
APP,SRPK2
APP,LAMB1
APP,STAT3
APP,GNB5
APP,SDHA
APP,UBR1
APP,RECK
APP,SEC11C
APP,PRMT1
APP,MLNR
APP,FTH1
APP,PLK1
APP,LIG1
APP,SMC3
APP,NMU
APP,CLTC
APP,CDC34
APP,BRCA1
APP,NHP2L1
APP,USP7
APP,CASR
APP,APP
APP,CCND1
APP,FFAR2
APP,INSL5
APP,PAN2
APP,RPS27A
APP,GNL3L
APP,ESCO2
APP,DDX31
APP,GBF1
APP,ARIH1
APP,HELZ2
APP,RNF185
APP,VIPR1
APP,AGTR1
APP,PAXIP1
APP,USP14
APP,CTNNB1
APP,KBTBD6
APP,FAF1
APP,NPBWR2
APP,KDR
APP,ANLN
APP,POLR2I
APP,COPB2
APP,RPL3
APP,ATG7
APP,SYT8
APP,ERCC6L
APP,NXF1
APP,SEC24D
APP,HIBCH
APP,TAF9
APP,NAV1
APP,PIP5K1A
APP,SLTM
APP,PSMC3
APP,FBXO7
APP,C2orf47
APP,SNRPE
APP,KCTD7
APP,RPGRIP1L
APP,SDC1
APP,HNRNPUL1
APP,ESR2
APP,DARS
APP,UBR2
APP,CUL4A
APP,RIOK2
APP,UBC
APP,TRIM68
APP,FBXO6
APP,MOV10
APP,TRAPPC2
APP,TNIP2
APP,GPR65
APP,UBE2D1
APP,RABGEF1
APP,TBC1D7
APP,CDC37
APP,PKM
APP,PVRIG
APP,RSRC1
APP,UBB
APP,PRPF6
APP,PLEC
APP,CUL5
APP,CIRH1A
APP,EPN1
APP,DZIP3
APP,TNNT3
APP,ACTA2
APP,SART1
APP,TAS2R10
APP,WDR3
APP,CAPZB
APP,LDB1
APP,YKT6
APP,GPI
APP,SRSF2
APP,RUVBL1
APP,GNGT1
APP,NOS3
APP,AAR2
APP,BUB1B
APP,GCH1
APP,SNRPA
APP,SKIL
APP,DNM2
APP,RNF4
APP,NDE1
APP,POP1
APP,SPACA1
APP,YAP1
APP,JUN
APP,GNG2
APP,RPL28
APP,GLMN
APP,IPO4
APP,POU5F1
APP,TDGF1
APP,IL10
APP,RPLP1
APP,CCR8
APP,IL7R
APP,VCAM1
APP,RPS18
APP,CXCL2
APP,DUSP19
APP,P2RY12
APP,H2AFX
APP,KIAA1429
APP,TAF6
APP,PAN3
APP,TCP1
APP,NONO
APP,BST2
APP,WNK1
APP,RBM22
APP,CYB5A
APP,HIST1H2BB
APP,OLFM3
APP,RPS13
APP,MCEMP1
APP,TIAM1
APP,LSM8
APP,CACNA1A
APP,ENSG00000260342
APP,PDIA3
APP,ESR1
APP,POLR2A
APP,SEC13
APP,BLZF1
APP,ZYX
APP,HNRNPU
APP,PSMA1
APP,POLR2G
APP,HUWE1
APP,PPP2R1A
APP,LGALS3
APP,ATP5A1
APP,HCAR2
APP,RPS21
APP,TBL3
APP,CX3CR1
APP,TRIM37
APP,TUFM
APP,HP
APP,HNRNPA3
APP,XRCC6
APP,PCDHGB1
APP,EIF4B
APP,CUL4B
APP,PADI4
APP,COPS4
APP,TOMM70A
APP,EED
APP,RBBP5
APP,U2AF2
APP,EXOSC1
APP,CSTF2
APP,TYK2
APP,COLGALT2
APP,DSN1
APP,ANK3
APP,TLL1
APP,IRF2
APP,SMURF2
APP,UTP23
APP,SFXN1
APP,TGFB1
APP,KRT17
APP,KLHL20
APP,COPS7B
APP,SRSF7
APP,GPS1
APP,RNF123
APP,SSTR2
APP,GSG2
APP,NF1
APP,UBA52
APP,MDM2
APP,IKBKG
APP,DAB2
APP,GBA
APP,H3F3A
APP,CFL1
APP,HDAC2
EP300,HIST1H2BL
EP300,PPP1CA
EP300,HSD17B10
EP300,UBA7
EP300,NT5C3A
EP300,SLTM
EP300,TNIP2
EP300,RSF1
EP300,SRPK2
EP300,AGT
EP300,NEDD1
EP300,RAD21
EP300,KEAP1
EP300,DHX38
EP300,UBE2I
EP300,PPP2R5E
EP300,UBE2D1
EP300,YWHAE
EP300,CENPN
EP300,TRIM37
EP300,PSMA4
EP300,MYC
EP300,AGTR1
EP300,SASS6
EP300,RABGEF1
EP300,HNRNPUL1
EP300,U2AF2
EP300,NCOR2
EP300,HERC1
EP300,MAPK1
EP300,RPLP2
EP300,SNX4
EP300,CUL1
EP300,TCP1
EP300,AIP
EP300,IGF2BP1
EP300,MOV10
EP300,ADCY3
EP300,ITCH
EP300,ANLN
EP300,UBQLN2
EP300,STAT3
EP300,SNRPD3
EP300,TRIM41
EP300,LUZP4
EP300,STAT5A
EP300,HNRNPU
EP300,TRAF6
EP300,KLHL11
EP300,MED20
EP300,CD74
EP300,ESR2
EP300,KLHDC2
EP300,NOP2
EP300,MID1
EP300,UGDH
EP300,KRT2
EP300,VCP
EP300,FGF4
EP300,HNRNPL
EP300,DMP1
EP300,IFIT2
EP300,SDHA
EP300,BUB1B
EP300,PPP2R1A
EP300,PLEC
EP300,POU2F2
EP300,CXCR6
EP300,NXF1
EP300,WWP1
EP300,TRIM25
EP300,CIRH1A
EP300,SRRT
EP300,SART1
EP300,CUL5
EP300,PABPC1
EP300,RPGRIP1L
EP300,CASR
EP300,ABI2
EP300,MCM2
EP300,P2RY12
EP300,SFXN1
EP300,SMARCB1
EP300,ILF2
EP300,PKP1
EP300,EZH2
EP300,KDM5B
EP300,TGOLN2
EP300,NFYB
EP300,CXCL13
EP300,RPL29
EP300,IRF9
EP300,GNG2
EP300,FN1
EP300,APEX1
EP300,SEC22A
EP300,POLR2C
EP300,CDKN1A
EP300,NDUFS3
EP300,CCNA1
EP300,HIST1H2BB
EP300,TRIP12
EP300,GTF2F1
EP300,GPR37
EP300,KPNB1
EP300,KLHL20
EP300,PXN
EP300,PSMC4
EP300,RPL27
EP300,APOA1
EP300,OPRD1
EP300,H2AFZ
EP300,PSMC5
EP300,RFC3
EP300,CDC34
EP300,FBXL7
EP300,CLTB
EP300,MRPS15
EP300,MAP2K6
EP300,KCTD7
BRCA1,CXCL12
BRCA1,NABP2
BRCA1,TRAIP
BRCA1,PLAUR
BRCA1,PES1
BRCA1,UBC
BRCA1,GNB1
BRCA1,HIP1R
BRCA1,POLR2G
BRCA1,NELL1
BRCA1,CSTF2
BRCA1,HNRNPL
BRCA1,HIF1A
BRCA1,TOP1
BRCA1,NHP2L1
BRCA1,SOCS5
BRCA1,LY6K
BRCA1,DAB2
BRCA1,CXCL9
BRCA1,DMC1
BRCA1,SNAI1
BRCA1,KRT17
BRCA1,C2CD5
BRCA1,NUP133
BRCA1,RPS8
BRCA1,SMARCB1
BRCA1,MCM3
BRCA1,SNRPA1
BRCA1,TGOLN2
BRCA1,PRPF6
BRCA1,SF3B2
BRCA1,CAPRIN1
BRCA1,TPTE
BRCA1,CBX4
BRCA1,LCP2
BRCA1,TACC3
BRCA1,P4HB
BRCA1,PEX10
BRCA1,JUN
BRCA1,SRC
BRCA1,HNRNPM
BRCA1,RRP9
BRCA1,HSPA1A
BRCA1,RPL27
BRCA1,SEC61B
BRCA1,IPO8
BRCA1,CRKL
BRCA1,YWHAZ
BRCA1,KEAP1
BRCA1,FBXL7
BRCA1,MID2
BRCA1,TACR3
BRCA1,FBXO6
BRCA1,CUL4B
BRCA1,GABBR2
BRCA1,RNF144B
BRCA1,HUWE1
BRCA1,IARS
BRCA1,PIK3R1
BRCA1,COG3
BRCA1,CASC3
BRCA1,SMARCC2
BRCA1,PUS1
BRCA1,POLR2C
BRCA1,HIST1H2AJ
BRCA1,SMG7
BRCA1,WDR61
BRCA1,PRKAR2A
BRCA1,ACTN4
BRCA1,RPS24
BRCA1,PTPN11
BRCA1,A2M
BRCA1,RPL8
BRCA1,AQR
BRCA1,METTL3
BRCA1,SSTR2
BRCA1,HK1
BRCA1,MAPK1
BRCA1,TRIM69
BRCA1,USP7
BRCA1,CDK1
BRCA1,RNF2
BRCA1,CCND1
BRCA1,TUBA4A
BRCA1,EIF2AK2
BRCA1,APOA5
BRCA1,GNG13
BRCA1,RPL28
BRCA1,PSMC5
BRCA1,ATP5A1
BRCA1,SEC13
BRCA1,MATK
BRCA1,TUFM
BRCA1,POLR2A
BRCA1,CUL4A
BRCA1,GPR37
BRCA1,ELAVL1
BRCA1,ESR1
BRCA1,SUCLG2
BRCA1,IL7R
BRCA1,CAPZB
BRCA1,UBE2E1
BRCA1,GNB2L1
BRCA1,TRIM25
BRCA1,NT5C3A
BRCA1,VEGFA
BRCA1,ADAMTS4
BRCA1,VCAM1
BRCA1,HNRNPH2
BRCA1,PCBP1
BRCA1,ALB
BRCA1,EGFR
BRCA1,YWHAE
BRCA1,PDCD6
BRCA1,HIST3H3
BRCA1,AGO4
BRCA1,TAF9
BRCA1,DCUN1D2
BRCA1,EMC2
BRCA1,TAB1
BRCA1,HLA-DQB2
BRCA1,HSPA8
BRCA1,NCOA2
BRCA1,NDC80
BRCA1,PDHA1
BRCA1,TOMM40
BRCA1,PSMB2
BRCA1,STAT3
BRCA1,UBA52
BRCA1,FAU
BRCA1,SNRPA
BRCA1,COQ2
BRCA1,CXCL2
BRCA1,KIF9
BRCA1,WNK1
BRCA1,MTDH
BRCA1,ACOX2
BRCA1,MAPT
BRCA1,SKIV2L2
BRCA1,ATP1B1
BRCA1,RTN4
BRCA1,SLC2A3
BRCA1,UBA7
BRCA1,TP53BP1
BRCA1,H2AFZ
BRCA1,FBXO32
BRCA1,SEC24D
BRCA1,RIPK1
BRCA1,GNG2
BRCA1,TERT
BRCA1,SNCA
BRCA1,KLHL13
BRCA1,SMURF2
BRCA1,XPO1
BRCA1,RBBP5
BRCA1,RPL23
BRCA1,SERBP1
BRCA1,PRMT1
BRCA1,SRSF9
BRCA1,DDX21
BRCA1,TNIP2
BRCA1,HCAR2
BRCA1,RECQL4
BRCA1,NCBP2
BRCA1,PAXIP1
BRCA1,HAUS6
BRCA1,FTSJ3
BRCA1,CENPU
BRCA1,RRP1
BRCA1,FTL
BRCA1,RSRC1
BRCA1,KBTBD6
ITPR1,FZR1
ITPR1,HK1
ITPR1,RPL29
ITPR1,PLK1
ITPR1,INPP4A
ITPR1,RPA2
ITPR1,PCBP1
ITPR1,UBE2N
ITPR1,SKP1
ITPR1,TYMS
ITPR1,SNX9
ITPR1,GNGT1
ITPR1,RRP1
CTNNB1,OLIG1
CTNNB1,FDX1
CTNNB1,CTNND1
CTNNB1,TRIP13
CTNNB1,PDHA1
CTNNB1,YWHAE
CTNNB1,UBE3C
CTNNB1,FUCA2
CTNNB1,RNF220
CTNNB1,UBR1
CTNNB1,SRSF9
CTNNB1,FANCA
CTNNB1,HIST1H2BB
CTNNB1,DRD2
CTNNB1,CDK9
CTNNB1,KRAS
CTNNB1,F8
CTNNB1,HSP90AA1
CTNNB1,TRAIP
CTNNB1,DNAJB11
CTNNB1,PCBP1
CTNNB1,PAXIP1
CTNNB1,FYTTD1
CTNNB1,SEC61B
CTNNB1,NPBWR1
CTNNB1,ACTC1
CTNNB1,FBXL7
CTNNB1,HDAC2
CTNNB1,MRPL9
CTNNB1,HLA-DQB2
CTNNB1,MCC
CTNNB1,RIOK2
CTNNB1,FBXO7
CTNNB1,RPL29
CTNNB1,HSP90AB1
CTNNB1,RFC3
CTNNB1,SYMPK
CTNNB1,VIPR2
CTNNB1,GPR65
CTNNB1,HRAS
CTNNB1,RPS2
CTNNB1,EED
CTNNB1,IRF6
CTNNB1,TUBA1A
CTNNB1,EIF4B
CTNNB1,HNRNPL
CTNNB1,CYC1
CTNNB1,GNL3L
CTNNB1,GRM1
CTNNB1,ESR1
CTNNB1,HIF1A
CTNNB1,PIH1D1
CTNNB1,MICALL1
CTNNB1,MED14
CTNNB1,EIF2AK2
CTNNB1,FMR1
CTNNB1,RPL8
CTNNB1,CALCB
CTNNB1,IL2
CTNNB1,PSMA4
CTNNB1,CASR
CTNNB1,RPL27
CTNNB1,NONO
CTNNB1,RPL31
CTNNB1,RAD21
CTNNB1,EGFR
CTNNB1,UNKL
CTNNB1,C1QA
CTNNB1,BMS1
CTNNB1,TOP1
CTNNB1,PSMC5
CTNNB1,PPP2R5E
CTNNB1,GTF2H4
CTNNB1,RNF14
CTNNB1,PRPF19
CTNNB1,FKBP1A
CTNNB1,REEP2
CTNNB1,MCM2
CTNNB1,UBA52
CTNNB1,SOX2
CTNNB1,POTEF
CTNNB1,GLMN
CTNNB1,SMC3
CTNNB1,UBB
CTNNB1,CXCL11
CTNNB1,POP1
CTNNB1,CCNF
CTNNB1,TAAR1
CTNNB1,NFKBIA
CTNNB1,RPS19
CTNNB1,TACC3
CTNNB1,CPT1A
CTNNB1,RNF19B
CTNNB1,RBM39
CTNNB1,HNRNPA3
CTNNB1,UBE2V1
CTNNB1,TGOLN2
CTNNB1,CUL2
CTNNB1,FBL
CTNNB1,CUL3
CTNNB1,PTGER1
CTNNB1,XRCC6
CTNNB1,PAN2
CTNNB1,YTHDC1
CTNNB1,NOLC1
CTNNB1,ZBTB16
CTNNB1,HSPA8
CTNNB1,MIS18A
CTNNB1,HDAC3
CTNNB1,TRIM25
CTNNB1,CSK
CTNNB1,RTKN
CTNNB1,SNRPD3
CTNNB1,OPRD1
CTNNB1,C2orf47
CTNNB1,NMU
CTNNB1,SNRPE
CTNNB1,DDX23
CTNNB1,IL10
CTNNB1,LY6K
CTNNB1,MRPL52
CTNNB1,ALYREF
CTNNB1,WWP2
CTNNB1,ILF3
CTNNB1,TDGF1
CTNNB1,PSMB5
CTNNB1,HERC1
CTNNB1,KDR
CTNNB1,YWHAZ
CTNNB1,RPS27A
CTNNB1,FBXO11
CTNNB1,MNAT1
CUX1,TRIM21
CUX1,TXNL4A
CUX1,JUN
CUX1,RPS3
CUX1,RBBP5
CUX1,RPS27A
CUX1,KEAP1
CUX1,ATG7
CUX1,ESR2
CUX1,HSP90AB1
CUX1,UBE3C
CUX1,APEX1
CUX1,NDUFS3
CUX1,UBQLN2
CUX1,FBXW11
CDKN1A,SEC61B
CDKN1A,HSPA8
CDKN1A,PTPRK
CDKN1A,QSOX1
CDKN1A,CDC34
CDKN1A,PSMC3
CDKN1A,PDCD11
CDKN1A,PDK1
CDKN1A,SNAPC1
CDKN1A,KLHL11
CDKN1A,NPM1
CDKN1A,ELAVL1
CDKN1A,EGFR
CDKN1A,RPL37A
CDKN1A,NPBWR2
CDKN1A,THRAP3
CDKN1A,HSP90AA1
CDKN1A,PSMC5
CDKN1A,ARIH1
CDKN1A,MRPS15
CDKN1A,PIH1D1
CDKN1A,NCF1
CDKN1A,RSRC1
CDKN1A,MCM2
CDKN1A,USP14
CDKN1A,SRPK2
CDKN1A,ST3GAL6
CDKN1A,IL2
CDKN1A,UBA52
CDKN1A,STAT5A
CDKN1A,DHX38
CDKN1A,AGR2
CDKN1A,RPL10
CDKN1A,HNRNPK
CDKN1A,RNF4
CDKN1A,SKP1
CDKN1A,FBL
CDKN1A,CCR7
CDKN1A,NPAS2
CDKN1A,TRIM25
CDKN1A,RNF14
CDKN1A,H3F3A
CDKN1A,EIF3I
CDKN1A,SEC24D
CDKN1A,SDC1
CDKN1A,OPRM1
CDKN1A,PPP2R1A
CDKN1A,PLK1
CDKN1A,PCBP1
CDKN1A,UCHL5
CDKN1A,UBE2D1
CDKN1A,FGA
CDKN1A,ESR1
CDKN1A,YBX1
CDKN1A,HIST1H2BA
CDKN1A,BRCA1
CDKN1A,PAFAH1B1
CDKN1A,DDX31
CDKN1A,RSPRY1
CDKN1A,HUWE1
MCM2,RECQL4
MCM2,NPBWR1
MCM2,ERCC6L
MCM2,PRPF38A
MCM2,FOXO3
MCM2,MYC
MCM2,PDCD11
MCM2,PSMB5
MCM2,RPLP2
MCM2,RPL10
MCM2,CENPN
MCM2,CUL2
MCM2,SCARB2
MCM2,PALB2
MCM2,SRSF9
MCM2,REEP2
MCM2,RTP2
MCM2,U2AF2
MCM2,RPL21
MCM2,PLCB4
MCM2,GTF2F1
MCM2,IL10
MCM2,SKP1
MCM2,PLK1
MCM2,SVIP
MCM2,QSOX1
MCM2,HIST1H2BM
MCM2,GNB5
MCM2,RNF220
MCM2,RAB27A
MCM2,GSTP1
MCM2,FBXO7
MCM2,SRSF7
MCM2,RNF123
MCM2,HSPB2
MCM2,KRTAP9-2
MCM2,COPS7B
MCM2,SYN3
MCM2,FARSB
MCM2,RPL26
MCM2,TNIP2
MCM2,CYP2E1
MCM2,KLHL20
MCM2,HP
MCM2,GPS1
MCM2,ALOX5
MCM2,PAICS
MCM2,ADM
MCM2,LY6K
MCM2,RAB1A
MCM2,UBA7
MCM2,NXF1
MCM2,UBQLN4
MCM2,RC3H2
MCM2,TAB1
MCM2,KSR1
MCM2,CXCL13
MCM2,SYT1
MCM2,TCEA1
MCM2,RNF2
MCM2,RAB11A
MCM2,TRIM25
MCM2,UBE2I
MCM2,HIST1H2BL
MCM2,RTN4
MCM2,RNF4
MCM2,YAP1
MCM2,LIMD1
MCM2,NONO
