"node","type"
"11269.VP24_MABVM",0
"11269.VP35_MABVM",0
"11269.VP40_MABVM",0
"CD68",1
"DHX58",1
"KPNA3",1
"IFIH1",1
"LAMP3",1
"FANCM",1
"SOCS5",1
"SUMO4",1
"NFATC2IP",1
"SOCS1",1
"SOCS3",1
"KPNA7",1
"LAMP1",1
"KPNA4",1
"KPNA1",1
"SPAG6",1
"DDX58",1
"SOCS6",1
"SUMO3",1
"LAMP2",1
"CISH",1
"regulation of DNA recombination",6
"four-way junction DNA binding",6
"resolution of meiotic recombination intermediates",6
"kinetochore",6
"regulation of cell growth",6
"virus receptor activity",6
"immunological synapse",6
"phosphotyrosine residue binding",6
"cytokine production",6
"blastocyst development",6
"regulation of protein phosphorylation",6
"positive regulation of defense response to virus by host",6
"adaptive immune response",6
"inflammatory response to antigenic stimulus",6
"platelet degranulation",6
"negative regulation of dendritic cell antigen processing and presentation",6
"positive regulation of myeloid dendritic cell cytokine production",6
"molecular_function",6
"DNA binding",6
"chromatin binding",6
"double-stranded DNA binding",6
"RNA helicase activity",6
"double-stranded RNA binding",6
"single-stranded RNA binding",6
"nuclease activity",6
"protein kinase inhibitor activity",6
"epidermal growth factor receptor binding",6
"insulin-like growth factor receptor binding",6
"protein binding",6
"ATP binding",6
"cellular_component",6
"extracellular space",6
"cell",6
"nucleus",6
"nuclear pore",6
"nucleoplasm",6
"cytoplasm",6
"lysosome",6
"lysosomal membrane",6
"early endosome",6
"late endosome",6
"multivesicular body",6
"spindle",6
"cytosol",6
"microtubule",6
"plasma membrane",6
"integral component of plasma membrane",6
"bicellular tight junction",6
"axoneme",6
"phosphatidylinositol 3-kinase complex",6
"apoptotic DNA fragmentation",6
"negative regulation of protein kinase activity",6
"protein targeting",6
"NLS-bearing protein import into nucleus",6
"defense response",6
"epidermal growth factor receptor signaling pathway",6
"negative regulation of epidermal growth factor-activated receptor activity",6
"protein kinase C-activating G protein-coupled receptor signaling pathway",6
"receptor signaling pathway via JAK-STAT",6
"spermatid development",6
"aging",6
"protein C-terminus binding",6
"nuclear localization sequence binding",6
"zinc ion binding",6
"granzyme-mediated apoptotic signaling pathway",6
"cellular response to starvation",6
"four-way junction helicase activity",6
"detection of virus",6
"response to virus",6
"response to bacterium",6
"external side of plasma membrane",6
"negative regulation of signal transduction",6
"endosome membrane",6
"proteasomal protein catabolic process",6
"regulation of autophagy",6
"regulation of activation of Janus kinase activity",6
"positive regulation of gene expression",6
"negative regulation of gene expression",6
"postsynaptic density",6
"actin cytoskeleton",6
"microtubule cytoskeleton",6
"membrane",6
"integral component of membrane",6
"viral process",6
"protein ubiquitination",6
"protein deubiquitination",6
"PML body",6
"protein sumoylation",6
"protein import",6
"modulation by virus of host cellular process",6
"kinase inhibitor activity",6
"cytokine-mediated signaling pathway",6
"enzyme binding",6
"protein kinase binding",6
"protein domain specific binding",6
"cell projection organization",6
"integral component of synaptic vesicle membrane",6
"regulation of cell migration",6
"dendrite",6
"phagocytic vesicle membrane",6
"receptor tyrosine kinase binding",6
"platelet dense granule membrane",6
"replication fork processing",6
"cytoplasmic vesicle",6
"ubiquitin protein ligase binding",6
"regulation of protein stability",6
"cellular response to nutrient levels",6
"late endosome membrane",6
"nuclear membrane",6
"vesicle",6
"positive regulation of proteasomal ubiquitin-dependent protein catabolic process",6
"negative regulation of type I interferon production",6
"positive regulation of type I interferon production",6
"DNA duplex unwinding",6
"ruffle membrane",6
"negative regulation of interleukin-6 production",6
"positive regulation of granulocyte macrophage colony-stimulating factor production",6
"positive regulation of interferon-alpha production",6
"positive regulation of interferon-beta production",6
"positive regulation of interleukin-6 production",6
"positive regulation of interleukin-8 production",6
"regulation of type III interferon production",6
"cellular response to oxidative stress",6
"autocrine signaling",6
"response to interferon-alpha",6
"positive regulation of interferon-beta secretion",6
"intracellular signal transduction",6
"azurophil granule membrane",6
"interstrand cross-link repair",6
"cytoplasmic ribonucleoprotein granule",6
"interleukin-7-mediated signaling pathway",6
"cytoplasmic pattern recognition receptor signaling pathway in response to virus",6
"RIG-I signaling pathway",6
"MDA-5 signaling pathway",6
"negative regulation of MDA-5 signaling pathway",6
"negative regulation of RIG-I signaling pathway",6
"regulation of growth",6
"host cell nucleus",6
"sarcolemma",6
"melanosome",6
"positive regulation of tyrosine phosphorylation of STAT protein",6
"negative regulation of tyrosine phosphorylation of STAT protein",6
"response to hydrogen peroxide",6
"identical protein binding",6
"ribonucleoprotein complex binding",6
"neuronal cell body",6
"negative regulation of apoptotic process",6
"regulation of I-kappaB kinase/NF-kappaB signaling",6
"3'-5' DNA helicase activity",6
"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",6
"lysosomal lumen",6
"intracellular membrane-bounded organelle",6
"Fanconi anaemia nuclear complex",6
"neutrophil degranulation",6
"positive regulation of natural killer cell degranulation",6
"response to exogenous dsRNA",6
"positive regulation of CD4-positive, alpha-beta T cell differentiation",6
"negative regulation of CD8-positive, alpha-beta T cell differentiation",6
"positive regulation of DNA binding",6
"negative regulation of DNA binding",6
"regulation of phosphatidylinositol 3-kinase activity",6
"post-translational protein modification",6
"cytolytic granule",6
"autolysosome",6
"double-strand break repair via synthesis-dependent strand annealing",6
"innate immune response",6
"regulation of innate immune response",6
"membrane raft",6
"fat cell differentiation",6
"positive regulation of regulatory T cell differentiation",6
"positive regulation of cell differentiation",6
"positive regulation of T-helper 1 cell differentiation",6
"negative regulation of T-helper 2 cell differentiation",6
"negative regulation of innate immune response",6
"negative regulation of transcription, DNA-templated",6
"positive regulation of transcription by RNA polymerase II",6
"positive regulation of natural killer cell mediated cytotoxicity",6
"negative regulation of receptor signaling pathway via JAK-STAT",6
"negative regulation of insulin receptor signaling pathway",6
"muscle cell cellular homeostasis",6
"viral entry into host cell",6
"phosphatidylinositol phosphorylation",6
"1-phosphatidylinositol-3-kinase regulator activity",6
"autophagic cell death",6
"perinuclear region of cytoplasm",6
"regulation of cytokine secretion",6
"negative regulation of inflammatory response",6
"protein stabilization",6
"negative regulation of T cell activation",6
"positive regulation of DNA-binding transcription factor activity",6
"defense response to virus",6
"regulation of interferon-gamma-mediated signaling pathway",6
"branching involved in labyrinthine layer morphogenesis",6
"placenta blood vessel development",6
"trophoblast giant cell differentiation",6
"spongiotrophoblast differentiation",6
"positive regulation of response to cytokine stimulus",6
"phagolysosome membrane",6
"nuclear import signal receptor activity",6
"chaperone-mediated autophagy",6
"protein targeting to lysosome involved in chaperone-mediated autophagy",6
"protein-containing complex assembly",6
"extracellular exosome",6
"interleukin-6-mediated signaling pathway",6
"cellular response to lipopolysaccharide",6
"cellular response to amino acid stimulus",6
"cellular response to exogenous dsRNA",6
"cellular response to low-density lipoprotein particle stimulus",6
"negative regulation of monocyte chemotactic protein-1 production",6
"FANCM-MHF complex",6
"replication fork reversal",6
"establishment of protein localization to organelle",6
"viral penetration into host nucleus",6
"intracellular transport of virus",6
"Golgi to lysosome transport",6
"nucleic acid phosphodiester bond hydrolysis",6
"alveolar lamellar body",6
"sperm principal piece",6
"alveolar lamellar body membrane",6
"autophagosome maturation",6
"integral component of autophagosome membrane",6
"vascular endothelial cell response to fluid shear stress",6
"membrane microdomain",6
"glutamatergic synapse",6
"postsynapse to nucleus signaling pathway",6
"ficolin-1-rich granule membrane",6
"SUMO ligase complex",6
"cellular response to oxidised low-density lipoprotein particle stimulus",6
"antiviral innate immune response",6
"regulation of protein localization to nucleus",6
"positive regulation of MDA-5 signaling pathway",6
"positive regulation of RIG-I signaling pathway",6
"negative regulation of proteasomal protein catabolic process",6
"positive regulation of histone H3-K27 trimethylation",6
"regulation of organelle transport along microtubule",6
"positive regulation of protein monoubiquitination",6
"positive regulation of interferon-alpha secretion",6
"regulation of viral life cycle",6
"positive regulation of tumor necrosis factor secretion",6
"lysosomal protein catabolic process",6
"cellular response to leukemia inhibitory factor",6
"lysosomal matrix",6
"ribonucleoprotein complex",6
"positive regulation of interleukin-6 secretion",6
