source,target
MAP2K4,TRIM25
MAP2K4,MAPK9
MAP2K4,MAPK10
MAP2K4,MAP3K3
MAP2K4,NPHS1
MAP2K4,MAP2K7
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,MAP3K4
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K1
MAP2K4,VASP
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,MAP4K2
MAP2K4,TNFRSF1A
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,TAB1
MAP2K4,NFKB1
MAP2K4,TRAF2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,PAK1
MAP2K4,UBB
MAP2K4,PAK2
MAP2K4,TNIP2
MAP2K4,MAPK11
MAP2K4,TRADD
MAP2K4,MAP4K4
MAP2K4,TAB2
MAP2K4,TXN
MAP2K4,TAB3
MAP2K4,ROCK1
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,TNIK
MAP2K4,TRAF6
STAT3,TRAF6
STAT3,TRIP10
STAT3,TRIM25
STAT3,STAT3
STAT3,SYK
STAT3,TNFRSF1A
STAT3,WNT5A
STAT3,TNF
STAT3,TNFRSF1B
STAT3,TP53
GGA3,UBC
GGA3,IGF2R
GGA3,MET
GGA3,TSG101
GGA3,VPS11
GGA3,NTRK1
GGA3,MOV10
GGA3,M6PR
GGA3,NXF1
GGA3,TGOLN2
GGA3,SNX17
GGA3,NEDD4
GGA3,HGF
GGA3,RAB5A
GGA3,UBB
GGA3,RAB5B
GGA3,UBA52
GGA3,RAB5C
ALDOA,TAGLN
ALDOA,CFTR
ALDOA,TGFBR2
ALDOA,MAP2K7
ALDOA,MYC
ALDOA,NTRK1
ALDOA,HSPB2
ALDOA,ESR2
ALDOA,FN1
ALDOA,COX4I1
ALDOA,TRIM25
ALDOA,EGFR
ALDOA,KIAA1429
ALDOA,PSMA3
ALDOA,CDH1
ALDOA,ENO1
ALDOA,DUT
ALDOA,HSP90AA1
ALDOA,ALDOA
ALDOA,HGF
ALDOA,ORM1
ALDOA,AMBP
ALDOA,EGF
ALDOA,FGB
ALDOA,FGA
ALDOA,PLG
ALDOA,FGG
ALDOA,PFKM
ALDOA,PRSS3
ALDOA,APOOL
ALDOA,CDA
ALDOA,PFKP
ALDOA,ORM2
DAB1,LRP2
DAB1,MAPK14
DAB1,LDLR
DAB1,VLDLR
DAB1,SH3KBP1
DAB1,ROR2
DAB1,PIN1
DAB1,INPP5D
DAB1,HNRNPL
DAB1,PIK3CA
DAB1,FYN
DAB1,MAPK8
DAB1,RELN
DAB1,MAP2K7
DAB1,PIK3R1
EP300,PTGS2
EP300,FOS
EP300,MAPT
EP300,TP63
EP300,STAT1
EP300,PIAS1
EP300,TNIP2
EP300,MDM2
EP300,TRAF2
EP300,STAT3
EP300,HSPA8
EP300,NEDD1
EP300,RAB5C
EP300,HIPK2
EP300,MAP9
EP300,PAK2
EP300,JUNB
EP300,MYC
EP300,SRC
EP300,JUN
EP300,ZBTB7B
EP300,TGFBR1
EP300,MAPK14
EP300,MAPK1
EP300,LAMP2
EP300,TSG101
EP300,PIN1
EP300,NR3C1
EP300,GRB2
EP300,IGF2R
EP300,KLF13
EP300,UBE2I
EP300,KIAA1429
EP300,PPARA
EP300,NFKB1
EP300,ESR2
EP300,ITIH3
EP300,MAP3K5
EP300,PCK2
EP300,KRT18
EP300,MDC1
EP300,MCM5
EP300,MAPK8
EP300,EP300
EP300,FOSB
EP300,TRIM25
EP300,WDR5
EP300,GNB2L1
EP300,RELA
EP300,RB1
EP300,SKP2
EP300,YBX1
EP300,EWSR1
EP300,PLG
EP300,GTF2B
EP300,HNRNPUL1
EP300,PIK3R1
EP300,HNRNPL
EP300,TP53
EP300,SEC24B
EP300,SEC24C
EP300,UBC
EP300,RPA1
EP300,POLR1A
EP300,ZNRD1
EP300,TNF
EP300,IL1B
EP300,MOV10
EP300,HSPA1A
EP300,UBA52
EP300,SRRM2
EP300,TFF1
EP300,UBB
EP300,HSP90AA1
EP300,RPS27A
EP300,PLK1
EP300,THRB
EP300,RFC3
APOB,AUP1
APOB,SMPD3
APOB,CANX
APOB,HRAS
APOB,EGFR
APOB,APOB
APOB,LITAF
APOB,VCP
APOB,M6PR
APOB,CFTR
APOB,DVL2
APOB,CD4
APOB,VAMP3
APOB,APOH
APOB,WASL
APOB,APOC3
APOB,ARPC3
APOB,MAPK14
APOB,LDLRAP1
APOB,TACR1
APOB,LRP2
APOB,CBL
APOB,NECAP1
APOB,PLG
APOB,VLDLR
APOB,PIK3C2A
APOB,AVPR2
APOB,LDLR
APOB,ITSN1
APOB,CLTA
APOB,HGS
APOB,EPN1
APOB,LPA
APOB,SH3GL3
APOB,GAPVD1
APOB,SLC2A8
APOB,ITIH3
APOB,ARPC4
APOB,SYT8
APOB,CD3G
APOB,UBC
APOB,EPS15L1
APOB,STAM2
APOB,IL7R
APOB,FGB
APOB,STON1
APOB,RAB5C
APOB,SYT9
APOB,FNBP1
APOB,SLC18A3
APOB,ITIH2
APOB,SH3KBP1
APOB,SYT11
APOB,REPS1
APOB,SERPINC1
APOB,FCHO1
APOB,TFRC
APOB,PICALM
APOB,APOM
APOB,WNT5A
APOB,RAB5A
APOB,DNM3
APOB,VAMP8
APOB,CDA
APOB,CKAP4
APOB,UBA52
APOB,EPN2
APOB,FCHO2
APOB,TGOLN2
APOB,NECAP2
APOB,FN1
APOB,PACSIN2
APOB,CLTCL1
APOB,SYNJ2
APOB,HIP1R
APOB,FNBP1L
APOB,SYT2
APOB,ITSN2
APOB,SYNJ1
APOB,UBQLN2
APOB,ARPC5
APOB,DAB2
APOB,REPS2
APOB,STAM
APOB,SNX18
APOB,AVP
APOB,BIN1
APOB,GAK
APOB,EPS15
APOB,TF
APOB,SYT1
APOB,UBB
APOB,F2
APOB,ARPC1A
APOB,DNM2
APOB,FZD4
APOB,CD3D
APOB,CHRM2
APOB,EGF
APOB,SGIP1
APOB,SNAP91
APOB,RPS27A
APOB,ARPC2
APOB,HSPA8
APOB,FGG
APOB,FGA
APOB,SH3GL2
APOB,RAB5B
APOB,PACSIN1
APOB,PPP2R1A
APOB,TRIP10
APOB,IGFBP1
APOB,IGF2R
APOB,CLTC
APOB,SNX9
APOB,VAMP7
APOB,OCRL
APOB,STON2
APOB,HIP1
APOB,PACSIN3
APOB,VAMP4
APOB,KIAA0319
APOB,SH3GL1
APOB,ARRB2
APOB,ARRB1
APOB,DNM1
APOB,FGR
APOB,VAMP2
APOB,CLTB
APOB,CTTN
APOB,SCARB2
APOB,DNAJC6
ARRB2,MAPK9
ARRB2,CAPZA2
ARRB2,RPS27A
ARRB2,STAT1
ARRB2,MAP3K7
ARRB2,PABPC1
ARRB2,MAP3K5
ARRB2,CTTN
ARRB2,FASN
ARRB2,MAP3K1
ARRB2,UBC
ARRB2,HSPA8
ARRB2,RPA1
ARRB2,PPP2R1A
ARRB2,SRC
ARRB2,AVPR2
ARRB2,CLTC
ARRB2,POLR1A
ARRB2,RAB5C
ARRB2,CLTB
ARRB2,MDM2
ARRB2,RAD18
ARRB2,HNRNPC
ARRB2,VCP
ARRB2,CDC42
ARRB2,MAPK3
ARRB2,PIK3C2A
ARRB2,MAP2K4
ARRB2,MAPK1
ARRB2,MAP3K14
ARRB2,MGRN1
ARRB2,UBA52
ARRB2,TAB1
ARRB2,TAB2
ARRB2,CAPZA1
ARRB2,PRPF4
ARRB2,CLTA
ARRB2,PABPC4
ARRB2,HGS
ARRB2,UBB
ARRB2,RAF1
ARRB2,HNRNPK
ARRB2,TRAF6
ARRB2,EGFR
ARRB2,EIF4B
ARRB2,MYC
ARRB2,YBX1
ARRB2,MAPK10
ARRB2,WDR26
ARRB2,NEDD4
ARRB2,HNRNPL
ARRB2,XPO1
ARRB2,SRRM2
ARRB2,NONO
ARRB2,CHUK
ARRB2,SFPQ
ARRB2,M6PR
ARRB2,CFTR
ARRB2,DVL2
ARRB2,CD4
ARRB2,VAMP3
ARRB2,WASL
ARRB2,NFKB1
ARRB2,MAPK14
ARRB2,VAMP4
ARRB2,HIP1R
ARRB2,SYT1
ARRB2,RAB11A
ARRB2,VAMP7
ARRB2,PACSIN2
ARRB2,LRP2
ARRB2,VAMP8
ARRB2,STAM2
ARRB2,CBL
ARRB2,WNT5A
ARRB2,SCARB2
ARRB2,EGF
ARRB2,IQGAP1
ARRB2,SH3GL1
ARRB2,FNBP1L
ARRB2,RAB5A
ARRB2,CD3D
ARRB2,TACR1
ARRB2,FGB
ARRB2,IL7R
ARRB2,FGA
ARRB2,DAB2
ARRB2,VAMP2
ARRB2,GAK
ARRB2,BIN1
ARRB2,SNX18
ARRB2,SH3GL3
ARRB2,TRIP10
ARRB2,EPN2
ARRB2,SYT9
ARRB2,HIP1
ARRB2,FGG
ARRB2,NECAP1
ARRB2,UBQLN2
ARRB2,FYN
ARRB2,FN1
ARRB2,ITSN2
ARRB2,SYNJ2
ARRB2,IGF2R
ARRB2,REPS2
ARRB2,TFRC
ARRB2,RAB5B
ARRB2,QKI
ARRB2,SYT2
ARRB2,DNM3
ARRB2,SYT11
ARRB2,SGIP1
ARRB2,DNAJC6
ARRB2,OCRL
ARRB2,EPS15
ARRB2,DNM1
ARRB2,SLC2A8
ARRB2,FGR
ARRB2,SLC18A3
ARRB2,LDLRAP1
ARRB2,ROR2
ARRB2,STAM
ARRB2,KIAA0319
ARRB2,NPHS1
ARRB2,AVP
ARRB2,SH3GL2
ARRB2,ITSN1
ARRB2,SYT8
ARRB2,DNM2
ARRB2,SNX9
ARRB2,PICALM
ARRB2,GAPVD1
ARRB2,SH3KBP1
ARRB2,RELA
ARRB2,STON1
ARRB2,TF
ARRB2,TGOLN2
ARRB2,NECAP2
ARRB2,REPS1
ARRB2,EPS15L1
ARRB2,FCHO2
ARRB2,CHRM2
ARRB2,SNAP91
ARRB2,SYNJ1
ARRB2,LDLR
ARRB2,EPN1
ARRB2,FZD4
ARRB2,CSNK1A1
ARRB2,CD3G
ARRB2,HRAS
