source,target
HNRNPL,HNRNPL
HNRNPL,NOTCH3
HNRNPL,TRIM25
HNRNPL,UBC
HNRNPL,WWP2
HNRNPL,NOTCH2
HNRNPL,JAG2
ADAM17,DLL4
ADAM17,JAG1
ADAM17,NOTCH2
ADAM17,NOTCH3
ADAM17,RPS27A
ADAM17,NOTCH1
ADAM17,SHH
ADAM17,UBB
ADAM17,DLL1
ADAM17,NOTCH4
ADAM17,UBC
ADAM17,UBA52
ADAM17,JAG2
ATXN7,HNRNPL
ATXN7,JAG2
ATXN7,RPS27A
ATXN7,UBB
ATXN7,CACNA1A
ATXN7,UBA52
ATXN7,UBC
WWP2,WWP2
UBC,WWP2
UBC,UBC
UBB,UBB
UBB,UBC
UBB,WWP2
HEY2,NOTCH1
HEY2,JAG1
HEY2,NOTCH2
HEY2,NOTCH3
HEY2,MAML1
HEY2,JAG2
HEY2,RBPJ
HEY2,NOTCH4
CDK9,HNRNPL
CDK9,CDK9
CDK9,JAG2
BMP4,NOTCH1
BMP4,SHH
BMP4,JAG2
NOTCH1,NOTCH3
NOTCH1,RBPJ
NOTCH1,NOTCH2
NOTCH1,TMEM17
NOTCH1,TRIM25
NOTCH1,NOTCH1
NOTCH1,RPS27A
NOTCH1,NOTCH4
NOTCH1,UBC
NOTCH1,UBA52
NOTCH1,UBB
NOTCH1,SHH
CACNA1A,NOTCH1
CACNA1A,JAG2
CACNA1A,TCTN2
NOTCH2,RBPJ
NOTCH2,TMEM17
NOTCH2,VASN
NOTCH2,NOTCH4
NOTCH2,UBC
NOTCH2,UBA52
NOTCH2,UBB
NOTCH2,RPS27A
NOTCH2,NOTCH3
MIB2,NOTCH2
MIB2,NOTCH3
MIB2,RPS27A
MIB2,NOTCH1
MIB2,UBB
MIB2,NEURL1
MIB2,NEURL1B
MIB2,UBA52
MIB2,UBC
MAML1,NOTCH2
MAML1,NOTCH3
MAML1,NOTCH4
MAML1,NOTCH1
MAML1,RBPJ
NOTCH3,RBPJ
NOTCH3,WWP2
NOTCH3,NOTCH4
NOTCH3,UBC
NOTCH3,UBA52
NOTCH3,UBB
NOTCH3,RPS27A
TMEM216,TRIM13
ATN1,ATN1
ATN1,WWP2
ATN1,TRIM25
ATN1,JAG2
ADAM10,NOTCH1
ADAM10,TRIM25
ADAM10,BMP4
ADAM10,DLL4
ADAM10,JAG1
ADAM10,NOTCH2
ADAM10,DLL1
ADAM10,UBB
ADAM10,RPS27A
ADAM10,NOTCH4
ADAM10,UBC
ADAM10,NOTCH3
ADAM10,UBA52
ADAM10,ADAM17
ADAM10,JAG2
TRIM25,UBC
TRIM25,TRIM25
TRIM25,UBB
TRIM25,UBA52
SHH,SHH
SHH,UBC
SHH,UBA52
SHH,UBB
JAG1,NOTCH1
JAG1,NEURL1
JAG1,MIB1
JAG1,NOTCH2
JAG1,NOTCH3
JAG1,NOTCH4
JAG1,UBC
JAG1,NEURL1B
JAG1,UBA52
JAG1,MIB2
JAG1,UBB
JAG1,MAML1
JAG1,RPS27A
JAG1,WWP2
JAG1,JAG2
JAG1,RBPJ
DLL1,NOTCH1
DLL1,MIB1
DLL1,NOTCH2
DLL1,NOTCH3
DLL1,DLL4
DLL1,JAG1
DLL1,RPS27A
DLL1,MAML1
DLL1,UBB
DLL1,JAG2
DLL1,HEY1
DLL1,RBPJ
DLL1,WWP2
DLL1,MIB2
DLL1,NEURL1
DLL1,NOTCH4
DLL1,HES5
DLL1,UBC
DLL1,NEURL1B
DLL1,UBA52
JAG2,VASN
JAG2,NOTCH2
JAG2,TMEM216
JAG2,TCTN2
JAG2,NOTCH3
JAG2,TMEM17
JAG2,NOTCH1
JAG2,LPPR1
JAG2,TRIM25
JAG2,UST
JAG2,STS
JAG2,TMEM30B
JAG2,MIB2
JAG2,MIB1
JAG2,RPS27A
JAG2,MAML1
JAG2,SHH
JAG2,UBB
JAG2,NOTCH4
JAG2,UBC
JAG2,NEURL1B
JAG2,UBA52
JAG2,NEURL1
JAG2,WWP2
JAG2,TRIM13
JAG2,RBPJ
HEY1,HEY2
HEY1,NOTCH1
HEY1,HEY1
HEY1,JAG1
HEY1,NOTCH2
HEY1,NOTCH3
HEY1,MAML1
HEY1,JAG2
HEY1,NOTCH4
HEY1,RBPJ
NOTCH4,RPS27A
NOTCH4,UBB
NOTCH4,RBPJ
NOTCH4,UBC
NOTCH4,UBA52
MIB1,UBC
MIB1,MIB1
MIB1,NOTCH2
MIB1,NEURL1B
MIB1,UBA52
MIB1,MIB2
MIB1,NEURL1
MIB1,UBB
MIB1,NOTCH1
MIB1,RPS27A
MIB1,NOTCH3
NEURL1,NOTCH2
NEURL1,NOTCH3
NEURL1,RPS27A
NEURL1,NOTCH1
NEURL1,UBB
NEURL1,UBC
NEURL1,UBA52
UBA52,UBA52
UBA52,UBB
UBA52,WWP2
UBA52,UBC
GFI1B,JAG2
GFI1B,GFI1B
GFI1B,NOTCH1
RPS27A,UBA52
RPS27A,TRIM25
RPS27A,RPS27A
RPS27A,UBC
RPS27A,UBB
RPS27A,WWP2
RPS27A,SHH
RPS27A,TRIM13
TRIM13,TRIM13
