source,target
STAT3,NMUR1
STAT3,YKT6
STAT3,PRDX6
STAT3,P2RY14
STAT3,EIF5
STAT3,YWHAB
STAT3,GTF2H1
STAT3,RPSA
STAT3,RECQL4
STAT3,SCFD1
STAT3,NAE1
CLTC,GNG4
CLTC,CD59
CLTC,GTF2H1
CLTC,PTAFR
CLTC,RPS3A
CLTC,RAD21
CLTC,EFNA4
CLTC,CD93
CLTC,PCK1
CLTC,TRAF1
CLTC,CLEC12A
IGF1R,TAF6
IGF1R,PPP2R1A
IGF1R,RECQL4
IGF1R,FBL
IGF1R,ANAPC4
IGF1R,STK3
IGF1R,SRPK1
EGFR,GUSB
EGFR,TAS2R9
EGFR,CCNK
EGFR,STAT3
EGFR,EEF2
EGFR,COPS3
EGFR,ANAPC4
EGFR,CCL21
EGFR,HGD
EGFR,MSRB3
EGFR,YKT6
EGFR,RPS20
EGFR,CCL19
EGFR,F5
EGFR,FBL
EGFR,MYC
EGFR,BUB1
EGFR,HIST1H4B
EGFR,SPTAN1
EGFR,MAP1LC3A
EGFR,SNRPG
EGFR,KHDRBS1
EGFR,CENPA
EGFR,AGTR1
EGFR,HIST1H2BJ
EGFR,KIF3A
EGFR,GTF2H1
EGFR,PSMA1
EGFR,CD59
EGFR,RPL19
EGFR,PLRG1
EGFR,EFTUD2
EGFR,PRPF19
EGFR,PLK1
EGFR,U2AF1
EGFR,SPSB1
EGFR,PSMD6
EGFR,ANKRD9
EGFR,RPL37A
EGFR,RECQL4
KTN1,PPP2R1A
KTN1,GTF2H1
KTN1,NXF1
KTN1,EGFR
RELA,TRAF2
RELA,RELA
RELA,CUL7
RELA,ROCK1
RELA,TRAF1
RELA,CDC14B
RELA,NXF1
RELA,RPS20
RELA,RAD21
RELA,P4HA1
RELA,RTP5
SRC,PSMC1
SRC,STK3
SRC,MYC
SRC,RPS27A
SRC,DYNLL1
SRC,STAT3
SRC,EFTUD2
SRC,RC3H2
SRC,RPL13
SRC,RPL11
SRC,EIF5
SRC,CUL7
XPA,EEF2
XPA,EGFR
XPA,CUL7
XPA,PLK1
DMD,GTF2H1
DMD,HSP90AA1
DMD,SRC
COPS3,HNRNPK
COPS3,SERBP1
COPS3,CUL2
COPS3,CALM1
COPS3,RPS27A
COPS3,UBE2V1
COPS3,GTF2H1
COPS3,RECQL4
COPS3,RPL11
COPS3,GUSB
COPS3,SNRPG
COPS3,RTP5
FADD,MYC
FADD,METTL14
FADD,GTF2H1
FADD,GSK3B
MAPKAPK2,MAPKAPK2
MAPKAPK2,SOD1
MAPKAPK2,SERBP1
RANBP1,PSMD6
KHDRBS1,ACTG1
KHDRBS1,PLCD3
KHDRBS1,MRPL24
KHDRBS1,GTF2H1
KHDRBS1,MAP1LC3A
TRAF1,RPL13
TRAF1,IGF1R
TRAF1,RIF1
TRAF2,SPRYD3
TRAF2,ROCK1
TRAF2,MYF6
TRAF2,MAPKAPK2
TRAF2,GTF2H1
TRAF2,COPS3
TRAF2,TCEA1
TRAF2,RPS20
TRAF2,EGFR
