"V1","V2"
"MTCP1","TCL1B"
"ZNF645","ZNRF2"
"WSB1","ZNRF2"
"WSB1","ZNF645"
"UNKL","ZNRF2"
"UNKL","ZNF645"
"UNKL","WSB1"
"IFNA6","IFNA16"
"IFNA7","IFNA16"
"IFNA7","IFNA6"
"TLR7","LY86"
"TLR8","TLR7"
"ENSG00000173366","TLR7"
"RNF217","ZNRF2"
"RNF217","ZNF645"
"RNF217","WSB1"
"RNF217","UNKL"
"UBE2F","ZNRF2"
"UBE2F","ZNF645"
"UBE2F","WSB1"
"UBE2F","UNKL"
"UBE2F","RNF217"
"NEURL2","WSB1"
"NEURL2","UBE2F"
"CSF3","LEP"
"IL23R","TSLP"
"IL23R","CSF3"
"IL13","TSLP"
"IL13","MRC1"
"IL13","CSF3"
"IL13","IL23R"
"FBXO41","ZNRF2"
"FBXO41","ZNF645"
"FBXO41","WSB1"
"FBXO41","UNKL"
"FBXO41","RNF217"
"FBXO41","UBE2F"
"FBXO41","NEURL2"
"KBTBD13","ZNRF2"
"KBTBD13","ZNF645"
"KBTBD13","WSB1"
"KBTBD13","UNKL"
"KBTBD13","RNF217"
"KBTBD13","UBE2F"
"KBTBD13","NEURL2"
"KBTBD13","FBXO41"
"GNG13","PIK3R6"
"GNG8","PIK3R6"
"GNG8","GNG13"
"IL2","CSF3"
"IL2","IL23R"
"IL2","IL13"
"IFNB1","IFNA16"
"IFNB1","IFNA6"
"IFNB1","IFNA7"
"IFNB1","TLR7"
"UBE3B","ZNRF2"
"UBE3B","ZNF645"
"UBE3B","WSB1"
"UBE3B","UNKL"
"UBE3B","RNF217"
"UBE3B","UBE2F"
"UBE3B","FBXO41"
"UBE3B","KBTBD13"
"UBE3D","ZNRF2"
"UBE3D","ZNF645"
"UBE3D","WSB1"
"UBE3D","UNKL"
"UBE3D","RNF217"
"UBE3D","UBE2F"
"UBE3D","FBXO41"
"UBE3D","KBTBD13"
"UBE3D","UBE3B"
"TULP4","WSB1"
"TULP4","UBE2F"
"TULP4","NEURL2"
"TULP4","FBXO41"
"TULP4","KBTBD13"
"ITGAX","MRC1"
"ITGAX","TLR7"
"ITGAX","TLR8"
"ITGAX","ENSG00000173366"
"ITGAX","IL13"
"ITGAX","IL2"
"GNG3","PIK3R6"
"GNG3","GNG13"
"GNG3","GNG8"
"CCR2","GNG13"
"CCR2","GNG8"
"CCR2","IL2"
"CCR2","ITGAX"
"CCR2","GNG3"
"FBXL22","ZNRF2"
"FBXL22","ZNF645"
"FBXL22","WSB1"
"FBXL22","UNKL"
"FBXL22","RNF217"
"FBXL22","UBE2F"
"FBXL22","NEURL2"
"FBXL22","FBXO41"
"FBXL22","KBTBD13"
"FBXL22","UBE3B"
"FBXL22","UBE3D"
"FBXL22","TULP4"
"UFL1","ZNRF2"
"UFL1","ZNF645"
"UFL1","WSB1"
"UFL1","UNKL"
"UFL1","RNF217"
"UFL1","UBE2F"
"UFL1","FBXO41"
"UFL1","KBTBD13"
"UFL1","UBE3B"
"UFL1","UBE3D"
"UFL1","FBXL22"
