source,target
APP,HIST1H2AJ
APP,NOP58
APP,MAK16
APP,HIST1H2BJ
APP,RAB8B
APP,KIF1C
APP,DNAJC9
APP,PTCD3
APP,RPL23A
APP,MAPK1
APP,CREBBP
APP,CLDN3
APP,F2RL1
APP,SSR1
APP,HIST1H4A
APP,RPS13
APP,DECR1
APP,KIF20A
APP,ERC1
APP,CUL7
APP,VDAC1
APP,QARS
APP,PARP1
APP,RPL7A
APP,CDK5
APP,ARFGAP2
APP,CWC22
APP,UBQLN1
APP,RPL13A
APP,PARK2
APP,CHD4
APP,PPP2R1B
APP,FAM131B
APP,MTA2
APP,ITFG1
APP,IFI16
APP,UBE2M
APP,VTI1B
APP,HDAC3
APP,PTTG1
APP,UBE2I
APP,CXCR6
APP,GNL2
APP,HIST1H4I
APP,MED4
APP,VWA9
APP,SNW1
APP,GNB2L1
APP,CUL4B
APP,GANAB
APP,OAS3
APP,PTMA
APP,TRIM28
APP,NUP37
APP,SMURF2
APP,MAPK8
APP,RPSA
APP,APP
APP,TIPIN
APP,RELA
APP,RPL39L
APP,DYNC1H1
APP,HTR1E
APP,NAV1
APP,PTGES3
APP,MED7
APP,TRIM32
APP,MMP25
APP,NOTCH2
APP,PLK1
APP,ESR2
APP,ITGA4
APP,GSK3B
APP,RBL2
APP,UBE2H
APP,TAS2R19
APP,NUP214
APP,BUB1B
APP,KLHL5
APP,PRDX4
APP,QRFP
APP,HAUS2
APP,HNRNPL
APP,YWHAG
APP,STAM
APP,WIPI2
APP,WWP1
APP,UBC
APP,UBA1
APP,UBE2B
APP,SMAD3
APP,HLA-DQA2
APP,P4HA1
APP,TRMT6
APP,PPY
APP,YWHAH
APP,PPP2R1A
APP,BZW2
APP,CENPE
APP,SF3B3
APP,KPNB1
APP,BMI1
APP,EIF6
APP,RNF14
APP,ORC6
APP,GTPBP4
APP,FAF1
APP,BDKRB1
APP,G3BP1
APP,PARP3
APP,KLHL41
APP,SGK1
APP,HIST2H4A
APP,ADSS
APP,LRRK2
APP,PDK1
APP,PTGER1
APP,CASP1
APP,YWHAQ
APP,SOX2
APP,UBB
APP,NT5C3A
APP,EIF2S3
APP,CHMP2A
APP,FN1
APP,REST
APP,MCM2
APP,PAN2
APP,RPS14
APP,MCHR1
EP300,NUP37
EP300,FLT3
EP300,ESR2
EP300,ADRA2C
EP300,ERC1
EP300,HSP90AB1
EP300,FBXO21
EP300,RPS6
EP300,YBX1
EP300,MRPL12
EP300,RCN2
EP300,TRIM25
EP300,H3F3A
EP300,CWC22
EP300,UBB
EP300,HRC
EP300,HIST1H4A
EP300,HSPB1
EP300,NR3C1
EP300,WDR75
EP300,UBE2I
EP300,CREBBP
EP300,LRP8
EP300,ATG16L1
EP300,ARIH2
EP300,RBL2
EP300,YWHAE
EP300,LPAR3
EP300,APP
EP300,SOX2
EP300,CDT1
EP300,GNAL
EP300,NIT1
EP300,IQGAP1
EP300,COL6A1
EP300,ACTR1A
EP300,MCM2
EP300,AGTR2
EP300,UBE2M
EP300,RCN1
EP300,UBE2H
EP300,TP53
EP300,KIF2A
EP300,PCK1
EP300,CCT5
EP300,ACTR2
EP300,ZNF645
EP300,KIF11
EP300,PDIA6
EP300,SNW1
EP300,DDX6
EP300,GNAI2
EP300,CCL4
EP300,PARP1
EP300,KCNK3
ARRB2,PACSIN1
ARRB2,HIST1H4I
ARRB2,BPNT1
ARRB2,CSK
ARRB2,ITGA4
ARRB2,GAL
ARRB2,KIAA1429
ARRB2,UBC
ARRB2,MCM4
ARRB2,EP300
ARRB2,INO80B
ARRB2,VTI1B
ARRB2,ADORA1
ARRB2,TCP1
ARRB2,APP
ARRB2,ADCY2
ARRB2,HNRNPU
ARRB2,TRIM25
ARRB2,HDAC2
ARRB2,SOX2
ARRB2,MAPK1
ARRB2,MCHR1
ARRB2,ANXA5
ARRB2,PTGER1
ARRB2,HSPA2
ARRB2,CASP1
ARRB2,NCOR1
ARRB2,RPL31
ARRB2,HIST1H2AJ
ARRB2,NPSR1
ARRB2,GNB1
ARRB2,FGF18
ARRB2,TRIM28
ARRB2,YBX1
ARRB2,TP53
ARRB2,AP1M1
ARRB2,UBE2B
ARRB2,GPRC6A
ARRB2,MAPK8
ARRB2,ADAMTS18
ARRB2,LPAR3
ARRB2,CALM1
ARRB2,LMNA
ARRB2,MTA2
BRCA1,PSMD1
BRCA1,PLOD2
BRCA1,TP53
BRCA1,UBA1
BRCA1,RNF31
BRCA1,NUP214
BRCA1,TCP1
BRCA1,PRPF19
BRCA1,COL4A2
BRCA1,ARHGAP25
BRCA1,DNAJB1
BRCA1,UBC
BRCA1,KIF1C
BRCA1,PABPC1
BRCA1,PPP2CA
BRCA1,PARP1
BRCA1,RPS14
BRCA1,GNB2L1
BRCA1,GNAI2
BRCA1,QARS
BRCA1,TARDBP
BRCA1,YWHAG
BRCA1,MCM2
BRCA1,P2RY6
BRCA1,UBB
BRCA1,APP
BRCA1,INO80B
BRCA1,YWHAE
BRCA1,SMURF2
BRCA1,FLT3
BRCA1,RPL13A
BRCA1,CREBBP
BRCA1,SF3B3
BRCA1,NPSR1
BRCA1,YEATS4
BRCA1,RPSA
BRCA1,PTCD3
BRCA1,YWHAH
BRCA1,MATR3
BRCA1,AIMP2
BRCA1,PSMD13
BRCA1,KPNB1
BRCA1,EP300
BRCA1,HIST1H2BB
BRCA1,LPAR1
BRCA1,MTUS2
BRCA1,RPL31
BRCA1,POLR2C
BRCA1,SCO2
BRCA1,UBE2B
BRCA1,DYNC1H1
BRCA1,NMUR2
BRCA1,ESR2
BRCA1,PPY
BRCA1,ITFG1
BRCA1,RELA
BRCA1,GNGT1
BRCA1,CHMP2A
BRCA1,EGR2
