"node","type"
"10276.Q77GA0_SWPV1",0
"IL18",2
"MYC",2
"CCDC53",2
"CRP",2
"JUN",2
"IL12RB1",2
"CASP3",2
"AKT1",2
"STAT3",2
"CDK15",2
"RELA",2
"CASK",2
"SELE",2
"SHMT2",2
"CXCL8",2
"MAPK8",2
"VCAM1",2
"CASP1",2
"NFKB1",2
"ICAM1",2
"MAPK3",2
"CD40",2
"MYD88",2
"IL1A",2
"CCL5",2
"LCN2",2
"IL33",2
"CASP4",2
"TNF",2
"TLR1",2
"FASLG",2
"MAPK9",2
"CCL2",2
"TLR9",2
"IL32",2
"PYCARD",2
"TDGF1",2
"NFKB2",2
"SERPINB4",2
"HAVCR1",2
"AIM2",2
"NLRP3",2
"NLRP1",2
"TLR4",2
"CCR7",2
"IL1B",2
"IL10",2
"CD69",2
"MMP9",2
"IL15",2
"IL1R1",2
"VEGFA",2
"CSF2",2
"CASP5",2
"TLR3",2
"TLR2",2
"NLRP6",2
"IFNG",2
"NLRC4",2
"CXCL1",2
"ADIPOQ",2
"CXCL10",2
"IL22",2
"IL6",2
"TLR5",2
"STAT4",2
"IL17A",2
"IL5",2
"IL18RAP",2
"MEFV",2
"IL4",2
"IL37",2
"ZNF747",2
"IL18R1",2
"IL2",2
"IL13",2
"TLR6",2
"TLR10",2
"TLR8",2
"TLR7",2
"IL18BP",2
"MAPK cascade",6
"angiogenesis",6
"cytokine activity",6
"protein binding",6
"extracellular region",6
"extracellular space",6
"cytosol",6
"inflammatory response",6
"cell-cell signaling",6
"cell population proliferation",6
"positive regulation of macrophage derived foam cell differentiation",6
"positive regulation of phosphatidylinositol 3-kinase signaling",6
"cytokine-mediated signaling pathway",6
"natural killer cell activation",6
"regulation of cell adhesion",6
"sleep",6
"lipopolysaccharide-mediated signaling pathway",6
"activation of protein kinase B activity",6
"interleukin-6 production",6
"positive regulation of granulocyte macrophage colony-stimulating factor production",6
"positive regulation of interferon-gamma production",6
"positive regulation of interleukin-17 production",6
"positive regulation of natural killer cell proliferation",6
"positive regulation of tissue remodeling",6
"interleukin-18-mediated signaling pathway",6
"T-helper 1 cell cytokine production",6
"chemokine biosynthetic process",6
"T-helper 1 type immune response",6
"type 2 immune response",6
"interleukin-2 biosynthetic process",6
"interferon-gamma biosynthetic process",6
"positive regulation of activated T cell proliferation",6
"neutrophil activation",6
"interleukin-13 biosynthetic process",6
"granulocyte macrophage colony-stimulating factor biosynthetic process",6
"natural killer cell mediated cytotoxicity",6
"positive regulation of tyrosine phosphorylation of STAT protein",6
"cholesterol homeostasis",6
"interleukin-18 receptor binding",6
"positive regulation of T-helper 2 cell differentiation",6
"negative regulation of myoblast differentiation",6
"positive regulation of transcription by RNA polymerase II",6
"positive regulation of smooth muscle cell proliferation",6
"positive regulation of inflammatory response",6
"positive regulation of NF-kappaB transcription factor activity",6
"positive regulation of NK T cell proliferation",6
"positive regulation of protein kinase B signaling",6
"triglyceride homeostasis",6
"cellular response to organic cyclic compound",6
"positive regulation of cold-induced thermogenesis",6
"positive regulation of neuroinflammatory response",6
"positive regulation of NIK/NF-kappaB signaling",6
"positive regulation of T-helper 1 cell cytokine production",6
