source,target
MAP2K4,MAP2K6
MAP2K4,TRIM25
MAP2K4,UBC
MAP2K4,MAP3K7
MAP2K4,MAPK14
MAP2K4,SPAG9
MAP2K4,MAP2K4
MAP2K4,MAPK1
MAP2K4,MAP3K8
MAP2K4,MAP3K1
MAP2K4,RBBP8
MAP2K4,VASP
MAP2K4,MAPK8
MAP2K4,MAP3K5
MAP2K4,PML
MAP2K4,TNFRSF1A
MAP2K4,MAPK13
MAP2K4,MAPK12
MAP2K4,TAB1
MAP2K4,RIPK2
MAP2K4,NOD1
MAP2K4,NFKB1
MAP2K4,MAPK8IP1
MAP2K4,TRAF2
MAP2K4,RIPK1
MAP2K4,RPS27A
MAP2K4,PAK1
MAP2K4,NOD2
MAP2K4,RAC3
MAP2K4,UBB
MAP2K4,PAK2
MAP2K4,UBE2N
MAP2K4,ROCK2
MAP2K4,MAPK11
MAP2K4,UBE2V1
MAP2K4,TRADD
MAP2K4,MAP4K4
MAP2K4,RAC1
MAP2K4,TAB2
MAP2K4,TXN
MAP2K4,TAB3
MAP2K4,PRKCD
MAP2K4,UBA52
MAP2K4,TNF
MAP2K4,TRAF6
MAP2K4,PPP2R5D
ACTN2,GNB2L1
ACTN2,TPM4
ACTN2,HSPB1
ACTN2,MYOZ2
ACTN2,ITGB3BP
ACTN2,ACTN4
ACTN2,PSMB5
ACTN2,AGRN
ACTN2,SNAI1
ACTN2,NOS3
ACTN2,MYH2
ACTN2,TOLLIP
ACTN2,MYH7
ACTN2,GATA3
ACTN2,LDB3
ACTN2,MYH8
ACTN2,MYH4
ACTN2,BRMS1L
ACTN2,PSMA3
ACTN2,YWHAQ
ACTN2,DLG4
ACTN2,MYH6
ACTN2,MYH1
ACTN2,SNW1
ACTN2,PPP1CB
ACTN2,MYH3
ACTN2,TPM2
ACTN2,FBXL22
ACTN2,NCAPH2
ACTN2,TPM1
ACTN2,ACTN2
ACTN2,MED14
ACTN2,CFTR
ACTN2,TNS1
ACTN2,VCL
ACTN2,TIMP1
ACTN2,CSK
ACTN2,TGFB1
ACTN2,ISLR
ACTN2,KRAS
ACTN2,VWF
ACTN2,MYOM2
ACTN2,PIK3CA
ACTN2,KNG1
ACTN2,EGF
ACTN2,SERPING1
ACTN2,APP
ACTN2,ALB
