"node","type"
"Spike",0
"orf9c",0
"orf9b",0
"orf8",0
"orf7a",0
"orf6",0
"orf3b",0
"orf3a",0
"orf10",0
"nsp9",0
"nsp8",0
"nsp7",0
"nsp6",0
"nsp5",0
"nsp5_C145A",0
"nsp4",0
"nsp2",0
"nsp15",0
"nsp14",0
"nsp13",0
"nsp12",0
"nsp11",0
"nsp10",0
"nsp1",0
"N",0
"M",0
"E",0
"ZDHHC5",1
"GOLGA7",1
"NDUFB9",1
"TMED5",1
"NDUFAF1",1
"BCS1L",1
"NDFIP2",1
"ACAD9",1
"GHITM",1
"TMEM39B",1
"ALG8",1
"ECSIT",1
"FAR2",1
"PIGO",1
"FAM134C",1
"NLRX1",1
"ERMP1",1
"TAPT1",1
"SLC30A6",1
"TMEM97",1
"DPY19L1",1
"SCAP",1
"F2RL1",1
"ABCC1",1
"WFS1",1
"GPAA1",1
"UBXN8",1
"BAG5",1
"PTBP2",1
"MARK1",1
"DCTPP1",1
"DPH5",1
"MARK2",1
"MARK3",1
"TOMM70A",1
"CSDE1",1
"CHMP2A",1
"SLC9A3R1",1
"FKBP7",1
"HYOU1",1
"ADAMTS1",1
"CHPF2",1
"UGGT2",1
"FBXL12",1
"PLEKHF2",1
"SMOC1",1
"POFUT1",1
"SIL1",1
"EDEM3",1
"ERP44",1
"TM2D3",1
"GDF15",1
"NEU1",1
"SDF2",1
"HS6ST2",1
"NGLY1",1
"IL17RA",1
"ERLEC1",1
"GGH",1
"EMC1",1
"PUSL1",1
"CHPF",1
"FOXRED2",1
"PLD3",1
"ERO1LB",1
"KDELC2",1
"KDELC1",1
"NPTX1",1
"OS9",1
"MFGE8",1
"NPC2",1
"INHBE",1
"PCSK6",1
"LOX",1
"DNMT1",1
"PVR",1
"COL6A1",1
"CISD3",1
"ITGB1",1
"PLAT",1
"STC2",1
"TOR1A",1
"PLOD2",1
"MDN1",1
"HEATR3",1
"KIAA0368",1
"MTCH1",1
"RAE1",1
"NUP98",1
"STOML2",1
"ALG5",1
"SUN2",1
"VPS11",1
"CLCC1",1
"VPS39",1
"ARL6IP6",1
"TRIM59",1
"HMOX1",1
"TIMM8B",1
"ZYG11B",1
"THTPA",1
"MAP7D1",1
"CUL2",1
"PPT1",1
"FBLN5",1
"MAT2B",1
"NUPL1",1
"NUP88",1
"ZNF503",1
"NEK9",1
"SPG20",1
"MIB1",1
"NUP54",1
"EIF4H",1
"DCAF7",1
"NUP62",1
"NUP214",1
"FBN2",1
"FBN1",1
"GTF2F2",1
"TK2",1
"MRPS2",1
"HECTD1",1
"AATF",1
"EXOSC3",1
"EXOSC5",1
"SEPSECS",1
"CCDC86",1
"NOL10",1
"NARS2",1
"EXOSC8",1
"NGDN",1
"MEPCE",1
"LARP7",1
"DDX10",1
"MRPS25",1
"SRP54",1
"SRP19",1
"WHSC1",1
"ATE1",1
"SRP72",1
"MPHOSPH10",1
"OCIAD1",1
"RAB18",1
"PTGES2",1
"VIMP",1
"DNAJC19",1
"FAM162A",1
"DCAKD",1
"NAT14",1
"SCARB1",1
"SCCPDH",1
"NDUFAF2",1
"HS2ST1",1
"QSOX2",1
"LETMD1",1
"MARC1",1
"TOR1AIP1",1
"MOGS",1
"LMAN2",1
"GNG5",1
"GNB1",1
"RAB1A",1
"RHOA",1
"RAB14",1
"RAB10",1
"RAB2A",1
"RAB8A",1
"RAB7A",1
"RAB5C",1
"COMT",1
"RALA",1
"CYB5R3",1
"ACSL3",1
"CYB5B",1
"AGPS",1
"ATP13A3",1
"SLC6A15",1
"SIGMAR1",1
"ATP6AP1",1
"ATP5I",1
"ATP5L",1
"HDAC2",1
"TRMT1",1
"GPX1",1
"TIMM9",1
"TIMM10B",1
"DNAJC11",1
"NUP210",1
"TCTN3",1
"ALG11",1
"TIMM10",1
"IDE",1
"GIGYF2",1
"FKBP15",1
"KIAA1033",1
"RAP1GDS1",1
"POR",1
"EIF4E2",1
"SLC27A2",1
"RNF41",1
"ARF6",1
"NUTF2",1
"SIRT5",1
"IMPDH2",1
"GLA",1
"NINL",1
"HOOK1",1
"TBK1",1
"CEP250",1
"FYCO1",1
"GORASP1",1
"AKAP9",1
"CDK5RAP2",1
"JAKMIP1",1
"GCC1",1
"USP13",1
"MIPOL1",1
"CEP112",1
"NIN",1
"CLIP4",1
"GCC2",1
"ERC1",1
"CNTRL",1
"CEP68",1
"CEP135",1
"PDE4DIP",1
"CEP350",1
"GRIPAP1",1
"PCM1",1
"GOLGB1",1
"GOLGA2",1
"GOLGA3",1
"AES",1
"TLE3",1
"TLE1",1
"CENPF",1
"RDX",1
"PRKAR2B",1
"PRKACA",1
"PRKAR2A",1
"FGFR1",1
"PCNT",1
"HSBP1",1
"CIT",1
"TBKBP1",1
"PLEKHA5",1
"PPIL3",1
"TCF12",1
"RBM41",1
"CHCHD1",1
"LARP4B",1
"ZC3H7A",1
"USP54",1
"CRTC3",1
"ZNF318",1
"UBAP2",1
"PRRC2B",1
"PDZD11",1
"TYSND1",1
"UBAP2L",1
"RIPK1",1
"SLU7",1
"MYCBP2",1
"AKAP8",1
"BCKDK",1
"SBNO1",1
"TBCA",1
"GRPEL1",1
"AP2M1",1
"ERGIC1",1
"GFER",1
"AP2A2",1
"PKP2",1
"COLGALT1",1
"POLA2",1
"PRIM2",1
"PRIM1",1
"POLA1",1
"G3BP2",1
"MOV10",1
"UPF1",1
"SNIP1",1
"FAM98A",1
"LARP1",1
"PABPC4",1
"G3BP1",1
"CSNK2B",1
"CSNK2A2",1
"PABPC1",1
"RRP9",1
"BZW2",1
"AAR2",1
"AKAP8L",1
"AASS",1
"FAM8A1",1
"RTN4",1
"TARS2",1
"TUBGCP2",1
"SLC25A21",1
"INTS4",1
"REEP6",1
"SAAL1",1
"ADCK4",1
"TUBGCP3",1
"SLC30A7",1
"RHOT2",1
"FASTKD5",1
"SLC30A9",1
"PITRM1",1
"ANO6",1
"PMPCA",1
"REEP5",1
"PSMD8",1
"SLC1A3",1
"ATP6V1A",1
"GGCX",1
"STOM",1
"ETFA",1
"ACADM",1
"ATP1B1",1
"YIF1A",1
"PMPCB",1
"SLC44A2",1
"ZC3H18",1
"CWC27",1
"BRD2",1
"SDHB",1
"BRD4",1
"AP3B1",1
"ribosomal large subunit assembly",6
"mannosyltransferase activity",6
"alpha-1,3-mannosyltransferase activity",6
"autophagosome assembly",6
"tRNA binding",6
"ribosomal large subunit export from nucleus",6
"ribosomal small subunit export from nucleus",6
"fatty-acyl-CoA binding",6
"G1/S transition of mitotic cell cycle",6
"regulation of transcription involved in G1/S transition of mitotic cell cycle",6
"G2/M transition of mitotic cell cycle",6
"histone deacetylase complex",6
"negative regulation of transcription by RNA polymerase II",6
"establishment of mitotic spindle orientation",6
"Golgi cis cisterna",6
"Golgi membrane",6
"exocyst",6
"MAPK cascade",6
"nucleotide binding",6
"3'-5'-exoribonuclease activity",6
"nuclear exosome (RNase complex)",6
"cytoplasmic exosome (RNase complex)",6
"exosome (RNase complex)",6
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",6
"activation of MAPK activity",6
"protein polyubiquitination",6
"peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity",6
"microtubule cytoskeleton organization",6
"pericentriolar material",6
"spliceosomal tri-snRNP complex assembly",6
"mitotic cell cycle",6
"mitotic cytokinesis",6
"magnesium ion binding",6
"nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay",6
"protein deneddylation",6
"RNA cap binding",6
"RNA 7-methylguanosine cap binding",6
"RNA splicing, via transesterification reactions",6
"alternative mRNA splicing, via spliceosome",6
"second spliceosomal transesterification activity",6
"mRNA 3'-splice site recognition",6
"mRNA splicing, via spliceosome",6
"protein peptidyl-prolyl isomerization",6
"autophagosome membrane",6
"autophagy of mitochondrion",6
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",6
"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",6
"proteasome complex",6
"DNA synthesis involved in DNA repair",6
"adenyl-nucleotide exchange factor activity",6
"chromosome, centromeric region",6
"kinetochore",6
"nuclear chromosome, telomeric region",6
"chromatin",6
"nuclear chromatin",6
"condensed chromosome",6
"condensed nuclear chromosome",6
"ESCRT III complex",6
"Hrd1p ubiquitin ligase complex",6
"cell morphogenesis",6
"cytokinesis",6
"spindle pole",6
"equatorial microtubule organizing center",6
"gamma-tubulin complex",6
"P-body",6
"condensed chromosome outer kinetochore",6
"nuclear-transcribed mRNA catabolic process",6
"mitochondrial RNA processing",6
"transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery",6
"posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery",6
"RNA polymerase II cis-regulatory region sequence-specific DNA binding",6
"DNA-binding transcription factor activity, RNA polymerase II-specific",6
"RNA polymerase II repressing transcription factor binding",6
"DNA-binding transcription activator activity, RNA polymerase II-specific",6
"SAM complex",6
"PAM complex, Tim23 associated import motor",6
"skeletal system development",6
"ossification",6
"neurotransmitter uptake",6
"RNA methylation",6
"selenocysteine incorporation",6
"angiogenesis",6
"microfibril",6
"lipopolysaccharide binding",6
"cornified envelope",6
"amyloid-beta binding",6
"ovulation from ovarian follicle",6
"regulation of cell growth",6
"fatty acid alpha-oxidation",6
"blood vessel development",6
"microtubule bundle formation",6
"virus receptor activity",6
"osteoblast differentiation",6
"fibrillar center",6
"eye development",6
"metanephros development",6
"ureteric bud development",6
"temperature homeostasis",6
"response to hypoxia",6
"acrosomal vesicle",6
"ATPase activator activity",6
"long-chain fatty acid metabolic process",6
"in utero embryonic development",6
"mesoderm formation",6
"cell fate specification",6
"ruffle",6
"photoreceptor outer segment",6
"somitogenesis",6
"organ induction",6
"neuron migration",6
"immunological synapse",6
"phosphatidylserine binding",6
"kidney development",6
"blastocyst formation",6
"neural tube formation",6
"neural tube closure",6
"lipopolysaccharide immune receptor activity",6
"endothelial cell development",6
"liver development",6
"photoreceptor inner segment",6
"regulation of protein phosphorylation",6
"positive regulation of protein phosphorylation",6
"endothelial cell proliferation",6
"female pronucleus",6
"heart looping",6
"G-protein alpha-subunit binding",6
"fibronectin binding",6
"response to amphetamine",6
"angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure",6
"morphogenesis of an epithelium",6
"protease binding",6
"reduction of food intake in response to dietary excess",6
"regulation of heart rate",6
"p53 binding",6
"cell migration involved in sprouting angiogenesis",6
"positive regulation of mesenchymal cell proliferation",6
"chondrocyte differentiation",6
"protein depalmitoylation",6
"desmosome assembly",6
"aminoacyl-tRNA editing activity",6
"palmitoyltransferase complex",6
"activation of innate immune response",6
"stimulatory C-type lectin receptor signaling pathway",6
