source,target
FNTA,AJUBA
FNTA,KIAA1429
RPA2,ESR2
RPA2,SYMPK
RPA2,GSK3B
RPA2,RPL23
RPA2,SLC9A3R1
RPA2,WDR33
RPA2,RPL36AL
RPA2,RPL37A
RPA2,SRSF11
RPA2,SKP2
RPA2,PCP2
RPA2,XPO1
RPA2,LRR1
RPA2,PYGB
RPA2,RECQL4
RPA2,NECAP2
RPA2,MCTS1
RPA2,XRCC6
RPA2,ARRB2
RPA2,SOCS3
RPA2,MXD1
RPA2,GSPT1
RPA2,RLN3
RPA2,TFRC
RPA2,UBC
RPA2,TVP23C
RPA2,EGFR
RPA2,MAPT
RPA2,LAMC1
RPA2,M6PR
RPA2,EIF4G1
RPA2,TAS2R43
RPA2,TMED10
RPA2,ZNF746
RPA2,OXGR1
RPA2,PSME3
RPA2,UBA52
RPA2,UBB
RPA2,TRIM28
RPA2,RNF14
RPA2,STUB1
RPA2,P2RY14
RPA2,RPA3
RPA2,CACNG8
RPA2,PRKAR1A
RPA2,RPN1
RPA2,CUL1
RPA2,UBE2V1
RPA2,RBX1
RPA2,ERG
APP,DYNLL2
APP,HSPA8
APP,HERC2
APP,AREG
APP,SOX2
APP,PAX9
APP,HLA-A
APP,OXTR
APP,TRAF6
APP,ANAPC1
APP,SF3B2
APP,ZCCHC8
APP,UBE3C
APP,HDAC3
APP,HNRNPR
APP,RPA3
APP,MCM2
APP,LAIR1
APP,CDK15
APP,KLHL42
APP,ARFGAP2
APP,PHAX
APP,MMS19
APP,SYMPK
APP,GRIN1
APP,KMT2D
APP,DYNLRB2
APP,EGLN3
APP,MUC13
APP,WDYHV1
APP,EFTUD2
APP,UBE2J2
APP,WBP4
APP,MAPK3
APP,LTN1
APP,GNAI2
APP,BCS1L
APP,HECTD3
APP,SMAD4
APP,SIN3B
APP,EPRS
APP,SENP3
APP,CUL7
APP,POLR2L
APP,MRPL19
APP,PPY
APP,GPSM2
APP,DCUN1D1
APP,MCHR2
APP,FGB
APP,RIOK1
APP,PLK4
APP,SRA1
APP,DNM3
APP,SRPR
APP,NPW
APP,ITFG1
APP,FN1
APP,RC3H2
APP,FGFR2
APP,ITGA4
APP,PIK3R1
APP,RBM4
APP,SEC61A1
APP,RNF2
APP,MRPL50
APP,RPS5
APP,SREBF2
APP,SFN
APP,SNW1
APP,FABP5
APP,ATF6B
APP,CLTCL1
APP,MIB2
APP,RPL23A
APP,HARS
APP,APAF1
APP,RPS24
APP,DUSP23
APP,FANCG
APP,GNG4
APP,PSMB6
APP,OAS3
APP,CCR5
APP,KCNQ1
APP,HSPA4L
APP,CCR9
APP,FSTL3
APP,KLHL22
APP,ROR2
APP,HIST1H2BG
APP,PSME3
APP,HIST2H3PS2
APP,TRRAP
APP,UPF1
APP,CLPX
APP,EPB41L2
APP,CACNA2D1
APP,GABBR1
APP,TAS2R39
APP,LRFN4
APP,XPO1
APP,MTHFD1
APP,GNB2L1
APP,FBXW4
APP,KIAA0020
APP,VIPR2
APP,GNB2
APP,UBOX5
APP,TRIM25
APP,OXGR1
APP,TAS2R38
APP,SQSTM1
APP,HRH4
APP,PRKCA
APP,MAPRE1
APP,PARK2
APP,PACSIN2
APP,CTSZ
APP,UBR1
APP,OCRL
APP,TNF
APP,MAP2K3
APP,CDC34
APP,TCF7L2
APP,BRCA1
APP,RNF32
APP,QRFP
APP,APP
APP,GNG11
APP,PAN2
APP,CCR2
APP,NRAS
APP,SF3B4
APP,PLXNA3
APP,GBF1
APP,SSB
APP,PSMG1
APP,HELZ2
APP,CHEK2
APP,HDAC1
APP,TNRC6B
APP,AGTR1
APP,USP14
APP,MAP3K5
APP,TRMT61B
APP,INS
APP,APITD1
APP,GATAD2B
APP,E2F1
APP,AGPAT2
APP,EDN1
APP,NXF1
APP,HBG1
APP,HIBCH
APP,GPR32
APP,VDAC1
APP,RCOR1
APP,PIP5K1A
APP,SPINT2
APP,CTR9
APP,FBXO7
APP,MRGBP
APP,CCAR2
APP,RAB7A
APP,PPP2CA
APP,ERG
APP,C5AR1
APP,ESR2
APP,DARS
APP,UBR2
APP,EIF3B
APP,SMARCA5
APP,CUL4A
APP,MIRLET7A1
APP,UBC
APP,NLE1
APP,TRIM68
APP,POLR3G
APP,POMC
APP,PSMA7
APP,RAB8A
APP,PJA2
APP,MOV10
APP,PSMD1
APP,MEN1
APP,TNIP2
APP,LSM7
APP,UBE2D1
APP,SPP1
APP,CDV3
APP,RPL36AL
APP,P2RY14
APP,ANXA2
APP,COG5
APP,UBB
APP,RBMX2
APP,PLEC
APP,BAG2
APP,TXN
APP,MRPS26
APP,DZIP3
APP,REEP6
APP,MRPL4
APP,EDNRA
APP,MAN1A2
APP,SART1
APP,RPL3L
APP,HSPE1
APP,GABARAPL2
APP,SPSB4
APP,HSPA9
APP,CAPZB
APP,NOC2L
APP,PIP5K1B
APP,CCNA2
APP,UBE2L6
APP,SRSF2
APP,YEATS4
APP,VPS35
APP,BUB1B
APP,AREL1
APP,PAF1
APP,CCT2
APP,REEP4
APP,SMURF1
APP,DNM2
APP,RNF4
APP,IFIT3
APP,BPIFB2
APP,TAAR8
APP,TAS2R5
APP,NUP50
APP,RNF41
APP,MAP1LC3A
APP,RPS20
APP,GNG2
APP,DMD
APP,HTR2B
APP,RAF1
APP,MX1
APP,RPS6
APP,IRS2
APP,GLMN
APP,POU5F1
APP,GNRH1
APP,HLA-DPA1
APP,HIST1H3A
APP,LCA5
APP,RPL14
APP,CCR8
APP,GTF2E2
APP,RPS3A
APP,C3AR1
APP,RNF213
APP,VCAM1
APP,ASNA1
APP,C1orf131
APP,RPN1
APP,PSMD14
